FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	1.20900e+07	6.42500e+06	7.21400e+06	1.12800e+07	1.18300e+07	8.69300e+06	7.92500e+06	1.24000e+07	1.04400e+07	8.40000e+06	9.66970e+06
2	1.18600e+07	6.42500e+06	7.21400e+06	1.08500e+07	1.13500e+07	8.69300e+06	7.92500e+06	1.10800e+07	5.46000e+06	8.40000e+06	8.92570e+06
3	7.44000e+06	6.42500e+06	7.21400e+06	1.08500e+07	1.01200e+07	8.69300e+06	7.59600e+06	1.10800e+07	5.46000e+06	8.40000e+06	8.32780e+06
4	7.44000e+06	5.88500e+06	5.66200e+06	7.21400e+06	8.63000e+06	8.69300e+06	7.59600e+06	8.97700e+06	5.46000e+06	8.40000e+06	7.39570e+06
5	7.44000e+06	5.88500e+06	5.66200e+06	7.21400e+06	8.63000e+06	8.69300e+06	7.59600e+06	7.56100e+06	5.46000e+06	8.40000e+06	7.25410e+06
6	7.44000e+06	5.88500e+06	5.66200e+06	7.21400e+06	8.63000e+06	8.69300e+06	7.59600e+06	7.56100e+06	5.46000e+06	8.40000e+06	7.25410e+06
7	7.44000e+06	5.88500e+06	5.66200e+06	7.21400e+06	8.63000e+06	8.69300e+06	7.59600e+06	7.56100e+06	5.46000e+06	7.69000e+06	7.18310e+06
8	6.35700e+06	5.88500e+06	5.66200e+06	7.21400e+06	8.14300e+06	8.69300e+06	7.59600e+06	7.56100e+06	5.10400e+06	7.69000e+06	6.99050e+06
9	6.35700e+06	5.88500e+06	5.66200e+06	7.21400e+06	8.14300e+06	7.49200e+06	7.59600e+06	7.56100e+06	5.10400e+06	7.69000e+06	6.87040e+06
10	6.35700e+06	5.88500e+06	5.66200e+06	7.21400e+06	8.14300e+06	7.49200e+06	7.59600e+06	7.56100e+06	4.38000e+06	7.69000e+06	6.79800e+06
11	6.35700e+06	5.88500e+06	5.51000e+06	7.21400e+06	8.14300e+06	7.49200e+06	7.59600e+06	7.56100e+06	4.38000e+06	7.62100e+06	6.77590e+06
12	6.35700e+06	5.88500e+06	5.51000e+06	7.21400e+06	8.14300e+06	7.49200e+06	7.59600e+06	7.56100e+06	4.38000e+06	7.62100e+06	6.77590e+06
13	6.35700e+06	5.88500e+06	5.51000e+06	7.21400e+06	8.14300e+06	7.49200e+06	7.59600e+06	7.56100e+06	4.38000e+06	7.62100e+06	6.77590e+06
14	6.35700e+06	5.88500e+06	5.51000e+06	7.21400e+06	8.14300e+06	7.49200e+06	7.59600e+06	7.56100e+06	4.38000e+06	7.62100e+06	6.77590e+06
15	6.35700e+06	5.88500e+06	5.51000e+06	7.21400e+06	8.14300e+06	7.49200e+06	7.59600e+06	7.56100e+06	4.38000e+06	7.62100e+06	6.77590e+06
16	6.35700e+06	5.88500e+06	5.51000e+06	7.21400e+06	8.14300e+06	7.49200e+06	2.58000e+06	7.56100e+06	4.38000e+06	7.62100e+06	6.27430e+06
17	6.35700e+06	5.88500e+06	5.51000e+06	7.21400e+06	8.14300e+06	7.49200e+06	2.58000e+06	7.56100e+06	4.38000e+06	7.62100e+06	6.27430e+06
18	6.35700e+06	5.88500e+06	5.51000e+06	7.21400e+06	6.19000e+06	7.49200e+06	2.58000e+06	7.56100e+06	4.38000e+06	7.62100e+06	6.07900e+06
19	6.35700e+06	5.88500e+06	5.51000e+06	7.21400e+06	6.19000e+06	7.49200e+06	2.58000e+06	7.56100e+06	4.38000e+06	7.62100e+06	6.07900e+06
20	6.35700e+06	5.88500e+06	5.51000e+06	7.21400e+06	6.19000e+06	7.49200e+06	2.58000e+06	7.56100e+06	4.38000e+06	7.62100e+06	6.07900e+06
21	6.35700e+06	5.88500e+06	5.51000e+06	7.21400e+06	6.19000e+06	7.49200e+06	2.58000e+06	7.56100e+06	4.38000e+06	7.62100e+06	6.07900e+06
22	6.35700e+06	5.88500e+06	5.51000e+06	7.21400e+06	6.19000e+06	7.49200e+06	2.58000e+06	7.56100e+06	4.38000e+06	7.62100e+06	6.07900e+06
23	6.35700e+06	5.88500e+06	5.51000e+06	7.21400e+06	6.19000e+06	7.49200e+06	2.58000e+06	7.56100e+06	4.38000e+06	7.62100e+06	6.07900e+06
24	6.35700e+06	5.88500e+06	5.51000e+06	7.21400e+06	6.19000e+06	7.49200e+06	2.58000e+06	7.24600e+06	4.38000e+06	7.62100e+06	6.04750e+06
25	6.35700e+06	5.88500e+06	5.51000e+06	7.21400e+06	6.19000e+06	7.49200e+06	2.58000e+06	7.24600e+06	4.38000e+06	7.62100e+06	6.04750e+06
26	6.35700e+06	5.88500e+06	5.51000e+06	7.21400e+06	6.19000e+06	7.49200e+06	2.58000e+06	7.24600e+06	4.38000e+06	6.58400e+06	5.94380e+06
27	6.05100e+06	5.88500e+06	5.51000e+06	7.21400e+06	6.19000e+06	7.49200e+06	2.58000e+06	7.24600e+06	4.38000e+06	6.58400e+06	5.91320e+06
