FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
2	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
3	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
4	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
5	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
6	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
7	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
8	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
9	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
10	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
11	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
12	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
13	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
14	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
15	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
16	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
17	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
18	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
19	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
20	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
21	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
22	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
23	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
24	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
25	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
26	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
27	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
28	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
29	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
30	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
31	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
32	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
33	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
34	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
35	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
36	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
37	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
38	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
39	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
40	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
41	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01	4.90000e+01
