%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         obj_fn         	best_so_far	best_so_far
1        NO_ID      0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              9              
2        NO_ID      -9.999530418   -2.107732711   -4.663680668   -2.480992085   1.966034245    3.13755118     -7.177323027   -9.268116988   -9.24221565    6.081573756    -6.989875351   1.164982324    -0.1420792333  -7.925673368   -6.792301897   1.7820116      -9.731036955   -9.538108827   -6.995060955   -5.989465749   -4.950841533   -8.793637258   5.338598571    5.826189684    0.7700134305   1.615726655    -4.482106555   9.235137738    -5.040038589   -7.928564333   4.619249829    -4.268117619   5.74717962     -7.152129178   -5.835086925   9.694053568    7.958314073    -4.615370843   9.462243132    -8.079679756   4.822333136    8.953017173    -6.640375953   -4.798649901   9.091114485    -5.638847023   7.898083086    3.082427715    6.362598006    -3.815315661   3044699.651    	3.04470e+06	3.04470e+06
3        NO_ID      -4.010313327   -1.3360941     4.266466021    6.494410418    -8.444101242   -0.009567975071 -0.8089570193  3.859377193    4.552486099    -6.366140347   4.27918554     0.2713736846   0.9775178186   9.14197647     9.198526721    -0.361398901   5.968670433    -4.556026307   6.865854998    -5.575055487   0.04242568744  -6.951471119   6.624908017    4.829046519    1.784843622    -2.133250503   6.45879723     -6.994960977   -4.309144269   -3.787727195   -0.3309619847  -2.478077464   -9.047937924   -8.692681928   2.094827905    7.772605074    -5.826529141   -6.475280093   9.96747274     3.314332819    3.991692706    8.379309866    -8.939085118   0.7964221345   5.466814952    0.7588936066   -5.275153767   0.4906383671   6.159036335    -5.076323065   894833.0021    	8.94833e+05	8.94833e+05
4        NO_ID      2.238238534    -1.92495789    7.23274229     0.6996622359   -0.7768013751  4.29928865     -1.85565638    -8.016774737   2.066990469    -0.0911928574  7.321645598    -5.102440945   3.275030895    3.444248882    7.490957481    0.5223767508   -0.4139486469  2.765090891    -7.117401938   -2.174364287   -4.540579801   6.475288866    -9.820023943   -5.142404202   -8.387422552   -7.410824428   6.273837963    4.394648287    0.8537545292   9.052372193    3.219439729    9.123521158    -0.9798964257  -9.119227174   -6.851117777   -6.736479773   -0.0155380508  -1.148019801   5.23119739     0.7345395678   5.406516602    7.324529587    3.368768316    -1.110906271   8.998305825    -5.473998382   -1.490813713   3.893920842    5.127584392    -0.6891270404  717434.739     	7.17435e+05	7.17435e+05
5        NO_ID      -2.158168281   7.665708446    -2.438151637   1.985431962    9.154980434    7.756149386    -2.397270469   9.075224492    7.298041553    -1.815620247   4.870505498    -1.414091816   -6.641149817   2.195020082    -8.297489117   4.100409939    -4.410155217   -1.478738073   6.849206806    -5.381217867   -2.128688112   3.138902268    -4.469582203   -0.2680868796  -5.736186093   -8.079658271   5.183441814    -1.893437901   -3.010809875   -2.681562953   -9.028551317   -2.861989845   -1.463324778   5.900464019    9.098763307    2.914903049    -9.224457945   4.535313116    5.007535645    1.651590155    -1.724260287   0.3573525093   6.023624305    -0.9463110245  -4.649388071   -2.265301241   7.082047023    7.964321998    -3.640180767   -0.5181567886  2217714.694    	7.17435e+05	7.17435e+05
6        NO_ID      -8.661145213   -7.867601075   9.228729987    7.264894162    1.076180102    7.358972187    2.24554448     0.8660799688   -3.793964318   -5.15829101    4.60299839     2.593943138    -3.597680439   -6.215139179   2.155824272    -7.061459914   -1.956780381   -7.607871544   -5.497046139   -8.85445577    3.161867034    1.499244325    -2.200635947   -6.088367624   -7.194660761   -0.6634104395  -9.939256087   -9.077052818   1.973284824    4.998033734    1.952960143    3.401120777    2.636898417    -1.648300063   -2.97915382    9.36174998     2.931918927    -3.238594398   8.943944759    0.8795674568   2.890247131    -3.61646624    -1.948093116   -1.601004969   -8.090516384   2.691137443    9.946999243    -0.7837312253  7.829296187    6.981021937    2154285.614    	7.17435e+05	7.17435e+05
7        NO_ID      -9.964297451   -9.947260004   -3.598879033   -6.359900598   9.150655288    -4.936577042   -9.050346063   -9.166280971   2.31571281     0.1851927909   -7.464763344   -0.2775228816  -4.3270718     -5.095743423   -4.159708793   7.774310176    2.831130648    2.812807976    -5.136352151   -6.670605725   7.129580098    6.852703708    -6.608784858   6.152884521    -8.469861242   7.042102216    -3.388050698   -2.968087845   -4.652410939   6.92935313     1.638048371    -9.321026392   1.509430246    8.99414787     4.643254808    -0.8164343847  -1.812703717   -6.111378556   6.060606463    0.6128221148   -0.2987169709  -0.5361292188  9.276220034    5.430119352    4.015951582    -3.901757325   3.164638725    8.083046376    -8.239561719   -2.313811235   4778339.294    	7.17435e+05	7.17435e+05
8        NO_ID      -8.225431283   -4.823575222   -9.828761481   8.005794398    -6.613560243   5.892998183    3.620463299    9.126672819    -8.009933586   -2.953783885   -4.245756685   1.567396601    3.234680748    5.2793348      9.779983302    -7.820635288   -1.41728439    -0.29873746    -0.8804894662  1.613541735    -1.204057229   3.41014695     -5.66020346    8.960440289    -1.880067062   1.712896075    8.644331954    5.28714732     1.085015224    -4.149132471   5.530565453    -7.786423451   -6.418943776   -3.188043448   -1.44622658    -6.730126877   6.7575829      -5.304207502   -7.815479542   5.235336886    -9.692950901   -9.425784722   0.8361823348   -6.283498181   -6.753930793   6.685169384    -2.358159708   6.409787208    9.293605406    -2.373949621   3445995.282    	7.17435e+05	7.17435e+05
9        NO_ID      1.028719065    9.681329802    -5.890025681   6.338382231    9.190160269    -0.9763666387  -9.794095969   -9.370946474   2.50261013     1.368462803    -0.2456775728  -9.102965872   6.452583967    8.578733159    2.768196041    5.07086314     5.996799262    8.205200452    4.803988726    0.6385221289   -8.35858005    -2.654904142   -0.9739200915  -8.674977989   -0.3550653301  -7.583002941   -7.530421949   -3.801693029   4.945267008    -4.89739442    9.491981957    -8.259250865   6.770704573    -4.768235215   0.2707357194   -9.744764594   -0.2585354309  -5.204986918   -0.215136665   4.198071013    -3.020479518   -5.199251173   -3.814459422   -9.619498588   5.087232029    1.10870536     -5.98901402    2.641362759    -6.616115336   2.949553529    3757054.777    	7.17435e+05	7.17435e+05
10       NO_ID      -6.853834017   7.611682228    9.543199809    -7.440809206   2.319677357    6.817335392    -1.044070055   -7.685418808   -8.833901938   8.610136303    -9.439148698   -3.772162932   1.257604142    -3.447180276   3.241108867    -6.68327256    -5.761907751   -0.3835648347  -6.574176157   7.821326599    -6.963844335   -1.331740958   -2.570286231   1.199309179    -3.210625413   -0.9813079941  7.156543162    0.0209280802   -8.261756021   4.666559759    -9.130132058   9.870497324    -6.551483728   9.212979329    2.543588948    -9.900555033   1.371557168    -8.238671207   -7.346975718   -0.6208978177  4.570377671    -5.662476353   -9.240068067   2.176006144    -7.864737882   -2.649586402   8.401338523    1.296547815    -8.920875377   6.847531189    2818268.63     	7.17435e+05	7.17435e+05
11       NO_ID      6.456688045    -2.444030956   3.171728548    7.241709734    -8.584501333   0.2860983602   8.455140171    5.540851529    5.091655867    -4.539847511   -1.217119364   3.874854238    4.675173263    -4.362962374   -8.308614799   -2.888926208   5.817214863    9.93020731     -3.005737268   2.573738355    -3.179459839   2.818490198    -9.63523779    0.5584554982   5.961558547    -4.085503041   -5.049607612   -8.755130683   -7.4813963     0.1723935409   -2.581757555   8.400772185    -8.221882478   -5.178815096   -0.3453224107  -3.833757254   6.041828364    5.009316325    -8.420530324   -3.853156582   -0.00268012751 -5.044903064   -9.685791638   -9.10005318    -4.59378937    -7.817942862   3.834313086    3.300039039    3.756122884    9.157315204    1708242.107    	7.17435e+05	7.17435e+05
