Run	Nevergrad	OMADS	pymoo-GA	SciPy-DIRECT	SciPy-DE	SciPy-DA	OASIS	ea	GENIE	soga	sbo
1	0.37170	12.20198	0.08176	0.00151	0.05054	0.04781	nan	137.78000	133.23000	114.89000	nan
2	0.41864	12.04714	0.06999	0.00000	0.04901	0.02695	nan	137.55000	133.48000	116.61000	nan
3	0.37727	12.08656	0.06737	0.00000	0.03687	0.04813	nan	137.59000	133.26000	115.67000	nan
4	0.37839	12.06604	0.05701	0.01562	0.04676	0.03714	nan	137.53000	133.17000	115.51000	nan
5	0.42953	12.11029	0.07874	0.00000	0.04798	0.03610	nan	137.64000	133.23000	116.49000	nan
6	0.38918	11.98081	0.07487	0.00000	0.04907	0.03530	nan	137.45000	133.29000	117.20000	nan
7	0.36154	12.02753	0.06575	0.00182	0.04085	0.04450	nan	137.56000	133.24000	116.87000	nan
8	0.43741	12.14646	0.06716	0.00000	0.04517	0.02848	nan	137.49000	133.18000	117.23000	nan
9	0.36655	12.13643	0.06466	0.00000	0.04189	0.04659	nan	137.40000	133.21000	115.88000	nan
10	0.36493	12.10753	0.06291	0.01701	0.03114	0.02778	nan	137.44000	133.19000	115.15000	nan
total (hr)	0.00108	0.03359	0.00019	0.00001	0.00012	0.00011	0.00000	0.38206	0.37013	0.32264	nan
