%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         obj_fn         	best_so_far	best_so_far
1        NO_ID      0.3658293821   6.889982427    -3.358286338   -3.99628476    4.403106655    -3.465842242   5.368941922    4.784226716    -2.274700768   -7.119825254   6.241866487    -6.645970009   -9.440044693   -6.362078811   8.217031975    6.201201506    5.467846134    3.412958481    4.934608212    5.0744931      -7.210124621   1.836890123    -1.595724809   1.772937229    -5.185085185   3.577498612    2.042154188    4.492304252    5.245161385    9.793539049    7.711453646    8.575732195    4.423794668    1.084786651    8.985368243    6.973525441    -3.893258449   7.243041917    -0.965546691   -7.947715856   -9.424922253   7.851199695    9.82358939     -5.587476039   -4.216009285   9.010734968    -9.944907595   4.218650815    2.63122491     -9.067917613   492673.4075    
2        NO_ID      -5.916161096   -6.808692868   8.445141868    -5.740263951   -0.6381018619  7.01340641     -9.06231735    1.968282012    -9.193535386   -1.526688671   2.320896001    -1.287127114   -2.713763649   4.922642243    2.625702684    5.250406616    0.7276155222   4.097580187    -6.393780585   7.849958106    -1.367695322   -8.787017683   9.121547525    1.036321885    -3.346417647   -6.960064971   -1.027476661   8.185621815    9.893793185    0.2539308948   9.205431766    -9.426302377   0.1933224982   -2.901329996   -1.013447219   -4.496820582   -8.809295021   1.720573066    -8.498195448   -8.359015571   -2.145770375   0.6112751985   0.3040928478   -3.960833155   0.2188441047   3.188792687    5.927502643    -0.8250514393  -9.184993471   -6.938142868   2769345.914    	2.76935e+06	2.76935e+06
3        NO_ID      3.082357576    7.58836739     4.877572129    -2.108943506   0.7792560497   7.927258123    -8.686101118   8.949971662    4.807412209    -5.225097947   -9.137124676   -6.825784445   5.839993001    -0.6482506133  9.251149039    8.161655603    -5.997246497   4.309150966    8.153555439    5.412368337    -0.425726986   3.52889374     4.014389444    -3.73817482    7.774618875    -8.701423825   -9.892598576   -7.446407424   -4.956927343   -2.582865724   -8.713232035   -8.133082572   4.138482892    4.233050951    -1.594351476   4.527836952    -0.2553277916  4.482734033    -1.426017845   1.432721241    6.2890099      -6.552097717   6.749415746    -3.328571724   -6.925158092   -3.939248314   5.791445068    -8.078351303   -0.5039010661  -3.026784515   1953274.694    	1.95327e+06	1.95327e+06
4        NO_ID      7.44442491     -6.260048328   -1.996023974   4.786202586    5.44974004     8.013641869    -2.750393288   1.338188428    -8.658122549   -6.885253619   9.644046846    6.061728389    1.327643742    5.119519585    7.087823891    -0.7187034252  6.852376081    0.009598512156 3.258230789    7.508569317    4.302065545    6.643599435    -9.670938063   2.840145498    7.379264511    1.40011782     0.5957345605   8.740570414    -6.401035626   0.5405046065   5.866034718    -6.66160322    6.110686741    -7.457214393   0.8355944672   -7.303781658   -9.66949582    7.912813066    0.834415467    0.7539674494   2.692702313    -3.614890555   -8.184066625   3.397890425    -1.311083786   7.014054759    -3.605757169   -4.590203642   -6.747996206   3.985481678    1761107.674    	1.76111e+06	1.76111e+06
5        NO_ID      6.65969906     -0.3204646332  -4.153927439   -9.741128106   9.783720356    -1.693666379   4.678588053    -4.889193569   0.9509722958   3.338045575    -0.2808784135  1.334345957    -4.704393738   -0.05110570546 -2.668754135   -0.9415401807  -2.887026478   -4.138994764   9.137959065    1.734285834    2.703004153    -1.420602985   1.3175743      3.81017882     -1.778962222   -5.432600445   -7.209530694   9.096289809    -9.896393487   -0.1012333905  -8.815863349   -7.909234011   0.979017362    0.1484766857   4.070506514    0.7822672212   -5.852400901   -4.936581016   -9.701323315   -2.736140453   -3.960270348   -0.7154316372  -8.263777705   -9.477700104   5.240319327    -2.738937294   -4.533899038   8.361608134    5.962033809    2.008337488    2073138.394    	1.76111e+06	1.76111e+06
6        NO_ID      6.197772217    -0.09231506106 6.111248047    -0.4982422523  9.479883058    5.416709269    1.308802024    2.516315482    -8.573514073   -1.817845433   -1.004802186   1.670485926    2.672026531    -2.403588883   -0.8259836571  -4.173169295   -7.704550471   -6.27217463    -2.155291377   9.265193441    9.005724458    -6.279902209   1.652827529    -9.847839508   -9.632190791   -5.764538874   7.009582404    3.382203595    -2.8131682     -0.5331826271  6.017637728    -4.343630983   6.330252326    9.402378266    8.010222181    9.942554614    -6.34081299    -3.71531703    9.941077612    -0.3649334806  5.034064041    -9.738357579   3.279445553    -3.509209469   -2.577668599   -7.389555583   4.338726139    -6.285287783   7.691174562    -3.714799188   1685399.608    	1.68540e+06	1.68540e+06
7        NO_ID      3.738375423    5.3326883      -3.698350492   1.026453455    1.404776819    -2.928036761   5.707688119    -5.328087939   5.625128275    -1.775143992   6.893725668    -4.060412576   2.989061689    3.356105911    -8.308527964   6.471502233    7.511009132    2.218197595    3.479838792    2.028558655    -7.9578471     1.771008344    -2.829817162   -1.952984472   1.127335344    -6.176784756   3.1817017      -7.893033553   0.8556476884   6.393180936    5.773995236    2.125024214    -3.992604987   -0.9809345264  -3.493270184   5.1448559      -3.751401191   6.593907603    9.773427859    5.405240012    6.485226156    1.660201589    9.025388696    4.738212534    -3.698974718   -8.05854185    -2.804917501   8.405211985    6.844647687    3.283292512    437303.7073    	4.37304e+05	4.37304e+05
8        NO_ID      4.537300185    -5.517188803   -8.218292971   -9.406544734   -2.105583315   -4.66038855    2.028909108    -6.643450117   2.490017349    -6.365313966   3.353494975    -4.90984822    8.026432228    -8.202858235   1.314654454    -9.014430202   1.326329325    7.293957807    5.400517498    9.754895454    1.450585886    7.482289997    3.826796114    -6.535469429   -7.5326508     2.14834096     -0.347372196   6.284100838    5.794264093    -5.671427872   -4.536289929   -6.158224288   5.789335337    -8.630877008   8.277513569    2.329117465    2.124462505    4.716098705    6.409099643    -5.425979527   -8.94201635    -4.779072817   -3.613264304   1.543618946    3.077862316    -2.496270343   1.555170001    1.556908849    0.221687409    9.529318891    1878490.959    	4.37304e+05	4.37304e+05
9        NO_ID      -1.839851087   -7.277212336   -7.596835752   0.3832887406   7.236802041    -1.075616126   9.540867006    4.329350783    -8.306999704   1.70441025     -0.447175211   0.249652245    1.192045524    8.460419346    0.8135613864   6.086587703    -5.313489535   -6.505799097   -5.563906298   3.445145174    -7.591704985   8.411835442    9.441144464    1.285688495    -2.832550235   -3.875350571   3.897809563    1.857934549    5.181676217    5.101030048    3.063643603    1.22156278     -7.527126905   -5.229563107   -8.892953771   7.165105675    2.954026437    3.161041638    0.2312991648   -5.799072528   -4.012382979   -6.754350179   -6.413539654   -0.7592879237  5.928260498    -7.632290103   9.020162958    7.49226545     -2.262101026   7.589220926    2282583.341    	4.37304e+05	4.37304e+05
10       NO_ID      -3.865906498   -4.491879898   8.942597797    7.104547325    -5.393030455   -3.109825213   7.370823089    7.205521203    0.4055566684   -8.88898813    -3.364389329   9.984139469    3.285112277    2.503337756    9.571910354    -8.151061555   0.2326353129   -3.701656456   7.037146997    -3.130166518   8.868972269    5.969447894    2.384679277    4.774634513    -3.001816875   -8.598678525   6.29269318     -3.480051931   2.284366611    6.888420222    9.162961362    -2.915977442   -4.161544325   7.041416284    7.476903094    -5.408922003   -9.333592318   -7.592483229   -4.049748777   5.61681727     -2.625383301   6.894363812    -0.9127416796  3.990216773    5.065292756    -4.48416769    -5.891476718   -1.765510823   -5.882218259   1.839988995    1493556.433    	4.37304e+05	4.37304e+05
11       NO_ID      1.775628501    6.022949194    -2.496227625   7.833081223    8.122406236    2.756418404    9.606914244    -3.759388431   7.790238757    0.2611143228   -5.32016932    -3.862638355   -6.986103096   -9.619945409   -4.224527905   0.834520924    6.765595524    2.600768763    -1.252200186   6.697760094    -3.973041376   -0.07053624978 8.226209445    2.288047899    -5.637963761   -9.743537401   2.395067849    7.405563633    4.389326566    1.401018702    -2.612969377   -4.967166181   0.6750921231   0.4780529404   9.48238693     9.593403219    3.221101415    -0.8302581346  -8.30756838    7.586865675    1.077220935    7.125545943    -9.683321415   9.715498137    4.786432291    3.345420237    0.5327205263   -2.886115165   9.580339969    -2.627310313   2126891.012    	4.37304e+05	4.37304e+05
