%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         obj_fn         	best_so_far	best_so_far
1        NO_ID      -6.946886774   2.364140749    7.962492971    6.27665451     -3.594947211   -6.258540738   -9.776599011   8.965092905    -1.581610142   0.5676341096   2.260705709    7.146660607    -5.074402407   -1.249552803   -3.552767168   4.393795292    2.984318627    -5.023579752   -4.166959808   -6.477991514   -6.119357933   9.337299065    -0.1121009662  -6.829244327   -3.419843657   -9.081571223   1.806839227    -1.887822824   -3.845902453   -2.666775653   4.863468496    -8.857417901   -8.640755825   9.658176305    -3.806202379   -3.824036648   4.288282285    -1.544418664   8.248011156    9.993690758    5.496417985    1.211954283    4.573316624    0.2214882151   8.763548554    5.324308455    3.297894548    -2.6790185     3.910411438    -5.510369727   2421389.562    
2        NO_ID      -3.455648937   -9.74078626    -8.47877065    9.270242701    2.071154468    8.176158412    0.7296662969   5.592977063    5.768279731    5.760876583    -0.179436464   -1.453794472   -4.339344192   -9.995060852   6.444116165    -5.833386677   -4.944857117   0.9276079282   9.402745007    -8.777366392   2.317430567    -9.844208771   -1.921718979   -5.952433587   -5.096501028   -9.413764156   2.516012736    5.328482992    -5.622660447   1.418229649    -7.709986525   -8.70179101    -6.425950187   7.87524424     4.27560633     0.4026847293   9.217303669    1.483965876    -3.963522794   -8.259813501   2.392471215    -4.068141987   2.811365981    7.127247583    -6.746759955   -4.149430294   -6.286485167   -2.972189728   -4.314169292   3.639742454    2793277.936    	2.79328e+06	2.79328e+06
3        NO_ID      4.6153711      -4.92549601    8.429706691    8.719198786    -6.478025288   8.243197542    -0.3884100382  -2.692433514   3.385703872    -4.125698866   -2.404919105   8.211856588    4.195478109    1.553655956    8.442305806    -0.5076117675  -7.411462504   -3.752718585   -3.236199637   0.3200673544   -0.02360425103 7.303316514    -1.513062582   8.551035521    -8.103500406   0.1542850191   9.600060097    0.6083598394   -3.3367029     7.856040212    0.6229395207   0.5368208395   -8.435166255   3.961181571    9.780546103    -5.528208325   -6.124265132   8.34049552     -7.853246571   8.499390087    -2.791846647   -1.875114247   -7.313985691   -8.443839383   -8.902639019   6.488391246    -4.933128726   -4.645150969   8.047747451    -9.202501881   1770777.372    	1.77078e+06	1.77078e+06
4        NO_ID      -8.911397011   7.991370665    4.213099571    -0.09059133506 -2.146376861   5.281075858    -4.526456702   -1.767588338   -1.718322667   -0.7707058079  -8.787713784   1.070260272    -6.607739867   0.8644842112   1.548353725    -5.686630267   0.01756738597  7.284676932    -0.5541159395  -5.935706979   -2.122117439   3.050820536    9.677255782    7.120110996    -3.888990156   9.36574115     -4.47899389    8.214348549    -5.038044963   6.672435098    -0.8703556508  5.753416612    -5.560791274   -1.771638708   -4.617319383   3.366287963    9.603896671    -4.508524732   7.617118749    4.500152582    -9.445308613   -0.1400596273  -5.294904299   3.212791061    1.642708552    -4.337102307   0.2938846346   -9.936094467   -0.4945566358  -8.543243153   1056822.931    	1.05682e+06	1.05682e+06
5        NO_ID      -0.3116333649  -2.95299228    -4.88102781    8.350831266    8.812010042    0.8642284052   7.682660931    -1.104663006   1.012450805    -5.342497477   -8.159774061   -0.1421196251  9.593135531    1.221433086    -0.09516599807 2.796397905    0.2105791387   -9.726825828   -9.12142179    1.735398557    0.2157470516   -8.529557287   3.660977023    -4.120698036   2.358523782    -8.556173733   -8.26608524    -0.5002362167  5.525851829    3.914534582    5.130499891    7.740642196    -2.086074819   0.9575619037   6.089124305    -7.761499822   8.376884809    3.031657764    0.6656509122   -3.296488941   -8.856805883   6.952596782    2.392855987    -6.09592232    -1.321352552   -2.923419844   1.665234838    2.88892809     -0.3691342886  3.836549983    1374801.966    	1.05682e+06	1.05682e+06
6        NO_ID      2.981729777    0.7113036372   -2.900153863   7.241190052    1.482083537    -6.067481422   9.787133999    9.113637004    3.059685618    6.803946491    -6.383617093   -2.380815987   3.223494446    -3.806605159   3.44482185     9.358630779    6.91172076     2.146987494    7.859963541    0.435291537    4.057203755    6.578706074    -4.154516963   8.992474978    -6.929213566   -2.822018083   3.722651971    8.902204211    6.409184882    5.28959511     5.410519244    9.647025877    9.859984076    -6.310191398   -0.7420250848  6.563979306    -4.268506465   -7.094158622   2.052554736    3.310554055    0.4094318366   2.864705172    -6.077633544   -5.485956434   -6.413488352   0.4149978735   0.1020988272   -8.259703492   -2.796221213   -0.2869070312  1739615.238    	1.05682e+06	1.05682e+06
7        NO_ID      -1.891491126   -8.080912079   -1.340911572   -0.6437878764  -9.443026656   3.973710164    -4.892518993   3.367582901    -9.06574862    -1.846197569   -4.072304819   0.2556291933   -9.05653201    -1.041116462   -3.390511527   3.903554128    3.749998893    -3.969828572   -8.343997495   -1.013836815   9.486758784    -6.414978308   -1.739819222   -9.110452955   3.341465587    7.690234431    3.972770155    6.427607119    -8.348858199   5.720045419    3.454778362    0.9038029205   3.140153292    3.768669202    -2.534373028   3.817933237    7.800611001    4.948466987    -6.982657565   -4.566361523   5.64858953     -6.693518092   -6.66773584    -0.4369782242  -1.004145604   3.404554156    0.4017636011   1.168452872    0.8815980835   -5.944104048   2027134.574    	1.05682e+06	1.05682e+06
8        NO_ID      8.319516458    1.104762177    1.138845395    -7.347771932   -6.127842076   -8.073700683   -6.573605867   -0.1017028123  8.754873622    0.7400609945   -5.4398612     -8.482501609   -7.655820653   -2.496469665   9.754610138    -3.233224252   -6.585434696   -9.188836169   -1.710791274   -1.863898016   4.988721036    -5.274662272   4.968408091    -1.582685479   -4.80381653    -1.030043629   9.321589325    -7.0863211     4.612388983    -8.528345495   -4.948287308   4.012405972    5.98355693     -3.669198939   -9.767421719   -5.898508376   1.171871675    -7.775920905   3.907104827    -4.394303887   -0.07512375438 9.000054685    5.952811999    5.269212035    -3.344404002   7.968633932    8.671861474    -0.3225207602  -7.992356586   -8.745067064   2327689.634    	1.05682e+06	1.05682e+06
9        NO_ID      6.5638574      -6.882573815   8.674612479    -6.312776349   5.30224173     2.342307163    -4.207328499   4.382917657    7.359576119    4.319431018    -8.440201578   -7.329404531   3.459789356    -8.421864622   -9.76875665    -0.7527286326  7.201269494    5.864369111    -2.053978668   8.320293788    -2.533102819   -7.384442222   -2.963132947   1.675831315    2.796520174    9.099044068    -1.525603085   3.393972584    1.590105035    9.729108505    2.755467566    -5.390723138   -6.245714131   -2.096974385   -0.8388530415  6.838253626    -0.2163597323  -4.15228978    -1.422071323   1.625379879    9.996194857    -3.769334439   9.692684257    2.412550004    -7.207136965   1.063880535    -9.227238301   1.211590158    5.883837106    -2.033607188   1540335.536    	1.05682e+06	1.05682e+06
10       NO_ID      1.953091163    5.532931094    -5.497533168   5.549970508    7.482225139    -4.145409073   -2.48854561    7.230337286    4.307734626    -5.103862347   6.038986932    -0.3545122162  -5.557454661   5.340016861    6.12071834     -7.870654836   -2.60248481    -5.928488319   0.002613723092 5.226539541    -2.925842447   0.7618634297   9.018305601    1.160756575    8.155575298    -7.606537075   1.638862365    7.462583289    2.127253649    9.072163965    7.497390627    -9.142583773   2.212589797    4.319823165    -5.448817822   -2.470514981   1.796198937    7.910194573    -3.664662045   5.752940711    4.251682995    7.448593881    4.019677121    -9.950178489   -2.628236356   -7.162012843   -7.282087333   -1.542379251   4.851091414    7.755983147    932621.9044    	9.32622e+05	9.32622e+05
11       NO_ID      5.170608599    7.07760989     -6.179323785   6.81541708     -0.1487703604  1.601844221    6.901011823    1.450779494    -6.112467211   0.9424062377   -7.82281595    2.638373354    0.8090091094   -1.439045421   -3.62338726    9.187246728    -8.488444645   -4.508679467   -3.935087591   -5.781147423   -0.5571082775  6.342716538    -5.420851019   3.78785326     9.096114537    -5.004469773   -2.475180533   -8.809422765   3.808867072    5.971892262    -7.901765453   -7.52597735    4.818918847    -7.903951933   0.2374230952   5.146164972    -9.363176212   9.494594859    5.178622263    0.7816675905   7.677686887    7.325970958    -4.487106664   9.620045586    5.863240205    3.303423703    3.142629064    -5.482721515   0.2154117524   -9.481459127   1025782.311    	9.32622e+05	9.32622e+05
