%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         obj_fn         	best_so_far	best_so_far
1        NO_ID      3.701047343    6.408359541    9.803654007    -4.276949086   1.836656957    -4.132741406   7.162993253    -7.809142273   -2.47520809    -3.609162348   6.899052433    8.733230213    4.696723707    4.448710147    5.26517817     6.753520593    3.548031634    9.097301344    4.6907861      9.021343217    -7.873284969   8.037809356    2.69503199     1.252255936    -8.961638724   3.883314639    4.670481334    7.689661324    6.604632119    -9.73771685    7.762383993    -0.4789351498  -6.53423688    0.5879343193   -3.697708732   -2.193218223   -7.65352798    -6.738004404   3.238884178    2.606367313    -5.549415294   -2.340177724   1.777630681    -4.460501098   -9.948837654   1.956253992    -6.280195899   9.601400561    -4.626962958   2.600616483    1915342.163    
2        NO_ID      -3.290758537   -6.601229598   0.0548118514   2.9496748      2.553971931    -5.871637647   -9.264115717   2.356151504    -6.538960773   -0.2860046688  -7.51713381    -9.752912656   1.407670656    -7.675608331   4.642607312    -7.099704842   4.280783635    7.408667969    -7.268416294   -8.159382808   6.437269507    8.746126588    -5.57538053    7.392531257    1.615977153    -8.248599254   -9.365842756   7.396409995    -3.160397302   -6.622110928   6.122331928    -6.95527562    5.524270418    -6.689911784   -8.987429775   7.55261523     7.239123703    3.615125355    3.175533545    -6.041804268   5.259905851    -5.573818252   6.21964091     2.737361022    -0.348925132   -1.606814741   -7.068300829   -9.587728762   6.405507691    8.052225431    1327998.973    	1.32800e+06	1.32800e+06
3        NO_ID      -3.84293297    -7.650673717   -8.240282869   1.848633358    9.550050653    6.905327685    5.184208827    -3.593429213   -2.986580291   -1.338898329   -2.738816571   1.932721607    -9.750782429   -6.599587552   2.980526384    -8.877183585   -1.113295403   -3.232862039   3.474831791    -6.513110501   -8.449853861   9.548131007    1.211282231    -8.943335261   2.715705629    -4.577157239   2.995541464    -1.271772269   -5.682317142   6.532043955    6.94904703     -0.80932984    5.174558135    8.124027138    2.561980192    -4.661552705   -8.465866536   1.140438189    -4.393809285   -6.396521869   4.356597347    4.008749762    -0.513172697   -9.547795514   -2.975351431   9.660526302    8.47150668     -4.238166656   -3.385246036   3.37137678     1956419.204    	1.32800e+06	1.32800e+06
4        NO_ID      4.798170399    8.375840406    2.842984876    0.9554206008   5.400308147    9.778581176    -4.666380133   1.515974695    -0.545097325   -3.169012896   -0.08185503711 6.067947829    1.688731397    -2.033021901   9.442591758    -4.957392691   -7.092638195   -0.3199091592  7.625389691    1.304990076    9.681120114    -2.350760719   -4.331716615   -1.584297694   -7.405129798   -7.78804692    -2.20809782    9.058281253    6.525108277    -0.5684764829  1.248905063    -5.495517828   -0.7216854971  -7.505843443   1.552104289    -5.880336743   -2.433953183   3.856288617    -8.349040557   1.938466822    -0.1892317988  1.183356534    -4.189766517   1.825030615    8.414844088    5.566573356    9.913453258    -3.235128877   -3.410014868   -7.690966623   1568214.544    	1.32800e+06	1.32800e+06
5        NO_ID      -5.263394801   -7.550564553   -9.685009292   -6.66631459    -4.180490386   6.564978097    -3.00959786    7.53354431     -6.238732958   9.273132114    1.965359496    7.398385048    3.293954523    4.343719735    -7.293356356   -3.564058857   -7.950394373   -1.17040217    5.926120279    3.297560984    -4.370968874   -7.509348679   3.672410251    1.973540922    8.91738994     -6.220895224   9.418193234    8.737895668    -9.998035362   -2.438111368   3.615267348    -8.654190196   -3.668460218   -9.651782831   -3.869215219   7.606071724    -8.09250783    -5.346903099   -6.029607359   -4.574558656   -1.130219349   2.061393905    4.036115518    2.801606109    -1.451615477   -4.677410409   5.827880931    1.683268681    5.289247946    -6.082856173   2524757.396    	1.32800e+06	1.32800e+06
6        NO_ID      -3.748300384   2.932440404    7.748351009    -2.825374532   -7.424687626   -4.527341071   4.441219527    9.218327284    2.844800264    7.739324224    8.604621672    -7.505426318   -2.29048082    -7.841000364   9.839092212    3.330086466    -5.347029586   2.365988902    8.982867432    -2.347096881   -3.567139107   8.440552178    2.021341726    -0.3019352335  4.391719961    7.048739574    9.313330891    3.794550204    -0.6652613243  -4.789871585   2.181985589    -2.071664543   0.7826326596   8.291475361    1.374507356    0.5054485233   -9.989249052   0.4373537217   4.112706269    -7.769152553   -9.862329364   1.424184046    0.6752963957   9.17166977     -1.946751411   -6.997091473   -8.297641396   -7.95781888    -9.674858946   -5.400165852   1498868.099    	1.32800e+06	1.32800e+06
7        NO_ID      -4.482640604   1.442586648    -4.691961698   -1.49485335    3.830097293    1.473177313    4.667753727    9.407156995    5.173111658    -2.125067968   0.01278502028  5.050561843    -9.937226359   6.857244043    8.093710534    8.245848588    8.807510285    6.865053623    -0.6980215058  3.611186688    -9.486884197   -4.194770175   -0.219888872   -5.569236723   1.205034886    9.269126643    -5.37323335    6.329722475    3.072079439    0.9194361338   -2.390629493   6.847541841    -3.026020357   -3.721735849   -1.153602332   1.813366502    6.827229928    4.108185924    -2.844167069   4.742118589    2.905257297    -6.778552935   -2.588728245   9.210604709    1.25875208     8.932459036    9.495747508    3.709690781    -1.763963727   -3.235859889   906132.1998    	9.06132e+05	9.06132e+05
8        NO_ID      -8.31592644    6.062651705    4.655087573    6.188090099    6.79287938     -3.387938479   -9.994170136   1.762636343    1.219710002    -9.113178131   3.292661955    6.318150648    -4.378078425   -8.849328681   1.612156365    -0.0500513243  -1.971712859   4.252680685    -7.574065971   -3.875110535   -4.725584926   -8.102372943   -0.08797205267 8.995781235    7.975762039    -1.987890566   2.74044508     2.553135129    -3.970075452   6.233898903    8.020843455    8.057169266    1.96136847     -6.013593666   2.072205557    -9.29890982    5.533250314    -9.988401891   -1.335189302   0.9234162207   -0.9466698188  -7.212908741   9.349584544    4.490810418    -6.556393905   9.459968296    -2.564937386   -6.935715682   -4.105326629   -5.373450889   1890425.407    	9.06132e+05	9.06132e+05
9        NO_ID      -8.810453878   -1.14805105    -0.02954220795 -9.212992854   2.608083957    8.052144004    0.3491077629   -0.5512109692  -1.417596245   -5.308487885   4.203075898    -5.253892993   0.3002412064   -0.5218570881  -9.10419835    -4.110955487   -6.857820136   1.950330438    -4.594596818   -7.486422008   1.869328969    1.35273701     0.8082796016   4.226884054    -0.8791452232  5.957309368    8.916295038    -9.179245226   0.8152800465   -2.145605521   -8.32722326    -4.994311903   -8.392586399   6.000180363    8.757738695    -1.939420881   5.373262691    2.847539458    -4.5683403     -2.559186008   -6.5273246     -7.812441798   4.338738632    9.591491366    3.954621598    6.112854277    3.910908097    -8.660660007   -1.334706792   5.706830523    1728020.179    	9.06132e+05	9.06132e+05
10       NO_ID      -7.933933036   8.083350687    6.643857995    4.747320107    4.234888565    9.203011227    9.72221786     -3.793739599   5.987243846    -6.079491041   4.458091654    2.352640045    8.34102059     -2.822513147   4.173028898    -7.26447323    -7.2323908     8.981965219    -4.618234245   8.471784026    -0.9561680268  6.670435252    -9.059341168   5.142675203    6.787439523    -0.08831535508 -5.682677129   4.468346927    8.235768963    -7.443259717   -5.621329001   -5.069042608   -4.462077294   -8.567063141   3.78683969     8.616832133    9.179575488    -6.004099494   1.212319893    4.574750363    4.655030606    -1.254937817   0.4894073954   2.277832283    -0.6125315881  -2.667262154   -9.15450889    -8.845135071   5.547926433    -9.670087343   2553754.121    	9.06132e+05	9.06132e+05
11       NO_ID      2.093557497    8.528768386    4.373941724    -5.51352218    4.587356215    3.455981432    1.878680845    -1.580306275   -7.442754297   8.932728251    -2.191622802   -6.127888315   -3.084250459   -1.242745148   0.8147321993   -8.300622399   -5.955567704   1.308111792    7.581172727    -9.397151754   2.290324958    -8.62361826    8.637186694    7.157922485    7.072027914    8.34747276     -2.546047525   -9.726158578   4.301691493    2.686802595    -2.944568507   -1.676882184   1.757768015    1.22138249     -5.439819715   9.060240131    4.584363228    -2.420347495   -9.599149736   9.12181333     5.749649863    3.091524881    -9.773167396   0.5376439061   -7.089070624   -1.81654177    -6.859457949   -0.5079191803  3.065744885    8.415006625    866105.087     	8.66105e+05	8.66105e+05
