%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         obj_fn         	best_so_far	best_so_far
1        NO_ID      -9.365460935   -1.756513942   0.7167087063   6.749449689    -2.607649336   -9.673541892   -3.617848741   0.9269782253   -8.607665081   -9.203151612   7.399872807    6.321984233    8.941895592    1.345894289    9.378858183    -8.963442573   7.325636841    9.702928357    7.318133275    0.5886702741   1.090090508    -3.495632154   6.65634687     2.835104175    5.521493864    -1.165390363   -4.405475189   7.491808321    -5.755513591   4.318183319    -1.94051094    9.086060152    -7.663205429   1.527549941    3.254941795    -5.048983439   3.23477303     0.9566697262   -3.888418659   2.522411122    -3.234530205   -1.011619971   7.69191225     -9.711472105   5.316621486    -4.93064793    -9.11956672    -8.797849042   1.067569296    -2.468599388   2726651.036    
2        NO_ID      -0.1117302933  -5.133765099   7.497937828    8.147490395    -7.108612153   6.792320637    3.440196461    -1.655745175   -9.69703524    -5.867065807   6.400181335    5.275112984    -9.241499107   3.633626065    -7.615393253   9.05629089     -8.390753805   8.253885749    -9.564543363   -4.051315335   -4.802211098   7.218172191    -2.89064255    -0.3452679073  -7.081639333   3.295647816    -6.464141107   5.42997577     7.862817558    0.4472720989   -0.03978277692 5.524919753    -6.245745669   5.516049946    -9.711745238   -7.041867721   7.986877888    -3.846000077   5.543254877    0.4702805514   -4.519018698   -8.895393032   6.126559964    8.150004499    4.011174515    -0.6759642086  -7.757148757   -5.241143037   1.6366096      -7.935543507   2215009.879    	2.21501e+06	2.21501e+06
3        NO_ID      -8.260454235   -7.662882359   4.401264788    -0.1967032764  -8.321350655   6.135413467    0.3316153429   9.42948107     4.549504376    6.978091567    -1.465023857   -0.255921044   -9.680945763   -2.678483235   6.823694606    -3.948816936   -7.011232491   8.623556311    8.192725856    8.503999963    -8.084247247   8.793311213    -4.612222961   5.496818352    -1.672299747   -0.7099792575  5.678526514    6.576676113    -3.591647351   6.289163448    -9.824051214   -6.171347407   6.580252269    -7.388881907   -2.542863709   -7.904286049   2.581333689    0.619650192    -7.966826123   -9.023901449   -8.596952636   6.591766477    -9.372983779   2.31856236     -8.916013234   7.744642443    2.473082715    -6.101363169   -7.089097397   4.075923071    2193511.699    	2.19351e+06	2.19351e+06
4        NO_ID      -4.927700732   -6.633962381   -2.581971656   -4.735485004   -4.163107726   -4.036966722   5.911008054    1.488291904    -1.520707056   0.3408992714   -9.468220187   -1.446347561   -3.063785347   0.1285966239   -7.940881547   5.834004807    0.7192324655   -2.695500326   2.83882989     1.822140954    -1.153279349   5.929451372    -5.36703442    -8.619426718   8.018856091    4.94289647     5.971165254    5.109980168    8.520785845    -6.174244228   -9.079532782   -9.961921102   -4.240981056   9.86795994     2.15769253     0.9875830252   -4.404915736   5.888400912    6.591567634    -8.846609877   -8.16435149    0.8531306392   2.97723547     0.8588269162   -2.043469453   2.179347127    3.835916646    -9.839591785   -8.072938752   0.1658858105   566705.7779    	5.66706e+05	5.66706e+05
5        NO_ID      1.346676033    -6.424745585   7.103154336    -8.382245428   5.76774214     9.596087507    1.486351242    -0.459146974   -0.03796426444 -6.045660379   7.711106056    -7.699017533   -0.9263032665  -0.5965670958  -9.372577852   -9.921456872   2.051847711    1.743688618    1.455836281    -6.793188971   0.2768595596   -5.792619063   4.793123275    -0.4827814018  9.806191186    -3.102808851   -5.812193973   3.355996596    2.101345576    -1.490045829   0.6420704141   9.680192154    -0.5278659061  6.459437358    -4.335588642   0.3331486554   -0.7253158631  1.151836468    8.227677342    -9.737555073   0.1921806204   -8.595995735   -3.617789041   -1.739743408   -8.579436349   -1.417911197   9.832638255    -0.7968514501  9.112100447    3.025892807    1767201.437    	5.66706e+05	5.66706e+05
6        NO_ID      0.8335944368   -2.984004152   2.10698052     8.789487427    -1.36390529    5.513296007    -8.177685819   -9.695907665   -3.463862193   8.66011045     1.545839366    -3.734258711   -5.099856783   9.886325294    -0.825595538   -5.079431317   -6.244940006   9.418371908    -7.041655778   2.856763773    -7.63693227    -5.172860211   -4.011115373   -6.107756403   0.2930160818   8.474716201    7.25272647     -5.663179703   5.620712076    8.974752931    -9.24001393    -8.983755554   3.30746267     -2.915422236   8.319954992    3.611206752    2.948428621    -1.694333152   -6.570919924   -2.345731608   -6.750681259   -2.574137951   5.018948214    7.739066692    -7.800346466   -9.226159363   -1.494138887   -2.527851407   3.304284532    0.5529671815   2313959.177    	5.66706e+05	5.66706e+05
7        NO_ID      -1.042738803   -3.183067678   -9.772614836   6.98149293     0.765621611    7.712206513    -4.431154207   0.293483672    9.692140094    5.761404106    -6.621400194   -4.755814228   -6.718867422   -6.865510562   -8.369682372   -8.070724816   9.349635076    4.404194782    0.8197504849   -7.357263601   -1.7440938     -2.981669038   3.515543236    5.949101316    3.771800182    -4.404398801   3.231839657    -2.878996671   3.294092439    6.943162259    -3.07772534    5.146162189    0.2678983056   -5.46554825    0.8578846877   0.04345207848  -3.714495984   9.619881245    5.788914979    6.491970763    -0.4018841308  7.947217951    4.291011263    6.532126073    2.774065641    7.015469564    -2.220069565   -0.02219677176 -5.313126357   6.213212764    2293215.215    	5.66706e+05	5.66706e+05
8        NO_ID      8.100506612    3.302930739    3.254494292    5.386675834    -2.559137725   1.498187232    4.457337407    4.016342804    8.104224067    -8.549729057   -2.187000266   8.408230646    -7.355376726   -6.449967509   0.9074630272   6.718506108    -7.631177795   6.955869028    -5.672543501   7.574863702    9.671259504    -7.695393764   7.159288176    -8.497526482   -6.766944296   -9.098886785   8.478830613    1.030523946    3.812447916    7.992618363    -4.590476897   4.382629407    -3.713083464   2.524734173    0.5393422715   9.625582157    5.109557018    8.374031906    -8.911758036   -2.992949281   5.006758528    -2.764125665   9.294592061    -5.331649646   -7.585362383   4.158234158    2.971842672    -3.163911724   -6.897359543   -7.357907768   1082346.574    	5.66706e+05	5.66706e+05
9        NO_ID      9.310948173    -8.837819013   6.870829107    0.4443161848   -1.897818775   -8.485343279   -5.935249608   5.04336382     8.860868306    9.169077298    -8.188838232   -0.4543309321  -3.637497461   -1.963571097   -2.661544099   -5.702729343   -3.855454087   9.35951578     3.766238989    -4.715462028   -4.497035146   2.53961904     7.508066483    4.567968684    -4.527591382   -0.2222093633  -8.665380252   9.105045914    1.513317218    -0.09919211273 -5.891487719   -5.691073609   0.574618064    4.506429309    -9.128694178   -6.301356978   -4.26492099    1.791804111    8.833223153    7.28275205     8.54044656     -6.989070995   -8.285743003   -9.305027886   -6.467722283   -9.409328355   -3.275626266   5.328722106    5.099757991    2.235200263    2861119.35     	5.66706e+05	5.66706e+05
10       NO_ID      -8.080488759   2.936804643    -4.538241087   -8.944153612   3.167174907    9.931807105    8.600156179    5.499411558    8.669441482    -2.878662303   -0.1177398498  -2.002617581   -4.884627041   5.536798716    7.769824448    1.641135428    3.861535528    1.053122056    -2.627946776   7.024797477    7.540807183    9.134700589    -2.386329736   9.492084065    -5.282440909   4.277691768    9.005231474    -7.846155877   4.800621865    -0.3166764538  -0.9225466284  4.811194562    -7.143932416   -4.777097852   5.725442186    7.250312032    4.450612098    6.240267466    5.948094352    5.762407136    5.976867325    8.617905918    4.868662029    -6.349068583   -6.182032395   -5.398284722   0.4258095671   -4.187118885   -0.6299099199  -5.417888234   3019154.828    	5.66706e+05	5.66706e+05
11       NO_ID      0.01498971735  -3.480862377   4.145653887    -9.573049479   4.876716002    6.219839859    2.702299281    -0.9211822387  -9.935115682   2.49250733     -5.472227105   -6.021330408   -2.95044646    -6.013034195   1.751842559    3.790297458    4.454074544    -1.179937292   7.758888043    -4.805627062   -3.465094445   3.557187051    0.6480286333   4.031422291    0.7021678469   3.939018475    4.184555403    -9.225694174   -8.98529398    9.331399048    -1.721096856   3.505120589    7.122575013    6.6219654      -6.12123048    -5.477898455   6.267267164    9.969354971    -7.29967285    9.691616514    -1.802144074   -8.760733862   0.06045373389  -8.944450642   -1.14039592    0.9960554559   9.661081711    8.828731915    -0.2502190757  4.491177213    1936761.99     	5.66706e+05	5.66706e+05
12       NO_ID      5.875073687    -4.685572246   0.332460487    0.2626733252   -2.141427848   -1.528932674   -0.3390368583  0.5280340186   -9.186438367   -8.640083691   -5.231917642   -5.608052703   -4.596501012   1.942510818    -9.991358901   -2.734325747   -2.728602283   3.614207092    -7.878514776   -3.993555027   2.95228955     8.893179166    0.349960776    -1.231628583   -5.936682795   -5.462722328   0.6780880389   -0.8480691881  -7.815952776   -7.319585232   -6.871135636   7.008887163    8.008944729    -3.895749573   0.03570661568  7.123768287    -8.252786917   -7.169902292   1.489215054    -7.550912659   -6.327434455   8.536240996    1.270485279    -5.602627196   7.160642414    -4.7716818     7.44841371     -6.622397678   -8.39955179    -3.289593852   1080005.11     	5.66706e+05	5.66706e+05
