%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         obj_fn         	best_so_far	best_so_far
1        NO_ID      1.999197783    5.86433937     6.562057106    -2.094314785   7.18287498     -9.223416535   9.431376713    5.547134307    4.936087006    4.701541425    9.381065321    6.833111263    -1.615163969   -3.527224612   7.33396617     -5.773842151   -7.721195767   5.296078316    -3.581570201   -5.977259474   6.036405517    7.954472959    -6.074343466   7.841947372    0.7485324602   -0.2889652154  -9.710201883   -4.005741616   -4.378472301   -7.841000231   -4.651565095   5.561529282    2.542410012    -9.807351696   -3.626020972   -4.705463357   3.066506532    -7.171665933   -8.921863292   1.481908075    -6.838103931   -7.64306906    4.896384471    7.36902103     4.480204725    9.76214409     -5.997832759   -8.100499986   3.241576696    7.473145521    2025824.32     
2        NO_ID      -3.945182707   3.620165455    -0.8806537988  8.861846153    9.240606397    3.26614088     5.897250892    1.53096617     4.467331689    -8.507395398   -4.757399227   -6.972575075   1.067431411    7.93664968     -7.581504757   0.5297451762   -4.692981207   -6.759666078   3.827785368    -4.262351719   -6.090181707   2.553927855    -5.019352404   -0.6471591002  -3.841916876   -0.6471905899  -0.09479888901 -8.582803158   0.9599620839   3.94438261     4.352191768    -6.75234026    8.692322348    -4.970882325   -6.368351617   9.96630379     9.441083078    9.534321685    9.137128847    1.029124098    9.909325031    3.352705405    -6.983270485   -7.280614694   -8.803875432   3.450035326    0.9673497617   -3.818627489   -5.349704298   8.117224604    1389403.054    	1.38940e+06	1.38940e+06
3        NO_ID      -6.740639901   6.223501567    -9.648814695   -7.091153531   -9.63127728    8.166087539    -7.930234485   2.659567741    -8.222519406   1.561031555    1.074480586    -4.04488957    -4.82820032    -4.976133906   -9.794013439   1.895864379    -3.787692263   -5.050380806   8.158691385    7.837294582    2.337180902    6.105501495    -1.91674439    3.037112852    9.488909572    -3.075449883   1.67993169     0.1277684876   -9.75314704    -1.153770267   4.705816174    0.4566112392   -8.815371269   1.715475728    -6.761571556   8.703691121    4.137196708    7.536853169    -8.441388582   -2.949357113   7.442056255    1.317042616    5.694559174    2.637699478    8.033217918    -1.545812564   3.105960461    -7.349336806   5.914970118    2.024627018    3846016.491    	1.38940e+06	1.38940e+06
4        NO_ID      -7.096316402   7.13951967     5.234050016    -9.802699711   -9.340234863   -2.68576428    -3.094910104   -7.233587492   -4.491636661   0.3792528091   1.820532708    5.746926906    2.072784541    -1.067630444   -4.518604972   9.771392368    -7.257435948   1.082196969    0.8461365285   -7.724400659   3.522658418    6.484048782    5.770188281    -7.016466635   -0.246979012   -0.415026341   -8.663287923   -5.187158974   2.736252775    -0.8232568721  3.476837114    -7.542199852   -8.644842089   2.276196506    -2.220667657   -3.86849658    -9.219832167   8.903471899    4.656903038    -6.624520632   9.548934991    2.670358945    1.319177348    1.946458604    -1.125573247   -0.2057407436  -7.84985176    -0.8483833995  -5.549399058   -7.68941549    2855992.625    	1.38940e+06	1.38940e+06
5        NO_ID      2.295480345    -3.981159454   -7.128003361   -5.90813088    4.154052       -7.244053544   5.777226859    3.302913204    1.821077517    -9.854386031   2.677037187    -4.881226707   5.935046213    -1.724026427   -4.193261718   3.971316342    6.783034102    3.805962456    -8.975404188   4.497812385    0.6661575741   9.331778506    -1.143770343   2.247206629    -6.684424305   0.5939642204   3.235382821    4.771871805    6.873310612    -3.35533625    3.951252727    -6.003581082   5.647571425    -2.662665843   9.725523307    7.401659337    5.967569667    1.378334382    1.363589618    -6.215663744   -2.059250888   0.3171148205   6.292275558    -2.630835558   5.855579004    -7.933050587   7.083639559    -1.259788983   3.985213195    -4.84081562    872000.0922    	8.72000e+05	8.72000e+05
6        NO_ID      -5.452311941   -2.168593778   1.840036899    -2.914465885   2.653805647    2.47428099     4.496924121    2.024852569    -5.177392435   1.75587358     1.451839202    9.153621116    -9.459999919   0.7380817227   -6.696579364   8.582525408    -9.865396373   3.706495425    -1.225895534   -1.12417045    -2.843270307   7.151277707    -4.74629703    4.633105398    8.852354464    -4.344190306   0.5011481888   1.579653322    -6.26633458    1.414608078    -9.23732164    8.866457255    -1.176345569   5.945379283    2.292314608    0.1496299787   -1.85904163    5.741128645    1.528365435    -5.517951672   -1.649596976   -2.186648503   -8.493226419   3.051832556    -8.369655397   0.01710806931  9.841469118    -2.131789099   -7.384578007   4.289980181    216881.9892    	2.16882e+05	2.16882e+05
7        NO_ID      8.612901379    -2.240771455   -0.5331969789  -4.558444174   7.617189956    1.482958387    -9.198678378   -9.924185472   9.264249808    7.389685218    0.9614862054   -6.162179501   5.055309658    -2.816997106   6.823075967    8.273160533    0.1053433595   -6.46420484    1.068223255    4.35668769     -9.471238032   7.717620137    0.7663301309   -8.147637078   3.697364198    -2.222503073   -8.969159522   5.27867579     -5.992516533   1.330878564    6.923917404    -6.459138773   -5.704477291   -9.711705164   3.755507091    8.148177167    -6.881008831   -7.660449439   -1.934841001   0.9976324094   -9.649101603   -6.648670176   -6.68602297    -6.721189745   -6.104264181   -8.311927482   6.805775444    -3.714348273   2.154235723    5.808588296    3245012.833    	2.16882e+05	2.16882e+05
8        NO_ID      0.433122571    8.089321565    0.6683348076   -5.375032526   -4.420783842   6.4150341      2.324041263    -5.272423467   -7.988322849   1.136902063    8.391090104    -8.090232862   -0.3574375759  -6.333269539   -0.02307372    7.126743352    3.721462956    -4.310817627   4.128624706    0.8210715978   7.441924874    1.707904969    3.195047769    1.365651669    4.187804182    2.066191158    8.702619907    2.384522723    1.458950341    -8.208329871   -3.150667324   -3.005866225   4.363720957    -1.084661054   1.364647055    -2.478696165   4.605907731    -3.776365355   2.877924422    5.984843057    0.7970195088   8.644491615    -9.66087762    1.184602652    9.726421759    8.262802258    -6.219236521   1.106603704    7.849420212    -9.419620075   1240668.167    	2.16882e+05	2.16882e+05
9        NO_ID      9.468305416    6.671936974    -3.421403141   -9.2039541     5.099229076    -9.030773434   -8.283377473   7.727626975    -3.036583033   -2.328436485   -0.9589969757  -8.647436257   5.440391188    -8.947434884   3.654721271    -6.392408338   9.042664425    4.792566412    -0.9852370435  -1.965487931   -7.893114739   4.402037731    3.786502237    -7.46463153    -2.861102364   -1.563791535   -1.995425974   -3.069783057   9.600814006    2.767293671    -4.007767559   2.768403191    -5.270027876   -9.102796871   -1.524022728   9.555403761    -0.6289789055  -2.858648853   -9.663870316   -4.095083679   6.94171588     8.989052086    -1.703705571   2.220124569    -0.8410430872  -1.147888083   4.719995366    8.615410553    2.623038853    4.831162331    3304021.172    	2.16882e+05	2.16882e+05
10       NO_ID      7.600442843    0.7912097213   -8.761904445   0.06372928699  -6.184911371   2.63127473     2.544297745    6.214953576    3.784410436    -4.172839527   6.743960526    7.286071644    -0.4135637193  -0.5403529438  8.857013237    1.565989758    1.7558828      1.754516359    0.4841172578   -5.360080102   8.12598426     2.323535215    9.815092044    3.724281783    -6.885163161   -2.849503414   -7.356246752   -2.537593264   -0.9776364131  -0.6840720624  -8.3121534     -6.21963596    -7.431586998   3.679425197    -8.321650041   0.5892734719   -4.559243592   2.078479363    6.011205292    1.886058754    -1.890134246   6.031021725    0.2531879806   5.959932067    -9.923920832   -2.857677444   -7.693991582   -1.902407765   1.433917575    2.585217601    1210308.491    	2.16882e+05	2.16882e+05
11       NO_ID      -9.158656169   7.558448264    0.8442965521   3.495824515    -3.327587086   -2.201988891   7.50257799     -6.079296812   1.60438638     -0.1005451939  -8.117017579   -1.27031788    -4.274749854   8.780827283    8.648595075    -1.094389151   9.212064069    8.926678356    7.909677906    5.517519561    3.76503394     -1.283287776   6.185251995    1.721980216    1.763648545    8.653132716    -9.990648194   1.684568904    5.414538905    -7.448923698   -1.349348183   9.928508488    6.418931014    -6.145066271   6.164091027    1.948343248    3.875145638    5.440362972    7.221867432    -3.868761054   -3.242983855   6.499657698    -6.078993289   1.64250684     -0.0876239269  5.727779464    -1.830219538   0.2421098884   -1.458716695   -5.632894697   1457551.331    	2.16882e+05	2.16882e+05
