%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         obj_fn         	best_so_far	best_so_far
1        NO_ID      2.143455169    -1.32290313    7.156832802    -4.459546278   4.927095599    -4.273107934   -0.42183013    2.4450471      -5.673227628   -7.37554027    -8.289402708   -4.860374593   2.140896346    3.963666253    -7.435823335   -0.7467250343  -0.5967924875  -9.438391743   0.09082453274  -4.132993997   0.7016881467   -7.462957161   7.516073491    0.4113360387   0.6379993413   9.846357931    -4.610830815   -5.96908002    -1.438510675   1.822888971    8.08908421     9.051470157    -3.423995048   -3.508104564   -9.07732944    0.9098285505   -6.807378264   -7.589639128   9.798687168    2.845645494    0.2062469511   -7.414428099   4.936566499    -6.110301727   -4.21864613    9.759162227    -0.2594131021  2.304134489    8.253250922    -0.3273570214  625999.7015    
2        NO_ID      -1.456272552   2.408275099    3.75584679     0.9689356173   -1.28929465    -0.9302650843  -3.148345665   -1.422786633   5.593549555    8.465824566    -7.33430412    -5.075005791   7.56704291     2.186121633    4.921125721    0.8801834996   4.174570203    9.141206596    4.594734522    0.3929994513   -1.681292918   1.704142812    9.033751883    9.791585658    1.655898444    9.388423059    -3.811394128   -1.812467545   6.946530603    -3.713034211   5.499598886    9.654739706    -3.29388112    8.700956047    4.509340412    -4.855593485   -2.944034683   -6.599036033   -8.134861874   -9.941717109   4.912479106    -5.897029983   -4.249742681   2.048275031    -9.193828229   -7.416283839   -7.683678656   -6.392085451   4.550017019    -6.738118575   86739.75108    	8.67398e+04	8.67398e+04
3        NO_ID      1.643390232    0.08102049138  -0.6850551557  2.84832554     -3.10968737    -6.677009977   2.750182078    -8.78283007    5.3604886      -3.203595694   2.213889139    -2.507526525   9.282749166    6.873840708    -2.946522101   -2.769322666   -7.413576404   -4.14719526    6.086682713    -3.514258943   -4.487531168   -7.622259922   -4.401695858   -0.1279729565  3.261863644    1.080719788    6.608941865    -9.178781169   -1.615979735   -7.130563644   8.60343817     -8.846326287   0.1817361042   -5.435666574   8.766445435    -9.703422368   -5.057044404   5.850199209    -9.676982452   -5.278167743   2.869489327    8.725523104    -3.445429837   5.241241031    5.052473867    5.377306223    4.060764842    -3.14353722    2.480834941    4.930392071    859742.1633    	8.67398e+04	8.67398e+04
4        NO_ID      -1.665233065   -4.116780072   8.790728917    -7.220444678   -9.713872913   5.40916383     -6.475545686   5.763846268    0.6162969862   6.312015558    9.662978496    0.9906816282   0.2227866513   -3.216847758   5.110985811    -2.014728051   7.0637611      -6.297758312   -7.634149841   -6.339283549   2.194916355    -4.773732674   4.373267334    -9.620999955   -4.088919331   -0.5261156935  4.376211023    -6.146596998   0.937399645    8.160255397    0.4069547052   -7.024818827   -7.226366985   7.650524586    -2.14018073    -7.044243321   7.334640503    -2.473169721   0.5384770693   0.07282655425  -1.344407339   -1.435280339   -8.480691969   7.185664617    1.000758681    -5.394922437   -2.439496963   -8.033256086   -7.045833694   -4.559897553   2267841.432    	8.67398e+04	8.67398e+04
5        NO_ID      -0.476704678   -1.707217871   -3.3432789     7.643064733    7.084202577    -3.687459621   -6.337524507   -4.459804388   -6.091547163   6.679444405    5.982879596    -5.390655435   -5.931023252   5.38423554     -8.641420699   9.212834768    -0.8329326484  9.849579418    2.693998616    3.771533886    -2.02208916    -2.485704119   -7.799377707   0.9181082647   -7.878421969   4.195238163    7.434739762    8.654018375    3.589330686    7.387648156    3.327727688    -5.218245815   -8.837835216   -9.930769876   -0.2246422281  1.489928       0.3953579719   -2.040447854   -3.191779472   9.719993761    7.651334541    -5.792409899   9.554202916    -9.707660985   -9.980762724   -5.54717216    -8.331823892   -4.150367984   -4.723759128   3.331763544    958495.8917    	8.67398e+04	8.67398e+04
6        NO_ID      5.949075028    -0.1998295039  -5.012321479   -8.123722835   0.4639180774   -7.849021713   9.685752953    -1.709932132   -1.335299768   -1.612975683   4.380394876    -8.986247418   2.220703576    -8.460230937   -2.34756421    -9.323143401   -4.508355293   2.6763439      -4.757298923   -7.283870835   0.04154499928  -6.690059774   8.689979158    -7.501701907   -3.69250528    5.507598028    2.84218247     8.374621104    6.384264838    2.140280217    -4.666373042   6.331926323    6.247788832    -3.237080092   1.94157468     1.799630397    -7.814800377   2.412034197    7.278623258    -0.1571630307  7.571935114    1.134953962    -1.204910569   5.552370526    -5.277556373   -9.304889885   -9.643984559   -4.616029957   7.238545239    -6.342843678   1861038.539    	8.67398e+04	8.67398e+04
7        NO_ID      -1.989105099   -8.439083578   -4.018100897   2.338730171    2.970299005    5.087526356    7.554578885    -1.006555538   -0.01026405734 3.709649871    -6.951802013   4.655950604    8.592155737    -1.196605607   -3.203216816   7.056644119    6.256432906    -7.217884304   -7.824258793   -8.647982669   1.610759715    1.09511883     -6.000100543   8.725954461    -0.9030514833  -5.518644033   4.934596149    -9.85304628    -9.618728348   9.780152433    7.979632841    7.726280116    -2.846987722   -1.270191508   -0.5310887435  -6.419903133   -9.139073526   -4.362000575   -6.765742388   5.702576678    5.030216714    9.801291481    -7.278836663   8.032743495    -8.289818515   6.879448659    -0.9815947962  -0.8723524217  -7.860344645   -4.200889027   975070.8864    	8.67398e+04	8.67398e+04
8        NO_ID      -7.780105662   8.263720222    -1.886640647   -6.423755518   -8.17797334    7.849090705    4.723653806    5.810909377    -9.730361763   5.521377595    -2.472960665   3.499394987    -3.877518699   1.475965211    9.360365877    8.779212583    -4.293498331   5.046413693    3.416217757    -1.74352764    0.8628759988   2.85912568     -5.367520833   -0.6980297671  1.41189442     -4.52522917    -4.118991095   5.14401351     -8.572837021   2.596665529    9.261903135    1.206961514    7.081540257    1.59958244     -9.871368529   5.940657103    7.199058737    5.783674379    4.003740764    -6.462809703   2.594820573    9.638112758    4.746953262    -0.709305894   4.738535995    -0.4243371814  -8.57656431    7.772389017    7.185765178    5.754962847    2703937.094    	8.67398e+04	8.67398e+04
9        NO_ID      -0.9285809458  0.2869223675   6.524629989    -5.635199718   -7.709683885   -8.263715829   -2.523173338   -2.498820912   7.403066268    0.2273559819   8.61529474     -3.866505304   -1.278767208   -7.913576529   9.689503802    -1.134425046   9.391689998    -5.783039771   0.2709790967   6.940021687    -0.2223564589  0.2949938061   1.728839456    4.805462781    3.760962977    -8.122100979   -2.727078711   -4.346272122   -5.94543326    5.153277409    6.682094592    -8.01529831    3.934775942    -6.275160752   -1.010802584   8.908077982    2.075056141    0.4786813332   -1.096574479   9.824217872    -2.64831313    2.305864391    -4.433037416   -1.046997842   -0.418603855   -5.806023619   4.545392329    9.495779602    -9.395562561   8.35987028     1658296.155    	8.67398e+04	8.67398e+04
10       NO_ID      -5.648997407   2.99174452     3.163744018    -6.79471952    -2.556259009   6.631381266    -5.313893256   7.349763843    -1.522099807   -2.273323453   6.982259083    -6.789048076   -9.295226889   3.204735673    7.113843889    -9.418568137   -0.0229740913  7.772615828    5.934046719    1.22807649     -9.242786741   6.481510043    -7.804472813   3.817898219    -6.326234868   7.511015042    -0.1255547083  4.568372107    4.999742671    -5.997584496   -8.789938152   -4.088028273   -5.56343063    8.050732109    -5.806618138   -6.930185719   -0.863544916   -0.740042511   3.853286932    -4.48864091    -5.134682648   -0.6484235488  -9.537018419   -4.567593282   5.306101649    4.505224757    -0.5099211327  3.189785234    -4.889078353   4.232950154    950032.1717    	8.67398e+04	8.67398e+04
11       NO_ID      -4.684228279   6.023406608    -8.429821121   -7.671202598   -9.035630564   -8.820990602   -1.64600801    -6.612353585   6.243091468    -1.307606685   8.335531738    8.409650352    -0.01786180469 6.307638953    -2.543049718   0.6229315734   -4.112233709   8.773144298    9.730531749    -5.627267826   4.02739009     -8.072924708   2.792525866    -6.611815358   -5.338121517   7.790702558    7.196528654    1.738523483    0.1355950181   -1.547830384   -4.491188373   1.94535983     7.705409575    -6.670682334   3.998892742    4.661729408    8.943676773    -4.176894496   0.3670501089   2.623439959    9.670318993    -3.239978073   -6.642731574   9.62263554     -7.854667124   8.626499096    5.501706927    -2.200611803   -5.921599123   -9.156064589   3067594.825    	8.67398e+04	8.67398e+04
