%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         obj_fn         	best_so_far	best_so_far
1        NO_ID      -5.626239709   -1.138253268   0.5065289604   2.947417612    -7.057590242   -9.690554002   -6.805968563   -7.978363233   9.506079117    3.423564717    7.63575308     0.3878548976   4.796135717    -8.601521226   3.422473005    -7.869961068   5.939025523    2.25041073     0.559046661    -2.045441972   2.96958671     3.426507752    -4.245315626   6.285190007    4.77842174     -2.234448622   -7.000690047   1.205128313    5.629008103    -7.266090397   4.502300831    -3.466435768   -7.165935301   -9.961231966   -5.330866497   -2.006129199   -1.410171855   -4.989467621   6.667654237    6.815372612    -4.633905023   6.382306991    -7.449316508   -1.854514513   9.433795918    6.14540742     -2.568675283   6.154030529    -8.852198516   -1.229779425   2845830.3      
2        NO_ID      8.482598366    -4.088517294   -6.121599689   -5.433871935   5.007604442    7.138401771    2.80780663     4.388095495    -9.394165924   5.926519302    -7.280206865   -1.605816927   -4.690379327   -5.298498417   -6.968268466   -9.191090675   0.07849549325  8.154793253    1.232188034    9.142074289    -2.349722308   2.243655136    -8.595097863   -7.60885114    3.803984481    -4.476756701   -7.317876112   8.142459258    -1.222691977   0.1903573449   -2.893255734   7.499362018    8.609731347    3.275073925    0.375597838    3.250077242    -0.7037963812  -8.944891255   7.203371417    -6.205008673   -5.822183874   2.66924446     -0.151272036   -2.598208242   2.359159957    1.692908002    0.5577713212   3.410093246    -0.5912397529  3.525165182    1900019.443    	1.90002e+06	1.90002e+06
3        NO_ID      5.655209811    -8.118960188   -1.485027482   -7.933728557   0.8209422605   -0.9154066963  4.165388705    -2.406266365   4.64699139     2.192028939    2.308904494    -3.868235688   8.468341619    6.646564781    -2.437061545   2.527264763    -9.953218051   -8.069838247   -7.603186632   -8.904146826   -7.374783625   3.394132856    -7.998690434   8.203565957    -1.84879784    -6.959318479   -6.235341709   1.740258968    -1.690371061   -8.264037023   -4.414817706   -1.430257353   4.744576579    9.95350782     5.476683199    -2.527865183   -4.034886537   -6.161821809   -9.032119614   -9.597692156   6.662755932    -9.719989761   8.520427709    -7.989848333   -0.01934303311 -2.385578087   3.854920405    4.54874288     -2.083763212   6.799884255    1089720.603    	1.08972e+06	1.08972e+06
4        NO_ID      4.791582746    5.099583821    -9.305388838   2.701955298    2.448404522    1.755572012    -5.433104256   -2.916763126   7.314984899    -0.4849281809  6.697767039    8.684348038    1.735287176    -4.574162931   7.851322157    -3.71857466    -6.859569542   -2.745315949   0.1323063575   6.948535583    -2.073100611   0.7824505145   3.2576723      4.381635846    9.705614973    -4.099885849   -1.894175042   -8.665335512   -7.092312174   5.813702537    -8.305882736   3.646500214    2.184961921    4.606423697    -3.846424838   -8.562004905   1.941747322    -6.742773444   0.4121678376   -6.102730535   -4.409275123   6.744803588    -2.900157976   -9.922527107   -3.185400813   -9.174173845   -3.025530328   -5.766146476   5.959981436    -8.794356865   1268833.066    	1.08972e+06	1.08972e+06
5        NO_ID      0.6769299121   4.104478026    9.172577745    3.638501643    -2.563020837   7.813582514    -1.12516002    2.8941776      -3.50245497    9.982796992    -4.608764136   -5.150007684   6.811541752    -6.995685103   -2.026967065   6.016613399    3.834337872    6.847111864    1.991101166    -3.451800704   -8.835915864   -9.803328332   -7.347711918   3.543772297    -2.227669723   -7.139758538   -0.03203538167 -2.234409532   -2.23755224    -8.506433233   -9.236332823   2.608499501    -4.075144865   2.719951249    -8.437222365   -8.757126393   -1.953811731   0.508453192    2.461884543    2.998110258    8.936545734    -3.518726658   1.786077603    3.428802565    4.09324613     -4.135472229   -1.203535449   -5.961460591   9.215742705    -7.572548139   1081999.896    	1.08200e+06	1.08200e+06
6        NO_ID      4.553729501    3.103976336    5.988910986    8.876502229    -5.40892331    -3.287405832   -7.629331864   0.4899567223   -2.133564475   -3.499145203   -2.915537275   4.974271183    -8.696919562   3.783230516    6.307134178    -5.840677674   -9.633036079   -8.473285895   3.353919474    -8.639772956   7.38332006     -1.969355204   8.356284909    -5.91363487    -6.711850522   5.232332813    -5.487067352   -7.259513236   0.1074445922   -7.465315147   0.2366148056   -3.388044791   -6.478131658   1.122785053    2.991970908    -0.234079677   3.705584032    4.648467936    2.81311903     -1.805170745   4.776636859    -1.893472063   -5.474455587   -5.459422269   5.143773637    4.01971751     -3.262749088   -7.344229979   5.456580954    -2.735366105   1294569.21     	1.08200e+06	1.08200e+06
7        NO_ID      -8.204402097   3.57362071     -9.986149586   4.475675226    8.462098913    6.432240001    2.329041257    8.266837621    -9.503106209   -8.820382627   4.225218854    1.34671163     -4.185190105   0.2180220458   4.092238792    -2.548577754   -3.756002131   0.5252814882   7.998087323    -1.835250773   -0.3925480025  -6.795324574   -6.363424634   -6.617271267   -6.116442365   0.3749921631   1.68018961     -9.858564726   -5.557799682   -5.725941363   4.93948653     4.595032455    4.969232995    -2.65865581    -3.283660702   4.69024868     3.338861251    9.699966208    2.643699766    -2.269339983   9.747696104    4.198345963    -1.27093076    -7.699299088   5.677118162    -5.78527256    -3.404061669   -0.9510762958  -3.603351223   4.756375479    3545778.369    	1.08200e+06	1.08200e+06
8        NO_ID      3.469751276    4.492126058    -0.9961686681  -1.01785731    -3.436251002   5.621211844    5.155106984    4.568043832    5.965603304    -9.922686729   8.815653452    -0.8591081724  5.610915514    7.826380597    1.537165159    -4.016535538   -7.436503106   -6.31307011    6.696947894    -7.117361326   -6.608995685   -0.9470831246  0.7218733245   1.576352039    -1.225793015   1.817325377    9.619496853    1.583940321    2.855632712    2.148806594    -9.982121264   -2.646654413   5.334735577    -1.293926406   -0.2911434052  3.542552902    -2.334462408   8.755200326    -5.458451244   3.598560685    -9.051258018   5.49868624     8.705337621    1.43614299     -1.896104016   -4.507614374   2.858858147    -7.540462257   7.700668509    -7.147034726   404574.3806    	4.04574e+05	4.04574e+05
9        NO_ID      -3.330805412   8.559352191    -7.7916854     -8.486646718   -9.051035265   1.232995342    3.883723402    -1.631540926   -0.1549672267  1.155603294    5.486271754    7.91982747     2.529254401    -1.233807024   -4.140992903   6.586300479    -5.606817309   -8.337379789   -2.091310215   7.035459082    -3.843460673   -3.640559656   -6.880575491   2.20248866     3.296655862    -1.554939252   -8.725872404   5.687626201    2.665475724    5.601420601    9.833474926    7.82957563     9.433999491    -2.85939163    -4.644234717   4.180417162    7.461870991    7.833494045    -9.23618735    1.290847875    -9.880209543   0.2066125282   -2.688056148   -7.532111686   5.872635435    5.341664201    -2.343853325   1.569590577    -4.54611347    -1.847742168   2474585.002    	4.04574e+05	4.04574e+05
10       NO_ID      1.693550572    6.587822271    -1.166095255   1.236280858    5.997152826    -4.32582502    3.61039138     -9.594345922   -0.4136940578  8.197920458    -4.072229093   6.503799673    1.977624732    -6.573431357   2.08215493     9.097098663    -0.6655050686  1.290687538    6.116106256    -1.794082166   -2.588941406   0.532222865    9.072867289    -9.740783752   1.408208767    -6.280257401   9.167678821    -0.7840623013  1.68318145     9.222389736    -7.631449634   7.203583412    6.391061411    -1.672645871   -0.1990944455  8.94916327     -0.9799050442  3.359574855    4.799021737    -5.824744888   9.380370037    4.767563082    3.378004872    0.05894551738  2.517437356    2.251324414    2.481632566    7.392614738    6.250634172    5.59218163     1299983.369    	4.04574e+05	4.04574e+05
11       NO_ID      0.9500819717   -4.969252166   -8.905153062   -4.708279303   -3.758460942   5.855235207    1.663209422    2.12888298     2.92101778     -3.126619812   9.585974875    8.810128706    2.03112696     -4.767634372   -7.837212984   4.656063906    4.495848618    4.829287326    -5.039566346   -2.544874885   3.580959436    3.916939088    4.876009548    -9.089503187   -1.617011918   0.1721055069   -9.135049167   -5.46109917    -3.593005389   7.391071046    7.091614489    -2.84036989    -6.056987427   6.854605947    -2.797114515   4.516017144    -4.334788466   -9.265684972   2.104924698    -4.792373897   4.058417413    -7.826227577   9.729489539    -3.280384873   6.913044567    6.200485609    -7.563863754   9.254233157    4.428870216    -0.8370582405  1016682.822    	4.04574e+05	4.04574e+05
