%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         obj_fn         	best_so_far	best_so_far
1        NO_ID      5.133056317    -0.5008853899  4.209430656    7.390402818    -4.644331099   -4.48336981    3.637779922    -9.433474509   -8.536234592   4.564359409    -2.163722394   -4.066950656   -8.923409149   -1.497886927   -0.9449416651  0.9130032939   -7.749361029   -3.370559829   4.293413552    9.849638805    8.468926248    5.828254802    -9.354751183   6.289116747    -0.1457743793  6.886072215    3.590984579    -9.192339507   0.4764883493   2.986014144    -0.2133258296  -4.600746619   7.041815207    -8.499026748   -3.697787967   -0.4757310354  -2.251148787   9.752090814    7.15420746     3.030364531    4.163550129    7.802725191    6.095500422    -3.898167342   5.907793061    2.378776266    9.146228213    -8.453816048   2.864227932    6.407574708    1999898.145    
2        NO_ID      8.916792909    -9.962365497   7.693140074    -9.198558718   5.4036555      0.9712276434   -8.499166867   -1.46071475    -3.537418905   -5.524471844   6.428216927    6.464716509    -2.529630603   -8.679243388   -6.509255328   7.773563368    -0.2905307348  -6.650997161   -6.263352716   -3.985241586   3.647448725    8.054621231    -0.8163582963  -1.807266881   -9.387009632   -3.270799496   3.310147946    2.929402105    8.098962025    9.273291154    2.781747526    5.218127647    -9.449913432   -8.302821536   -8.835377089   -1.891205404   0.3934661623   -4.296304749   2.142600942    -5.839896373   4.861096453    -3.078516796   9.73267904     -8.625280965   -3.962938417   -9.04234928    0.1341420758   -8.767918074   8.25183063     5.652265862    3401739.169    	3.40174e+06	3.40174e+06
3        NO_ID      -8.693828863   5.387840828    -6.013377247   -0.8098582155  8.14594447     -3.003466758   8.410884433    -5.765417226   -9.61835245    -8.507061682   8.959492421    -8.858558503   -2.684637117   4.224778993    -7.160314858   -7.209954527   5.860384115    4.290687052    3.970807144    5.968506677    -9.431738702   -6.361101628   -3.961130175   -9.30032561    -1.744912822   -7.582885625   9.563636634    6.08888697     -1.361148567   8.16748865     2.212639049    7.754993149    -2.66528799    -3.755763106   0.6280116375   -0.6334036627  -5.76738904    9.147969243    1.208893083    9.85676865     -3.695738723   5.670096597    3.706702596    -1.309739681   5.727144967    0.7570714345   0.4982551587   -9.190377243   -5.959475399   -2.967415228   3028918.846    	3.02892e+06	3.02892e+06
4        NO_ID      -7.119529728   8.927079582    4.409646355    6.857964166    5.984517767    -0.8009326042  -5.377204102   -4.943544082   -0.8243399605  -6.046447168   -0.6723019625  -8.573704584   -4.706799035   9.737054159    4.001104563    -9.130222217   8.46270694     -6.508269562   3.611964262    1.989513504    -8.559329014   -2.59638567    6.566558122    2.090482467    -0.7025754014  -1.151997124   3.174123832    -9.859738172   -4.717878515   0.9456425007   -9.849152273   -3.135750294   -1.384383369   -8.663624961   6.022835085    6.979077796    8.582111298    -3.824356686   8.452864625    2.044489299    3.281413147    -5.064941857   5.811167855    -2.054587553   -4.73069594    -5.333445973   -8.450346901   4.878607821    5.032579884    -6.456425742   1246434.128    	1.24643e+06	1.24643e+06
5        NO_ID      5.727647762    -7.979922641   3.516887358    3.536847529    0.6840481389   0.5415039618   -9.31787492    -1.626946618   5.020688942    -3.196360655   -2.27513509    -3.319445503   -3.052006312   9.367578032    -0.2514186897  -3.430631701   4.488562922    8.56763047     -2.987387205   0.5313435115   3.299438588    1.210015675    -2.918531019   -4.243213267   8.697879256    -6.962274495   -9.001361255   8.820518265    0.05042153727  -8.527747661   -7.937554568   6.497421634    7.244547268    -2.964785466   -4.014712464   -7.706457585   6.694143918    2.202069833    0.8275211126   -0.2912923766  -4.833239874   2.80928305     0.5531957208   2.648173985    -2.616006017   6.879657577    8.55858484     -2.514487525   -1.014587769   4.189288317    1423141.601    	1.24643e+06	1.24643e+06
6        NO_ID      -2.733245191   -3.113701274   2.975578614    -0.3660536781  -0.003042632528 2.703093322    -0.4136501419  8.495435991    -2.901376894   -9.829788304   2.166896346    -5.503546684   -0.5905989846  -0.1428555468  -1.827145216   0.1476919885   5.627460403    -6.169624346   5.831610219    8.410478078    -6.826148681   -0.8911746673  7.535207746    -3.395841985   0.3159697739   7.908629386    8.269238474    4.270306185    1.838776118    -7.435380416   4.892544006    3.386383419    4.713271095    7.16398008     9.282877965    -6.372205199   -3.790487226   1.2706503      -6.861770177   -4.823573209   -1.417150157   -9.92967879    -3.950358551   -9.465499483   2.0384373      7.624559632    -0.189242269   -7.911961481   6.81627264     7.901688036    634861.2645    	6.34861e+05	6.34861e+05
7        NO_ID      -3.303575185   0.1174260695   3.673514108    -3.550979087   4.772617749    6.647070442    -0.09440678908 5.803541028    7.974007955    -5.227025093   7.65216072     -7.020669747   8.395496777    -4.098146771   -5.640482998   9.352357021    -3.472474551   7.741892649    5.63823803     -5.875131291   -7.346078619   7.118687452    4.174267325    -6.327462115   9.871291586    -2.500949829   9.722169123    5.815320013    6.675906533    -4.849865489   -1.777543161   -1.54676774    2.06405496     0.5167449426   -9.626970353   9.530991524    9.137614873    6.31642338     -1.041318934   -5.797380377   -2.800404848   9.010697115    -6.815382979   -9.100999628   0.1513212713   8.05947995     -8.701612867   5.715508328    -0.9862971216  -4.520179511   813382.3856    	6.34861e+05	6.34861e+05
8        NO_ID      4.229317377    6.523945083    1.839308521    1.005406052    6.52793774     -6.792726808   4.938541093    -1.321761348   -6.081120113   -3.51748934    -4.440462975   4.094562481    -5.540843876   3.469951257    -8.631834564   7.41160276     -1.355774628   -0.4319082711  -2.008251886   3.413049297    -2.128790357   -0.2879899365  -1.812090826   3.222785198    -5.569365577   9.593618315    4.54054426     2.240650565    6.112849635    9.707134529    4.579693553    -2.309248675   -9.681706502   1.77943238     2.245025464    -2.800346717   5.088121437    -9.843323046   7.760954178    5.531221538    -0.7251848694  -4.591386938   -8.44751939    -7.385430709   1.243143101    3.307036871    -6.354242513   6.030269241    -9.636793053   -5.857256714   832663.674     	6.34861e+05	6.34861e+05
9        NO_ID      6.959114911    -6.500052829   -3.311865026   -9.215053866   9.721814082    2.335643269    1.870471995    4.01285433     -8.916753661   6.369321192    6.248108204    5.271004645    -3.75990412    3.993782964    3.629561912    2.534476308    0.05627323119  5.451963674    7.594229562    -7.43698484    9.0888826      4.455205103    9.000286775    -3.031011117   5.792897423    1.430672778    8.777078635    -8.720681915   -9.358845779   4.5113134      8.425298273    -0.3089760096  5.416496598    6.868766724    -1.552613922   -8.136823934   -4.670588176   -9.39619707    -7.468848749   -0.8245294749  -4.283081738   -5.335511297   4.843262573    0.6299023863   -2.803158176   2.435125941    2.245552287    9.768035145    -2.768183354   6.837925855    2564413.79     	6.34861e+05	6.34861e+05
10       NO_ID      -1.403425891   5.453065404    -2.070380068   5.408314566    4.931824635    0.03336654948  2.466232857    1.401981238    -6.359769704   2.773337756    7.952628873    -6.430401391   2.884419626    -8.279333999   8.299917534    -3.255576275   -7.068518746   3.408584013    -4.300784816   -3.791623134   5.222969056    -0.482874158   -6.429717223   2.558136648    -6.075877521   7.336268177    -3.920447056   7.694474012    3.262755429    -8.076250346   -3.863006406   -9.55362566    4.844809644    -0.7508370103  1.866981247    -3.071804351   3.393252701    0.7564337664   6.793903067    -7.221359438   5.210514096    4.561980742    -1.157442432   5.591245897    4.129280269    5.157084748    -3.693771344   7.94007432     -2.104634799   -7.51801525    372422.8817    	3.72423e+05	3.72423e+05
11       NO_ID      0.3061979455   -4.866940078   6.459810549    8.436499896    7.907990571    3.125879334    -6.992447853   -0.3714710111  0.5012008612   -6.796334652   3.583096921    3.997872722    7.122406643    -9.596624397   -9.559207884   -8.366939856   6.786812868    2.094325704    2.203232792    0.3468493481   -1.989539887   -9.911757553   -1.530513943   -9.973843113   6.168328869    3.57295489     1.819506668    -7.496186099   -5.262830968   -7.949597073   -6.477207282   -0.8837231507  -8.231342555   3.81241485     4.317225078    -6.797388687   2.781108627    -9.408099132   9.394297021    2.691368812    2.398734574    7.254876029    5.403737126    6.910206442    3.254344728    6.490364725    9.934864747    -0.9255268871  -5.798555169   8.44319608     1172236.228    	3.72423e+05	3.72423e+05
