%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         obj_fn         	best_so_far	best_so_far
1        NO_ID      4.358863488    3.410872691    -3.550039087   -4.40874674    -2.058858899   -0.01576137566 7.420694223    3.480613306    -9.403732784   -8.993047577   4.552050577    -9.547069999   9.202400599    3.023005579    3.878557103    6.840029909    -0.5158906303  8.213199851    -9.139946059   8.533042567    -3.855930673   5.33133513     6.81958932     4.64125215     4.659063047    -7.786206315   7.918069415    1.654092703    -6.198841314   -8.161820307   8.258776778    6.851515086    5.337581715    -8.289539814   -7.932346397   -2.726760946   5.417484182    1.141989361    4.475177394    -5.979286819   -2.664434921   -6.495495096   -3.700908466   -1.071211446   1.303933337    6.533046847    2.816700138    4.366123332    -9.684156423   7.37136823     1391598.309    
2        NO_ID      -3.885448036   1.167270345    6.56575624     -3.453055631   7.810937741    2.520418479    -0.642522215   3.316602661    -5.610249816   0.3769549646   9.461387923    1.973231695    0.3782366117   4.326791043    -2.929909816   -3.399580145   2.480619259    -6.166010334   -9.435819693   -2.876043809   -6.861762316   -4.848754277   1.090231426    0.43659749     3.463545592    8.937360421    8.449286982    9.333578147    9.904226693    -2.710594136   -0.804219573   2.46098116     -2.440056946   -9.889043136   6.824943559    -7.731172435   -6.715269389   -3.742968797   0.2703139345   -0.6032648629  4.297296047    0.9623356069   -2.879632834   2.141314679    0.1538183697   2.558438368    1.042949641    -6.906506488   7.13333814     -8.395190946   712926.6806    	7.12927e+05	7.12927e+05
3        NO_ID      6.499256343    2.511243298    3.340273982    1.635594091    -4.665059192   -1.507096386   -1.900151735   6.453061047    -6.578995618   -9.882084439   7.69619862     5.14988674     6.607498652    -7.132669204   -1.927298393   8.509557295    5.500012263    -1.261157394   -7.950179278   -5.557437227   -2.833898575   -8.181214693   5.446361036    -1.600412164   -0.1831297647  -3.226054045   -0.7815093864  -1.195461951   7.739851728    -5.470633324   2.049805712    9.92243998     7.463034425    -4.299154077   -1.712234178   -1.623820308   0.2861370228   -3.18110763    -8.033775265   -5.55064214    -2.87086826    6.636538046    -7.660475932   8.32983915     -1.112194221   8.836179913    -6.292040384   -0.6532259901  2.496387738    2.83752139     745224.4056    	7.12927e+05	7.12927e+05
4        NO_ID      -8.371577782   8.767299537    6.848943909    8.028592505    0.02791857026  -3.659905111   -3.155559911   -2.6915215     -8.415783499   9.790600234    6.496364917    6.885792269    5.766890075    2.210585764    8.624784011    -7.958476147   2.987236375    4.477923154    5.435679085    6.414013253    -1.299036743   -3.570937747   -3.451985242   -9.940153289   7.864026889    8.660706505    -2.447364938   0.8076910326   4.884640847    1.654832239    -7.127880859   8.877731459    -5.264575323   8.693514143    -9.164859455   0.7821370225   -8.421074769   -1.317654974   1.469739763    3.116580843    3.231539514    -4.541580609   2.632429708    -1.414980531   -8.44007685    3.539553327    -0.7198073888  -2.173609544   -9.808242083   1.275746824    1874640.582    	7.12927e+05	7.12927e+05
5        NO_ID      -3.420398575   -1.157148807   3.033787256    3.240207533    -0.5857949139  3.030753032    -7.3419277     -8.235565434   -8.823131509   9.563111526    3.525060398    -4.520089422   7.875397906    -9.361464031   4.168646824    5.576364727    -6.243169348   -5.379447962   8.940979692    1.259960803    1.844510324    -6.517001475   -6.157777214   -6.13700758    1.976178602    -0.2877600284  1.811662935    -8.16255357    6.797849142    -9.024538558   3.629014759    -1.65218494    5.163275977    1.498579207    -4.454878602   8.699345824    -2.093165486   4.750688347    8.835653676    4.021359815    -9.599397586   2.431046148    -7.386984666   -2.189959529   6.936021988    9.249583277    -7.001119937   1.633103387    3.941498595    -0.1487065936  1500884.114    	7.12927e+05	7.12927e+05
6        NO_ID      4.174680167    8.007593844    4.214148576    4.38794894     -6.102649665   6.517994267    1.280913596    0.6457321961   3.381908163    1.695629062    -1.023500222   -8.894478628   8.560147727    6.654259443    9.72022472     -7.13198292    3.310565581    -9.580013821   2.34227453     -1.153990411   3.907967402    -0.397709931   -7.64773231    5.930799993    -6.391362002   7.166149507    -9.469449926   5.283668253    5.504423013    -3.771825247   4.541258614    -1.856488798   -1.568162317   -7.362736005   3.782114673    2.519822491    0.858549511    -5.553757782   -4.845144567   -9.234209979   2.333033423    0.5747543454   -1.714591245   -8.51080394    -7.121203229   -9.613911198   9.497691269    -5.064151617   2.687483631    6.754884584    724745.0521    	7.12927e+05	7.12927e+05
7        NO_ID      3.648623135    -8.789388115   9.216046699    -5.429348474   -9.393995435   9.383838166    -7.862831808   -0.02306284565 2.864214615    0.8683387044   -3.013621171   6.62998021     1.217175028    -9.430906018   0.983924986    0.8509261334   -8.245754024   -4.310226693   0.8364944929   -4.780038749   9.21940204     1.307607678    9.262251463    8.494536775    1.018065065    8.194369912    7.254819252    -9.249238556   -0.2701273532  2.784412572    1.327640461    5.423184918    4.521950691    7.578861131    2.69442536     1.176296089    8.728622304    -0.6694754903  3.253914535    -4.631827352   -3.324348596   -6.848801588   2.018127408    -0.6225723575  4.248879208    1.426866426    9.629396147    -3.498989683   6.232649109    1.476030148    3410613.085    	7.12927e+05	7.12927e+05
8        NO_ID      -8.197335598   6.107915105    6.060539778    9.636962875    3.755422561    -8.350023667   -2.476532567   6.389291477    0.1354607396   0.589630341    4.838096701    -1.658955636   8.61172632     5.458377149    -3.338441841   -1.490116127   -2.466156312   -0.6917361159  4.747196268    -8.007976948   8.622867878    -6.836581303   -1.782935072   9.245190665    -9.231505394   -1.920196632   -1.145927817   -5.678508868   -6.733655868   2.93624487     1.155884162    -7.842377885   0.02862805771  -0.2675261541  9.481223408    -6.768272866   -0.3794878083  8.72932125     -3.790641372   -3.121174826   -8.75739164    -8.954250399   -0.4423602846  7.062247419    -3.029289191   -0.2001292962  -5.343098036   2.859948184    9.293084142    -6.017618203   2075999.999    	7.12927e+05	7.12927e+05
9        NO_ID      -9.300173927   -8.392285816   -9.579828282   4.788409046    -7.820201625   -6.528872388   -7.137007383   -7.342941238   1.36309347     -5.095263651   -7.831659254   1.422183016    -3.341561265   -1.00115303    -5.580458383   1.722234893    5.784125493    -3.575276775   -1.039360061   -1.73116425    -6.378193517   -6.12580399    5.396284011    -8.473037466   -3.634778028   4.442921146    7.024580599    -4.291534135   9.796282655    6.899197268    -4.45780827    3.797925403    1.630257975    -7.423504112   -0.776058194   -7.239583869   -5.100870553   -2.588363275   -1.644328111   -1.791648549   -0.749878637   6.438694191    -6.343826977   -7.968906056   -8.351562715   5.869321172    9.825739111    0.1477716389   8.90736414     -8.607377415   3718720.348    	7.12927e+05	7.12927e+05
10       NO_ID      -1.674089795   -0.03655360951 7.524743262    -2.89771533    -1.149628628   8.318326322    -6.720050518   -7.402792865   -3.756351983   1.850996023    4.048654862    -9.367674423   -7.155406091   6.881409358    7.540501491    -1.063290223   4.817805808    9.753063303    -9.201766727   -9.230809534   6.820394105    -5.012369106   1.238197484    -4.419482004   9.859220689    4.193563952    5.109091269    -8.537644725   0.3488160092   5.405019763    1.972952157    -2.061548123   -6.120199616   -1.902816113   8.346777137    6.377504293    -7.971168259   3.487552271    -9.666678355   -2.74382436    4.460937061    -1.068973444   3.886429152    -6.85781873    3.748559424    -3.806060876   -4.425595205   -6.733398045   7.842080142    -6.710787537   1585515.584    	7.12927e+05	7.12927e+05
11       NO_ID      7.774081658    4.522986494    2.946176363    6.941323552    5.207303824    3.244440157    2.299698025    2.793737763    0.9016133885   2.605230429    -0.5627675077  8.665139754    3.465511431    3.322387101    -1.375520965   1.070877108    8.578205198    6.62749875     -9.946971804   9.79885103     -1.505899381   -5.801812536   0.3644073773   2.143362863    2.86541079     5.254017156    8.832881356    1.229878254    -0.9351823315  -2.307588504   -3.420179178   7.276759838    4.726890531    -2.858840419   2.270484761    8.991958531    9.635691106    8.194627414    -4.773200724   -0.4846383841  5.678111197    9.299981439    3.790106579    -3.511725253   -8.621012969   -2.5725248     1.787858005    9.540209883    1.612477837    3.307177059    597866.5988    	5.97867e+05	5.97867e+05
