%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         obj_fn         	best_so_far	best_so_far
1        NO_ID      -9.974974822   1.27170629     -6.13391522    6.174810022    1.700186163    -0.40253914    -2.994170965   7.919248024    6.45680105     4.932096316    -6.517838069   7.178868984    4.210028382    0.2706991791   -3.920102542   -9.700308237   -8.171941282   -2.710959197   -7.053743095   -6.68202765    9.770500809    -1.086153752   -7.61833552    -9.906613361   -9.821771905   -2.442396313   0.6332590716   1.423688467    2.035279397    2.14331492     -6.675313578   3.260902738    -0.9842219306  -2.957548753   -8.859218116   2.153691214    5.666371654    6.052125614    0.3976561785   -3.960997345   7.51945555     4.533524583    9.118015076    8.514358959    0.7870723594   -7.153233436   -0.7583849605  -5.293435469   7.244788965    -5.807977538   1656595.173    
2        NO_ID      -9.22849208    -4.958342235   -6.214484085   -5.046235542   -6.929837947   2.406384472    7.707449568    8.781701102    -6.086916715   5.593127232    2.911160619    3.135166478    8.182927946    -0.8908352916  8.425855281    3.283486435    -6.984771264   2.726828822    1.390728477    -1.559190649   8.860438856    0.811487167    1.571398053    0.7290871914   -4.894253365   -2.060914945   -2.994781335   -9.267555773   5.905026399    -6.06982635    -8.594317454   -2.211676382   1.814935759    -8.58149968    -6.046632282   -6.882229072   2.886745811    -0.9134189886  2.085940123    3.946958831    -1.17404706    3.689382611    -2.069460128   6.71437727     1.844233528    -6.008178961   8.989226966    7.52006592     -2.165898618   9.749137852    2459134.428    	2.45913e+06	2.45913e+06
3        NO_ID      -9.187597278   -5.564439833   -4.88082522    -1.794183172   4.152043214    -1.145359661   -7.338785974   0.8810693686   7.135532701    6.132694479    -5.634632405   8.476516007    -3.732718894   -7.135532701   2.137211219    -9.794305246   9.111301004    0.7449568163   -2.262337107   -9.752189703   -5.258644368   7.71416364     1.849116489    -6.948149052   -9.669179357   0.7040620136   8.334299753    3.054597613    -5.510727256   -1.888790551   9.316385388    -8.058412427   -2.008423109   0.122379223    -3.293862728   -3.431806391   2.508316294    -4.984588153   -4.200872829   0.6704916532   7.973570971    -0.4385509812  -3.436689352   3.491622669    -0.7931760613  1.655018769    -1.744743187   8.445997497    -7.580492569   3.294473098    1530605.731    	1.53061e+06	1.53061e+06
4        NO_ID      -9.047822504   -0.3353984191  -8.876918851   9.224829859    -8.300119022   1.309549242    9.251075777    1.478011414    7.573168126    -1.825922422   -1.937009796   -1.730094302   3.170567949    6.467177343    8.90377514     -4.337595752   -9.955442976   2.325205237    -9.011200293   3.121127964    -1.56102176    9.089938047    2.079226051    -5.982543413   -1.712393567   -3.188879055   2.46253853     6.16809595     -9.90295114    -7.894833216   -2.111575671   -4.462721641   -3.664357433   6.484878079    7.07022309     -3.769341105   -6.046632282   1.293679617    -0.6186101871  9.90234077     -1.33518479    -2.630390332   -1.624500259   -2.30262154    1.608630634    7.554857021    -3.251747185   -2.132328257   9.020966216    0.1828058718   3563472.975    	1.53061e+06	1.53061e+06
5        NO_ID      -9.018524735   -2.276375622   -7.667165136   9.963377789    4.798425245    -9.183324686   -9.912106693   3.605151524    9.128391369    4.132511368    5.017548143    -7.178258614   3.565477462    2.255012665    3.259681997    9.520249031    -8.577837458   8.148136845    7.226477859    2.569963683    7.780083621    1.503036592    -6.956083865   7.97235023     1.478011414    -4.741050447   -6.49037141    2.505874813    6.686300241    3.405560472    7.172765282    -1.029389325   9.659413434    3.202307199    4.175237281    -8.835413678   6.319467757    4.938200018    9.483016449    6.707052828    -3.717459639   -7.647022919   -5.889767144   -4.164250618   8.955656606    6.849879452    -5.004730369   -5.681630909   7.323526719    -1.382183294   4363381.854    	1.53061e+06	1.53061e+06
6        NO_ID      -8.965422529   -6.252937407   9.817499313    -1.456038087   2.868434706    4.42854091     8.015076144    6.859035005    8.306833094    -0.3402813807  -0.4037598804  4.550004578    5.154271065    -2.320932646   4.892422254    -4.520096438   -2.742088076   -9.375591296   6.445204016    5.157933287    -1.306497391   -5.514389477   -8.350779748   -4.68550676    2.513809626    5.345316935    -3.476973785   -4.905850398   -0.3006073183  5.037690359    1.2387463      -3.041779839   3.926206244    9.342631306    -1.966307566   -4.546342357   7.77764214     1.847285379    2.132328257    -3.052766503   6.028321177    6.595355083    6.299935911    -1.531723991   -8.374584185   2.648091067    9.650868252    3.773613697    -0.01434369945 -6.314584796   2769042.32     	1.53061e+06	1.53061e+06
7        NO_ID      -8.943449202   1.080660421    3.953672903    -7.29361858    -4.271675771   4.628742332    -3.39823603    -3.046052431   0.1956236457   8.22931608     8.892788476    8.499099704    7.226477859    1.404156621    8.794518876    3.835261086    -3.867000336   9.818109684    -1.49754326    8.806115909    2.093874935    -0.1791436506  -6.687520981   4.49201941     -9.020966216   -3.530686361   0.05523850215  -5.608386486   -9.691152684   -6.851710562   0.7358012635   -3.982970672   6.9737846      0.9189123203   -3.013092441   -9.975585192   -7.669606616   -4.284493545   0.9714041566   -9.984130375   5.313577685    -8.472243416   8.351390118    6.121097446    -5.825067904   -2.327646718   -1.042207099   5.500350963    7.481612598    8.302560503    1122867.98     	1.12287e+06	1.12287e+06
8        NO_ID      -8.835413678   0.5124057741   -2.822656941   6.13452559     -6.823633534   7.997375408    -7.363811151   -9.415265358   -6.371349223   6.3615833      -5.015717032   1.413922544    -3.061922056   0.798669393    3.298135319    7.415082247    8.650471511    8.90560625     -7.896053957   -6.935331278   1.159398175    6.00512711     7.902768029    -8.54976043    7.446211127    6.448255867    -2.234260079   0.9756767479   3.439130833    -0.9811700797  -4.372386853   8.989226966    9.642933439    4.560991241    1.896114994    -4.552446059   -7.360759301   -6.041138951   2.010254219    -0.2529984436  -2.893459883   -5.401470992   -0.4312265389  3.835871456    8.962981048    3.422650838    9.651478622    -5.249488815   0.2713095492   -5.283669546   2883295.76     	1.12287e+06	1.12287e+06
9        NO_ID      -8.507644887   -9.896237068   8.295846431    -1.766716514   5.106662191    -6.246833705   -7.965636158   -1.537217322   3.55876339     0.5484176153   6.484267708    6.743675039    -4.570146794   -0.01007110813 7.408978545    -7.020172735   9.415875729    0.7675405133   -5.58641316    -8.665120396   -5.907467879   -6.045411542   -6.141850032   -6.009399701   9.135715812    1.869869076    4.775841548    -4.112369152   3.596606342    5.722525712    8.426465651    8.568681906    6.886501663    -4.820398572   -7.891170995   -8.762169256   8.075502792    -7.033600879   7.855159154    -2.811670278   9.133884701    -2.36854152    -3.370769372   3.691213721    7.750785852    -2.39783929    -1.334574419   3.49284341     -4.658040101   -0.3433332316  2742012.805    	1.12287e+06	1.12287e+06
10       NO_ID      -8.370311594   6.130863369    7.106845302    -7.507248146   -3.850520341   1.46641438     -0.5404828028  5.240943632    -6.162602618   4.555497909    9.900509659    -9.692983795   2.952665792    3.832819605    -6.517227699   -8.557695242   -4.500564592   3.532517472    6.77846614     1.133152257    -2.575457015   5.590075381    -5.349589526   2.764671773    -5.366679891   -5.908078249   9.42075869     -4.36506241    -9.542222358   5.384380627    -6.963408307   -9.060640278   -9.815057833   -3.028351695   2.877590258    -3.135166478   -1.708731346   -1.669667653   -8.186590167   0.9036530656   3.985412152    -3.240150151   3.150425733    7.524948881    0.7095553453   1.4004944      -8.920255135   -0.6845301675  -4.800256355   -1.4639729     1446855.617    	1.12287e+06	1.12287e+06
11       NO_ID      -7.23136082    2.685323649    1.008026368    9.669789727    -0.7315286721  -5.704214606   -3.986022523   5.643177587    -3.149204993   -0.3878902554  2.160405286    -7.949766533   9.688711203    5.116428114    -6.982329783   -0.8719138157  4.232612079    9.974974822    5.510116886    2.833033235    2.424085208    8.922086245    3.763237403    -4.20392468    1.343119602    -4.192327647   0.9646900845   4.247260964    -5.07126072    0.9335612049   -0.1474044008  9.041108432    3.39640492     5.303201392    2.467421491    -1.084933012   5.97521897     4.91073336     9.778435621    -5.907467879   2.589495529    8.19635609     1.825922422    8.367870113    0.1107821894   -0.2121036409  -1.005584887   7.786797693    8.80794702     -6.341441084   1426603.711    	1.12287e+06	1.12287e+06
