%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         obj_fn         	best_so_far	best_so_far
1        NO_ID      -9.957274087   -3.400067141   -6.235847041   2.770775475    -8.766441847   -1.548814356   -8.179876095   -1.877803888   -4.434644612   -2.537614063   9.274269845    -9.225440229   -2.863551744   -9.5495468     8.340403455    6.086916715    -6.131473739   -8.334910123   -7.783135472   6.61854915     -8.395336772   -6.994537187   6.937162389    -0.9097567675  5.737784967    -8.380077517   1.062349315    7.785576952    3.511154515    -4.484694967   -8.635822626   -9.984130375   0.1034577471   7.797173986    -7.399822993   -0.705282754   -8.369090854   0.1663258766   -0.4824976348  -8.183538316   -1.814935759   -3.696096683   -0.7895138401  1.897335734    0.03753776666  -4.242378002   1.952269051    1.968749046    0.1309244057   -1.036103397   2395810.168    
2        NO_ID      -9.956663717   0.3146458327   -8.00286874    -1.641590625   -1.639759514   1.167332987    -5.897091586   -8.161564989   -2.842799158   -8.84090701    -7.330240791   7.420575579    5.822626423    -8.837855159   -2.014526811   5.541245766    -0.8560441908  -1.49815363    3.003326518    2.543107395    -7.522507401   3.953062532    -5.139622181   8.626056703    -9.605090487   -1.694692831   -2.315439314   -8.073061312   -3.071687979   -5.87817011    9.809564501    -0.6314279611  -4.458449049   -1.678212836   8.535721915    -5.121921445   -3.041169469   1.204565569    5.551011689    5.626087222    2.963652455    -2.452772607   6.146122623    -3.113193152   4.302194281    5.39536729     -4.665974914   6.16687521     0.8120975372   -1.826532792   2117723.2      	2.11772e+06	2.11772e+06
3        NO_ID      -9.83764153    -1.941282388   2.333140049    3.035676138    -1.885738701   -1.971800897   2.707907346    5.782952361    4.076357311    0.07049775689  9.179052095    -8.569902646   3.401287881    -1.041596728   4.934537797    -2.120120853   9.970702231    0.2847376934   1.490218818    -4.285714286   6.655781732    1.574449904    -2.161015656   3.23831904     2.695699942    -7.336954863   1.831415754    -5.162205878   -8.891567736   -4.051332133   -8.093203528   8.29279458     9.273659474    -2.842188787   7.300332652    6.648457289    -4.205145421   7.244178594    4.852137822    0.2920621357   6.786400952    6.03869747     -9.456770531   4.84542375     4.691610462    8.29218421     3.882869961    0.5014191107   2.768333995    2.718283639    1104916.853    	1.10492e+06	1.10492e+06
4        NO_ID      -9.796136357   -1.977294229   3.618579669    -8.695638905   9.93591113     -6.345713675   -0.3695791498  -7.593310343   5.665150914    -9.976805933   -2.14148381    1.687368389    7.995544298    6.306039613    -2.178716391   -0.5270546587  9.315164647    -4.768517106   1.648915067    8.402661214    4.607989746    -6.852931303   6.405529954    8.976409192    7.305825983    4.960173345    -8.247016816   9.049043245    3.306680502    -5.411236915   -8.898281808   2.895901364    -3.721732231   1.549424726    4.352855007    5.474105045    7.377239296    -5.703604236   0.3701895199   -2.499771111   2.505874813    0.946989349    7.310098575    6.979888302    -9.760734886   8.017517624    -1.081270791   2.800683615    3.533738212    7.783745842    3160934.259    	1.10492e+06	1.10492e+06
5        NO_ID      -9.755241554   -6.487319559   -7.894833216   -4.416943876   4.056825465    1.908932768    8.563188574    7.880794702    2.351451155    0.8780175176   -8.149357585   -7.848445082   2.9483932      -8.612018189   5.798821986    6.725974303    -8.577837458   5.046235542    0.5948057497   -3.995178076   -0.3500473037  0.9561449019   4.715414899    7.190466018    -1.85216834    1.213721122    0.9494308298   -5.302591021   5.321512497    -4.350413526   -5.345316935   7.891781365    6.755272073    -3.534348582   -7.636646626   7.770928068    7.666554765    -6.630146184   -1.133762627   8.219550157    -8.351390118   9.852290414    -9.108249153   7.45414594     8.827478866    -8.790246284   -4.476149785   5.292825098    6.55384991     4.965666677    2564042.768    	1.10492e+06	1.10492e+06
6        NO_ID      -9.35605945    -0.8621478927  0.5874813074   -3.392132328   -6.049684133   -3.827326273   5.377056185    4.280831324    -4.372386853   4.58967864     -2.837305826   5.668202765    -2.319711905   -9.544053468   -8.501541185   2.827539903    -2.230597858   -0.7260353404  6.42445143     8.018127995    9.989623707    6.152836695    -5.569933164   0.3018280587   -2.446058535   -9.751579333   1.649525437    0.4684591205   -9.475081637   -5.914792322   -7.598803674   9.907223731    -8.298898282   -1.624500259   7.211218604    9.041718802    3.799859615    -7.017120884   -7.568285165   0.9714041566   1.051973022    -5.358134709   9.594103824    -4.076967681   -1.666615802   -7.946714682   2.600482192    2.153080844    0.962858974    8.996551408    1119224.949    	1.10492e+06	1.10492e+06
7        NO_ID      -9.282204657   6.500137333    1.194189276    -9.642933439   -4.963225196   -1.219214454   1.33762627     0.8829004791   4.850306711    2.395397809    -0.3476058229  -6.494644002   -0.8383434553  -1.727042451   9.529404584    9.511093478    -0.2499465926  -5.826899014   -1.596423231   4.449903867    -3.62285226    1.56041139     -0.3720206305  5.035859249    -1.39988403    -7.323526719   3.749198889    7.801446577    2.300180059    -6.563615833   2.331308939    0.1327555162   9.077730644    -2.236701559   7.441328166    -5.681630909   6.610614338    -0.9994811853  -0.07965330973 -4.775841548   8.121280557    4.012268441    9.575182348    -7.769096957   -0.9311197241  5.610217597    0.4013183996   -3.94451735    9.19370098     -1.07760857    1888322.905    	1.10492e+06	1.10492e+06
8        NO_ID      -9.090548418   -1.082491531   8.290963469    6.064943388    6.807153539    -2.859889523   -5.804925687   -8.329416791   4.914395581    3.3988464      -2.374034852   2.921536912    2.040772729    -7.142857143   6.305429243    7.011627552    -4.479201636   6.766869106    6.721091342    3.743705557    -1.855220191   0.1657155065   3.534958953    -0.1925717948  -2.181157872   -4.603106784   1.526230659    -4.55610828    0.08087405011  7.06961272     -6.796166875   -5.884273812   1.586046937    -5.905636769   5.20249031     -4.191106906   -7.302774133   4.414502396    6.598406934    4.594561602    -2.694479202   8.050477615    -7.740409558   -8.927579577   7.993102817    4.096499527    4.3632313      0.3250221259   4.683065279    -2.711569567   2085891.611    	1.10492e+06	1.10492e+06
9        NO_ID      -8.887295145   9.072847682    -7.048860134   4.439527573    1.410870693    3.756523331    4.237495041    8.35688345     4.962614826    1.291848506    4.754478591    -5.65172277    3.618579669    -2.339854122   -8.040711692   3.840754418    1.700796533    4.086733604    9.610583819    3.26761681     -3.20535905    7.158726768    9.90478225     -9.856563005   4.020203253    8.51741081     -3.087557604   -4.723349712   -8.095645009   9.74303415     -5.579088717   -8.267769402   -2.023071993   -1.940672018   -8.685262612   -8.814050722   2.222052675    -1.514023255   7.625049593    -1.720328379   6.503189184    8.056581317    -5.635242775   3.614307077    -1.907712027   -2.260505997   -9.716788232   5.995361187    5.424054689    -2.327646718   2020521.482    	1.10492e+06	1.10492e+06
10       NO_ID      -8.542435987   -8.13226722    5.770134587    4.282052065    1.242408521    3.409833064    -3.846858119   -4.979705191   -7.380291147   -9.274269845   -6.819360942   -2.952055422   -2.908719138   -3.998840297   -9.769280068   0.4330576495   3.837092196    3.540452284    8.851893674    7.145298624    -2.889187292   0.08514664144  0.3115939817   -1.106295969   -4.763634144   -9.6765038     1.573839534    1.715445418    -0.669881283   3.220007935    -1.199072237   7.952208014    9.876094852    -5.208594012   1.52867214     6.23279519     -0.7223731193  2.954496902    0.6265449995   0.09002960295  -1.488387707   0.06622516556  -6.825464644   5.832392346    6.003295999    -1.214331492   7.378460036    -9.698477126   -3.137607959   -3.119296854   1709187.584    	1.10492e+06	1.10492e+06
11       NO_ID      -8.336130863   -8.042542802   1.459089938    -4.916837062   -1.988280892   -2.735374004   7.060457167    -9.996948149   9.211401715    2.387462996    -4.274727622   -8.681600391   5.091402936    9.995727409    2.974028748    -8.106021302   -1.216162603   -4.489577929   8.095645009    7.190466018    -6.080202643   8.009582812    -6.050904874   8.367259743    7.807550279    -6.806543168   0.5484176153   -5.97277749    -1.290017396   4.058046205    -4.439527573   -8.784142582   5.350199896    -5.125583666   -5.149998474   6.298715171    -3.23587756    4.127018036    -3.823053682   -3.649098178   0.637531663    2.01330607     -0.8059938353  1.684926908    8.237250893    8.141422773    -5.147556993   -9.877925962   4.070863979    -4.951017792   2940548.648    	1.10492e+06	1.10492e+06
