%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         obj_fn         	best_so_far	best_so_far
1        NO_ID      -9.972533341   7.832575457    4.769737846    0.8615375225   7.996154668    1.993774224    -1.094698935   6.132694479    -3.465987121   1.179540391    -6.608172857   7.205725272    -2.277596362   -9.630115665   9.625232704    0.882290109    8.19696646     8.535111545    -5.936155278   7.676931059    -3.262123478   8.362987152    1.546372875    -5.625476852   -0.9085360271  4.307077242    -6.36097293    -8.520462661   8.134708701    -5.414899136   -4.843592639   -3.838312937   7.51884518     -7.260048219   1.962645344    1.345561083    6.921292764    -5.598010193   3.192541276    1.548814356    7.013458663    -5.131687368   -8.990447707   -3.888973663   -7.711722159   3.130283517    1.029999695    0.4245124668   -0.1370281075  7.968077639    1782160.921    
2        NO_ID      -9.971312601   -4.193548387   -9.007538072   9.508041627    6.852931303    -9.175389874   -3.149204993   -2.953276162   -4.658650472   -7.29483932    7.180089724    4.127018036    1.968138676    3.014313181    4.319284646    -7.39188818    4.520096438    8.282418287    -0.9964293344  9.320047609    -4.587237159   2.56019776     5.181127354    -5.894039735   0.04303109836  4.866786706    -9.819330424   1.824701682    -6.699118015   2.138431959    8.359935301    -6.090578936   7.380901517    -1.685537278   -3.65398114    5.131076998    -6.00634785    0.1797540208   -1.984618671   1.177709281    -5.866573077   0.5880916776   -2.685323649   -7.319864498   -1.507919553   9.697866756    7.062898648    1.311380352    -8.3251442     -5.165868099   3552558.511    	3.55256e+06	3.55256e+06
3        NO_ID      -9.946897794   -5.937986389   8.77681814     -4.113589892   -3.627124851   -7.265541551   -9.628894925   6.741233558    -8.535111545   0.7846308786   -2.622455519   -1.14291818    -4.091616565   4.49262978     -3.100375378   3.078402051    -9.299905393   -9.7112949     -8.624225593   -3.093661306   -1.108737449   -7.646412549   -1.72460097    -2.095706046   7.881405072    -1.775261696   -4.224677267   -0.8334604938  5.504623554    -6.961577197   -7.460860012   -7.514572588   -6.966460158   -6.97195349    9.721060823    -5.159764397   8.217108676    8.90560625     -6.679586169   3.824884793    1.480452895    9.749137852    5.017548143    -2.345347453   -1.574449904   8.027283547    9.603869747    5.36179693     -8.270210883   -3.62285226    3852508.654    	3.55256e+06	3.55256e+06
4        NO_ID      -9.926145207   -2.522965178   -1.701406903   -2.565691092   -6.852320933   2.884304331    4.322946867    -5.771355327   -6.642963958   4.894253365    7.136753441    8.982512894    -9.664296396   -2.220831935   -5.596179083   -2.737205115   -8.312326426   5.805536058    2.085329752    -5.087130345   8.723105564    8.532059694    1.04770043     -9.29013947    0.9793389691   -0.2652058473  2.779320658    1.719107639    -7.338175604   -9.402447584   -7.665334025   6.967070528    -5.879390851   -2.220831935   6.626483963    5.063325907    -8.510696738   6.987212745    6.193731498    -8.610187078   -2.382580035   -7.309488205   -1.423688467   0.486159856    7.414471877    4.587237159    1.413312174    9.252906888    -9.269386883   1.450544755    1618195.876    	1.61820e+06	1.61820e+06
5        NO_ID      -8.720053713   -8.90377514    -2.595599231   5.184789575    -0.1937925352  -2.172002319   0.7895138401   2.768944365    8.409985656    -5.760368664   6.021607105    0.2755821406   6.476332896    -2.306894131   -5.538804285   3.282265694    -1.698355052   2.224494156    -6.769310587   -7.265541551   4.101382488    8.016296884    9.29074984     -4.772789697   -8.317819758   -1.116061892   -0.5142368847  5.346537675    -8.095034639   8.38923307     -5.295266579   5.712149419    1.059297464    5.213476974    6.255378887    0.3408917508   3.276161992    -1.584215827   -7.404095584   6.953032014    -3.889584033   -6.804712058   -5.455793939   3.84746849     -7.595751823   -2.209845271   -2.91604358    -3.021027253   1.573839534    -7.869808039   2053284.23     	1.61820e+06	1.61820e+06
6        NO_ID      -8.54976043    3.323160497    2.146366771    7.812433241    -1.970580157   -5.13534959    4.501785333    -2.660298471   -2.952055422   2.853175451    1.847285379    -7.967467269   0.7846308786   4.175847652    -7.641529588   0.85360271     1.891842402    -7.752616962   -8.342844935   -0.6723227638  -3.384807886   -0.1333658864  6.752220222    0.2298043764   -4.766075625   0.3860591449   -4.987029633   9.154026917    -2.146977142   -7.16483047    -8.685872982   -4.413892026   3.674733726    6.610614338    -3.534958953   0.1211584826   -8.13104648    -8.643147069   -9.948728904   8.42097232     2.1744438      7.678762169    0.8224738304   -7.429120762   -6.656392102   4.284493545    -2.265999329   -9.562364574   7.573168126    -2.7866451     1015012.219    	1.01501e+06	1.01501e+06
7        NO_ID      -8.419141209   4.141056551    0.9604174932   -7.143467513   2.557756279    9.931028169    -9.555650502   -5.180516984   -7.510299997   -8.541825617   -4.484694967   -0.2536088137  9.989013337    4.039124729    -3.199255348   -3.966490677   9.013641774    -1.65807062    -5.353251747   -4.415112766   5.0389111      4.39741203     -0.40253914    -5.13657033    -5.616931669   6.110110782    -8.649250771   -9.475081637   9.827265236    6.90969573     4.321726127    -4.763634144   -4.357737968   -2.85073397    7.922910245    9.321878719    -4.832605976   3.899960326    -0.2945036164  -6.152836695   -5.963621937   -6.260261849   -0.5276650288  0.7846308786   -7.791680654   9.188818018    2.491836299    5.859859004    7.902768029    9.38718833     3355856.114    	1.01501e+06	1.01501e+06
8        NO_ID      -8.148747215   3.572801904    3.326822718    -0.3830072939  -6.819360942   7.909482101    -0.7083346049  2.961821345    -5.066988128   -9.233985412   -4.052552873   8.599810785    -2.665181433   7.217322306    -9.179662465   5.719473861    -2.485122227   1.783806879    -7.382732627   -8.624835963   4.789880062    -4.916837062   3.796197394    -4.725791192   8.799401837    -8.087099826   -1.199682608   -2.43079928    8.624225593    6.411633656    -8.915982543   0.2908413953   0.9964293344   9.912106693    -7.949156163   3.029572436    -4.253364666   -2.885525071   -4.971770379   3.507492294    -3.406781213   -3.790704062   7.409588916    -6.346324046   -4.586016419   -1.435895871   4.085512864    -8.184759056   -1.881466109   -6.389049959   1112729.896    	1.01501e+06	1.01501e+06
9        NO_ID      -7.853938414   -5.457014679   9.126560259    3.248084964    7.688528092    2.692648091    -3.516647847   -2.637104404   1.98095645     -5.682241279   4.856410413    2.226325266    -1.730704672   -9.642323069   9.407330546    8.413037507    6.635639515    5.145115513    3.39823603     -2.640766625   9.108859523    3.577074496    9.178441725    0.8963286233   3.565477462    1.918698691    -1.727652821   -6.52150029    9.541001617    2.865382855    8.701742607    -7.264931181   9.079561754    5.483260598    -2.350840785   -6.036866359   5.756096072    0.6649983215   -2.394177068   -5.808587909   -5.025482955   -7.289345988   -5.884273812   -8.557695242   8.694418165    -2.327036348   -6.74733726    -5.186620685   7.68120365     -0.9207434309  1499414.541    	1.01501e+06	1.01501e+06
10       NO_ID      -6.8120365     -3.289590136   -9.599597156   5.13840144     -2.251960814   6.709494308    -2.313608203   6.475112156    -0.9573656423  2.262947478    6.660054323    -9.186986908   -2.244026002   -5.58885464    -5.084688864   3.23587756     -4.941862239   0.4000976592   -1.540879543   2.486953337    4.410229804    0.7528916288   2.996002075    -0.3695791498  -1.898556475   -7.835016938   7.74651326     -0.9152500992  6.637470626    1.842402417    4.931485946    -7.332682272   -0.8975493637  -1.092257454   8.051087985    7.277748955    2.62550737     8.507644887    -7.933896908   -3.1736198     9.072237312    4.23444319     -1.36875515    -0.9378337962  7.087923826    4.497512741    9.479354228    7.890560625    7.61772515     8.463698233    1536699.974    	1.01501e+06	1.01501e+06
11       NO_ID      -6.564226203   1.197851497    1.202124088    0.06256294443  -9.357890561   -3.921323283   2.259895627    4.204535051    3.028962065    4.212469863    2.798852504    5.304422132    -1.038544877   -3.434858242   -8.271431623   1.211279641    1.156346324    6.213873714    -3.841975158   1.587878048    -2.3361919     7.879573962    5.290993988    8.715781121    1.963866085    -9.841914121   -3.760795923   -7.446211127   -9.721060823   -3.930478835   -5.122531816   0.6863612781   -5.753654592   -2.449720756   -5.142674032   -6.229743339   -2.940458388   -0.4794457839  7.912533952    7.121494186    -8.783532212   -0.8560441908  8.577837458    9.057588427    5.994140446    -4.092226936   6.449476608    -3.377483444   2.768944365    -1.85216834    1062931.051    	1.01501e+06	1.01501e+06
