%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         obj_fn         	best_so_far	best_so_far
1        NO_ID      -9.970702231   -5.607776116   -4.327219459   -4.451124607   -5.708487197   4.390697958    0.8047730949   4.345530564    6.612445448    -2.573015534   -6.698507645   7.232581561    -8.765221107   0.4690694906   3.170567949    -8.535721915   4.565263833    -0.2188177129  -4.818567461   2.035279397    3.705252235    -2.188482315   -9.289529099   -1.343729972   8.00469985     -8.943449202   6.645405438    1.535386212    -5.766472365   7.027497177    -3.0118717     9.063081759    -3.97869808    8.438062685    -7.216101566   0.5368205817   8.176213874    2.75246437     5.987426374    7.058626057    6.507461776    5.203100681    -7.098300119   3.708304086    3.790704062    -6.5868099     2.81777398     6.142460402    -7.51884518    1.743522446    1694522.886    
2        NO_ID      -9.070406201   -1.78807947    3.775444807    -4.800866726   -4.442579424   3.670461135    2.541886654    -6.016724143   -7.568285165   -2.062135685   -8.645588549   -6.172368542   -9.347514267   0.2102725303   3.147373882    -5.621814631   5.937986389    9.358500931    -6.770531327   3.935972167    0.7046723838   6.188238166    5.013275552    4.775841548    0.5948057497   6.364024781    3.742484817    -5.547959838   3.069246498    -2.88308359    -1.136814478   1.203344829    3.703421125    0.8755760369   5.645008698    1.574449904    -4.20392468    -1.076387829   6.685079501    -1.59520249    8.927579577    -1.764885403   3.927426984    7.282021546    2.085329752    -5.413068026   1.805169836    9.602038636    -3.009430219   -4.905240028   1415883.743    	1.41588e+06	1.41588e+06
3        NO_ID      -8.949552904   3.165074618    4.88082522     8.244575335    -5.435651723   -9.456770531   -4.71968749    0.5740531632   3.59111301     -4.388256478   -6.960356456   0.1590014344   -9.026459548   0.8700827052   -2.415540025   -2.049928282   6.175420392    0.9860530412   5.739616077    -9.015472884   5.55467391     -5.529038362   9.208960234    -7.562791833   -5.287331767   -0.8621478927  0.6949064608   -4.225287637   8.537553026    -5.521713919   -0.7284768212  1.131931516    4.559160131    4.078798791    -4.3632313     2.04565569     -4.736167486   1.195410016    7.882015442    0.6613361003   -5.032197027   -9.375591296   8.384350108    9.542832728    6.890774255    9.984740745    -7.535935545   8.204901273    6.046632282    3.534958953    2274548.023    	1.41588e+06	1.41588e+06
4        NO_ID      -8.591875973   -3.458662679   -4.003112888   -2.609637745   -9.048432875   -4.023865474   -3.031403546   -3.78337962    -9.462874233   5.158543657    -2.789086581   -2.677999207   6.138798181    8.361766411    -2.691427351   8.727378155    -5.632190924   3.727225562    8.901944029    7.320474868    -0.8621478927  5.778069399    -0.3537095248  6.469008454    1.332132939    -1.097750786   5.250709555    2.419202246    -7.891170995   -0.05096591082 -5.797601245   2.604754784    0.4623554186   -1.958372753   0.82125309     9.004486221    -4.336985382   9.748527482    -7.752006592   -0.3469954527  -4.784386731   -2.274544511   5.015106662    1.451765496    -1.062349315   -9.03378399    -3.197424238   -2.617572558   -0.1956236457  -5.229346599   2243278.833    	1.41588e+06	1.41588e+06
5        NO_ID      -8.309274575   -7.122104556   -2.576067385   -4.177068392   5.443586535    9.345683157    7.701345866    7.401043733    -0.8554338206  -4.056215094   5.771965697    -3.343913083   9.766838588    2.551652577    9.633777886    -3.283486435   6.566057314    5.468001343    8.167668691    -2.414929655   -0.4147465438  4.420606098    2.630390332    4.177068392    -1.968749046   9.922482986    -2.918485061   7.526169622    9.167455061    9.100924711    -6.611835078   2.273934141    -1.667836543   8.135319071    -3.577684866   -6.420178838   0.7229834895   -0.5856501968  5.079805902    6.567278054    5.55528428     -8.447218238   -5.259254738   1.427350688    3.233436079    -9.625843074   6.807763909    7.3259682      -3.844416639   9.008148442    2147345.371    	1.41588e+06	1.41588e+06
6        NO_ID      -8.250068667   3.818170721    -6.603900266   -4.919278542   5.479598376    -2.201300089   -9.32248909    -8.61507004    -5.339823603   8.362376782    7.525559252    6.680196539    -3.072298349   0.1120029298   7.593310343    7.591479232    9.641712699    -0.737632374   7.371135594    9.266335032    3.501388592    -4.716025269   3.728446303    -4.750206      -4.578081606   4.786828211    -5.226905118   -2.601092563   1.288796655    -4.248481704   -0.3396710105  -1.039155248   -0.7791375469  0.2365184484   -7.030549028   -6.058839686   3.968932157    -6.316415906   -0.7217627491  5.885494552    3.071077609    8.960539567    3.552049318    -0.8011108737  -4.611651967   3.240760521    2.986846522    6.13391522     2.652363659    5.873897519    2438629.167    	1.41588e+06	1.41588e+06
7        NO_ID      -8.248847926   -6.061281167   6.275521104    5.880001221    7.291787469    2.178716391    -9.232154302   3.399456771    5.843379009    0.8871730705   8.465529344    -1.900387585   -9.407330546   3.406781213    0.6363109226   -7.722098453   6.337778863    -9.719840083   -9.141209143   9.583117161    8.978240303    3.265175329    -4.52436903    6.157109287    4.58784753     -9.363383892   0.1730399487   3.385418256    3.669240394    6.912137211    -6.673482467   -9.632557146   6.237678152    0.1034577471   -3.271889401   -5.755485702   3.343302713    9.64537492     4.313180944    6.496475112    -9.327372051   8.10113834     9.530625324    3.347575304    -0.1657155065  9.791863765    -8.03399762    8.395336772    2.975859859    -0.5392620624  1892084.511    	1.41588e+06	1.41588e+06
8        NO_ID      -7.986999115   7.958311716    -9.589220862   3.079622791    2.323374126    -9.154637288   2.521744438    -2.253791925   5.367900632    0.4593035676   -2.209845271   -1.443220313   6.252327036    -1.631214331   -9.147923215   -6.431775872   -5.087740715   2.429578539    -4.854579302   -8.538163396   8.328806421    2.651142918    7.796563616    9.381694998    -0.5111850337  -3.202307199   -4.673299356   -1.678212836   -6.260872219   3.839533677    5.801873836    9.174169134    3.144932402    3.372600482    3.052766503    -7.439497055   -0.5227820673  -0.8450575274  8.594927824    -4.410840175   -3.534958953   -5.146336253   6.862086856    8.639484848    1.924192022    0.1565599536   -0.6100650044  5.317239906    -9.603259377   -4.649494919   2408633.77     	1.41588e+06	1.41588e+06
9        NO_ID      -7.852107303   0.3549302652   7.238074892    -6.718649861   1.469466231    8.761558885    8.885464034    -0.1895199438  -8.740195929   -0.1126133     8.111514634    2.01330607     -8.080385754   -4.640949736   -8.428907132   -4.673299356   0.9396649068   1.30527665     -4.930265206   -0.2328562273  5.97338786     1.648915067    -3.818170721   4.573809015    3.413495285    4.87960448     6.440931425    -5.859859004   -6.900540178   2.423474837    8.725547044    -1.645252846   -0.2121036409  6.743064669    -4.535355693   0.4879909665   1.999267556    7.285073397    -6.711325419   5.737174596    -1.122165593   -7.593310343   9.750968963    3.563035981    -4.318674276   -4.593340861   7.741630299    6.942045351    -1.467635121   -7.225257118   2605758.536    	1.41588e+06	1.41588e+06
10       NO_ID      -7.332071902   -6.602069155   -3.164464248   0.6894131291   3.49284341     -8.610797449   -9.431745354   -0.9347819452  1.559190649    1.872920927    -7.701345866   -7.350993377   9.51597644     -3.245643483   -3.250526444   -4.04156621    -2.227546007   -7.058015687   -1.210058901   -2.406994842   -9.114352855   -4.319895016   -4.057435835   -4.766685995   -4.915005951   -1.519516587   1.076998199    0.04486220893  -2.452162236   7.786187323    0.9298989837   3.62285226     -1.933957945   -9.519028291   6.069215979    -9.395733512   3.715628529    -7.618945891   7.924130985    -9.933469649   7.158116398    5.823236793    8.51924192     8.84029664     -0.7974486526  -5.519272439   -1.479842524   -0.1419110691  -3.748588519   -6.463515122   2142859.313    	1.41588e+06	1.41588e+06
11       NO_ID      -6.924344615   -8.954435865   5.291604358    -2.899563585   -9.005706961   -7.529221473   -4.803308206   5.665761284    7.996154668    0.7589953307   -9.691152684   6.84438612     5.575426496    2.682271798    6.533097324    -5.737174596   8.84029664     -5.04074221    7.588427381    5.128635517    -8.93795587    -6.903592029   -9.007538072   4.790490432    -7.509689627   -2.547990356   2.357554857    6.345103305    -5.958128605   -5.342265084   3.635059664    8.400219733    -3.49345378    2.511978515    -9.068575091   4.128849147    5.87878048     -3.523361919   7.51884518     4.741660817    -4.548173467   5.901364177    7.664723655    -9.506210517   5.292825098    -1.904660176   -3.093050935   -7.643971068   9.723502304    -1.615955077   2662168.492    	1.41588e+06	1.41588e+06
12       NO_ID      -4.617145299   5.489364299    9.268776513    9.027069918    6.298715171    5.339823603    4.153874325    4.382152776    -9.763176366   -6.604510636   -9.273659474   1.388286996    2.212286752    8.998992889    7.808160649    3.041779839    4.844813379    -0.5459761345  -2.015137181   -1.921140172   -7.554857021   -9.722891934   9.368266854    -1.807611316   -8.143864254   5.16830958     8.172551653    2.793359172    0.6790368358   -6.165044099   7.74468215     -5.571153905   -6.496475112   -4.204535051   9.658192694    -2.001709037   -3.221228675   -1.720328379   2.505264443    6.875515       2.930082095    -3.639332255   -5.991698965   9.074068422    4.371776482    -6.567278054   2.07861568     -3.423871578   -1.983397931   -9.828485977   2541950.779    	1.41588e+06	1.41588e+06
13       NO_ID      -4.084902493   2.562028871    -5.358745079   5.345316935    -6.588641011   -4.338816492   -1.382183294   3.472090823    9.214453566    -3.353679006   -6.354258858   -5.055391095   -6.401257363   1.655629139    0.4208502457   0.3476058229   6.814477981    -6.065553758   7.224036378    -9.220557268   -2.278817103   -9.573351238   2.644428846    -7.796563616   3.245033113    5.912961211    -4.323557237   7.645191809    -5.720694601   -2.199468978   -6.170537431   5.370342112    3.65520188     4.71724601     -0.1339762566  -8.8390759     1.807000946    2.006591998    -2.197637867   -7.177648244   -4.238105411   7.269814142    8.790246284    -4.964445936   -2.929471725   -0.9311197241  7.503585925    -7.307657094   -5.690786462   1.920529801    1261529.473    	1.26153e+06	1.26153e+06
14       NO_ID      -3.356730857   -6.095461898   8.414868618    -4.513992737   4.019592883    -5.483260598   8.704184088    -2.81899472    4.408398694    -2.562028871   6.155278176    -9.246803186   -7.798394726   9.656361583    -0.6936857204  -7.917416913   -4.71968749    -9.022186956   8.392284921    -8.510086367   -0.3964354381  2.755516221    1.673329875    -2.751853999   -8.816492203   4.457228309    -1.784417249   9.752189703    6.073488571    6.221198157    2.731101413    -0.5191198462  8.975798822    -4.49324015    -1.876583148   -8.126163518   -8.878749962   5.97582934     -8.651081881   -7.755058443   8.024842067    6.721091342    -1.776482437   -6.138187811   7.74651326     -0.02410962249 2.798852504    2.310556352    -9.70885342    5.422833949    1466769.49     	1.26153e+06	1.26153e+06
15       NO_ID      -3.063753166   -0.718100528   8.764610736    -0.7718131046  -4.29914243    -1.11117893    -7.095248268   5.931272317    -5.801873836   -0.3469954527  5.635853145    -8.695638905   1.483504746    5.276955473    -6.761375774   -5.676747948   -2.834864345   -2.665181433   -0.2066103092  6.356089969    6.331064791    -7.003082369   6.493423261    -4.295480209   -1.584826197   -9.078341014   6.473891415    5.629749443    5.640736106    -1.56285287    -4.228949858   3.969542528    6.65211951     3.131504257    -8.959318827   -7.513351848   -9.026459548   1.990722373    -5.344096194   -5.928830836   9.908444472    -8.806726279   -2.183599353   5.914181951    9.509262368    9.699087497    2.289803766    -3.214514603   -8.753013703   -0.2548295541  1147864.028    	1.14786e+06	1.14786e+06
16       NO_ID      -3.022858364   -1.385845515   1.817987609    -1.327249977   6.279793695    6.240119633    -3.868221076   -7.208166753   6.838282418    -6.49098178    -5.594958342   -3.014923551   -0.5526902066  -6.563615833   1.395001068    -4.417554247   5.303811762    9.866939299    -6.729026154   6.962187567    -1.378521073   2.117679373    -3.809015168   -9.685659352   -1.17404706    -9.089938047   1.011078219    4.021423994    7.936338389    8.7121189      4.75142674     3.746757408    8.771324808    7.620777001    -0.5502487259  -1.609851375   9.602649007    7.911313211    -0.9848323008  -7.986388745   -9.127780999   0.3732413709   4.722128971    9.867549669    -0.3860591449  5.561998352    -0.04242072817 -3.354899747   7.184972686    3.084505753    845234.8989    	8.45235e+05	8.45235e+05
17       NO_ID      -1.970580157   -1.635486923   5.606555376    2.918485061    -7.468794824   -6.942655721   -8.658406323   3.022247993    0.01373332926  8.052308725    -8.424634541   -5.944700461   9.566637165    -2.117069002   7.279580065    9.357890561    2.390514847    5.284279916    1.242408521    -2.394177068   -8.665730766   5.082857753    -1.129490036   2.904446547    -6.882839442   -9.982299265   3.248695334    2.101199377    8.884853664    -8.411816767   5.085299234    -2.542497024   -1.302224799   -0.9292886135  -1.838740196   -7.207556383   5.602893155    9.823603015    0.9189123203   -8.770714438   -5.113376263   -5.992919706   -5.198828089   2.669454024    4.162419507    6.841944639    -0.02410962249 -0.8853419599  9.891354106    -8.469801935   1360208.977    	8.45235e+05	8.45235e+05
