%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         obj_fn         	best_so_far	best_so_far
1        NO_ID      -9.964598529   -5.926999725   8.383739738    -0.389721366   -6.822412793   -8.419751579   6.504409925    -1.01413007    -3.154087954   6.169927061    -6.968901639   7.313150426    -8.22748497    -9.233985412   3.805352947    3.211462752    -6.32984405    -6.481826228   -1.46641438    5.110324412    4.607989746    6.158330027    -1.796624653   -8.499710074   -5.256813257   -8.693807794   5.662099063    -8.297067171   -7.468794824   4.353465377    2.483291116    7.765434736    1.53050325     -4.468825343   5.248878445    -1.888180181   -8.060243538   7.803888058    -5.628528703   3.587450789    4.988860744    -3.791924802   -1.422467727   6.499526963    -1.704458754   4.262520219    8.182317576    3.295693838    -9.662465285   3.070467238    2591020.49     
2        NO_ID      -8.718832972   -3.802301096   -2.451551866   6.125980407    9.720450453    -0.6894131291  -5.630359813   -7.152012696   -8.994720298   -7.927793207   3.30118717     -6.809595019   2.201300089    0.9176915799   -7.84112064    -7.653126621   -8.204290902   -1.833246864   0.6338694418   -8.702963347   6.705221717    3.512375256    -1.671498764   5.187231056    -0.3726310007  -5.548570208   -4.037293619   2.215338603    -5.121311075   1.289407025    2.867824335    3.659474471    -9.174779504   -7.665334025   -6.110110782   -4.346751305   7.045808283    4.921720023    -1.161839656   -6.64967803    -5.661488693   7.867976928    -2.406384472   8.093203528    -4.282052065   -8.988006226   -5.991698965   -1.783806879   -3.501998962   7.443159276    2954912.347    	2.95491e+06	2.95491e+06
3        NO_ID      -8.677938169   1.17709891     -5.254982147   -4.191717277   3.830988495    6.583147679    6.492812891    6.395153661    5.402081362    9.42075869     -7.289345988   -8.601641896   -4.13861507    -7.708059938   9.353617969    1.677602466    -3.524582659   -0.1126133     6.891994995    2.195196387    -6.77846614    1.662343211    4.778893399    1.125217444    -8.018738365   -1.224097415   -6.858424635   -2.725608081   -1.237525559   -4.091616565   -0.1748710593  -8.544877468   8.093203528    8.588213752    -9.088106937   -2.576677755   -7.300943022   6.64906766     2.842799158    -1.986449782   -2.396618549   4.452955718    -5.734733116   2.095095676    -8.246406446   -1.517075106   -4.263740959   7.97235023     0.3231910154   2.958159124    1109491.362    	1.10949e+06	1.10949e+06
4        NO_ID      -8.620563372   -8.167668691   0.6320383312   -6.406750694   -2.873317667   7.7764214      -3.437910092   4.55671865     -2.14270455    -4.924771874   -4.861293374   0.5691702017   -4.900357067   5.988647114    -0.9524826807  5.187841426    -6.653340251   -8.460036012   -8.290353099   8.660847804    -9.698477126   3.278603473    -5.49241615    8.769493698    -3.147984252   5.855586413    -8.461256752   9.050874355    4.892422254    6.056398206    5.0389111      5.033417768    -8.87142552    -6.108279672   -5.406964324   -0.8969389935  -5.020599994   1.391338847    3.263954588    -5.377056185   -1.296731468   -5.285500656   3.75225074     9.945677053    7.883846553    5.210425123    7.728812525    2.920316172    0.3830072939   -4.960173345   1790106.698    	1.10949e+06	1.10949e+06
5        NO_ID      -8.589434492   8.018127995    -7.974791711   -6.802270577   -3.940855129   0.4361095004   2.126834925    1.490829188    -6.598406934   7.727591784    4.369335002    -3.799249245   3.589281899    -1.685537278   -3.146153142   2.919705802    0.1687673574   -9.411603137   -2.69081698    -0.2377391888  4.902188177    0.9573656423   1.441999573    -5.190893277   -2.069460128   5.840937529    -0.5423139134  9.060029908    -8.577227088   -6.766258736   3.860286264    5.515610218    4.821008942    9.471419416    -8.32392346    -4.97665334    9.812616352    -3.196813868   -5.790276803   -0.4995880001  3.155919065    7.42362743     -2.533951842   3.167516099    -4.517654958   9.566637165    6.363414411    -7.588427381   -5.801263466   -8.703573717   1862869.858    	1.10949e+06	1.10949e+06
6        NO_ID      -8.55159154    6.546525468    1.905270547    3.003936888    0.7876827296   6.373180334    -3.723563341   6.184575945    8.80855739     0.2908413953   8.588213752    3.030182806    8.998992889    -8.675496689   9.306009095    -6.479995117   -2.707296976   -5.937376019   -2.511978515   2.014526811    6.011841182    5.342265084    -8.7755974     -1.571398053   2.837916196    -0.1809747612  3.434858242    3.355510117    -2.040772729   1.042817469    -8.867763298   -7.248451186   -7.504196295   8.670003357    -3.698538163   7.827082125    -8.652912992   -7.575609607   6.49098178     5.745719779    -6.42628254    -6.543473617   -6.733298746   -3.218787194   3.445844905    3.692434462    -3.362224189   3.535569323    -4.722128971   3.829767754    1508145.662    	1.10949e+06	1.10949e+06
7        NO_ID      -8.381908628   -8.269600513   4.172795801    -1.971190527   4.349192785    7.413251137    5.068208869    2.804956206    -6.229132969   9.503769036    2.923978393    -8.731040376   -0.9616382336  -8.554643391   -5.316019166   -9.235816523   -6.396984771   -3.550828578   -9.971312601   4.33271279     2.101199377    -0.6741538743  8.35810419     -7.741630299   -1.783196509   5.400250252    4.566484573    7.251503037    1.647083956    -7.885677664   6.730857265    -6.123538926   2.294686728    8.949552904    -1.161229286   -7.119663076   9.810785241    1.296731468    -8.322702719   1.010467849    -3.384197516   -6.1015656     -4.984588153   6.979277932    -7.480391858   -0.5178991058  -5.804315317   -5.820795312   -0.9280678732  8.216498306    1487062.216    	1.10949e+06	1.10949e+06
8        NO_ID      -8.280587176   -5.889156774   -8.386181219   4.047059542    4.999237037    -1.835688345   8.287911618    6.003295999    7.772148808    -9.786980804   -7.826471755   -9.151585437   -6.080813013   -0.8713034455  -4.893642994   -2.261116367   -7.998596149   -8.84212775    -7.427900021   7.529221473    7.512131108    -4.349803156   9.036225471    -0.702230903   -4.198431349   -1.212500381   -0.7608264412  -1.056245613   -1.209448531   5.953245643    3.605761895    5.480208747    8.592486343    3.353679006    5.870235298    -9.35728019    -8.820154424   -0.4757835627  -8.941618091   -2.550431837   -6.785180212   -2.653584399   -8.053529466   -6.674092837   5.162205878    -2.809228797   2.117069002    3.43058565     3.823053682    1.824701682    2232485.28     	1.10949e+06	1.10949e+06
9        NO_ID      -8.160344249   -5.923337504   -8.576616718   3.448286386    -3.541062654   -3.663747063   -8.512527848   -2.856227302   -9.535508286   -1.238135929   1.699575793    1.578112125    9.335917234    -6.516006958   -0.0234992523  -9.920651875   1.842402417    -2.092043825   -7.059236427   -3.731498154   -3.335367901   7.373577074    0.4422132023   -7.014679403   8.105410932    -9.492782373   -8.000427259   -4.52436903    9.028901028    2.900173956    8.274483474    9.460432752    9.16135136     4.723349712    -9.287697989   -5.290993988   6.854762413    -2.07861568    -7.523728141   4.755088961    -7.538377026   8.596148564    -6.212042604   -6.643574328   -8.568071535   -9.790032655   -5.189062166   8.351390118    5.2641377      -6.757103183   2754720.387    	1.10949e+06	1.10949e+06
10       NO_ID      -8.147526475   7.856379894    -6.255378887   -9.846797082   1.391338847    8.22992645     -9.769890439   -5.831171606   -9.938352611   -3.329264199   -8.254951628   -1.473128452   2.037720878    -9.682607501   7.897885067    1.326029237    -7.74590289    6.680806909    9.216284677    -8.189031648   0.4824976348   -6.084475234   -1.180150761   7.861262856    1.382183294    -6.828516495   7.882625813    2.098757897    8.654133732    -1.36875515    -1.995605335   7.269203772    1.416364025    -9.126560259   3.630787072    1.493270669    -9.058198798   9.181493576    -2.372203742   4.033021027    -4.140446181   -1.584215827   -6.848048341   2.189092685    3.967711417    -3.905453658   4.929654836    -0.04730368969 8.766441847    -4.720297861   4824398.551    	1.10949e+06	1.10949e+06
11       NO_ID      -7.74590289    -4.482863857   9.849848933    7.530442213    3.344523453    6.664326914    2.413708914    -5.950804163   4.472487564    1.263161107    4.550004578    -9.813837092   7.363811151    1.841792047    5.563829463    7.374187445    9.686880093    9.509262368    9.793694876    -0.4031495102  -1.521347697   6.164433729    -7.516403699   8.278145695    -2.004150517   3.469038972    -4.615924558   7.985778375    -4.908291879   -0.808435316   0.1974547563   -1.418195135   5.26596881     -8.432569353   8.005920591    -0.553910947   -7.499313334   -7.708059938   2.800073244    -8.610797449   6.014282662    8.764610736    7.233191931    1.892452773    7.043977172    -3.777275918   8.726157414    -0.7119968261  8.805505539    -9.618518632   1835362.485    	1.10949e+06	1.10949e+06
