%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         obj_fn         	best_so_far	best_so_far
1        NO_ID      -9.960936308   7.194128239    -9.810174871   8.984344005    5.768913846    -3.625904111   -9.696646016   -4.58784753    -2.998443556   -1.33579516    -7.149571215   7.366863002    -1.202734458   -9.036225471   -9.105197302   4.376049074    6.407361064    -3.989684744   0.7681508835   -6.173589282   -1.457258827   5.055391095    -3.467818232   0.06317331462  -7.430951872   4.805749687    -8.326975311   -8.184759056   4.730063784    9.238258003    6.146122623    -6.432996612   -1.4639729     6.926786096    6.891994995    -3.505050813   -5.551011689   4.504226814    -0.03875850703 -5.39353618    3.9762566      -3.122348704   2.361827448    1.693472091    1.299172948    4.828943754    -8.242133854   -5.269020661   -4.425489059   -9.378032777   3778876.478    
2        NO_ID      -9.654530473   9.650868252    -0.8584856716  -6.16748558    -5.873897519   8.569292276    3.987243263    -2.65785699    0.8999908444   2.004760887    5.417340617    -1.180150761   6.23340556     -4.504837184   0.1077303385   -1.635486923   9.448225349    2.217169713    5.102389599    5.125583666    -7.752006592   -0.3933835871  -9.555040132   -8.087099826   -2.615741447   5.868404187    -7.84234138    8.756675924    -9.519028291   6.988433485    -6.300546281   -8.96969512    -1.843012787   -5.120090335   -5.97521897    7.780083621    5.55406354     7.291787469    -9.631336406   5.862300485    6.408581805    -9.909054842   -6.112552263   -4.467604602   8.788415174    -7.437055574   6.266975921    -6.891994995   9.615466781    -3.663136692   2367628.404    	2.36763e+06	2.36763e+06
3        NO_ID      -9.041718802   -1.88329722    -5.081637013   6.708273568    3.689382611    8.889126255    -4.71968749    8.875087741    3.564256722    1.739860225    4.498123112    2.326425977    6.654560991    1.863155004    -3.23587756    5.158543657    6.64967803     -5.742667928   8.889736625    1.518295846    -2.633442183   8.689535203    7.914365062    -8.725547044   6.242561113    -8.273873104   -2.49671926    3.320108646    -3.07718131    -8.534501175   6.265755181    3.131504257    9.077730644    -9.415265358   -8.900112918   -4.784386731   -6.428113651   -6.664326914   -1.285744804   -8.939786981   -8.890957366   2.10974456     -1.570177313   3.218176824    -7.52067629    9.19614246     9.401837214    -3.851130711   8.530228584    -0.634479812   2213426.174    	2.21343e+06	2.21343e+06
4        NO_ID      -8.803064058   2.635273293    5.250099185    5.283059175    -4.434644612   1.533555101    -0.6967375713  -9.397564623   -2.016357921   -3.317667165   -5.972167119   3.769341105    -7.090365307   9.289529099    2.059694205    8.094424268    -3.251747185   1.126438185    -4.87838374    7.282631916    -8.250679037   -4.664754173   4.116641743    -2.33436079    -8.176824244   -8.516190069   -3.562425611   8.746299631    3.391521958    -4.484084597   8.644978179    -2.30384228    4.401684622    -4.802697836   2.602313303    -6.580706198   -5.366679891   1.703848384    3.231604968    -4.185003204   0.4208502457   7.962584307    5.979491562    5.853755303    6.905423139    4.376049074    -7.853938414   -7.894222846   0.9610278634   2.557756279    1580206.721    	1.58021e+06	1.58021e+06
5        NO_ID      -8.474684896   -1.797235023   7.872249519    -7.512741478   -0.4000976592  -0.09186071352 -9.519638661   4.962004456    -9.159520249   -8.521073031   6.019775994    9.189428388    0.8206427198   7.965636158    -5.961180456   2.426526688    0.04425183874  1.029389325    0.02655110324  -3.225501267   -3.484908597   3.738212226    3.545335246    7.264931181    -6.025269326   8.353221229    7.346720786    -2.97952208    -1.075167089   -2.235480819   5.585802789    5.109103671    -0.4354991302  1.173436689    -0.7364116337  -7.285073397   9.768059328    -5.340433973   -2.97830134    -6.736350597   1.225928526    -2.736594745   9.409161657    2.106692709    -3.124179815   3.190099796    -5.243385113   -8.590655232   8.746910001    0.7785271767   3061566.96     	1.58021e+06	1.58021e+06
6        NO_ID      -7.832575457   -9.991454817   -4.212469863   5.143894772    -6.802270577   2.067629017    2.17261269     -5.718863491   -7.022614216   4.938810389    -4.436475723   2.202520829    2.632221442    2.637714774    1.731925413    8.124332408    4.907681509    -4.271065401   2.59193701     5.494247261    -8.105410932   0.6405835139   0.7437360759   0.8554338206   -9.074678793   4.49140904     -2.504654073   -7.709280679   -8.251899777   -3.946958831   2.480239265    -6.946317942   -1.875972777   3.464766381    3.008819849    -3.971373638   -3.038727989   -0.6662190619  -8.732261116   4.627521592    8.109683523    3.845637379    -2.505264443   5.762810144    7.950376904    6.500747703    7.258217109    -9.4860683     9.893185217    -2.88308359    2279853.066    	1.58021e+06	1.58021e+06
7        NO_ID      -7.404705954   -5.723746452   2.739036225    -4.190496536   -5.699331645   -3.511154515   -5.377056185   3.070467238    8.347117527    -6.84377575    9.340800195    1.360209967    -3.651539659   9.948118534    8.333689383    1.007415998    -6.6502884     -6.343882565   5.449079867    7.786797693    -9.920651875   -2.071901608   -7.740409558   -0.5502487259  5.872676778    -3.006988739   -0.6314279611  -5.682241279   5.383159886    8.030945769    -8.193304239   -2.424695578   2.209845271    -7.206335643   6.670430616    0.8798486282   2.56019776     -0.8841212195  -8.906826991   0.9207434309   -7.921689505   -7.076326792   8.71028779     -7.453535569   -1.034882656   1.386455885    -7.285683767   2.086550493    -3.49345378    -2.183599353   1338190.962    	1.33819e+06	1.33819e+06
8        NO_ID      -6.918851283   4.548173467    -8.770104068   8.941007721    9.523300882    -4.313791314   -3.689992981   -1.427350688   4.958342235    -0.4489272744  4.711142308    1.859492782    4.198431349    -9.179662465   -4.935758538   4.91012299     -7.090975677   -9.487289041   0.2664265877   -8.806726279   4.209418012    -1.299172948   -8.173162023   0.9958189642   2.797631764    -5.388042848   2.068239387    -2.681051057   9.756462294    -5.258644368   -7.697683645   -6.146732994   1.132541887    9.584948271    5.110324412    -9.35605945    3.443403424    9.64415418     8.84151738     -6.923123875   -0.7882930998  1.30405591     -7.524948881   -0.1882992035  5.671864986    3.223670156    -1.050141911   -4.71663564    -0.2395702994  3.858455153    2271254.498    	1.33819e+06	1.33819e+06
9        NO_ID      -6.632587664   3.234656819    2.566911832    -5.36118656    7.618945891    -7.123935667   -0.8481093783  0.2621539964   8.868984039    1.995605335    -8.491775262   9.091769158    9.570299387    3.673512986    -0.927457503   -3.229773858   -9.071626942   -0.1101718192  9.118015076    -8.159733879   6.234626301    4.026306955    -8.254951628   3.264564959    0.7974486526   -6.439710685   4.293038728    -0.2945036164  -3.393963439   8.590655232    -1.72154912    1.189306314    -0.1571703238  1.791741691    -7.990050966   -6.224860378   -0.6302072207  -4.545731986   1.987670522    7.861262856    -5.679799799   -8.788415174   -3.788262581   -9.261452071   -1.084933012   8.088930937    2.540055544    -5.954466384   2.633442183    -5.503402814   1518001.732    	1.33819e+06	1.33819e+06
10       NO_ID      -6.467787713   -6.365245521   -9.560533464   -1.474959563   -0.7333597827  -9.443342387   0.621662038    -4.828943754   -2.365489669   0.8804589984   2.312387463    5.280007324    2.275154881    0.5368205817   7.181310465    5.455183569    -1.459089938   -2.029786065   6.384777367    2.741477706    -6.256599628   -4.098330638   7.789849544    -4.533524583   -2.869655446   3.906064028    0.727866451    -8.535111545   7.706228828    7.439497055    -8.58211005    -5.687124241   -1.964476455   8.934293649    2.182378613    -1.808221686   -7.854548784   6.591692862    -2.435071871   2.0126957      5.655995361    6.494644002    -9.497054964   3.423871578    6.257820368    -6.338389233   -8.349559008   3.321939756    2.674336985    -2.321543016   2212020.384    	1.33819e+06	1.33819e+06
11       NO_ID      -6.357310709   -3.505050813   -1.85338908    8.962370678    0.01312295907  -6.061281167   8.223212378    -4.700766015   -0.06256294443 -8.543046358   1.487777337    4.961394086    1.839960936    -4.6867275     -5.450910978   -8.076113163   2.394787439    9.672841578    2.345957823    -0.924405652   -0.1773125401  9.218115787    2.790307321    -3.207800531   0.6607257302   -8.657185583   2.695089572    -2.351451155   -1.868648335   -6.464125492   8.123111667    -2.114627522   -9.757072665   -8.415478988   -7.734916227   6.257209998    -4.258857997   4.228949858    3.990905484    -9.107028413   -3.971373638   -0.1187170019  -9.816888943   4.785607471    1.201513718    -8.958708457   -5.010223701   0.5398724326   8.295846431    -7.963194678   1525661.356    	1.33819e+06	1.33819e+06
