%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         obj_fn         	best_so_far	best_so_far
1        NO_ID      -9.984130375   -7.350993377   -7.750175481   -6.209601123   9.611194189    6.399426252    -3.438520463   -5.320291757   -6.049684133   6.933500168    -9.410992767   -3.162022767   1.351054415    3.297524949    5.213476974    3.573412275    4.051332133    2.300180059    -0.5673390912  9.617297891    -7.330851161   -2.354503006   5.463728751    8.327585681    7.10135197     -0.2688680685  -8.148747215   4.864345225    9.494613483    -0.7657094028  5.205542161    -6.533097324   4.913785211    7.612842189    1.203344829    6.960356456    5.327005829    7.642750328    5.468611713    -3.393353069   2.538224433    -2.874538408   -5.03952147    -9.556260872   5.690176092    -1.122775964   0.4977568896   8.214667196    8.961760308    0.1370281075   3222615.899    
2        NO_ID      -9.958494827   -6.245612964   1.093478195    3.671071505    -7.935728019   -1.229590747   -7.797173986   -6.374401074   7.079378643    -5.088351085   -7.239906003   7.393719291    -7.690359203   1.063570055    4.440748314    -5.04135258    2.775658437    7.256385998    1.885738701    8.185369427    5.510116886    -5.496078372   5.696890164    4.344920194    1.482284005    -8.444776757   4.679403058    1.871700186    -9.171117283   1.680043947    7.977843562    6.467787713    7.039094211    2.62428663     -2.286751915   -4.313180944   -4.296090579   -7.145908994   2.756126591    0.1162755211   3.470259713    7.213049715    4.253975036    9.29013947     -7.19962157    -4.888149663   -6.453749199   0.4489272744   8.193914609    4.398022401    2591361.744    	2.59136e+06	2.59136e+06
3        NO_ID      -9.745475631   4.921720023    -3.942686239   1.72276986     4.061098056    -0.6106753746  -4.651936399   4.716025269    5.65172277     3.412274545    -4.626911222   -7.07022309    2.43202002     9.940183721    1.785637989    5.900143437    -3.689992981   1.695303201    -8.924527726   -9.816278573   9.539780877    -3.852351451   8.149357585    9.117404706    7.943052461    -1.662953581   0.357371746    3.23587756     -7.853328043   9.675893429    3.589281899    -5.510727256   -2.553483688   -9.149754326   6.067384869    -2.634662923   -7.07083346    6.954863124    5.454573199    -9.946897794   0.4800561541   -7.03604236    4.915005951    8.77498703     4.29853206     7.699514756    3.740653706    -1.601916562   -8.458204901   -5.616931669   1079073.587    	1.07907e+06	1.07907e+06
4        NO_ID      -9.486678671   3.209021271    -2.089602344   4.302194281    -2.932523576   2.668843654    5.019989624    -2.047486801   -3.154698325   4.152653584    9.090548418    7.245399335    3.243202002    5.767082736    -9.071016572   -5.622425001   5.807977538    0.4397717215   -2.966093936   -5.991088595   8.114566485    4.802697836    5.455183569    -1.828363903   5.519882809    8.416089358    -9.400006104   4.350413526    -6.570940275   -8.51802118    2.615741447    -0.148014771   6.691793573    9.152806177    6.958525346    5.584582049    0.7547227393   -9.437849055   -0.2151554918  -7.619556261   -4.798425245   -9.280983917   4.794763024    -7.019562365   -9.700308237   3.36527604     7.137974181    2.806176946    -2.824488052   -7.056794946   901696.3201    	9.01696e+05	9.01696e+05
5        NO_ID      -9.29074984    -8.876308481   7.991271706    -5.42527543    -1.27292703    -1.817987609   3.212683493    -9.459822382   -6.52088992    3.363444929    7.206946013    -3.606982635   -6.918851283   1.083101901    0.4446546831   9.556260872    -1.248512223   -2.771385846   6.644795068    4.743491928    -1.260109256   -0.1297036653  -6.874294259   -4.601275674   -3.485518967   -2.792748802   9.483016449    0.1718192083   3.830988495    0.8584856716   -9.797357097   -2.439954833   9.308450575    2.633442183    -3.14065981    1.838740196    3.137607959    2.904446547    5.496078372    3.405560472    8.55220191     -1.297341838   -5.170751061   6.662495804    0.6729331339   9.671620838    0.9042634358   8.565019684    3.371990112    9.989013337    3097670.61     	9.01696e+05	9.01696e+05
6        NO_ID      -8.876918851   -3.114413892   5.81469161     7.438276315    6.155888546    2.784203619    -6.083254494   9.366435743    -9.237647633   -9.520249031   8.191473128    8.716391491    3.424481948    8.684652242    0.05340739158  8.591875973    -7.234412671   7.700735496    0.04608294931  2.998443556    9.866939299    5.004119999    -6.396374401   -7.949766533   -4.863734855   7.111117893    7.947935423    3.779717399    5.388653218    -9.142429884   0.7437360759   -9.328592792   -3.26883755    -2.778099918   -8.865321818   -0.9494308298  8.909878842    0.8096560564   3.793145543    -0.5526902066  6.711325419    8.126773888    6.591692862    -3.939634388   4.070863979    7.768486587    -7.45536668    3.451338237    6.495864742    5.644398328    3043096.486    	9.01696e+05	9.01696e+05
7        NO_ID      -8.845179601   -4.146549883   -0.8993804743  -5.139011811   8.488723411    2.645039216    -8.22992645    9.479964599    -8.527176733   -1.01290933    9.391460921    9.058809168    -1.735587634   -6.525772881   7.009796442    -4.033021027   9.224829859    -7.393719291   -7.634205145   -4.725180822   -5.728019044   1.246681112    -2.989898373   3.904843287    -2.07800531    -9.99938963    6.675313578    2.01147496     -2.352061525   2.629779962    -8.467360454   4.714194159    1.189306314    6.628315073    6.959135716    2.30262154     -1.572618793   0.09491256447  5.42832728     7.047639393    -6.538590655   -1.990722373   -9.827875607   -5.26657918    -7.501754814   -8.942228462   -8.785363323   -0.9494308298  -6.807763909   0.1150547807   3103643.216    	9.01696e+05	9.01696e+05
8        NO_ID      -8.543046358   9.121066927    -2.94717246    6.923734245    -2.993560595   -4.408398694   -0.425122837   -0.3122043519  -0.6759849849  2.004150517    -5.345316935   8.253730888    1.937009796    0.05340739158  -9.619129002   8.832361827    4.777672658    -5.751823481   -9.691152684   9.520859401    -2.726828822   5.146336253    -3.748588519   4.419385357    8.503372295    1.376689962    4.711142308    6.84255501     0.05401776177  3.581957457    7.564012574    9.765007477    -2.806176946   -6.611835078   -2.369762261   -8.3886227     3.990295114    -9.445173498   9.749748222    -4.468825343   -1.996215705   -8.602862636   -2.009643849   0.2633747368   -9.831537828   -8.365428632   -0.3823969237  -9.25840022    5.502792444    6.774193548    1467480.992    	9.01696e+05	9.01696e+05
9        NO_ID      -8.393505661   -7.277138585   -2.486342967   1.484115116    -3.747978149   -3.214514603   -3.94573809    -0.4995880001  3.832209235    1.546372875    2.123783074    -8.319650868   1.789910581    7.183141575    -2.338023011   -5.207373272   2.060304575    1.181371502    0.3366191595   5.453962828    -4.065370647   -3.759575182   2.33375042     6.256599628    8.184759056    -9.597766045   2.469252602    -8.06695761    -8.934293649   7.529831843    -2.75246437    -1.313821833   8.836634419    6.268196661    6.487319559    9.802240059    -6.599627674   -4.399853511   -0.8554338206  0.6869716483   1.714224677    5.13657033     -5.043183691   -3.564867092   -4.426099429   8.247016816    7.531052583    5.066377758    -5.58885464    6.179692984    1012104.226    	9.01696e+05	9.01696e+05
10       NO_ID      -8.334299753   0.1956236457   -7.564012574   3.81694998     -9.405499435   1.826532792    0.4538102359   -3.458052309   -4.438306833   -2.935575426   5.608996857    4.600054933    -7.581102939   8.599810785    9.101535081    6.590472121    8.772545549    -6.613055818   -9.264503922   1.075167089    5.001068148    -7.903988769   -6.912137211   -3.411053804   -3.279213843   4.216742454    8.673055208    -7.369914853   4.318674276    1.960814234    -9.253517258   9.747306742    -4.822229682   6.074098941    -1.628162481   -3.141880551   -5.767693106   -3.311563463   -3.641773736   -6.078981903   8.458815271    2.338023011    0.7138279366   -1.926023133   0.9408856471   0.263985107    -9.768059328   -8.61445967    0.1309244057   -8.864711447   1659359.065    	9.01696e+05	9.01696e+05
11       NO_ID      -7.19779046    -7.811822871   -8.283028657   -4.195989868   -1.674550615   8.00347911     -7.532273324   -7.094027528   -2.88247322    -3.158360546   3.78398999     5.035859249    3.7858211      3.800469985    -6.375011444   8.555253761    -1.488387707   -9.473250526   0.4580828272   7.84234138     -1.163670766   2.379528184    4.270455031    4.736777856    3.818781091    -1.559190649   9.038666952    -6.348765526   1.20822779     -7.496871853   -7.743461409   -4.530472732   -1.753288369   3.165074618    7.169713431    -6.640522477   6.730246895    1.140476699    -6.680196539   3.62468337     2.952055422    -8.06695761    1.043427839    4.720908231    -6.84438612    1.97912534     5.533310953    -2.439344462   5.118869594    6.394543291    2622360.392    	9.01696e+05	9.01696e+05
