FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	1.25200e+05	1.26700e+06	8.31500e+02	-1.15000e+06	-5.40400e+04	1.57900e+04	-4.06700e+05	-1.35100e+06	1.06700e+04	4.69400e+01	-1.54220e+05
2	4.28400e+01	-5.34800e+05	8.31500e+02	-1.15000e+06	-5.40400e+04	-1.74000e+03	-4.06700e+05	-1.35100e+06	3.21000e+02	4.69400e+01	-3.49704e+05
3	1.22400e+01	-5.34800e+05	2.98000e+02	-1.15000e+06	-5.40400e+04	-1.74000e+03	-4.06700e+05	-1.35100e+06	3.21000e+02	-1.66500e+05	-3.66415e+05
4	1.22400e+01	-5.34800e+05	-4.70600e+05	-1.15000e+06	-5.40400e+04	-1.74000e+03	-4.06700e+05	-1.35100e+06	-2.06700e+02	-1.66500e+05	-4.13557e+05
5	-1.48300e+05	-2.33300e+06	-6.14200e+06	-1.15000e+06	-5.40400e+04	-1.74000e+03	-4.06700e+05	-1.35100e+06	-2.06700e+02	-1.66500e+05	-1.17535e+06
6	-1.48300e+05	-2.33300e+06	-6.14200e+06	-1.15000e+06	-5.40400e+04	-1.74000e+03	-4.06700e+05	-1.35100e+06	-2.06700e+02	-1.66500e+05	-1.17535e+06
7	-1.48300e+05	-2.33300e+06	-6.14200e+06	-1.15000e+06	-5.40400e+04	-8.28500e+03	-4.06700e+05	-1.35100e+06	-2.06700e+02	-1.66500e+05	-1.17600e+06
8	-1.48300e+05	-2.33300e+06	-6.14200e+06	-1.15000e+06	-9.08300e+04	-8.28500e+03	-4.06700e+05	-1.35100e+06	-2.06700e+02	-1.66500e+05	-1.17968e+06
9	-1.48300e+05	-2.33300e+06	-6.14200e+06	-1.15000e+06	-9.08300e+04	-8.28500e+03	-4.06700e+05	-1.35100e+06	-1.75200e+03	-1.66500e+05	-1.17984e+06
10	-1.48300e+05	-2.33300e+06	-6.14200e+06	-1.15000e+06	-8.04100e+05	-1.32700e+04	-6.61300e+05	-1.35100e+06	-1.75200e+03	-1.66500e+05	-1.27712e+06
11	-1.48300e+05	-2.33300e+06	-6.14200e+06	-1.15000e+06	-8.04100e+05	-1.32700e+04	-6.61300e+05	-1.35100e+06	-1.75200e+03	-1.66500e+05	-1.27712e+06
12	-1.48300e+05	-2.85600e+06	-6.14200e+06	-1.15000e+06	-8.04100e+05	-1.11000e+05	-6.61300e+05	-1.35100e+06	-1.75200e+03	-1.66500e+05	-1.33920e+06
13	-3.65200e+06	-2.85600e+06	-6.14200e+06	-1.15000e+06	-8.04100e+05	-1.11000e+05	-6.61300e+05	-1.35100e+06	-9.42300e+03	-1.66500e+05	-1.69033e+06
14	-5.07600e+06	-2.85600e+06	-6.14200e+06	-1.15000e+06	-8.04100e+05	-1.71000e+05	-6.61300e+05	-1.35100e+06	-1.60900e+04	-1.66500e+05	-1.83940e+06
15	-5.07600e+06	-3.61000e+06	-6.14200e+06	-2.21500e+06	-8.04100e+05	-1.71000e+05	-6.61300e+05	-1.35100e+06	-1.60900e+04	-2.13500e+05	-2.02600e+06
16	-5.07600e+06	-3.61000e+06	-6.14200e+06	-1.53800e+07	-8.04100e+05	-1.71000e+05	-6.61300e+05	-1.35100e+06	-1.60900e+04	-2.13500e+05	-3.34250e+06
17	-5.07600e+06	-3.61000e+06	-6.14200e+06	-1.53800e+07	-1.20300e+06	-1.79500e+05	-7.78500e+05	-1.35100e+06	-1.60900e+04	-2.13500e+05	-3.39496e+06
18	-5.07600e+06	-7.87900e+06	-6.14200e+06	-1.53800e+07	-1.20300e+06	-1.79500e+05	-7.78500e+05	-1.35100e+06	-1.60900e+04	-2.13500e+05	-3.82186e+06
19	-5.07600e+06	-7.87900e+06	-8.79100e+06	-1.78100e+07	-1.20300e+06	-1.79500e+05	-3.13200e+06	-1.35100e+06	-2.44700e+04	-2.13500e+05	-4.56595e+06
20	-5.07600e+06	-7.87900e+06	-8.79100e+06	-1.78100e+07	-1.20300e+06	-1.79500e+05	-4.77100e+06	-1.35100e+06	-2.44700e+04	-2.13500e+05	-4.72985e+06
21	-5.07600e+06	-7.87900e+06	-8.79100e+06	-1.78100e+07	-1.20300e+06	-1.79500e+05	-4.77100e+06	-1.35100e+06	-2.44700e+04	-2.13500e+05	-4.72985e+06
22	-5.07600e+06	-7.87900e+06	-8.79100e+06	-1.78100e+07	-1.20300e+06	-1.79500e+05	-4.77100e+06	-1.35100e+06	-2.44700e+04	-2.13500e+05	-4.72985e+06
23	-5.07600e+06	-7.87900e+06	-8.79100e+06	-1.78100e+07	-1.20300e+06	-1.79500e+05	-4.77100e+06	-1.35100e+06	-2.44700e+04	-2.13500e+05	-4.72985e+06
24	-5.07600e+06	-7.87900e+06	-8.79100e+06	-1.78100e+07	-1.20300e+06	-1.79500e+05	-4.77100e+06	-1.35100e+06	-2.44700e+04	-2.13500e+05	-4.72985e+06
25	-5.07600e+06	-7.87900e+06	-8.79100e+06	-1.78100e+07	-1.20300e+06	-1.79500e+05	-4.77100e+06	-1.35100e+06	-2.44700e+04	-2.13500e+05	-4.72985e+06
26	-5.07600e+06	-7.87900e+06	-8.79100e+06	-1.78100e+07	-1.20300e+06	-2.12400e+05	-4.77100e+06	-1.35100e+06	-2.44700e+04	-2.13500e+05	-4.73314e+06
27	-5.07600e+06	-7.87900e+06	-8.79100e+06	-1.78100e+07	-1.20300e+06	-2.12400e+05	-4.77100e+06	-1.35100e+06	-2.44700e+04	-2.13500e+05	-4.73314e+06
28	-5.07600e+06	-7.87900e+06	-8.79100e+06	-1.78100e+07	-1.20300e+06	-2.12400e+05	-4.77100e+06	-1.35100e+06	-2.44700e+04	-2.13500e+05	-4.73314e+06
29	-5.07600e+06	-7.87900e+06	-8.79100e+06	-1.78100e+07	-1.20300e+06	-2.12400e+05	-4.77100e+06	-1.35100e+06	-2.44700e+04	-2.13500e+05	-4.73314e+06
30	-5.07600e+06	-7.87900e+06	-8.79100e+06	-1.78100e+07	-1.20300e+06	-2.12400e+05	-4.77100e+06	-1.35100e+06	-1.81900e+05	-2.13500e+05	-4.74888e+06
31	-5.07600e+06	-7.87900e+06	-8.79100e+06	-1.78100e+07	-1.20300e+06	-2.12400e+05	-4.77100e+06	-1.35100e+06	-1.81900e+05	-2.13500e+05	-4.74888e+06
32	-5.07600e+06	-7.87900e+06	-8.79100e+06	-1.78100e+07	-1.27200e+06	-3.57800e+05	-4.77100e+06	-3.05000e+06	-2.91900e+05	-2.13500e+05	-4.95122e+06
33	-1.52800e+07	-1.45300e+07	-8.79100e+06	-1.84300e+07	-1.50500e+06	-8.30400e+05	-4.77100e+06	-3.05000e+06	-2.91900e+05	-2.13500e+05	-6.76928e+06
34	-1.52800e+07	-1.45300e+07	-8.79100e+06	-1.84300e+07	-1.50500e+06	-8.30400e+05	-4.77100e+06	-3.05000e+06	-2.91900e+05	-3.14700e+05	-6.77940e+06
35	-1.52800e+07	-1.45300e+07	-8.79100e+06	-1.84300e+07	-1.50500e+06	-8.30400e+05	-4.77100e+06	-3.05000e+06	-2.91900e+05	-3.14700e+05	-6.77940e+06
36	-1.52800e+07	-1.45300e+07	-8.79100e+06	-5.92500e+07	-1.50500e+06	-8.30400e+05	-4.77100e+06	-4.12000e+07	-2.91900e+05	-3.14700e+05	-1.46764e+07
37	-1.56500e+07	-1.45300e+07	-8.79100e+06	-1.01200e+08	-1.50500e+06	-8.30400e+05	-4.77100e+06	-4.12000e+07	-1.30700e+06	-3.14700e+05	-1.90099e+07
