FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	-587.948	196525.0	-31.0336	-1354.33	-1216.25	116.586	-2465.6	-121044.0	-5684.04	-3.71213	6425.467226999997
2	-17787.8	144.373	-31.0336	-1354.33	-1216.25	-91607.0	-7813.7	-121044.0	-8007.43	-111125.0	-35984.21706
3	-17787.8	-9329.89	-31.0336	-33653.9	-1216.25	-91607.0	-7813.7	-121044.0	-8007.43	-111125.0	-40161.60036
4	-25046.6	-9329.89	-51972.5	-33653.9	-16253.1	-158226.0	-115616.0	-121044.0	-8007.43	-111125.0	-65027.442
5	-25046.6	-585391.0	-51972.5	-33653.9	-16253.1	-272528.0	-115616.0	-121044.0	-8007.43	-111125.0	-134063.753
6	-25046.6	-585391.0	-51972.5	-33653.9	-85668.9	-272528.0	-10158200.0	-121044.0	-8007.43	-111125.0	-1145263.733
7	-25046.6	-585391.0	-51972.5	-33653.9	-85668.9	-1963330.0	-10158200.0	-121044.0	-8007.43	-111125.0	-1314343.933
8	-25046.6	-585391.0	-51972.5	-33653.9	-85668.9	-1963330.0	-10158200.0	-121044.0	-8007.43	-111125.0	-1314343.933
9	-25046.6	-585391.0	-51972.5	-33653.9	-85668.9	-1963330.0	-10158200.0	-121044.0	-8007.43	-111125.0	-1314343.933
10	-25046.6	-585391.0	-51972.5	-33653.9	-85668.9	-1963330.0	-10158200.0	-121044.0	-11266.6	-111125.0	-1314669.85
11	-25046.6	-585391.0	-51972.5	-33653.9	-85668.9	-1963330.0	-10158200.0	-121044.0	-13317.6	-726394.0	-1376401.85
12	-25046.6	-3150080.0	-51972.5	-33653.9	-85668.9	-1963330.0	-10158200.0	-121044.0	-13317.6	-726394.0	-1632870.75
13	-25046.6	-3150080.0	-51972.5	-33653.9	-85668.9	-1963330.0	-10158200.0	-121044.0	-91135.6	-726394.0	-1640652.55
14	-25046.6	-3150080.0	-51972.5	-33653.9	-85668.9	-1963330.0	-10158200.0	-121044.0	-91135.6	-726394.0	-1640652.55
15	-25046.6	-3150080.0	-71556.2	-258251.0	-85668.9	-1963330.0	-10158200.0	-121044.0	-91135.6	-726394.0	-1665070.6300000001
16	-25046.6	-3150080.0	-71556.2	-258251.0	-85668.9	-1963330.0	-10158200.0	-121044.0	-91135.6	-726394.0	-1665070.6300000001
17	-343152.0	-3150080.0	-71556.2	-258251.0	-85668.9	-1963330.0	-10158200.0	-121044.0	-91135.6	-726394.0	-1696881.1700000004
18	-343152.0	-3150080.0	-71556.2	-258251.0	-85668.9	-1963330.0	-10158200.0	-121044.0	-91135.6	-726394.0	-1696881.1700000004
19	-343152.0	-3150080.0	-71556.2	-258251.0	-85668.9	-1963330.0	-10158200.0	-121044.0	-91135.6	-726394.0	-1696881.1700000004
20	-343152.0	-3150080.0	-71556.2	-258251.0	-85668.9	-1963330.0	-10158200.0	-121044.0	-91135.6	-726394.0	-1696881.1700000004
21	-343152.0	-3150080.0	-71556.2	-258251.0	-85668.9	-1963330.0	-10158200.0	-121044.0	-91135.6	-726394.0	-1696881.1700000004
