%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far	best_so_far
1        NO_ID      0              0              0              0              0              0              0              0              0              0              3101894.698    
2        NO_ID      -5.119439006   4.308628654    -2.158210505   -2.963958544   2.348755578    0.334994476    -1.74784191    2.581022905    2.61196637     0.438786781    -2465.596285   	-2.46560e+03	-2.46560e+03	-2.46560e+03	-2.46560e+03
3        NO_ID      1.889428914    1.39176555     3.243596009    -2.641871117   -1.28787       2.128909858    2.027987851    -4.568194012   1.883233846    -0.3287484147  -7813.695872   	-7.81370e+03	-7.81370e+03	-7.81370e+03	-7.81370e+03
4        NO_ID      4.325394649    3.147868022    -3.86215424    0.1336879421   4.333242712    1.930254777    1.47204337     0.7929112176   4.218833899    4.18134181     19496.33785    	-7.81370e+03	-7.81370e+03	-7.81370e+03	-7.81370e+03
5        NO_ID      -1.308202871   -1.685644515   3.452630586    -1.717743657   -3.557650513   -2.072170671   -0.7324674538  -2.100496367   4.477559795    0.5874759176   -115616.0723   	-1.15616e+05	-1.15616e+05	-1.15616e+05	-1.15616e+05
6        NO_ID      2.34774732     3.869204516    -4.519702472   -2.319453748   0.6208514383   0.09012408976  -0.8044234065  -3.144193024   4.187850418    -4.558030443   9083.18002     	-1.15616e+05	-1.15616e+05	-1.15616e+05	-1.15616e+05
7        NO_ID      -1.377654322   -1.596187084   1.683671406    4.345322313    0.1521137167   -3.424763874   -0.9664339857  -2.21599738    -1.387963274   -0.7787490014  -10158182.29   	-1.01582e+07	-1.01582e+07	-1.01582e+07	-1.01582e+07
8        NO_ID      -1.714466341   0.3242010953   1.167807954    -2.731718777   4.162506589    -0.4317512204  3.717238278    1.383733905    1.375741437    0.1663337112   1647.670685    	-1.01582e+07	-1.01582e+07	-1.01582e+07	-1.01582e+07
9        NO_ID      0.0506845546   1.93530917     4.501223445    -1.057565759   2.13229318     -2.548523268   0.8894430904   -1.529980047   -1.734657687   -1.111738089   2697.507481    	-1.01582e+07	-1.01582e+07	-1.01582e+07	-1.01582e+07
10       NO_ID      3.017944082    3.866190123    -3.982603173   3.268475989    -4.324045596   -0.9543278055  -3.547426814   -4.322467951   5.081140766    -2.867143725   -2725.727151   	-1.01582e+07	-1.01582e+07	-1.01582e+07	-1.01582e+07
11       NO_ID      1.355408886    -3.642851147   -0.4392270209  0.9514589767   -3.708978404   4.319958229    3.937949633    3.999482636    3.944662074    4.175486044    62.618581      	-1.01582e+07	-1.01582e+07	-1.01582e+07	-1.01582e+07
12       NO_ID      2.673948969    -2.299683026   -5.012617211   -2.577470182   -4.341352043   -5.103783159   1.196442512    -2.750706886   2.469364613    -0.108945067   1.326535       	-1.01582e+07	-1.01582e+07	-1.01582e+07	-1.01582e+07
13       NO_ID      1.920259274    -2.682382783   3.912570242    -2.711937336   -1.290802796   4.037399425    -3.907863984   -0.109971416   -5.089589515   4.229026131    17767.52222    	-1.01582e+07	-1.01582e+07	-1.01582e+07	-1.01582e+07
14       NO_ID      1.402187331    4.322478432    -4.904988603   4.096541113    -3.193507475   4.799868417    0.6684784201   1.836806487    -2.393381256   -2.838766021   65582.90973    	-1.01582e+07	-1.01582e+07	-1.01582e+07	-1.01582e+07
15       NO_ID      -2.980509337   0.6595666102   -4.58398293    2.758896602    2.055197962    2.192152165    -0.01856279136 -4.784834323   -3.990462851   4.29086327     1496.925431    	-1.01582e+07	-1.01582e+07	-1.01582e+07	-1.01582e+07
16       NO_ID      -3.781014833   1.92370468     4.024555215    -4.740496025   3.923309359    3.700396599    5.045641217    4.651937432    2.71242082     -0.8232771043  7466.664176    	-1.01582e+07	-1.01582e+07	-1.01582e+07	-1.01582e+07
17       NO_ID      -2.578291706   2.33129969     3.913888177    -1.04140395    -2.716183375   -0.9739868669  3.962727546    0.6018681934   -1.521273025   1.244272345    12019.59863    	-1.01582e+07	-1.01582e+07	-1.01582e+07	-1.01582e+07
18       NO_ID      2.405297235    -1.689368356   2.306039685    -0.7910160092  -3.086066998   -1.928043593   4.971334567    5.060067582    1.355852397    3.811238388    4902853.837    	-1.01582e+07	-1.01582e+07	-1.01582e+07	-1.01582e+07
19       NO_ID      4.283593936    -3.076724757   1.487005795    -3.733607792   -0.02616365196 0.5875015858   2.77915182     4.56463952     -0.1835808636  -3.203573875   -170.696698    	-1.01582e+07	-1.01582e+07	-1.01582e+07	-1.01582e+07
20       NO_ID      -0.5461093071  -3.419123868   1.665147999    0.2224210144   0.6299892309   0.0690041757   2.633180908    -1.408479264   2.569002584    -4.853566961   -1706.394724   	-1.01582e+07	-1.01582e+07	-1.01582e+07	-1.01582e+07
