FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	-1225.23	4968.8	-1.12059	-3987.32	-705.205	-1529.11	551.908	288.16	-738.654	-176085.0	-17846.277158999997
2	-80087.8	-206.365	-1.12059	-3987.32	-345093.0	-1529.11	-43269.3	288.16	-738.654	-176085.0	-65070.950958999994
3	-1232440.0	-1089.75	-1310130.0	-3987.32	-345093.0	-397378.0	-43269.3	-8727.56	-16677800.0	-176085.0	-2019599.993
4	-1232440.0	-15403.7	-1310130.0	-12967700.0	-345093.0	-397378.0	-43269.3	-8727.56	-16677800.0	-176085.0	-3317402.656
5	-1232440.0	-15403.7	-1310130.0	-12967700.0	-345093.0	-397378.0	-43269.3	-26937.3	-16677800.0	-176085.0	-3319223.63
6	-1232440.0	-15403.7	-1310130.0	-12967700.0	-345093.0	-397378.0	-43269.3	-26937.3	-16677800.0	-176085.0	-3319223.63
7	-1232440.0	-15403.7	-1310130.0	-12967700.0	-345093.0	-397378.0	-140063.0	-55484.7	-16677800.0	-176085.0	-3331757.7399999998
8	-1232440.0	-23624.5	-1310130.0	-12967700.0	-345093.0	-397378.0	-140063.0	-55484.7	-16677800.0	-176085.0	-3332579.82
9	-1232440.0	-23624.5	-1310130.0	-12967700.0	-345093.0	-397378.0	-140063.0	-55484.7	-16677800.0	-176085.0	-3332579.82
10	-1232440.0	-23624.5	-1310130.0	-12967700.0	-345093.0	-397378.0	-140063.0	-55484.7	-16677800.0	-256323.0	-3340603.62
11	-1232440.0	-617058.0	-1310130.0	-12967700.0	-345093.0	-397378.0	-140063.0	-55484.7	-16677800.0	-256323.0	-3399946.97
12	-1232440.0	-617058.0	-1310130.0	-12967700.0	-345093.0	-397378.0	-140063.0	-55484.7	-16677800.0	-256323.0	-3399946.97
13	-1232440.0	-617058.0	-1310130.0	-12967700.0	-345093.0	-397378.0	-140063.0	-55484.7	-16677800.0	-256323.0	-3399946.97
14	-1232440.0	-617058.0	-1310130.0	-12967700.0	-345093.0	-397378.0	-140063.0	-55484.7	-16677800.0	-256323.0	-3399946.97
15	-1232440.0	-617058.0	-1310130.0	-12967700.0	-345093.0	-397378.0	-140063.0	-417407.0	-16677800.0	-256323.0	-3436139.2
16	-1232440.0	-617058.0	-1310130.0	-12967700.0	-345093.0	-397378.0	-698438.0	-417407.0	-16677800.0	-256323.0	-3491976.7
17	-1232440.0	-1441560.0	-1310130.0	-12967700.0	-345093.0	-397378.0	-698438.0	-417407.0	-16677800.0	-256323.0	-3574426.9
18	-1232440.0	-1441560.0	-1310130.0	-12967700.0	-345093.0	-397378.0	-698438.0	-417407.0	-16677800.0	-256323.0	-3574426.9
