%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far
1        NO_ID      -1.15562744    -4.987282565   5.059972895    5.027518055    -0.9976345163  4.614991129    -2.581169221   -2.679850085   3.768102973    4.140408798    -1240291.714   
2        NO_ID      5.107276236    -2.928930353   -0.7421443923  3.949954686    -3.137455143   1.783687864    0.9371360919   0.2783474871   0.1635141029   -1.329716295   -176084.7557   	-1.76085e+05	-1.76085e+05
3        NO_ID      1.798107993    1.874009222    1.677456541    0.1916735805   0.3173038994   -0.2259205453  -2.906445223   -2.243878056   -0.364620355   2.71637984     38445.07293    	-1.76085e+05	-1.76085e+05
4        NO_ID      -1.275813793   -0.4889730249  0.2199163071   1.616471638    0.6424877895   -4.398118895   3.933522397    4.941125545    4.661902024    3.181325536    -65591.39477   	-1.76085e+05	-1.76085e+05
5        NO_ID      0.8807463886   3.925986083    -0.4109425541  1.979036921    -3.806269243   -3.559638133   3.611045186    3.405340108    0.09322517715  3.102215772    -470.894405    	-1.76085e+05	-1.76085e+05
6        NO_ID      4.932097628    -1.019908177   0.3907026732   -2.286341212   -0.5675162094  -3.204372858   -1.024308249   -3.16087481    2.985179607    -2.02302719    21672.28549    	-1.76085e+05	-1.76085e+05
7        NO_ID      2.363070003    2.560027907    0.8241795078   4.924768295    -1.840612972   0.7170427896   4.868289261    -0.565587459   0.357186693    -3.778061884   -41520.18084   	-1.76085e+05	-1.76085e+05
8        NO_ID      2.078791686    3.120653542    1.628637669    2.8415849      3.830899271    -4.13373475    0.2570579743   2.621897528    -1.906317788   -4.397889919   -867.862056    	-1.76085e+05	-1.76085e+05
9        NO_ID      -3.352207068   -2.69947376    -2.247631086   -4.01407296    -3.898522021   -0.02834091017 3.817069909    1.807531876    -0.4519757701  -3.043421225   750.991182     	-1.76085e+05	-1.76085e+05
10       NO_ID      -3.870918363   -1.511932048   2.967336885    3.350101081    1.18159659     -4.985455976   2.839632629    -4.948191611   -4.179013939   4.762555945    31014.9499     	-1.76085e+05	-1.76085e+05
11       NO_ID      -2.263980387   2.283833606    0.4284451657   0.2816475755   -1.221730986   4.186193107    -0.8833182589  -2.382561764   1.906066957    -0.5252090905  -256322.575    	-2.56323e+05	-2.56323e+05
12       NO_ID      4.173275924    -0.2954599628  3.005101123    -1.235442788   -2.164167412   3.8133172      -3.205498033   1.337733092    -5.095760806   -0.2697826551  -24278.20932   	-2.56323e+05	-2.56323e+05
13       NO_ID      -3.001819155   -1.26361959    2.574067021    2.674353101    2.046677       -0.3945708738  -1.274135353   1.979117063    -1.55250211    -4.829195522   6.277623       	-2.56323e+05	-2.56323e+05
14       NO_ID      0.04444303312  -2.354953547   3.872478894    3.670290624    -4.180112543   4.945662372    -3.708479567   0.9888721121   1.408510731    0.936228225    2415.570083    	-2.56323e+05	-2.56323e+05
15       NO_ID      -1.65093223    1.281378983    -0.3333526278  -1.803764367   2.958516487    0.953936708    -1.704248291   2.863604256    -1.665709726   -0.6925582246  -205519.9203   	-2.56323e+05	-2.56323e+05
16       NO_ID      2.192505093    5.065261222    2.15710698     0.718529558    3.406552763    2.621666262    3.340917112    4.752613111    -1.799175567   -2.11235782    58654.78301    	-2.56323e+05	-2.56323e+05
17       NO_ID      -4.072980823   4.55073524     2.377792294    0.8717437654   2.714747766    -2.854672802   -2.317545832   1.07286741     3.493327576    1.701458726    84.771909      	-2.56323e+05	-2.56323e+05
