%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far
1        NO_ID      -2.076697167   3.281080085    1.257856595    1.057983868    1.307633629    1.930471724    -0.517819318   1.20634957     2.716842844    -0.07746695457 22925.32194    
2        NO_ID      -3.450915361   -4.350449754   -3.044989079   -2.189797932   -0.8882333423  -3.232810126   -4.204296129   -2.133987643   -0.3114481596  -2.312588517   4968.798755    	4.96880e+03	4.96880e+03
3        NO_ID      -0.5705602733  -2.440271314   -3.955854588   -2.982270315   3.602707081    3.01385043     2.143759725    -0.4391914821  -4.454874931   0.9214467341   -206.364578    	-2.06365e+02	-2.06365e+02
4        NO_ID      -3.977786708   2.235020084    3.190957612    -1.797323293   -3.503858379   -2.234818655   1.235241117    2.471911782    1.734777088    3.575141938    -1089.746382   	-1.08975e+03	-1.08975e+03
5        NO_ID      -3.87024398    1.819390798    0.2058496042   2.781682395    -0.6392827249  2.260326235    -2.262433526   1.815296561    0.002841016316 2.939800696    -15403.72123   	-1.54037e+04	-1.54037e+04
6        NO_ID      -2.81301585    -0.7860693691  3.401655293    -4.912067637   -0.4700979562  -1.904007329   4.912798162    2.379219073    2.827913551    -2.252458451   55689.79898    	-1.54037e+04	-1.54037e+04
7        NO_ID      -3.329517986   -0.266861231   -4.958724758   3.715405696    2.370424456    -1.537726631   -2.536392129   2.689702491    3.065468849    3.150948144    48579.30722    	-1.54037e+04	-1.54037e+04
8        NO_ID      -2.694858138   -2.897710895   -1.276267141   0.1034211232   -4.505122455   -3.006278475   3.961779392    -3.2630347     2.514633598    -1.53220221    233.83987      	-1.54037e+04	-1.54037e+04
9        NO_ID      -4.654114562   -3.177412576   2.239458163    -0.765364915   -1.14635453    -2.524085909   -3.979964106   0.01994693923  -3.194231274   3.853397926    -23624.50642   	-2.36245e+04	-2.36245e+04
10       NO_ID      -1.494291678   4.688504038    4.432513971    4.395612324    3.11099316     -4.245878429   3.298467592    4.69412481     3.800490865    1.657368983    91121.00326    	-2.36245e+04	-2.36245e+04
11       NO_ID      -0.5001018038  -4.093214478   -0.6883902244  3.415467256    -4.359580186   1.180916214    2.70486203     3.916670391    -5.097441111   -3.180503291   -8743.26248    	-2.36245e+04	-2.36245e+04
12       NO_ID      -0.812514662   0.243631162    -4.564875431   -2.515584418   4.791320965    -3.678286011   -3.132107096   -3.998280844   4.644289974    -2.902466527   -617058.0883   	-6.17058e+05	-6.17058e+05
