%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far
1        NO_ID      -3.665178329   3.325976571    -0.1766624756  3.049754371    -4.390315926   -2.17292767    -5.019372801   4.481374201    -5.065932268   2.065971263    -616.577178    
2        NO_ID      1.141014255    -2.270604485   2.047108682    -1.753888818   2.090016789    -2.475021308   5.108881784    -1.324972681   2.298642167    -3.312997055   -1.120591      	-1.12059e+00	-1.12059e+00
3        NO_ID      -0.6567301149  -4.058913155   -0.7443754879  -2.408192303   -1.818319034   -4.521528629   -0.03374427063 2.909427996    -3.141971682   -5.076075199   312806.0564    	-1.12059e+00	-1.12059e+00
4        NO_ID      4.691069722    0.1971950371   0.4541973045   -2.282126895   4.615205863    4.996183468    -4.906590139   -1.021723455   -0.7509523734  -2.039140542   -1310133.2     	-1.31013e+06	-1.31013e+06
5        NO_ID      1.123941932    -3.142012464   4.854364056    -3.362852131   0.8572907837   -0.1315956053  -0.2431479405  4.73186827     -1.198972702   -1.435043659   6331281.18     	-1.31013e+06	-1.31013e+06
6        NO_ID      -0.8902286718  -0.3609509267  -5.100331797   -3.791705672   -0.7090392878  -0.4037762486  0.5622846783   -0.5969930222  1.290773568    3.158420223    80035.26417    	-1.31013e+06	-1.31013e+06
7        NO_ID      0.9150856861   2.484621995    -1.433602513   -2.987226849   -0.4839063382  -3.702346175   -2.047782343   1.039612238    -0.896134151   -3.884019813   25815.38864    	-1.31013e+06	-1.31013e+06
8        NO_ID      1.725004889    -4.65776281    0.30274043     -4.126337055   2.348643551    -5.020546843   -3.360870354   1.176500633    0.837403131    1.201637549    2702.858975    	-1.31013e+06	-1.31013e+06
9        NO_ID      1.364511353    -3.81873289    3.160485854    -3.460614168   -2.025131727   2.714223131    -1.88129019    5.070072176    -3.30132051    -0.7548606035  87659.5074     	-1.31013e+06	-1.31013e+06
10       NO_ID      2.057443022    1.037239692    1.843024192    -1.143627664   -5.112980488   3.675859313    -0.7693607748  -3.988381141   -3.175007515   2.910781924    -490.04085     	-1.31013e+06	-1.31013e+06
11       NO_ID      -1.987495648   1.343100579    -0.3605526222  0.00978604188  -2.137638733   -3.959379664   -3.102796548   3.190374342    -1.684049501   0.2378842572   -564585.288    	-1.31013e+06	-1.31013e+06
12       NO_ID      2.767167239    -3.410832085   5.072738682    1.735529231    -4.281981715   -3.601568571   1.038908931    4.656237343    -0.2125960477  2.197087265    -19313.86019   	-1.31013e+06	-1.31013e+06
13       NO_ID      -3.231661073   0.3355978802   -3.945535354   -3.48182401    3.130067615    -4.25311303    2.123859289    -1.896328833   -1.25962963    4.718552343    8258.851844    	-1.31013e+06	-1.31013e+06
14       NO_ID      -0.5692975388  2.953133369    -2.439453349   0.3884812566   5.016382746    -3.002777949   -1.616216344   3.391651564    0.07591497388  4.356983518    -531865.0832   	-1.31013e+06	-1.31013e+06
15       NO_ID      3.809623504    3.619832343    4.375260372    3.428037813    1.818689653    -2.290199222   -3.222018501   2.418492658    4.901477229    4.898169397    -5319.870093   	-1.31013e+06	-1.31013e+06
16       NO_ID      0.7903664154   2.409073766    4.929481434    -2.938624175   -0.8932589654  4.555899201    0.7104097287   2.651014556    1.880024586    -0.6385861506  1133378.666    	-1.31013e+06	-1.31013e+06
17       NO_ID      0.6034498669   1.912997046    -2.820579394   -5.087864923   -1.225696117   -1.20623756    0.05660234299  3.928436108    1.158553695    -1.064767411   3823.80963     	-1.31013e+06	-1.31013e+06
18       NO_ID      -4.595575953   0.006857668877 2.403396196    4.02047256     1.412436242    1.015232557    -1.380736565   4.817317399    -3.649250517   -2.170458511   49132.43565    	-1.31013e+06	-1.31013e+06
19       NO_ID      -4.726789218   -4.332274304   1.48897391     2.89839989     0.2448341009   0.5210703725   1.791267975    0.1460802829   4.22751753     -1.14011998    40.873366      	-1.31013e+06	-1.31013e+06
20       NO_ID      -3.558616238   -3.296423707   4.182161369    -1.411486774   -0.5448190149  -2.410458265   -0.5231150496  -2.268046029   2.509373129    -4.380491581   -5524.375741   	-1.31013e+06	-1.31013e+06
21       NO_ID      4.266259074    0.5300287606   -3.022326352   -2.753953615   -2.237123655   3.083769061    1.535568518    2.189040586    2.820701742    -4.782428629   -14.272596     	-1.31013e+06	-1.31013e+06
22       NO_ID      -2.954714097   -0.2131937257  -2.640078257   -1.628965725   2.677277692    2.021693806    -1.293944262   1.538830091    4.805822601    -3.724135428   3510.985187    	-1.31013e+06	-1.31013e+06
23       NO_ID      0.07990423162  0.6299505656   -1.002560169   -0.3654845421  2.010936615    -1.682802537   2.53405912     -2.059870108   -1.466777242   -1.557794922   -53756.8215    	-1.31013e+06	-1.31013e+06
24       NO_ID      -2.183551498   4.767011284    -0.5477250288  1.987593353    1.24254394     1.559734674    1.28383328     0.8014773405   2.111513447    2.663946319    1407.747897    	-1.31013e+06	-1.31013e+06
25       NO_ID      -4.842685663   -3.609933187   1.620411535    0.4643568508   1.456917801    2.545930761    4.606275767    -2.756322097   3.982832577    -2.287131923   0.040375       	-1.31013e+06	-1.31013e+06
26       NO_ID      -2.318960121   2.187433023    0.3436266589   2.257458924    -3.349160498   1.719176432    0.1942692706   -2.878589657   -4.387396561   -1.325338439   -7857.097914   	-1.31013e+06	-1.31013e+06
27       NO_ID      1.526050212    -0.8721975498  -2.320136234   -4.951083698   2.614421825    -5.004886263   2.804354283    -4.368109643   -2.546355951   2.018947203    629.182109     	-1.31013e+06	-1.31013e+06
28       NO_ID      4.184118673    3.4611818      3.797152875    -2.590841856   0.7929681317   -2.115549955   3.517071534    1.873127094    -2.977299621   -0.3233529462  -32011.46368   	-1.31013e+06	-1.31013e+06
29       NO_ID      -0.1490279411  2.603492347    -2.087972279   4.644974979    4.51190177     2.073619347    4.906442725    -0.4097692591  -0.2019026871  2.474442232    -934.051181    	-1.31013e+06	-1.31013e+06
30       NO_ID      -0.9949670312  4.543072316    1.032485992    2.134073456    2.355249031    -1.926012591   4.650354585    4.051335347    0.8140018713   -2.147048598   67220.37431    	-1.31013e+06	-1.31013e+06
31       NO_ID      0.4323284873   -0.7525911694  -0.2216707778  0.5510071164   -4.79099962    -0.5790190245  -2.447141455   4.293695643    -1.048393089   -0.4250924151  -333574.059    	-1.31013e+06	-1.31013e+06
