%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far
1        NO_ID      -2.162694448   -1.806228642   -0.6900698954  1.547255643    4.200410594    -1.127418312   2.611884012    0.5924324507   1.937618143    -1.424265043   -575.794493    
2        NO_ID      -1.800782333   -0.4460869563  0.6516326191   0.4585411903   2.208573723    -2.15669218    2.700376347    3.182056231    4.230648473    4.501141947    -705.205449    	-7.05205e+02	-7.05205e+02
3        NO_ID      0.0147624238   4.141732641    -3.941747116   4.869219181    4.611149869    -1.02801353    3.353488908    3.360225821    -3.086682347   1.537532125    -345092.5199   	-3.45093e+05	-3.45093e+05
4        NO_ID      -4.189202326   -1.634763875   -3.030252981   -4.102549154   3.900001257    -1.66133378    1.771394287    -1.29270625    -2.650824927   -3.97539828    96064.97465    	-3.45093e+05	-3.45093e+05
5        NO_ID      1.505263986    -3.621707156   -4.531402184   1.978723011    0.5345714439   2.590775573    3.457138247    -2.278673222   3.912860354    3.022028694    -1.061678      	-3.45093e+05	-3.45093e+05
6        NO_ID      -1.608081415   0.03605452161  3.155419341    -2.11328417    2.701289307    4.95957892     -0.2544634744  2.70138133     -4.436745392   0.7992481564   1497699.345    	-3.45093e+05	-3.45093e+05
7        NO_ID      -4.411534243   -2.364147019   -1.87228383    -2.959839852   -3.417625143   -1.813250001   -2.132577152   1.69109156     0.7822010755   -4.223702427   -2119.380709   	-3.45093e+05	-3.45093e+05
8        NO_ID      4.546451948    1.77691885     4.011053911    4.666865391    2.610805287    -4.446681634   -2.764951986   -4.008089709   0.3768797367   0.9815128399   438.613373     	-3.45093e+05	-3.45093e+05
9        NO_ID      -3.091631955   2.700442892    -1.751758408   3.748352442    0.8608848854   -3.818090592   -0.1087240096  2.928157197    -2.540638194   1.091465747    -525.827935    	-3.45093e+05	-3.45093e+05
10       NO_ID      -4.727672029   4.382768785    4.439111021    -2.403616888   -2.792387454   3.636694475    -1.891952516   1.920841277    -3.786682996   2.80884577     382.588142     	-3.45093e+05	-3.45093e+05
11       NO_ID      3.78088956     -4.28938713    4.258275053    -0.5920258274  -1.068778876   1.987071396    -4.70972333    3.409005944    1.11322633     -4.107617873   238.208224     	-3.45093e+05	-3.45093e+05
12       NO_ID      4.257763471    1.240237304    -1.269216217   1.912748307    1.358748491    0.9287109042   1.987249457    -4.148566055   -4.659092007   4.526938451    2976.39504     	-3.45093e+05	-3.45093e+05
13       NO_ID      2.425951354    -3.56085879    3.87626445     -3.320218859   4.120131957    -1.311908231   3.019392457    -2.422496458   0.2947184928   4.974994546    8956.053542    	-3.45093e+05	-3.45093e+05
14       NO_ID      -3.063732094   -2.279801381   1.165410667    -4.512557102   3.67763199     -3.370270855   1.104499444    -0.3267835839  -4.121470916   -2.665093761   -215.75761     	-3.45093e+05	-3.45093e+05
15       NO_ID      -1.728604635   3.773437955    -1.727687539   -1.152145837   -4.543164207   2.870018914    4.828864877    -4.758617082   4.707728806    -3.107139914   51139.58302    	-3.45093e+05	-3.45093e+05
16       NO_ID      1.249746488    5.042824487    -4.833136483   -4.457182397   1.746905417    -3.708955414   -1.836153199   2.337903394    0.0456569531   -1.902204221   -11455.48418   	-3.45093e+05	-3.45093e+05
17       NO_ID      -3.812771035   1.135114755    -2.545396072   -5.003889772   -2.200629751   3.836024684    1.500484001    0.5016010252   -3.861017943   -3.068311195   1717.346139    	-3.45093e+05	-3.45093e+05
18       NO_ID      -0.5024396252  1.519980028    -0.5358252669  2.932976592    -1.354718274   1.143249261    -3.649963871   -1.073577629   -2.841321853   4.06970592     -4466.650651   	-3.45093e+05	-3.45093e+05
19       NO_ID      -0.7919801219  -1.377652905   -3.525214876   -2.333923417   2.55605427     -1.512170548   0.7055256557   -1.211097384   -0.08384342918 -3.572646406   -123388.0149   	-3.45093e+05	-3.45093e+05
20       NO_ID      3.358975681    -0.3845846149  -2.449127571   -4.650913943   -3.364824462   -4.892806991   -1.584593973   4.193828002    2.659848677    -3.311815721   -13302.11528   	-3.45093e+05	-3.45093e+05
21       NO_ID      4.401302399    0.6741503736   4.683637896    2.221790498    -2.899139644   1.454745875    3.969495311    2.579656451    -1.656796994   4.752399125    22496.92557    	-3.45093e+05	-3.45093e+05
22       NO_ID      -4.826037012   -3.760604765   1.769600914    3.828413923    3.884024054    -3.158323092   0.8167072961   -1.402984155   -3.957293143   0.6682659101   14195.34874    	-3.45093e+05	-3.45093e+05
23       NO_ID      -0.5852481655  1.120618505    0.7811388188   4.209371892    -1.863646899   -4.235907433   -0.7198099757  2.355971062    -1.410364691   -4.887928468   5263.629401    	-3.45093e+05	-3.45093e+05
24       NO_ID      3.2481853      -4.997583365   1.516868662    3.180645223    2.823292146    -5.081862917   -1.198489863   3.996544866    3.863676433    -2.351500622   605.14055      	-3.45093e+05	-3.45093e+05
25       NO_ID      -2.139043761   -0.1233830427  -3.179148236   0.385511072    -2.391691242   -1.85406047    -4.816755909   -3.860972393   -0.7324064823  -2.539341903   -333087.0013   	-3.45093e+05	-3.45093e+05
26       NO_ID      -1.369212118   0.1350520755   0.9021761774   2.81271572     -3.607038655   -2.922587353   -2.48287097    4.862939023    4.020815354    0.3838244538   34721.85653    	-3.45093e+05	-3.45093e+05
