%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far
1        NO_ID      -1.249103779   2.387586799    -2.566308597   3.698023387    1.387251705    -4.456688454   2.144610452    -4.174046225   -3.389934154   -2.906139975   -16282.67135   
2        NO_ID      4.514043756    0.04148249159  -0.3507482397  2.254264981    -2.060085194   -3.236570384   1.742056313    3.211846151    0.3155440569   1.710603772    -1529.107187   	-1.52911e+03	-1.52911e+03
3        NO_ID      2.44550619     2.927330682    1.259678263    -2.283287694   -1.185874151   -2.904183556   1.944038123    -1.279396307   -2.268348226   -2.386317763   -706.145873    	-1.52911e+03	-1.52911e+03
4        NO_ID      -1.946601035   4.845839217    2.029846624    1.356246107    -2.241796611   1.234173403    4.837652205    -4.821412857   -0.2022400214  -0.1780788199  -397377.5918   	-3.97378e+05	-3.97378e+05
5        NO_ID      1.904538205    0.3673432612   1.645258544    -0.9936014226  2.399259927    -3.807151644   -1.665120797   1.189888999    -2.731907546   0.6839924902   -3271.637636   	-3.97378e+05	-3.97378e+05
6        NO_ID      -0.1321849086  -3.871835431   -4.316068414   -3.478896394   -2.978718495   -2.484471601   1.669636908    -5.034993153   -0.005255197358 0.1164062627   -4490.831553   	-3.97378e+05	-3.97378e+05
7        NO_ID      -3.21305401    -0.8740955499  3.581242624    0.0561361558   -4.973502932   4.599560695    -0.3385259453  0.9246278765   3.277068672    -3.007815123   -125894.8542   	-3.97378e+05	-3.97378e+05
8        NO_ID      -4.92057845    -2.57670056    2.223144054    -1.673525703   -3.862045482   -0.4762957232  -2.597462433   4.315390925    4.668529463    -3.331158783   -45554.2062    	-3.97378e+05	-3.97378e+05
9        NO_ID      -1.692362123   4.562786982    -2.17595592    2.075705693    -4.18712235    -4.018699117   3.175140738    4.002477511    -3.887928012   5.034900281    -929.623877    	-3.97378e+05	-3.97378e+05
10       NO_ID      -4.501330265   2.544069359    2.954435427    -4.346909844   -4.439364676   2.747445176    4.019724408    -4.581719149   -3.118872147   -0.09044993839 -180.387731    	-3.97378e+05	-3.97378e+05
11       NO_ID      0.2175819957   3.083984183    4.809591406    4.893373355    2.898492134    0.6102147946   -3.12569843    -1.637367298   2.413775989    1.62884576     43576.92237    	-3.97378e+05	-3.97378e+05
12       NO_ID      3.937331126    -1.274690065   3.249270208    -1.442428759   -1.592159933   -1.30316213    -4.072102968   -2.008550235   -4.704225935   -4.358507289   -389852.6136   	-3.97378e+05	-3.97378e+05
13       NO_ID      1.00614062     4.389174314    0.9286609707   -4.852446168   -3.732104264   0.3340185197   -3.710846177   -0.4012501878  -2.192572734   -0.4435268132  -6.930892      	-3.97378e+05	-3.97378e+05
14       NO_ID      3.148442697    -0.102312706   1.922993556    -0.3937135726  3.328664929    2.942816999    4.206795375    -0.9908293906  3.511426872    4.118200092    47929.6549     	-3.97378e+05	-3.97378e+05
15       NO_ID      4.677597634    4.766382882    0.2088750652   -1.81881542    4.834772931    1.127475394    2.25109507     0.2990743767   4.008638192    1.263254947    -79387.60598   	-3.97378e+05	-3.97378e+05
16       NO_ID      -1.343870192   4.073527318    0.8203884384   3.629182758    3.566529101    -1.4245132     1.148706497    -1.47601748    -3.491870544   3.879972625    249189.2853    	-3.97378e+05	-3.97378e+05
17       NO_ID      3.656708544    0.5655328513   2.688510535    4.776413443    -2.45345359    4.958902224    4.369426125    2.063033538    0.1032283484   -1.892710119   2303.609248    	-3.97378e+05	-3.97378e+05
18       NO_ID      3.787712497    4.952865245    -0.6079717129  3.466434131    -4.626242849   -5.116568342   0.5058951393   2.77098613     3.790369929    -0.9694985512  -184425.0067   	-3.97378e+05	-3.97378e+05
19       NO_ID      2.644132321    -3.748277965   3.914203712    -4.539382478   0.6948482435   4.427415395    -0.2159770266  -3.385525036   -3.902513212   2.880916092    -1855.199626   	-3.97378e+05	-3.97378e+05
20       NO_ID      -4.289775956   -3.39515101    -4.945716005   4.705745671    1.801175426    3.702020237    -1.924663549   2.626721897    -2.528876521   3.989338834    293.511338     	-3.97378e+05	-3.97378e+05
21       NO_ID      -0.7016607037  2.155282693    0.1071589155   -0.6713143362  -0.6034179766  5.110857077    0.9152684363   4.989507669    -4.533063512   -1.547271959   4126756.764    	-3.97378e+05	-3.97378e+05
22       NO_ID      2.49362532     3.736613662    0.4745107592   2.705288981    -0.01778178401 -2.809500401   1.23137891     2.00664151     4.970058477    -4.600433724   4375.759542    	-3.97378e+05	-3.97378e+05
23       NO_ID      3.045926415    -1.801814359   1.743960309    -0.177198275   -3.423214885   -3.418629108   0.9545986435   3.560689114    -0.6836734812  -1.376547441   -27189.83995   	-3.97378e+05	-3.97378e+05
24       NO_ID      3.523185438    3.798563809    -1.172475783   1.322523483    -3.125354618   -3.505417908   4.959105512    -0.1781268169  5.098526772    -4.123548194   38872.99704    	-3.97378e+05	-3.97378e+05
25       NO_ID      -3.529687402   3.187753257    4.196220294    -2.069492199   2.522672947    -4.106357751   -2.720713347   4.706261633    1.350223409    1.389205987    -13742.31037   	-3.97378e+05	-3.97378e+05
26       NO_ID      -4.035066668   1.411017531    2.442347541    -0.8918629106  4.769138784    -1.119439893   -4.801087034   -1.1603942     3.786670456    4.532850364    5262.515001    	-3.97378e+05	-3.97378e+05
27       NO_ID      1.616651239    4.447824767    3.832701049    4.571327676    -2.958206296   4.911570904    0.069267523    0.5128446396   -0.9995059647  -3.877867317   -55567.7312    	-3.97378e+05	-3.97378e+05
28       NO_ID      0.1613775214   -0.2780006848  -1.711758797   -4.26329486    4.108281817    -2.269361726   3.974901208    -1.341835262   2.624958008    -3.223903588   187.32311      	-3.97378e+05	-3.97378e+05
29       NO_ID      -2.398324879   -5.0416895     0.592903926    4.4166931      -4.759026074   -3.969744957   -0.06075227299 -3.936253028   -2.794599692   2.654893608    789.361081     	-3.97378e+05	-3.97378e+05
30       NO_ID      -2.724866501   -3.526648218   -0.1550863087  -3.15456835    2.77301186     -4.336545988   -2.373141082   -2.283419847   3.381516961    1.899340734    -468.248824    	-3.97378e+05	-3.97378e+05
31       NO_ID      3.826188966    -2.696124807   -5.035196756   4.984857732    -0.4890130254  1.975426343    -3.577342331   -2.13434713    -1.770972654   -2.003090885   565.827474     	-3.97378e+05	-3.97378e+05
32       NO_ID      4.273375959    -1.643903574   -0.8309776451  -1.120518852   0.9641618706   -4.781871233   -2.337501601   3.455858848    -3.227316981   -1.439577406   4438.591592    	-3.97378e+05	-3.97378e+05
33       NO_ID      3.350944826    -4.320810792   0.6271319733   1.806016861    -1.696106194   -0.06604239385 -1.98835602    0.7101799217   1.10779221     0.989262961    -6268.977545   	-3.97378e+05	-3.97378e+05
34       NO_ID      0.5348642407   1.531773194    -1.554752769   3.913249144    -3.268068596   1.828322308    0.1670654091   -4.63078996    -1.951121886   4.334502178    147.150168     	-3.97378e+05	-3.97378e+05
35       NO_ID      -1.596088224   3.469308662    -3.779880972   -0.8131239965  -2.344385842   4.253551953    -0.724523356   -3.164471481   0.435596857    -2.630115634   -272441.8175   	-3.97378e+05	-3.97378e+05
36       NO_ID      -2.892286672   0.7865533803   -3.87282879    1.958132556    -0.8367279173  1.672293045    -0.8427561014  -4.047142328   0.7710124651   2.234368636    318573.5416    	-3.97378e+05	-3.97378e+05
37       NO_ID      -3.643514119   3.016013548    4.863037894    5.050497537    -3.284580605   -3.352251563   1.998377206    -2.436299259   -4.087709912   4.738156828    281.86614      	-3.97378e+05	-3.97378e+05
