%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far
1        NO_ID      -4.665506895   4.444006992    4.877990557    0.7707376705   -1.946763844   -4.328081172   4.521515075    -0.4091637369  1.326620713    0.4118102164   13101.48953    
2        NO_ID      -4.507829975   0.5633969654   -3.608523252   -1.200988649   -4.962507142   2.019047607    -3.031183126   3.254331544    -3.598580851   4.556291694    551.907694     	5.51908e+02	5.51908e+02
3        NO_ID      -3.839885264   5.083215981    -4.559438368   -4.461869722   1.798661311    2.650297611    3.38341603     -2.887619663   -3.458622627   -0.1332688242  -43269.34467   	-4.32693e+04	-4.32693e+04
4        NO_ID      1.471732192    -5.076748898   3.066322425    -0.9956127147  -2.769368735   -5.028314441   1.282488636    1.257604421    2.593215724    3.034377882    -88.982266     	-4.32693e+04	-4.32693e+04
5        NO_ID      -1.592102507   -1.180434023   3.828407367    1.654804727    -0.1130895378  1.168757654    -2.283926663   4.60816712     2.905287188    2.290536786    -14555.03839   	-4.32693e+04	-4.32693e+04
6        NO_ID      4.847954442    3.485763155    -3.480868528   4.976191602    2.199646749    1.037810138    -4.295908023   3.525000185    4.310964578    3.953014064    969.308731     	-4.32693e+04	-4.32693e+04
7        NO_ID      -3.541056286   2.936311682    0.9485344239   -1.43115233    -2.248742034   3.29330688     -4.583783567   1.153607728    -4.50704614    3.146267835    10493.12654    	-4.32693e+04	-4.32693e+04
8        NO_ID      -1.874531166   -1.34672375    0.7667253743   -2.78214243    2.282431776    3.260689378    4.944230924    -4.34067285    -4.809812953   5.11119206     -140062.6013   	-1.40063e+05	-1.40063e+05
9        NO_ID      -2.223293891   0.6476212397   -0.6739541409  -2.344207276   2.387459052    -2.21482241    2.813684416    2.763767207    0.09838364975  -0.3393313308  12136.08461    	-1.40063e+05	-1.40063e+05
10       NO_ID      4.16965879     2.101492749    -4.239374906   1.078783156    -5.042999956   0.5327459791   -0.8805113432  0.5047168118   -0.4109050941  -3.362100703   8.907735       	-1.40063e+05	-1.40063e+05
11       NO_ID      -3.454111848   -1.541627062   -3.989342925   -0.8068472394  -4.583200165   -2.665425101   -0.6902199197  4.530344908    3.609875142    -3.849110619   176288.9871    	-1.40063e+05	-1.40063e+05
12       NO_ID      0.6829069561   0.2188161143   1.526700284    -1.085552821   0.1701730044   -1.753443107   -1.283633793   5.006857886    0.2097861158   -0.2482832286  -26112.7978    	-1.40063e+05	-1.40063e+05
13       NO_ID      3.6129505      -1.856662367   -4.021436284   4.282435399    -3.613486204   -1.162855631   2.253701029    -3.225894007   -0.2118113576  0.3819543382   45207.80796    	-1.40063e+05	-1.40063e+05
14       NO_ID      4.24128074     -2.797269622   4.047711494    3.732590449    -2.736927146   -3.242287689   3.231566098    2.044102264    -3.747736727   -0.7952363813  -4.821376      	-1.40063e+05	-1.40063e+05
15       NO_ID      3.230436877    4.694182876    2.41511422     3.082944178    3.798287482    -2.382579516   0.7101618877   3.123300892    0.8068893278   -2.471172983   60520.77106    	-1.40063e+05	-1.40063e+05
16       NO_ID      2.453290366    -4.645439501   3.631399608    -3.580008712   -4.402567503   -4.554920528   -4.741272799   -1.650927394   -1.433785577   4.316065695    -12054.75766   	-1.40063e+05	-1.40063e+05
17       NO_ID      2.196122203    3.622153517    1.318574175    3.255312738    -4.90888547    4.852862484    -2.037986576   -1.819057938   -0.9578131434  -1.710168813   -698438.4153   	-6.98438e+05	-6.98438e+05
18       NO_ID      -0.3534346325  3.919520059    3.451399206    -4.597885621   3.448808298    3.988319058    3.762251273    2.365196663    2.140664677    2.106367759    -53.782009     	-6.98438e+05	-6.98438e+05
19       NO_ID      -1.226250319   -2.023923671   4.542629544    2.190648141    0.5387795519   2.084682295    -2.548808363   3.35000653     2.471683863    -4.675106915   977.05579      	-6.98438e+05	-6.98438e+05
20       NO_ID      -3.679021964   1.717749798    -0.5100383581  0.9419254844   0.04733705602  -1.683151786   4.181892686    0.5527938132   -4.987271774   -4.516035905   4591.061237    	-6.98438e+05	-6.98438e+05
21       NO_ID      4.037974238    2.784990768    -1.215234664   -3.070916617   -3.947550258   3.087280634    0.4313077938   2.661127622    5.052144644    1.664390447    -20177.52353   	-6.98438e+05	-6.98438e+05
22       NO_ID      -0.7219067398  -4.258315675   2.576885529    -3.37996209    0.6845341731   -1.082185775   -2.368316938   -4.969817252   -1.092385011   -4.024601425   -980.910966    	-6.98438e+05	-6.98438e+05
23       NO_ID      -0.6296274345  2.299968542    -2.606956326   -3.830748585   -3.261754335   4.352855212    1.817443123    -0.6425578399  0.549143438    -1.188323633   -11278.67158   	-6.98438e+05	-6.98438e+05
24       NO_ID      4.991090573    1.040947343    -2.873385701   4.830921979    3.319936379    2.997880426    -4.403281069   1.542496971    -4.08450941    4.197335275    -3927.740726   	-6.98438e+05	-6.98438e+05
25       NO_ID      -4.166859493   -3.427907011   -3.807106293   -1.780775444   0.2503487865   4.99333858     0.8515632243   4.755168939    3.50450061     -2.677200446   -2216.914887   	-6.98438e+05	-6.98438e+05
26       NO_ID      3.410965427    -1.726092491   -3.134259041   3.668684211    -4.76039479    -0.2424286845  -3.906217915   -4.912305112   2.379259592    4.297515005    -29073.91158   	-6.98438e+05	-6.98438e+05
27       NO_ID      3.938211121    -3.881752335   3.209563257    -3.252059862   -3.15937688    3.691214148    1.719601324    3.453932459    -2.02830197    2.167043454    -1328.523271   	-6.98438e+05	-6.98438e+05
28       NO_ID      -4.040858023   -4.965994993   0.003448238754 -0.4409754423  -1.209545736   -0.9903053263  -2.687968305   -2.792034234   0.5034002629   -2.035264322   20339.33757    	-6.98438e+05	-6.98438e+05
29       NO_ID      2.978151229    -0.02059315517 -4.764359085   -3.117931204   -1.355664922   1.566164204    0.7868662299   -2.472151473   -4.467072265   3.870878592    -14.756683     	-6.98438e+05	-6.98438e+05
30       NO_ID      0.5486054646   -4.095853888   1.599838562    -0.1359297508  4.699158342    5.110674198    -4.867101421   0.7173193771   -1.650740898   -4.396527619   -21391.86528   	-6.98438e+05	-6.98438e+05
31       NO_ID      -0.111705255   -2.919483099   2.121649371    3.314635358    -2.292813167   -4.472021904   0.5663183523   1.737688232    0.8520361713   0.8295648053   -6.363332      	-6.98438e+05	-6.98438e+05
32       NO_ID      0.8670978928   -2.656959622   -0.5970407704  -1.243018417   -0.7035218287  0.8988528703   4.766334815    -3.691077596   2.772010522    -5.080415605   -914464.45     	-9.14464e+05	-9.14464e+05
33       NO_ID      0.4864419695   2.753258389    -1.36610218    -2.410639003   4.058414434    -3.833677757   4.291552567    4.190946132    -2.697237194   3.1931982      79530.14285    	-9.14464e+05	-9.14464e+05
34       NO_ID      4.343090363    0.1436045812   2.038781225    -4.639058339   3.901373185    -3.149491434   1.115440845    -0.1564927295  -4.200325596   2.027164972    -3.884745      	-9.14464e+05	-9.14464e+05
35       NO_ID      2.721036835    -0.2974107287  -0.2371815712  -4.287019985   -2.533107664   3.654861707    -1.588641582   4.356296995    -2.356038789   -3.490392329   -245422.5044   	-9.14464e+05	-9.14464e+05
36       NO_ID      -1.304311421   1.992638616    0.2593428277   1.383401113    -0.2611612254  4.517747694    -3.326324712   -2.764531266   -2.468605569   -3.142250541   559.403547     	-9.14464e+05	-9.14464e+05
37       NO_ID      2.331509505    0.3770830802   -1.614803899   2.024460116    -1.666941344   -0.813103856   1.988466382    -1.623323639   1.674515785    0.6243854875   -42002.66991   	-9.14464e+05	-9.14464e+05
38       NO_ID      -4.200653874   1.479487556    -2.313866386   0.007305183673 0.7938289958   0.811873641    -3.72442468    2.865941709    3.987048922    -4.921249594   -2.422076      	-9.14464e+05	-9.14464e+05
