FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	-11728.2	110.628	-147421.0	-523091.0	104.131	68023.0	34747.4	0.13558	-161728.0	-3360.37	-74434.32754200001
2	-11728.2	12.2236	-147421.0	-523091.0	-3101.51	-14831.7	5.3132	-6667.61	-161728.0	-603833.0	-147238.44832000002
3	-11728.2	-25141.1	-147421.0	-523091.0	-47614.8	-26965.2	5.3132	-20622.7	-161728.0	-603833.0	-156813.96868
4	-11728.2	-25141.1	-147421.0	-523091.0	-47614.8	-236319.0	-2800.12	-20622.7	-161728.0	-603833.0	-178029.892
5	-3313330.0	-139783.0	-147421.0	-523091.0	-47614.8	-236319.0	-253554.0	-20622.7	-161728.0	-603833.0	-544729.65
6	-3313330.0	-139783.0	-292585.0	-523091.0	-47614.8	-236319.0	-253554.0	-20622.7	-161728.0	-603833.0	-559246.05
7	-3313330.0	-139783.0	-1659020.0	-523091.0	-47614.8	-236319.0	-253554.0	-20622.7	-252696.0	-603833.0	-704986.35
8	-3313330.0	-139783.0	-1659020.0	-523091.0	-47614.8	-316225.0	-253554.0	-20622.7	-252696.0	-603833.0	-712976.95
9	-3313330.0	-139783.0	-1659020.0	-523091.0	-188255.0	-316225.0	-253554.0	-52013.8	-252696.0	-603833.0	-730180.08
10	-3313330.0	-139783.0	-1659020.0	-523091.0	-188255.0	-316225.0	-253554.0	-52013.8	-252696.0	-603833.0	-730180.08
11	-3313330.0	-139783.0	-1659020.0	-523091.0	-188255.0	-316225.0	-253554.0	-52013.8	-252696.0	-603833.0	-730180.08
12	-3313330.0	-139783.0	-1659020.0	-523091.0	-188255.0	-316225.0	-253554.0	-52013.8	-252696.0	-603833.0	-730180.08
13	-3313330.0	-139783.0	-1659020.0	-523091.0	-188255.0	-316225.0	-253554.0	-52013.8	-252696.0	-603833.0	-730180.08
14	-3313330.0	-139783.0	-1659020.0	-523091.0	-188255.0	-316225.0	-253554.0	-52013.8	-288046.0	-603833.0	-733715.08
15	-3313330.0	-139783.0	-1659020.0	-523091.0	-188255.0	-316225.0	-253554.0	-52013.8	-288046.0	-603833.0	-733715.08
16	-3313330.0	-139783.0	-1659020.0	-523091.0	-188255.0	-316225.0	-253554.0	-140406.0	-288046.0	-603833.0	-742554.3
17	-3313330.0	-385629.0	-1659020.0	-523091.0	-188255.0	-316225.0	-253554.0	-449500.0	-1421430.0	-603833.0	-911386.7
18	-3313330.0	-385629.0	-1659020.0	-523091.0	-1939580.0	-316225.0	-253554.0	-449500.0	-1421430.0	-603833.0	-1086519.2
19	-3313330.0	-385629.0	-1659020.0	-523091.0	-1939580.0	-316225.0	-253554.0	-449500.0	-1421430.0	-603833.0	-1086519.2
20	-3313330.0	-385629.0	-1659020.0	-523091.0	-1939580.0	-316225.0	-253554.0	-449500.0	-1421430.0	-603833.0	-1086519.2
21	-3313330.0	-385629.0	-1659020.0	-523091.0	-1939580.0	-316225.0	-253554.0	-449500.0	-1421430.0	-603833.0	-1086519.2
22	-3313330.0	-385629.0	-1659020.0	-523091.0	-1939580.0	-316225.0	-253554.0	-449500.0	-1421430.0	-603833.0	-1086519.2
23	-3313330.0	-385629.0	-1659020.0	-523091.0	-1939580.0	-316225.0	-253554.0	-449500.0	-1421430.0	-603833.0	-1086519.2
24	-3313330.0	-385629.0	-1659020.0	-523091.0	-1939580.0	-316225.0	-253554.0	-449500.0	-1421430.0	-603833.0	-1086519.2
25	-3313330.0	-385629.0	-1659020.0	-523091.0	-1939580.0	-316225.0	-253554.0	-449500.0	-1421430.0	-603833.0	-1086519.2
26	-3313330.0	-385629.0	-1659020.0	-523091.0	-1939580.0	-316225.0	-253554.0	-449500.0	-1421430.0	-603833.0	-1086519.2
27	-3313330.0	-385629.0	-1659020.0	-523091.0	-1939580.0	-316225.0	-253554.0	-449500.0	-1421430.0	-603833.0	-1086519.2
28	-3313330.0	-385629.0	-1659020.0	-523091.0	-1939580.0	-3417590.0	-253554.0	-449500.0	-1421430.0	-603833.0	-1396655.7
29	-3313330.0	-385629.0	-2875580.0	-1775630.0	-1939580.0	-3417590.0	-253554.0	-449500.0	-1421430.0	-603833.0	-1643565.6
30	-3313330.0	-385629.0	-2875580.0	-1775630.0	-1939580.0	-3417590.0	-253554.0	-449500.0	-1421430.0	-603833.0	-1643565.6
31	-3313330.0	-385629.0	-2875580.0	-1775630.0	-1939580.0	-3417590.0	-253554.0	-449500.0	-1421430.0	-603833.0	-1643565.6
32	-3313330.0	-385629.0	-2875580.0	-1775630.0	-1939580.0	-3417590.0	-253554.0	-449500.0	-1421430.0	-603833.0	-1643565.6
33	-3313330.0	-385629.0	-2875580.0	-1775630.0	-1939580.0	-3417590.0	-253554.0	-449500.0	-1421430.0	-603833.0	-1643565.6
34	-3313330.0	-385629.0	-2875580.0	-1775630.0	-1939580.0	-3417590.0	-253554.0	-449500.0	-1544880.0	-603833.0	-1655910.6
