%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      1.26058863     -3.124881109   -5.021474552   -0.02377421405 1.494207548    -2.094178337   1.535554138    2.666791687    0.5419135727   4.250103965    3434.910362    
2        NO_ID      2.518600817    0.2429082965   -3.664170735   -1.828091029   -1.580276923   -0.2366212248  4.184111153    -5.12          3.13284774     -4.808797221   -11728.17652   	-1.17282e+04	-1.17282e+04	-1.17282e+04
3        NO_ID      -4.410913476   0.6157644409   1.220030466    1.702283328    0.8987861726   1.347647177    -5.12          -4.103472583   -2.537672465   -3.628760784   2260.204257    	-1.17282e+04	-1.17282e+04	-1.17282e+04
4        NO_ID      3.595549601    5.12           1.07211781     -2.083155209   -5.064112318   2.791465935    3.288887973    -0.2712339734  -0.01637079775 4.538191013    -7422.408427   	-1.17282e+04	-1.17282e+04	-1.17282e+04
5        NO_ID      -4.26464345    0.6987282933   -0.2310687658  2.538951271    -4.348483793   1.61350492     0.3051677281   -4.837732223   4.977353771    0.1006918733   -263.707134    	-1.17282e+04	-1.17282e+04	-1.17282e+04
6        NO_ID      3.496353225    -4.988744712   5.12           -2.696506842   -1.920498762   4.901977914    2.3671979      -0.7696383594  4.831548248    4.821541016    -3313330.916   	-3.31333e+06	-3.31333e+06	-3.31333e+06
7        NO_ID      -2.828013174   5.12           -4.294908069   -1.758466351   0.6467595769   4.31652153     -1.229210121   5.025554466    -1.736923083   0.4003564838   -10905.16048   	-3.31333e+06	-3.31333e+06	-3.31333e+06
8        NO_ID      3.981305276    -2.842962926   -0.6818421766  -1.516062594   -4.505954618   2.703262809    -5.12          1.125867889    0.3107452346   3.717647679    -6523.153136   	-3.31333e+06	-3.31333e+06	-3.31333e+06
9        NO_ID      -1.356115228   -4.967098576   0.2735154105   4.079485274    0.3666767688   -1.351339108   -3.128485838   3.07586276     1.627029776    -2.699454075   62247.65795    	-3.31333e+06	-3.31333e+06	-3.31333e+06
10       NO_ID      1.487238027    -4.587588665   0.5779126514   5.12           -4.657204345   3.620552511    3.890820476    2.653702543    1.58013888     2.879817027    -3.971199      	-3.31333e+06	-3.31333e+06	-3.31333e+06
11       NO_ID      3.660466393    0.3949563983   1.245341801    -1.506206519   3.591588363    2.027535727    1.374589384    -4.247033933   -4.316430614   0.9194674186   -287.59981     	-3.31333e+06	-3.31333e+06	-3.31333e+06
