%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      -4.697803453   2.875795036    -3.437891852   -0.9046631227  -1.976979735   -0.01062610003 -4.376953684   0.7454733081   0.9643387297   1.104358761    -4373.793319   
2        NO_ID      1.685612243    -1.690964712   1.111624948    3.086257507    5.052571427    3.132654991    -2.872471375   -2.150890141   -5.065389869   -5.12          -3360.368077   	-3.36037e+03	-3.36037e+03	-3.36037e+03
3        NO_ID      4.314208018    -0.9300441503  -3.816881062   -3.466575647   0.3530899485   -1.516559176   5.12           1.258996735    1.895821882    -0.4017009692  -603832.7402   	-6.03833e+05	-6.03833e+05	-6.03833e+05
4        NO_ID      5.092986121    -5.12          -1.679028169   3.043142573    -3.932752738   -4.529123956   -0.8182312075  -0.7488065277  2.535648789    -2.229994128   -15828.85452   	-6.03833e+05	-6.03833e+05	-6.03833e+05
5        NO_ID      1.658300551    -0.5601606505  2.600130374    4.95847842     2.967444851    -5.12          4.028827292    -2.55557072    -2.940561774   -2.936638584   -4946.260753   	-6.03833e+05	-6.03833e+05	-6.03833e+05
6        NO_ID      -2.456670969   -1.150418635   -4.249666975   4.550390398    -4.267595741   -1.861286067   4.681257921    3.960036629    -4.241833449   1.290685504    11.859633      	-6.03833e+05	-6.03833e+05	-6.03833e+05
7        NO_ID      -2.894887064   -2.636142238   4.062916062    -2.818578853   5.12           0.9953186822   4.535415247    0.05423823085  1.175982125    3.374203384    -1756.898708   	-6.03833e+05	-6.03833e+05	-6.03833e+05
8        NO_ID      4.208418609    5.12           1.108989601    2.846365307    -2.445733608   2.279126664    -0.02658876082 -4.173916796   -1.769672278   1.284267727    -270.496324    	-6.03833e+05	-6.03833e+05	-6.03833e+05
9        NO_ID      0.8791539922   -1.534481984   0.6617612286   -4.237008672   -1.591405523   -0.5634756215  -1.503431551   3.942421423    -4.275177003   -0.2492100138  -3620.76235    	-6.03833e+05	-6.03833e+05	-6.03833e+05
10       NO_ID      -2.241216041   4.57172897     1.794196589    -4.54683809    1.344184328    -3.837448582   4.272717454    2.399096325    -2.306722683   2.730678701    -2282.7068     	-6.03833e+05	-6.03833e+05	-6.03833e+05
11       NO_ID      1.486874792    -4.300939574   -2.55783211    -3.476642738   -4.76816915    -5.12          3.571927351    1.787650737    -2.563499146   -5.087141465   316.450601     	-6.03833e+05	-6.03833e+05	-6.03833e+05
12       NO_ID      -4.734814186   1.722990746    5.12           -4.35779072    -1.986450903   -4.433516295   -1.837458104   -3.277910474   4.663730206    -0.4540783773  -24.448146     	-6.03833e+05	-6.03833e+05	-6.03833e+05
13       NO_ID      4.444432915    -3.787319684   -0.5297372486  -3.372281586   5.12           -3.057894758   -2.568325635   1.023045863    4.886354702    3.349024386    -38415.30117   	-6.03833e+05	-6.03833e+05	-6.03833e+05
14       NO_ID      -2.099714679   5.12           4.896531765    -1.001081239   -0.6807817591  -4.33615139    -4.885549253   -4.780757361   -2.879547665   -2.601335479   683735.0938    	-6.03833e+05	-6.03833e+05	-6.03833e+05
15       NO_ID      1.528171621    -1.151733404   -4.57005168    4.943128709    -1.74844203    3.680958685    1.772296542    0.41055118     3.380707471    -0.4146558685  -7466.631489   	-6.03833e+05	-6.03833e+05	-6.03833e+05
16       NO_ID      -4.365072125   -4.88958678    -4.294812126   -4.14769985    2.34030035     -4.00786107    -2.115013956   4.969980782    2.178988851    -0.6894847707  -97039.37418   	-6.03833e+05	-6.03833e+05	-6.03833e+05
17       NO_ID      -2.296923073   -1.231817166   0.3682175533   -2.414257661   -4.501608277   3.107394077    4.7897249      3.40406994     1.702793288    -3.457673382   -7401.720658   	-6.03833e+05	-6.03833e+05	-6.03833e+05
18       NO_ID      -0.9534889685  -2.060876218   -1.055918554   4.380898399    -0.04654737837 5.12           -4.738309259   -3.325166262   -4.482418238   2.76951258     -64675.05151   	-6.03833e+05	-6.03833e+05	-6.03833e+05
19       NO_ID      -0.9015480049  1.884612124    1.313065526    0.6009721917   2.724908495    -3.853413039   3.45103218     1.833261245    4.339820699    -3.498483552   -20575.61999   	-6.03833e+05	-6.03833e+05	-6.03833e+05
20       NO_ID      -5.12          -3.77194156    -0.07763648754 -0.5614639766  4.969978149    3.529350037    -1.710069747   4.130694836    -4.970275753   -2.90459275    -3622.549369   	-6.03833e+05	-6.03833e+05	-6.03833e+05
21       NO_ID      2.64789033     -2.109630532   0.1538293485   -4.533826859   3.789329942    3.12558875     0.1369567445   -1.273625323   5.12           -3.898720599   -4038.007325   	-6.03833e+05	-6.03833e+05	-6.03833e+05
22       NO_ID      2.512734078    2.713476114    0.2460808155   1.839607852    -1.91683804    -3.419410951   -0.6919779423  3.614498185    2.670254728    4.189700218    -37319.52671   	-6.03833e+05	-6.03833e+05	-6.03833e+05
23       NO_ID      3.411318179    -1.277069705   -4.701601861   -4.293207783   2.141295797    0.02197593857  2.262188519    1.329135834    -5.12          4.658210375    -3498.882301   	-6.03833e+05	-6.03833e+05	-6.03833e+05
24       NO_ID      0.3731463971   3.246812437    4.252158642    -0.1237715446  3.409396523    4.1893589      0.5486099669   -3.446838918   1.690864532    3.871531892    71520.87644    	-6.03833e+05	-6.03833e+05	-6.03833e+05
25       NO_ID      2.324833044    1.088069229    -3.78982936    -4.340892795   -3.079155018   4.961168874    -0.8849545196  0.8941465547   2.509786863    2.302333335    -589.601128    	-6.03833e+05	-6.03833e+05	-6.03833e+05
26       NO_ID      2.137697923    -1.062636158   0.2293371239   -3.821635343   2.482255095    -0.1425712305  -5.12          -4.441720436   0.8049951254   3.216320062    -13785.64679   	-6.03833e+05	-6.03833e+05	-6.03833e+05
27       NO_ID      3.575828685    -3.876688615   2.640101893    -0.7016241577  -2.028526033   1.846105526    3.915849887    -4.670690442   1.74537201     -0.05767211473 -17722.2719    	-6.03833e+05	-6.03833e+05	-6.03833e+05
28       NO_ID      3.985362325    -2.753132871   -4.964048558   4.012787713    3.576052308    -3.762320884   -1.069279507   -5.12          0.02142660165  2.398071782    -0.359175      	-6.03833e+05	-6.03833e+05	-6.03833e+05
29       NO_ID      -0.1356255461  3.323672841    -4.720267702   -0.2972945699  -5.022628636   -3.041652972   4.596082623    0.4720557731   0.6573500806   1.879581138    -5402.466284   	-6.03833e+05	-6.03833e+05	-6.03833e+05
30       NO_ID      -0.5326909529  -3.78283596    4.099510466    0.3887110982   -4.884676766   -2.975752089   2.146733212    0.2333075839   0.8280492717   -3.601717709   16516.26063    	-6.03833e+05	-6.03833e+05	-6.03833e+05
31       NO_ID      2.138942712    4.681235206    -0.213038567   -2.47546837    2.895560866    -3.542741517   4.694036761    -4.004822134   3.090911361    2.80187797     -205653.0252   	-6.03833e+05	-6.03833e+05	-6.03833e+05
32       NO_ID      0.2834087629   4.835928374    -0.2349196473  -5.12          -3.054556524   -3.063975985   -1.740441377   4.095585275    3.959522693    -1.348215689   -325591.0518   	-6.03833e+05	-6.03833e+05	-6.03833e+05
33       NO_ID      3.585338368    -4.72429468    -4.429123403   -4.908065824   5.12           3.112153072    4.742394998    4.463938451    0.1398044922   -2.439411903   -229.670489    	-6.03833e+05	-6.03833e+05	-6.03833e+05
34       NO_ID      -4.220888079   3.437362808    5.042378359    3.688293165    -5.12          1.516392274    -0.5311895106  1.182202333    2.918029733    2.444517902    -413.600933    	-6.03833e+05	-6.03833e+05	-6.03833e+05
35       NO_ID      -1.846925743   -1.877104868   -4.221104153   -3.988543693   4.165124239    -4.495308903   2.061910945    -2.123077398   0.6724106411   -4.415457565   -1057.36064    	-6.03833e+05	-6.03833e+05	-6.03833e+05
36       NO_ID      -0.4565991176  -4.276131958   2.911619944    2.799361089    3.59026894     4.40222263     0.8252113487   -1.452962188   4.388198343    -0.02846197075 -188.314947    	-6.03833e+05	-6.03833e+05	-6.03833e+05
37       NO_ID      0.05138795296  2.325907018    -4.324497867   -5.12          -2.302021593   -2.492986343   4.756358304    -4.207297271   4.255643767    -1.830832565   -1436.100263   	-6.03833e+05	-6.03833e+05	-6.03833e+05
38       NO_ID      0.7369299597   2.727326792    3.36220468     -4.286944476   -0.751801184   0.3796242733   1.00968329     0.2770619063   0.2289788313   -2.799142227   19838.13354    	-6.03833e+05	-6.03833e+05	-6.03833e+05
39       NO_ID      3.336190012    -4.10839476    4.233460648    5.12           -3.038257837   4.529661831    2.980294283    0.08137970926  1.180465735    4.076254193    1513.503319    	-6.03833e+05	-6.03833e+05	-6.03833e+05
40       NO_ID      3.146464738    -0.779250663   4.92864705     -1.496295127   2.831438734    -3.330236447   -3.955658443   -4.685485557   -2.090889597   -2.162583428   -490640.1689   	-6.03833e+05	-6.03833e+05	-6.03833e+05
41       NO_ID      4.759113458    1.669611386    1.541648583    -2.545863588   -4.341793776   -5.12          4.538327476    1.802203055    0.5861909842   -2.095998808   -471.379491    	-6.03833e+05	-6.03833e+05	-6.03833e+05
42       NO_ID      -4.258307419   -4.675386258   4.956244499    -3.662493527   3.233853796    2.893194118    -3.588763163   -3.428491008   0.712456204    -4.103617814   841.810293     	-6.03833e+05	-6.03833e+05	-6.03833e+05
43       NO_ID      3.611917492    -1.028711186   -3.388380683   -1.395227765   3.896978698    0.1299431241   3.068550497    -3.549049326   -3.745567651   -2.72865098    43.602059      	-6.03833e+05	-6.03833e+05	-6.03833e+05
44       NO_ID      3.5454997      1.561265117    2.889398083    2.632264745    2.500721464    -2.838296662   -2.461631155   -4.272988364   -0.08705686392 4.165543143    9.974189       	-6.03833e+05	-6.03833e+05	-6.03833e+05
45       NO_ID      1.265372436    1.129705945    -4.777946982   -2.110472837   -0.7994582747  0.2412039791   -0.2125900042  4.74512962     1.91125873     -4.070570044   -288015.4172   	-6.03833e+05	-6.03833e+05	-6.03833e+05
46       NO_ID      3.874016001    -3.51035319    4.670778102    -2.468060913   4.551994268    -4.989514852   2.327568093    1.561275782    -4.700935061   1.383151365    233.222279     	-6.03833e+05	-6.03833e+05	-6.03833e+05
47       NO_ID      -0.6109994599  -1.615206679   -0.5170217144  4.372176868    4.260480561    -1.965579064   -4.455334902   -2.760478301   1.218174331    -2.297215291   -7928.619335   	-6.03833e+05	-6.03833e+05	-6.03833e+05
48       NO_ID      3.603451806    -3.105684109   -4.68885335    -0.5354840071  -2.508155823   0.3263051201   1.481199727    2.66487682     -3.050529017   -0.2072962404  -12293.19614   	-6.03833e+05	-6.03833e+05	-6.03833e+05
49       NO_ID      -1.485411173   -3.601320518   0.3330088983   0.9256913756   -1.012041734   -4.868192172   -5.12          4.19092218     -1.037175159   3.861992405    695663.1991    	-6.03833e+05	-6.03833e+05	-6.03833e+05
50       NO_ID      4.280521461    -4.194972568   -2.633840704   -1.003825344   3.849904207    -4.51567257    0.134298356    2.659762684    1.910768121    -2.973787232   -3131.153887   	-6.03833e+05	-6.03833e+05	-6.03833e+05
51       NO_ID      4.350659503    -0.0687694887  -3.726758683   -5.12          0.8959671144   -0.4385199946  3.920906048    4.649542143    -5.107880343   -4.396177471   -762.616841    	-6.03833e+05	-6.03833e+05	-6.03833e+05
52       NO_ID      1.981105437    -4.091323413   -0.8456128129  1.970974759    0.9020998465   -0.3266471348  4.771952935    1.148984777    4.988956598    -2.547967639   -501098.3652   	-6.03833e+05	-6.03833e+05	-6.03833e+05
53       NO_ID      -0.7124384895  -1.854458578   0.2852866624   -2.004350654   -1.353915062   -3.503433101   -1.600872676   -4.167983652   0.9346109372   -2.818990402   1451298.108    	-6.03833e+05	-6.03833e+05	-6.03833e+05
54       NO_ID      2.115128668    -0.5071215069  4.806445667    4.233998328    0.9438701515   2.206641321    -2.461213827   1.536020394    4.24629726     4.448671816    -56109.83935   	-6.03833e+05	-6.03833e+05	-6.03833e+05
55       NO_ID      4.263691804    2.405701539    -2.782235416   -3.959215479   3.188329335    5.12           2.740321869    1.56104947     -0.4411979059  -0.9890264464  -453.560581    	-6.03833e+05	-6.03833e+05	-6.03833e+05
56       NO_ID      4.843961499    2.522073259    3.856408623    5.080630839    0.8257554529   2.097860734    3.248162701    2.105127931    4.494928957    -5.12          1571.279302    	-6.03833e+05	-6.03833e+05	-6.03833e+05
57       NO_ID      -0.7272692916  -3.841911611   2.818005078    1.856259298    -1.513390488   5.12           -3.765187683   3.730918159    0.2032254787   -0.4210316429  51374.2437     	-6.03833e+05	-6.03833e+05	-6.03833e+05
58       NO_ID      -4.935829706   1.328507405    -3.537581313   2.340306831    1.940653515    4.310378767    2.940991851    4.848775482    -5.12          -4.1891294     13173.10165    	-6.03833e+05	-6.03833e+05	-6.03833e+05
59       NO_ID      2.175442975    -2.59250848    0.4883712761   -1.684998494   -1.102449736   -3.325597962   4.075825733    4.839288901    4.15224071     3.463282536    18027.9764     	-6.03833e+05	-6.03833e+05	-6.03833e+05
60       NO_ID      5.041425768    -2.999167575   3.607807786    3.155880707    -0.1753032146  -3.140899631   0.7038848451   5.12           -0.4834973663  -4.481145991   85360.84449    	-6.03833e+05	-6.03833e+05	-6.03833e+05
61       NO_ID      4.705045607    1.172106371    -4.791570363   0.9187665997   3.595353417    -3.188209287   2.599330936    5.12           -0.3881004049  -0.02975539707 -6820.436784   	-6.03833e+05	-6.03833e+05	-6.03833e+05
62       NO_ID      -2.521224909   -4.234755303   2.464944189    -3.636479223   1.594104287    -1.032771452   3.565104928    2.597985511    4.997503655    -4.280127567   -3.660221      	-6.03833e+05	-6.03833e+05	-6.03833e+05
63       NO_ID      -1.553293759   -2.165163455   3.785863144    4.268908032    -0.4236131846  0.6158758735   2.201307013    3.269185865    -3.616931882   -1.587271947   233290.1618    	-6.03833e+05	-6.03833e+05	-6.03833e+05
64       NO_ID      3.099309604    0.6172246986   -4.227673616   -1.625280367   2.577325603    2.878538983    4.995820975    -2.192377669   0.9944104463   4.16419249     553.379427     	-6.03833e+05	-6.03833e+05	-6.03833e+05
65       NO_ID      2.707055517    4.633828239    1.259058716    -0.09441299224 4.207566652    3.169490979    -5.12          4.226209493    -4.333972079   0.2285138907   179224.4665    	-6.03833e+05	-6.03833e+05	-6.03833e+05
66       NO_ID      5.12           -5.01651057    -5.020179907   -0.1723240818  -3.021179471   0.03990067344  3.950387245    -1.484336662   4.077222268    -0.2095715825  576798.2348    	-6.03833e+05	-6.03833e+05	-6.03833e+05
67       NO_ID      4.453677739    4.123766848    1.167294066    0.1079507414   -0.9775890822  -4.043862922   -5.12          -1.818912787   -0.1510274941  -1.78380327    3233.969109    	-6.03833e+05	-6.03833e+05	-6.03833e+05
68       NO_ID      -5.12          4.792833464    1.701088141    3.321867002    1.578963182    0.3315457647   -1.135160641   4.401055859    4.953601438    -2.039120406   -31922.28674   	-6.03833e+05	-6.03833e+05	-6.03833e+05
69       NO_ID      -2.79416948    2.138363668    0.2256544108   5.07225332     -4.703850611   3.281437505    -4.729338756   3.972723256    -0.3466928184  0.3572542095   49.819814      	-6.03833e+05	-6.03833e+05	-6.03833e+05
70       NO_ID      1.139957039    3.307292869    -4.778901927   -3.692806969   2.502075269    -4.927574239   4.500211146    1.592942436    1.896122092    3.43680304     -8.562507      	-6.03833e+05	-6.03833e+05	-6.03833e+05
71       NO_ID      2.969148292    -1.411222298   3.425543497    -4.415657793   3.077613646    -3.559995499   3.649525248    -3.646016826   -0.6665992317  -4.996909988   21363.23902    	-6.03833e+05	-6.03833e+05	-6.03833e+05
72       NO_ID      -4.765662943   1.435335024    3.607882739    -4.390861465   4.276439888    1.609851137    -4.169447362   3.036484882    2.275481458    0.419815816    -190.693374    	-6.03833e+05	-6.03833e+05	-6.03833e+05
73       NO_ID      3.174589263    2.393324576    -1.300125725   1.360129888    -0.6227074152  0.9961780588   4.963092982    -2.113728815   1.210512726    -1.03487239    -2684863.19    	-2.68486e+06	-2.68486e+06	-2.68486e+06
74       NO_ID      3.453886465    -3.945107174   -2.632524967   2.424537971    3.304903613    -3.408579913   3.298315833    -5.119298337   1.981884781    -4.076397971   -2885.901128   	-2.68486e+06	-2.68486e+06	-2.68486e+06
75       NO_ID      -4.671119521   2.469792587    -3.065425047   -2.620677241   -0.250867523   -3.608683048   -1.807298945   -0.2804511387  -5.12          -3.858618252   -6163.766983   	-2.68486e+06	-2.68486e+06	-2.68486e+06
76       NO_ID      0.9310366964   4.887187375    -2.249535127   4.132495439    0.3926704145   -2.499613045   1.159947841    0.156733003    -2.829471103   1.60703985     4723.123539    	-2.68486e+06	-2.68486e+06	-2.68486e+06
77       NO_ID      -0.7643601739  -4.735167195   3.989945026    -4.244608968   -3.848451487   2.225274343    4.895959492    0.9489959918   -1.783044455   4.604193986    -2.624739      	-2.68486e+06	-2.68486e+06	-2.68486e+06
78       NO_ID      -1.912958391   3.648503601    0.9875666231   -4.793282068   3.64861533     -3.4852688     -4.903252582   -3.192269569   1.07488388     -5.12          -335.936395    	-2.68486e+06	-2.68486e+06	-2.68486e+06
79       NO_ID      -0.1973524656  3.068264798    -4.479231224   1.088645022    -2.11906559    1.694885734    -1.522638224   -4.792264887   3.785379828    -2.965778444   -2206.867337   	-2.68486e+06	-2.68486e+06	-2.68486e+06
80       NO_ID      -0.5799984538  -4.584658874   -1.924819799   -4.983399785   -4.243624042   0.2591566004   -4.377397339   1.743976889    1.599458976    -5.012811847   -921.126917    	-2.68486e+06	-2.68486e+06	-2.68486e+06
81       NO_ID      -0.2783354662  3.077503452    -2.465019173   3.735982794    -3.749563583   2.13551885     2.234799624    -1.600215858   -4.53250441    -3.580633624   7704.337813    	-2.68486e+06	-2.68486e+06	-2.68486e+06
82       NO_ID      0.3414710301   -0.5887767353  -3.278930834   3.656202668    -4.948895139   -4.996025656   1.557680415    -3.388723606   -3.544260931   0.3388759958   272.339543     	-2.68486e+06	-2.68486e+06	-2.68486e+06
83       NO_ID      4.215224305    -1.639580482   -1.878677503   3.839971486    -5.12          -1.221526574   4.128742098    -4.117008786   0.150219811    -4.73464538    -10831.74777   	-2.68486e+06	-2.68486e+06	-2.68486e+06
84       NO_ID      -3.685991073   -1.969865932   3.214986274    -3.764210621   0.9241458224   3.800135279    3.195566925    -5.12          -4.710241916   -1.431070676   -736.201513    	-2.68486e+06	-2.68486e+06	-2.68486e+06
85       NO_ID      -1.828225219   3.365513517    3.851357277    2.697301094    0.0771150793   2.533551274    2.265966054    -5.101588461   1.839161774    -2.78177832    270.74472      	-2.68486e+06	-2.68486e+06	-2.68486e+06
86       NO_ID      -4.229965927   3.805808835    4.014129798    -2.300949349   -5.004553674   0.5216328013   2.540419678    -2.705620183   -4.938977559   3.192818815    -0.446888      	-2.68486e+06	-2.68486e+06	-2.68486e+06
87       NO_ID      -3.317416785   -0.3439362405  -1.241595449   2.646468881    -1.608984673   5.011602542    4.296049349    -3.831353685   0.1863637559   2.504136951    69800.08176    	-2.68486e+06	-2.68486e+06	-2.68486e+06
88       NO_ID      -4.665307678   -4.680035084   2.227984769    4.010607444    -2.646498212   -4.538464188   -5.055190947   -2.74083881    5.12           -3.526186647   -21.983116     	-2.68486e+06	-2.68486e+06	-2.68486e+06
89       NO_ID      4.105187466    5.12           -3.950818819   4.412356652    -1.711976855   -3.567208809   4.212847943    2.034591177    0.8070355042   -3.482495221   9413.995157    	-2.68486e+06	-2.68486e+06	-2.68486e+06
