%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      2.522523378    2.631297642    1.694413491    2.83376811     -3.209012867   -4.938468204   -4.680705172   3.659377628    -0.8254788357  -5.067174457   -719.093468    
2        NO_ID      -3.36030749    2.046051811    -1.071880123   -0.7844416483  -5.12          -1.865984909   2.525397115    -1.224747712   -4.124403705   -2.517167634   110.627627     	1.10628e+02	1.10628e+02	1.10628e+02
3        NO_ID      4.74519895     -4.296044371   1.173244505    -1.313670436   1.07635746     0.1519340057   3.010047787    2.374431556    2.246946753    0.6344123184   12.223581      	1.22236e+01	1.22236e+01	1.22236e+01
4        NO_ID      4.180188531    3.488434318    4.689541504    -0.3567982197  -4.575143098   -3.320841533   -1.435703928   2.519751741    5.12           2.765302658    -25141.06974   	-2.51411e+04	-2.51411e+04	-2.51411e+04
5        NO_ID      -3.299235115   -0.1895613998  1.895327822    -3.870665257   2.965129699    -3.139320697   -2.876948679   3.423742833    0.6126636333   5.12           765.033378     	-2.51411e+04	-2.51411e+04	-2.51411e+04
6        NO_ID      3.343906658    5.12           3.409735053    -1.195415322   -3.965485604   -0.03311040978 -3.377528653   -3.137758089   2.6198407      -0.8387307588  -139782.6423   	-1.39783e+05	-1.39783e+05	-1.39783e+05
7        NO_ID      0.5273403648   -0.9752067565  1.524449863    3.006527059    -3.92695391    2.622516664    1.568175794    -3.193612475   0.1969742266   4.087759631    -0.876912      	-1.39783e+05	-1.39783e+05	-1.39783e+05
8        NO_ID      0.1722881561   3.253011688    -3.397939011   2.401265437    -1.13402133    0.2982749428   -3.516133671   1.353527301    0.7273030478   1.409933887    4436.838977    	-1.39783e+05	-1.39783e+05	-1.39783e+05
9        NO_ID      -1.425445866   1.864349939    3.019354448    -2.939773453   0.7997509881   -1.79347152    4.771782133    0.9273869187   5.12           -5.025604602   16449.03015    	-1.39783e+05	-1.39783e+05	-1.39783e+05
10       NO_ID      3.698470178    1.911664683    0.9409316495   -0.3362662335  1.704590826    1.802591943    -2.254864663   0.8634445139   0.5628442768   -4.504195222   1827.403668    	-1.39783e+05	-1.39783e+05	-1.39783e+05
11       NO_ID      -3.92191596    -3.045862864   2.985917982    -2.971045927   2.523038365    1.300461841    -4.084494845   -3.358802093   -0.862627295   -1.656454005   -7334.592423   	-1.39783e+05	-1.39783e+05	-1.39783e+05
12       NO_ID      5.035619657    -2.478154136   -4.389915415   0.9622973743   -4.012469453   -1.519680753   -1.589116538   -5.12          3.910255866    -2.789551521   -125095.6323   	-1.39783e+05	-1.39783e+05	-1.39783e+05
13       NO_ID      4.130357978    2.51117065     5.017462858    0.606560602    4.038116902    -3.856981947   -4.518269221   -1.768009837   0.4190892497   4.127741503    371.837132     	-1.39783e+05	-1.39783e+05	-1.39783e+05
14       NO_ID      -2.741563074   0.1839785093   5.032333579    2.162231224    2.993225775    -0.8219520685  2.367273271    1.802230778    1.98851432     1.394359604    -592.350164    	-1.39783e+05	-1.39783e+05	-1.39783e+05
15       NO_ID      3.428583705    2.260528425    -1.082043698   -5.12          -4.147049044   -1.869652166   2.090872502    -2.570841926   3.701586265    0.9442651128   -3599.14855    	-1.39783e+05	-1.39783e+05	-1.39783e+05
16       NO_ID      2.259059212    -0.8211932062  -3.013556935   -1.970108548   2.331906753    -1.978948404   2.445993089    -4.593898652   -0.3972920812  -3.302736837   -103869.196    	-1.39783e+05	-1.39783e+05	-1.39783e+05
17       NO_ID      -3.717139108   -1.650996641   -3.92411156    -5.12          4.951804361    3.066255916    -0.5391728354  -0.7839757469  4.087730079    -1.860173398   -58830.38906   	-1.39783e+05	-1.39783e+05	-1.39783e+05
18       NO_ID      5.052825959    5.034456235    -1.139031636   3.444445572    -0.7088888365  2.838141442    -0.4027789678  -5.12          3.462352277    -0.8212187937  -385629.4439   	-3.85629e+05	-3.85629e+05	-3.85629e+05
19       NO_ID      4.46401856     -1.403224567   -2.469254178   -1.581701002   5.12           3.48701776     -1.345823513   -5.100091967   3.909181859    2.45415023     183668.2271    	-3.85629e+05	-3.85629e+05	-3.85629e+05
20       NO_ID      1.281516866    -4.770062484   0.3270223481   0.4551558478   -1.766935038   -4.587924392   -4.062865558   -1.348330769   -0.3823390078  3.527636956    163.627986     	-3.85629e+05	-3.85629e+05	-3.85629e+05
21       NO_ID      0.7372423989   -0.1909573104  2.010908622    5.12           0.7460012533   3.529215749    1.210653314    -2.19933933    4.742651968    -3.245753253   386.590936     	-3.85629e+05	-3.85629e+05	-3.85629e+05
22       NO_ID      1.930638832    -2.049609824   -1.57677164    2.534045327    4.208812984    5.12           1.898710109    -4.121837135   -5.047395046   -2.555752252   -19862.55953   	-3.85629e+05	-3.85629e+05	-3.85629e+05
23       NO_ID      -5.087857405   2.0817609      3.362715348    -2.516147911   4.553731637    -1.706694384   -2.62249935    2.90386113     4.386024929    -3.226798135   -1972.802288   	-3.85629e+05	-3.85629e+05	-3.85629e+05
24       NO_ID      1.512637206    3.600027557    -4.674970414   3.533354914    0.08260034205  3.633382323    1.05356405     -3.012074584   1.21510128     4.246684644    3.112378       	-3.85629e+05	-3.85629e+05	-3.85629e+05
25       NO_ID      -2.102716277   -5.12          2.611737693    4.504562674    3.484221992    -1.527950734   3.570689584    -5.038132284   -1.145041651   2.209696103    281.753693     	-3.85629e+05	-3.85629e+05	-3.85629e+05
26       NO_ID      4.663599746    0.851972479    2.424846145    1.212418782    -0.7298828568  4.458517462    2.561161858    -4.722981307   -1.130661185   -3.598208444   -91.165734     	-3.85629e+05	-3.85629e+05	-3.85629e+05
27       NO_ID      -4.79535971    4.900750123    3.514820989    -1.878758634   5.12           4.000827489    4.842184826    5.000797461    -1.402475948   -3.581759831   89406.56364    	-3.85629e+05	-3.85629e+05	-3.85629e+05
28       NO_ID      4.044840013    2.679510145    3.120617443    4.438994921    -0.1521362159  -0.5247734024  -4.739374516   -4.93763203    1.92216916     -4.129142862   -3006.115171   	-3.85629e+05	-3.85629e+05	-3.85629e+05
29       NO_ID      -0.8216897653  4.958427801    0.0861763908   -3.531311284   3.645738356    -4.354581089   5.12           0.2974404491   -1.700795305   3.281357972    -339556.3088   	-3.85629e+05	-3.85629e+05	-3.85629e+05
30       NO_ID      4.466348355    0.05923750946  -4.598101151   3.355684487    0.2827022174   4.066329508    -3.505155103   -5.020111668   2.215678108    -5.12          -6473.155642   	-3.85629e+05	-3.85629e+05	-3.85629e+05
31       NO_ID      0.920702655    5.060824515    0.6248518741   4.061073214    2.368817938    -4.358917494   -0.1936545949  2.396278909    -3.82041168    5.12           23880.48429    	-3.85629e+05	-3.85629e+05	-3.85629e+05
32       NO_ID      -0.9648847794  1.694734337    4.784339688    -4.790060171   -4.078766633   2.139649981    5.12           2.644263627    1.73104563     4.743403893    140129.4518    	-3.85629e+05	-3.85629e+05	-3.85629e+05
33       NO_ID      0.302165786    4.824770602    -3.707767037   -2.496550018   2.608977       4.521944217    -0.7740914967  -3.486512138   2.169081272    -1.744437587   -3609.583856   	-3.85629e+05	-3.85629e+05	-3.85629e+05
34       NO_ID      -1.775756479   4.832101223    3.057045294    -4.192718628   1.238401094    -1.373111494   0.9857523529   -1.709920423   -4.721554612   -1.984996354   177.287137     	-3.85629e+05	-3.85629e+05	-3.85629e+05
35       NO_ID      -3.693160224   0.573382059    -4.964131883   3.974028098    5.12           -2.519937705   1.701049619    3.695260903    4.375430034    2.028493103    0.100617       	-3.85629e+05	-3.85629e+05	-3.85629e+05
