%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      0.8479187783   4.945546381    -4.094571296   1.988446425    -2.063400526   -1.734059996   0.04259290805  1.166580101    3.97388397     -1.09520893    4201.865458    
2        NO_ID      3.099798294    -1.798414947   -4.672415473   -0.3773738463  3.369937552    2.47803575     1.496844666    -5.12          3.152280701    0.148851601    104.131354     	1.04131e+02	1.04131e+02	1.04131e+02
3        NO_ID      4.327998202    -3.672211936   -1.773569245   2.930359394    4.712333094    -5.12          2.694023744    0.8501292356   4.708684447    3.763484948    -3101.511179   	-3.10151e+03	-3.10151e+03	-3.10151e+03
4        NO_ID      -3.912730151   -1.347541624   1.653821013    0.2719517529   -0.8393414301  -5.12          -4.063140947   2.532545395    -1.445089084   -3.210594764   -47614.83354   	-4.76148e+04	-4.76148e+04	-4.76148e+04
5        NO_ID      5.12           -4.266174624   -2.348752817   4.194218433    -1.603692772   1.400603555    -2.388738543   4.603202201    -4.727229476   -3.849361679   1042.85156     	-4.76148e+04	-4.76148e+04	-4.76148e+04
6        NO_ID      2.622854716    1.83858871     4.885331369    1.981067748    2.605773094    -0.7446692629  -0.410017187   -3.241526323   -2.855818082   1.249811897    5437.753542    	-4.76148e+04	-4.76148e+04	-4.76148e+04
7        NO_ID      -5.12          1.125184932    -0.6057523633  0.252741181    4.873162745    -2.592966542   -4.134964775   1.649188489    0.296603847    4.413695616    -46593.36646   	-4.76148e+04	-4.76148e+04	-4.76148e+04
8        NO_ID      1.954236086    2.841842007    2.649837221    0.9215267704   3.923644675    3.322077165    -1.627874743   5.12           -3.195228448   -0.5828940863  -26414.36251   	-4.76148e+04	-4.76148e+04	-4.76148e+04
9        NO_ID      0.9693493999   3.710582491    -0.1873345233  -4.976212759   2.568083377    -1.79129678    -2.638566722   0.4012459836   -1.887479109   -4.231618247   -163.405296    	-4.76148e+04	-4.76148e+04	-4.76148e+04
10       NO_ID      -2.155930994   -0.2506733265  -5.12          3.919209803    4.920640329    3.795595359    -0.3949940409  4.478425335    3.186675709    3.197599227    -188254.5461   	-1.88255e+05	-1.88255e+05	-1.88255e+05
11       NO_ID      4.20784296     1.37667014     0.3008665082   -0.9408332813  -4.2900072     4.367419771    0.3020678688   -4.824476445   4.233444218    5.12           364592.0369    	-1.88255e+05	-1.88255e+05	-1.88255e+05
12       NO_ID      -0.5595916259  -4.773130233   -4.398316736   -1.146730476   -3.158138759   2.200629923    4.086612719    5.060220673    -3.796456273   4.987087184    28402.79557    	-1.88255e+05	-1.88255e+05	-1.88255e+05
13       NO_ID      -4.055730109   2.110875046    -4.817422568   1.306378644    2.217136804    2.142798565    3.911297259    0.131630572    -4.828164143   1.93175668     108.30649      	-1.88255e+05	-1.88255e+05	-1.88255e+05
14       NO_ID      -1.664654384   -4.070870639   1.037033428    0.1579737232   3.56537544     -0.3491639341  -3.933408144   -4.968043898   1.710821087    -4.64051585    1464.14158     	-1.88255e+05	-1.88255e+05	-1.88255e+05
