%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      3.104864262    3.861555728    2.874104169    2.404325239    -3.067754454   -3.179526028   -0.3470794839  0.367895068    -0.9580146579  3.840664753    109118.8904    
2        NO_ID      2.415120029    -5.12          -0.2183352798  0.8829828197   -2.182754435   3.620128745    0.69678816     -4.059298511   -2.205500261   -1.999624832   68023.02895    	6.80230e+04	6.80230e+04	6.80230e+04
3        NO_ID      3.065157887    3.069649053    -2.641997069   1.46420712     -1.311495762   -1.976789157   -3.931611497   -4.957733348   1.771669194    -4.105199672   -14831.66479   	-1.48317e+04	-1.48317e+04	-1.48317e+04
4        NO_ID      2.390932726    0.3767150326   0.9254215864   -2.988701608   5.12           -3.664183839   -1.310080586   -1.161586677   3.703936656    3.572193478    -26965.2383    	-2.69652e+04	-2.69652e+04	-2.69652e+04
5        NO_ID      -3.172601414   -0.1937434101  -2.653260795   -1.063282947   4.935328573    -0.6892770639  -4.757217929   -4.984153529   -3.929943775   0.490830568    -236319.2329   	-2.36319e+05	-2.36319e+05	-2.36319e+05
6        NO_ID      0.211691482    -4.692596085   3.805525695    3.669586572    -0.6663510063  -1.744620092   4.290928254    -2.421027247   2.526061563    3.934259804    2034.043925    	-2.36319e+05	-2.36319e+05	-2.36319e+05
7        NO_ID      0.5339506845   -0.6136944243  -2.0115962     -2.573438135   1.689172933    3.043177514    -2.043193688   1.247888973    -3.901102155   -1.878824402   37049.10112    	-2.36319e+05	-2.36319e+05	-2.36319e+05
8        NO_ID      2.62911304     -3.106785698   3.021438294    3.237938754    5.026788752    -3.223269341   1.091793094    4.708603626    -0.6776913226  3.894748486    626.494066     	-2.36319e+05	-2.36319e+05	-2.36319e+05
9        NO_ID      -2.137639831   2.318420161    -0.5385479312  2.17066409     4.817750836    -1.074562288   -2.8748736     0.4357767694   0.02686002472  -3.412744818   -316224.5572   	-3.16225e+05	-3.16225e+05	-3.16225e+05
10       NO_ID      -3.536098647   -0.9465633442  -1.683067682   -5.12          -2.339268312   1.996397697    2.654467894    -3.738602034   4.919188232    0.7713318413   -1998.100508   	-3.16225e+05	-3.16225e+05	-3.16225e+05
11       NO_ID      -3.402699265   4.933678674    -5.12          4.187796454    2.539834131    0.08391391761  4.320877571    1.020873566    2.838587136    0.7209149932   3723.574469    	-3.16225e+05	-3.16225e+05	-3.16225e+05
12       NO_ID      3.016022766    -5.006131235   3.928905825    -5.012893754   -1.451897031   3.523138051    -3.615006949   -0.1616850566  -1.009533967   4.344501809    1926.998807    	-3.16225e+05	-3.16225e+05	-3.16225e+05
13       NO_ID      3.465231722    1.306980159    4.582039304    4.797505416    3.134316433    3.5343781      -4.622943525   1.068594622    4.99204917     -5.12          192.33289      	-3.16225e+05	-3.16225e+05	-3.16225e+05
14       NO_ID      4.520590698    4.681009018    -4.550405384   -4.914858889   -3.439680303   4.070857091    -5.002150186   2.008705245    -0.4296094004  5.12           -1191.185053   	-3.16225e+05	-3.16225e+05	-3.16225e+05
15       NO_ID      0.9246668726   -5.12          -3.291338249   1.644751164    3.827091323    -2.055250363   1.404371307    4.827050415    4.002999545    -4.860647461   -1264.824207   	-3.16225e+05	-3.16225e+05	-3.16225e+05
16       NO_ID      4.64009802     0.9760734889   -5.12          -0.08403101424 1.377863393    -0.6499315593  3.428459479    -4.107201713   -4.013638813   5.030872465    489175.9827    	-3.16225e+05	-3.16225e+05	-3.16225e+05
17       NO_ID      -4.782325453   4.145838151    3.153186978    -2.083702958   -0.3922681187  -4.274879754   -0.4310748413  4.720743401    -5.12          -4.852755242   8432.64131     	-3.16225e+05	-3.16225e+05	-3.16225e+05
18       NO_ID      -5.12          -0.9319069516  4.139795758    0.4504148107   -3.967031381   3.831263993    4.933452923    1.991210659    -3.194662039   1.388582943    -90693.69114   	-3.16225e+05	-3.16225e+05	-3.16225e+05
19       NO_ID      1.290243261    -1.007579055   -3.586744848   4.613608598    1.535980945    2.797115276    -3.473774914   -2.261464552   1.167523721    3.37383675     4126.873234    	-3.16225e+05	-3.16225e+05	-3.16225e+05
20       NO_ID      -4.055088053   3.697253405    3.682689971    -2.795516546   -0.2897208653  4.669621635    0.616524517    -3.390246933   -0.1766234327  -4.991155512   -71551.76025   	-3.16225e+05	-3.16225e+05	-3.16225e+05
21       NO_ID      2.795739454    4.893300707    -2.857558867   3.255010634    0.7564731654   3.188340117    0.1527428903   3.701009861    -1.440971149   -4.685842742   59134.48363    	-3.16225e+05	-3.16225e+05	-3.16225e+05
22       NO_ID      -1.741618016   -1.97434224    3.952048932    -3.042590729   5.061489386    -2.051334491   5.12           2.578038297    -4.571812684   4.363259811    19514.93966    	-3.16225e+05	-3.16225e+05	-3.16225e+05
23       NO_ID      -4.879662576   0.8153628575   -1.350790585   -0.787864647   2.487112275    -1.129849491   5.12           -1.831649672   -1.978183114   -4.148337715   65986.1843     	-3.16225e+05	-3.16225e+05	-3.16225e+05
24       NO_ID      0.5018685587   1.705124498    2.931899768    -0.6361823104  1.182852385    -0.6858549034  2.943851614    2.779673876    -1.038282902   2.150617523    39525.85347    	-3.16225e+05	-3.16225e+05	-3.16225e+05
25       NO_ID      -3.689141072   3.855172378    0.7367684727   0.3994043817   3.50804816     0.08659401001  -0.09030062123 -4.301992141   1.21881362     3.338404339    1162.534928    	-3.16225e+05	-3.16225e+05	-3.16225e+05
26       NO_ID      -3.448579837   -2.961230824   -0.2869688442  -0.5132676946  1.756928432    4.866190473    3.740939473    2.328294847    4.565552758    -3.049250658   687752.9646    	-3.16225e+05	-3.16225e+05	-3.16225e+05
27       NO_ID      -3.043852011   3.365525794    -5.12          0.733985773    -1.981881458   0.9844792225   -1.392983774   -0.8810565028  -1.375394999   -4.764818886   1210339.18     	-3.16225e+05	-3.16225e+05	-3.16225e+05
28       NO_ID      -2.272563706   0.336800381    -2.924716828   -3.865125032   -3.597879608   1.903232451    1.384589907    1.609842819    -1.723762343   3.978630098    -119.27203     	-3.16225e+05	-3.16225e+05	-3.16225e+05
29       NO_ID      -2.225048198   5.066718282    -1.67223492    4.584768641    5.097245365    0.3953514223   -2.078961836   4.399889854    -0.520792542   4.724664551    -3417593.496   	-3.41759e+06	-3.41759e+06	-3.41759e+06
30       NO_ID      2.063671711    4.43262084     3.711397287    2.204118934    -4.650129421   4.771461031    -3.06305483    -0.4731238179  -0.569206145   -3.098775058   -7409.148984   	-3.41759e+06	-3.41759e+06	-3.41759e+06
31       NO_ID      -5.12          -0.5524881887  0.06573246421  0.511467663    -2.713614226   -5.000314531   2.643093016    4.703807553    1.69647354     5.062735602    11975.56728    	-3.41759e+06	-3.41759e+06	-3.41759e+06
32       NO_ID      -0.12695686    4.36708227     -2.320330114   3.409684277    -3.532443467   1.278000994    -3.159759953   3.963353226    3.508302346    4.265776588    3129.173992    	-3.41759e+06	-3.41759e+06	-3.41759e+06
33       NO_ID      5.12           4.048233816    -0.2733916062  -5.091465031   0.198325496    -3.865008887   -1.828288703   -0.9093364578  -4.098264097   -3.851021527   45861.28168    	-3.41759e+06	-3.41759e+06	-3.41759e+06
34       NO_ID      -3.355280552   -0.2929698242  -0.1103824639  0.7507711316   2.002851355    2.691436813    -2.40891395    3.736610709    -2.771874625   3.685916203    -6303.073414   	-3.41759e+06	-3.41759e+06	-3.41759e+06
35       NO_ID      5.039796405    -2.619265804   4.205178148    -1.790178264   3.749302551    4.515924357    1.852025927    0.0145628445   4.536510604    3.904731892    2061.335875    	-3.41759e+06	-3.41759e+06	-3.41759e+06
