%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      0.7454910812   -0.004980160557 3.145929819    4.021911018    4.729934106    3.848457248    2.077535029    -1.781448152   4.252545253    0.06245366416  -4009.752268   
2        NO_ID      -0.3121181535  2.281169652    4.019765371    -0.426583285   -5.117582572   3.477098656    4.875513428    -0.8079177082  -1.798763476   5.12           34747.39059    	3.47474e+04	3.47474e+04	3.47474e+04
3        NO_ID      2.272726409    4.278452381    2.048033377    0.03650631254  -4.70441542    0.564950859    -5.12          -1.634357821   3.683005677    -3.931599487   5.313204       	5.31320e+00	5.31320e+00	5.31320e+00
4        NO_ID      -3.342196839   4.029763711    -2.159685144   -5.088362438   2.272546219    2.30258875     3.950309522    5.12           4.325875087    2.013051096    1073.026727    	5.31320e+00	5.31320e+00	5.31320e+00
5        NO_ID      -5.12          -4.77488297    -0.1324568868  1.277625601    1.74859997     -1.300591764   4.10882624     0.4327442834   -0.4314085772  -4.705839048   -2800.12286    	-2.80012e+03	-2.80012e+03	-2.80012e+03
6        NO_ID      -1.087436838   3.253502571    -3.004108317   -1.295670911   0.5406894505   -2.948303329   4.830787531    2.084639908    -3.999801617   4.772070485    -253553.9312   	-2.53554e+05	-2.53554e+05	-2.53554e+05
7        NO_ID      2.769109165    2.540628591    0.9376156488   0.2669689798   1.157191749    -1.210988866   1.535118702    -2.237506429   -1.139548974   -0.02548777084 -250.499133    	-2.53554e+05	-2.53554e+05	-2.53554e+05
8        NO_ID      1.655601195    -1.089264699   -3.608068292   2.52894511     -1.322544641   4.859054965    -0.2232811561  5.12           2.108583268    0.8612267023   -37360.42204   	-2.53554e+05	-2.53554e+05	-2.53554e+05
9        NO_ID      -1.393442039   0.0007569139468 -1.308215725   -5.12          -3.302681683   0.8400618046   0.936097456    2.579402086    -5.015185529   0.6733198342   17197.63767    	-2.53554e+05	-2.53554e+05	-2.53554e+05
10       NO_ID      -3.895710795   -5.12          -2.785928227   -0.7160875926  -0.7692767824  -3.954803461   -3.842213503   3.502689294    1.873532162    -2.649254777   10836.79063    	-2.53554e+05	-2.53554e+05	-2.53554e+05
11       NO_ID      -1.452114472   0.2025410538   -0.7532061061  3.372670366    -0.3355432014  -4.122848815   1.727354959    3.026449754    4.050159866    3.685703999    52052.31591    	-2.53554e+05	-2.53554e+05	-2.53554e+05
12       NO_ID      -0.8885746426  -4.140511931   -5.032152231   -1.096814772   -1.954944514   1.943939771    -3.021781553   -5.12          3.358235677    -4.897483303   -45397.73898   	-2.53554e+05	-2.53554e+05	-2.53554e+05
13       NO_ID      -3.196489681   5.12           -4.201118277   1.597693088    4.348748016    -5.006435695   -0.6193049157  2.726473728    -2.547295161   -1.55019193    -19451.37127   	-2.53554e+05	-2.53554e+05	-2.53554e+05
14       NO_ID      -4.268445789   0.3995743779   0.1462314769   -1.940609157   -0.4912193983  5.12           -0.8705079191  -1.059241816   4.808478849    1.413304698    -81023.83417   	-2.53554e+05	-2.53554e+05	-2.53554e+05
15       NO_ID      0.9447032243   4.212488399    -3.856772779   3.0038906      -5.043068533   0.7281516886   4.450234308    -0.6696150016  -0.5629706302  4.812813325    96333.36979    	-2.53554e+05	-2.53554e+05	-2.53554e+05
16       NO_ID      -1.920298262   -1.862959672   -1.687302418   -5.036971671   2.424611034    3.340215512    3.652428402    -4.125708487   -1.230791765   -1.111679822   -36628.97099   	-2.53554e+05	-2.53554e+05	-2.53554e+05
17       NO_ID      3.1437465      -0.3970652693  2.431575646    -0.5343980495  -5.12          -3.601048229   -3.561106654   0.8142052334   -3.121676435   4.363959634    28426.21257    	-2.53554e+05	-2.53554e+05	-2.53554e+05
18       NO_ID      -4.305308548   -0.7498510832  -5.12          -3.202304743   -3.802510827   -2.923061068   3.240082391    -2.15085056    -3.613635022   4.917992992    -44914.447     	-2.53554e+05	-2.53554e+05	-2.53554e+05
19       NO_ID      2.899187652    -5.12          3.176259904    -2.345326177   2.536906971    3.808945173    2.758687225    2.998142855    -1.834874119   -3.527455843   52.287996      	-2.53554e+05	-2.53554e+05	-2.53554e+05
20       NO_ID      -0.1126323956  2.787334466    -3.213524196   2.918623592    4.875267554    3.174354545    3.231406933    1.603418318    -2.371413483   1.941508483    -11379.43442   	-2.53554e+05	-2.53554e+05	-2.53554e+05
21       NO_ID      0.9575790945   5.12           4.525140697    -4.34588287    -3.891949681   -1.892177509   0.8145332589   -5.086211288   -3.803246773   -4.165514861   -1124.528913   	-2.53554e+05	-2.53554e+05	-2.53554e+05
22       NO_ID      3.280006993    3.544222338    0.6894566186   -1.275175506   -5.12          -2.887143626   4.713166109    2.296185961    -2.380161787   3.149236874    -15343.85866   	-2.53554e+05	-2.53554e+05	-2.53554e+05
23       NO_ID      2.369447329    -3.280362537   -1.419360423   3.38814292     -3.877528878   5.12           2.165518109    -4.936912279   -0.5030412297  -2.116596892   -8250.401086   	-2.53554e+05	-2.53554e+05	-2.53554e+05
24       NO_ID      -3.346649523   -1.44304266    -1.691270887   4.296299548    4.922541265    -0.5759156217  -2.410545294   -0.7263318823  0.745811414    -0.8710545251  63987304.06    	-2.53554e+05	-2.53554e+05	-2.53554e+05
25       NO_ID      -3.14188964    2.592647889    -3.571775214   0.6071677846   -1.66686967    2.893487404    3.862086415    0.1262735373   -3.723065975   1.749446       2.432522       	-2.53554e+05	-2.53554e+05	-2.53554e+05
26       NO_ID      -0.6191973503  -1.135653551   2.030179114    -2.681315573   3.567293647    -4.910215258   2.139331215    -1.22614097    -5.12          3.567214743    112.168412     	-2.53554e+05	-2.53554e+05	-2.53554e+05
27       NO_ID      -0.9063158224  0.8109529569   -2.783640651   -4.421060184   -3.744398212   -4.348086157   4.930737474    0.5121372478   2.788556685    2.048503818    -57.509047     	-2.53554e+05	-2.53554e+05	-2.53554e+05
28       NO_ID      -4.813200847   -0.4442966457  -1.399175289   0.7036426441   -2.962253875   -2.853616398   -2.27829347    -4.687928546   3.017441255    3.860754136    -23.688341     	-2.53554e+05	-2.53554e+05	-2.53554e+05
29       NO_ID      -3.711158643   4.756873355    -3.583833189   3.309016012    4.314897028    -2.04232286    1.344088683    5.084673123    -3.607788621   5.092719786    150936.9093    	-2.53554e+05	-2.53554e+05	-2.53554e+05
30       NO_ID      3.026916176    -2.97861347    -0.2954856127  -4.195774667   -2.50985218    0.06962093751  -0.6886314924  -3.069521215   4.64357374     1.407776316    26598.82596    	-2.53554e+05	-2.53554e+05	-2.53554e+05
31       NO_ID      3.336699425    0.6311214232   -0.5135066493  -0.3123516268  2.730401947    -0.5939464388  1.277819217    4.537346468    4.324573368    -4.085747982   103521.2249    	-2.53554e+05	-2.53554e+05	-2.53554e+05
32       NO_ID      -4.629619176   5.12           1.236690612    3.241456467    -0.07380618816 -4.151625164   2.384265354    -3.974266715   -4.990904578   2.938666299    10211.89808    	-2.53554e+05	-2.53554e+05	-2.53554e+05
33       NO_ID      -2.335480513   4.54374615     -4.920614041   2.623971286    3.086350026    -1.159946493   0.5310348634   0.2299374912   4.349737267    0.4085435999   1324.605746    	-2.53554e+05	-2.53554e+05	-2.53554e+05
34       NO_ID      2.004922533    -5.12          -3.357054337   1.8615382      3.782620448    -2.678539529   -3.689416992   -3.56701425    -4.314624087   -4.761174478   45.383872      	-2.53554e+05	-2.53554e+05	-2.53554e+05
35       NO_ID      -4.373810979   -0.308343856   1.994365382    2.221427778    0.5114603479   -0.8580027297  5.079427177    2.264578345    -2.396760643   2.884030471    57658.45463    	-2.53554e+05	-2.53554e+05	-2.53554e+05
36       NO_ID      0.1278784178   -5.12          3.673138297    5.025997987    -4.723348015   2.07584146     -2.003332575   4.953166365    -0.5977737648  0.3289237449   -573.704167    	-2.53554e+05	-2.53554e+05	-2.53554e+05
37       NO_ID      -2.521715707   -2.438103681   2.936744558    -1.096174617   2.468161661    -1.369961595   -0.4298427148  -0.462635496   5.12           4.608064005    -3632.864791   	-2.53554e+05	-2.53554e+05	-2.53554e+05
38       NO_ID      -0.2482714399  -1.93115848    -5.12          3.561128059    2.905755872    -4.661542298   2.019701637    1.237614779    -2.760433779   2.421148969    -43.147794     	-2.53554e+05	-2.53554e+05	-2.53554e+05
39       NO_ID      0.5296921034   -1.503071595   -3.787448548   1.982397438    5.061273837    2.66965145     4.905343081    -2.67438207    -0.05479801871 -5.12          -33464.82398   	-2.53554e+05	-2.53554e+05	-2.53554e+05
40       NO_ID      -4.772368792   -0.172148255   -5.12          -4.906496303   3.298281966    -1.378378307   3.297612295    1.724891468    -4.318168404   4.682675719    -154357.3958   	-2.53554e+05	-2.53554e+05	-2.53554e+05
41       NO_ID      -2.434057388   -5.12          -3.580953537   -2.983493046   -0.3256702766  3.676337973    -2.630581732   -1.885492537   -0.8435365012  2.609028331    104324.5338    	-2.53554e+05	-2.53554e+05	-2.53554e+05
42       NO_ID      4.366842651    2.019120056    -2.303322262   -0.6298791786  4.401147755    -2.95214539    3.420167557    5.12           -1.20407687    4.902083286    -50584.44649   	-2.53554e+05	-2.53554e+05	-2.53554e+05
43       NO_ID      -2.002581819   4.544682908    -4.123441664   -2.467401797   4.663083383    -1.341314499   -0.6202726006  -5.12          -3.84706001    4.04997192     282333.9521    	-2.53554e+05	-2.53554e+05	-2.53554e+05
44       NO_ID      2.891101113    0.3783699568   0.5938880754   -4.506015073   3.071298297    4.033058986    5.045152546    3.548372807    -0.2671821693  2.727305477    -770.731896    	-2.53554e+05	-2.53554e+05	-2.53554e+05
45       NO_ID      -4.837364205   4.96750991     0.7038243678   -3.64950106    0.7899981268   -4.373412413   0.5685024049   0.6387089637   -0.5493431649  1.089883086    46.495502      	-2.53554e+05	-2.53554e+05	-2.53554e+05
46       NO_ID      2.635542452    2.967196247    3.956987429    -4.13649554    1.591017674    4.425830104    -0.9740066124  -0.533403555   4.020872353    -2.815472896   168.750734     	-2.53554e+05	-2.53554e+05	-2.53554e+05
47       NO_ID      0.8409636236   5.050552541    -1.778532479   3.875542095    -0.9500821881  -4.543578152   4.68587567     2.489980557    -0.7404880378  -0.02321804657 428904.2718    	-2.53554e+05	-2.53554e+05	-2.53554e+05
48       NO_ID      -4.687368863   4.482246073    2.608151479    -4.733244051   5.12           -0.6438788883  -5.108954196   1.255878246    4.829725366    -3.631571593   -577.460896    	-2.53554e+05	-2.53554e+05	-2.53554e+05
49       NO_ID      0.01113513573  1.247449268    -4.20484513    -3.04272505    2.240718307    -2.239079653   -0.8609551853  4.669277538    -2.476960636   4.141326021    -155308.4324   	-2.53554e+05	-2.53554e+05	-2.53554e+05
50       NO_ID      -4.80050794    4.668280611    -0.6473174052  2.433854181    -4.11797721    2.481110562    -2.589609219   -0.1692562822  3.611940854    -2.400238205   -70400.05373   	-2.53554e+05	-2.53554e+05	-2.53554e+05
51       NO_ID      1.273489013    2.25189028     3.832617233    -4.381681945   2.842096574    -2.599507616   -5.061944464   -2.484034271   0.9060066203   -1.352234079   -134260.2185   	-2.53554e+05	-2.53554e+05	-2.53554e+05
52       NO_ID      -3.398714201   -0.05084931515 -4.016230777   4.327018936    -0.8655348819  -0.3277377319  3.049168962    4.831067788    -3.847676548   4.140453164    1440688.764    	-2.53554e+05	-2.53554e+05	-2.53554e+05
53       NO_ID      1.755866399    4.385429548    0.3663445747   0.1414697665   3.70183581     -4.243130514   2.194819282    -0.3252268526  -4.744738316   3.959119424    -63.182653     	-2.53554e+05	-2.53554e+05	-2.53554e+05
54       NO_ID      2.602877559    0.3761823086   -5.077075515   -4.293974105   5.12           0.2675283676   0.5486773024   -1.050491832   2.409263637    3.758731841    1623.922577    	-2.53554e+05	-2.53554e+05	-2.53554e+05
55       NO_ID      -4.921768988   -0.378788814   3.21520015     -3.597049539   4.466281412    1.84158569     -0.9136335389  2.005507643    -4.996232964   -3.42531152    -25701.74413   	-2.53554e+05	-2.53554e+05	-2.53554e+05
56       NO_ID      -0.2944134542  4.214077772    -2.584781837   -1.039051122   -3.314507516   -2.871941728   1.808678384    5.11420684     0.5926108597   5.065832829    -37967.23604   	-2.53554e+05	-2.53554e+05	-2.53554e+05
57       NO_ID      4.027711122    -1.010365917   4.790115447    -1.461021292   5.12           -4.282457329   -2.026662436   4.055667162    -2.58300449    -1.174562581   395631.3011    	-2.53554e+05	-2.53554e+05	-2.53554e+05
58       NO_ID      3.457144059    -4.284496822   4.431062181    2.825106269    -1.006949168   1.368284654    -4.865257954   -2.358228054   0.8643947484   2.899370357    -7166.2406     	-2.53554e+05	-2.53554e+05	-2.53554e+05
59       NO_ID      -2.667885215   1.80204865     -0.1124188817  -2.242762704   -3.613266353   -3.879420131   2.759295144    2.731848331    -3.636615837   2.067932027    -962.590107    	-2.53554e+05	-2.53554e+05	-2.53554e+05
60       NO_ID      0.9396558884   0.9472186869   -3.988921934   3.456297328    4.824278834    0.1169206969   -5.12          4.333353329    -1.176789339   4.362819049    -19866.1814    	-2.53554e+05	-2.53554e+05	-2.53554e+05
61       NO_ID      -2.553323449   0.07034870698  2.112406702    -4.112573288   0.2059667764   -3.838986127   -4.576494946   3.3596158      0.5581796084   0.2168162684   -431.943942    	-2.53554e+05	-2.53554e+05	-2.53554e+05
62       NO_ID      -4.548517059   3.856017244    -0.09148772526 1.561530312    1.683960586    2.081389429    -3.663935405   0.3043967459   -0.8406245995  4.525795422    233.068835     	-2.53554e+05	-2.53554e+05	-2.53554e+05
63       NO_ID      0.9245579373   -3.403597628   5.12           0.4037600227   3.506892114    0.4090953788   5.040079984    -1.753583291   -4.446388954   -0.4337036204  -2792.542054   	-2.53554e+05	-2.53554e+05	-2.53554e+05
64       NO_ID      1.910586037    3.822963434    -3.018914095   3.071460353    -2.766389555   -1.957537543   4.442408571    5.046081033    -4.157067238   4.059402538    -3945.230906   	-2.53554e+05	-2.53554e+05	-2.53554e+05
65       NO_ID      -1.91350817    -1.352056619   4.4408203      1.039010886    0.5290400068   -1.73796728    -3.17074671    -2.311288544   -3.506714471   -3.639291046   1355.201864    	-2.53554e+05	-2.53554e+05	-2.53554e+05
66       NO_ID      -1.365375485   -3.475876214   -4.09691913    -2.475440188   -5.12          2.997491938    4.110558546    -3.059205714   3.868512693    4.671460364    27887.74534    	-2.53554e+05	-2.53554e+05	-2.53554e+05
67       NO_ID      0.7797112228   4.606487782    1.289122975    -2.183936091   2.890839051    -3.855640891   4.907020834    4.626906874    -1.948937473   2.643695243    426071.2703    	-2.53554e+05	-2.53554e+05	-2.53554e+05
68       NO_ID      -4.80890789    0.04614581194  4.695237506    4.506760238    -4.41371141    4.797735221    -4.426830689   0.7489593735   3.768945986    3.605752096    14279.10682    	-2.53554e+05	-2.53554e+05	-2.53554e+05
69       NO_ID      -2.70134844    3.990314783    2.153542556    3.190312103    4.198251576    3.638320286    -3.099470365   -4.825835606   -2.409010374   -2.003466148   -14.334561     	-2.53554e+05	-2.53554e+05	-2.53554e+05
70       NO_ID      0.8465888113   -1.018082989   -1.66088468    -2.269056182   0.5863518541   -2.504417113   2.763928735    0.8785072263   -0.1380140853  2.991616796    3362.922489    	-2.53554e+05	-2.53554e+05	-2.53554e+05
