%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      -3.945455385   1.918020619    4.292692342    -4.955726898   1.907370867    3.091117447    -4.708493888   -4.736349347   -2.465966081   3.124207309    139.254217     
2        NO_ID      1.048139636    5.12           4.681781102    1.734374593    4.546321341    2.981277293    2.120919772    -2.35775055    0.5769314372   -1.122021966   0.13558        	1.35580e-01	1.35580e-01	1.35580e-01
3        NO_ID      -0.4386747842  4.127188163    -1.82684893    0.8498354328   -4.743334646   1.442211745    -0.6149624203  0.965835363    4.345160994    -5.12          -6667.610413   	-6.66761e+03	-6.66761e+03	-6.66761e+03
4        NO_ID      2.645190698    -5.12          -4.456154434   0.00132369428  -3.96796208    4.125321949    -4.402389644   3.608528054    -3.945465555   -2.077732427   -20622.67773   	-2.06227e+04	-2.06227e+04	-2.06227e+04
5        NO_ID      2.908695592    -0.09129451057 -1.562134047   5.082741736    -2.894813218   -1.040255656   0.4884245312   4.804172201    -5.12          -2.379329166   855889.7254    	-2.06227e+04	-2.06227e+04	-2.06227e+04
6        NO_ID      -4.876021459   0.7883293882   -4.50426933    -3.191406299   -4.742748369   1.168493935    -4.68045051    5.02442418     -0.09760790548 -0.188194787   9906.227021    	-2.06227e+04	-2.06227e+04	-2.06227e+04
7        NO_ID      3.179566322    -0.4371273285  -0.3589720457  -4.234585972   -0.9716778762  2.614908296    1.411790514    -1.299963238   -1.889682794   -2.829395947   1144.988552    	-2.06227e+04	-2.06227e+04	-2.06227e+04
8        NO_ID      -4.007417869   4.303320208    3.437510571    1.177348326    -4.610799669   -2.665478125   3.258810692    -3.809013503   -3.153024509   3.749173895    -7835.731849   	-2.06227e+04	-2.06227e+04	-2.06227e+04
9        NO_ID      -1.538860077   -4.031172708   -3.342800042   -2.292270932   -1.502334868   1.528963377    -4.994857667   3.414358082    -3.878726864   -5.12          -148.638324    	-2.06227e+04	-2.06227e+04	-2.06227e+04
10       NO_ID      0.04197962195  -4.566324054   0.9380681237   2.102077321    -3.992516481   -1.063702144   1.405637704    -4.048927654   5.12           4.904166063    -52013.8088    	-5.20138e+04	-5.20138e+04	-5.20138e+04
11       NO_ID      0.179982332    -3.162041286   -4.488849301   -1.120880212   0.9511264651   -5.12          3.882079104    0.642976947    4.050837005    0.6648300986   -57.250602     	-5.20138e+04	-5.20138e+04	-5.20138e+04
12       NO_ID      1.77330165     3.52298543     4.073189294    4.656449524    -0.8472694319  4.219103453    5.12           3.468559837    0.5959300816   3.884905809    -4666.719034   	-5.20138e+04	-5.20138e+04	-5.20138e+04
13       NO_ID      2.9505993      -0.05805996252 5.12           -0.4543108494  -4.813272864   -2.086693538   -3.968849176   -4.360397375   3.979318243    1.314580009    118.859254     	-5.20138e+04	-5.20138e+04	-5.20138e+04
14       NO_ID      5.12           -3.139284169   -1.07240707    0.0896819889   -5.006129692   -0.4659022644  -4.351042497   -0.219324428   -4.426252811   -1.343215896   21094.65128    	-5.20138e+04	-5.20138e+04	-5.20138e+04
15       NO_ID      -5.12          1.002950006    4.600731893    -4.963378246   1.829485835    -3.897656792   -3.610206772   -4.812949104   2.479039745    0.2219005471   2499.123377    	-5.20138e+04	-5.20138e+04	-5.20138e+04
16       NO_ID      0.4756095546   1.992234343    -2.935564996   1.447666738    -4.38756908    1.606669358    -1.885355516   -4.529143331   -1.198523207   5.05305506     9479.718785    	-5.20138e+04	-5.20138e+04	-5.20138e+04
17       NO_ID      -2.497926657   4.981483885    -0.8577699617  -4.302344505   -2.394027374   -0.3659808106  -0.3060812024  2.231215618    -5.12          2.971781509    -140405.9557   	-1.40406e+05	-1.40406e+05	-1.40406e+05
18       NO_ID      -3.340074327   -0.6707185899  2.940037945    -3.785142078   -0.838181434   -1.843130948   3.715692612    1.872911835    -0.9717083373  -0.2989054816  -449499.9339   	-4.49500e+05	-4.49500e+05	-4.49500e+05
19       NO_ID      -1.497970965   0.01936104597  3.96922006     -0.3014903862  4.156355505    -2.669483809   1.803866212    -5.009486849   3.574000243    -4.787542995   -14582.41561   	-4.49500e+05	-4.49500e+05	-4.49500e+05
20       NO_ID      -2.434696105   -4.470533599   1.930725469    1.294377205    -2.4104518     4.916761684    3.77482949     5.12           4.117053901    0.1003546052   48240.07254    	-4.49500e+05	-4.49500e+05	-4.49500e+05
21       NO_ID      -4.16259615    1.590262738    4.346087474    4.594300219    -3.099234183   -4.230754994   1.91968016     3.354538109    -3.402215197   -2.583165011   -178.931303    	-4.49500e+05	-4.49500e+05	-4.49500e+05
22       NO_ID      -2.615883984   -5.12          1.152864759    0.2967775704   4.379227535    4.79384406     2.356789479    0.3846005866   -4.719677604   2.85030263     -1415.018433   	-4.49500e+05	-4.49500e+05	-4.49500e+05
23       NO_ID      -2.496047077   -0.3585095487  -3.833908259   3.923338986    4.081050037    -4.182830084   -1.198790825   -3.729499604   -4.417136391   -0.5832570133  436.467957     	-4.49500e+05	-4.49500e+05	-4.49500e+05
24       NO_ID      -2.535849077   0.7119129589   1.745510356    3.173380731    -3.823447704   -3.327011952   3.695538443    4.032553045    4.643593664    2.579682353    -1584.80762    	-4.49500e+05	-4.49500e+05	-4.49500e+05
25       NO_ID      -4.066089841   3.175058211    5.006127658    4.365097676    -1.214186314   -0.2069437721  -1.488266476   -2.608798268   3.151177993    -1.735949136   2981999.324    	-4.49500e+05	-4.49500e+05	-4.49500e+05
26       NO_ID      -1.996635245   3.427047596    4.788389732    -5.052705209   -2.614873121   -1.74959406    -2.864069988   3.537862584    0.3618643731   -5.12          2060.931671    	-4.49500e+05	-4.49500e+05	-4.49500e+05
27       NO_ID      3.706518403    -0.4927041789  -2.087907624   -3.206763948   3.075117564    -3.870208942   -2.491039933   5.12           -0.07507907238 -2.157433812   36332.15213    	-4.49500e+05	-4.49500e+05	-4.49500e+05
28       NO_ID      -4.582996779   0.499252116    1.45866518     1.809164255    4.682650607    1.873135304    -2.719401718   1.158832146    5.12           2.162396144    2134.495178    	-4.49500e+05	-4.49500e+05	-4.49500e+05
29       NO_ID      -4.906603915   -3.065647131   1.073561969    -4.512132914   -4.179198669   1.798944477    4.422906265    -0.5323151269  4.830430853    4.58122886     -13549.65148   	-4.49500e+05	-4.49500e+05	-4.49500e+05
30       NO_ID      -3.018586737   1.98803595     2.398945967    2.856350897    1.824013552    1.002151299    2.579025348    5.056499346    4.141874792    -3.622563198   -2435.437017   	-4.49500e+05	-4.49500e+05	-4.49500e+05
31       NO_ID      -4.961633024   -4.849134147   2.906836027    0.9566231869   0.5490209147   -3.485352291   1.794509122    -4.314807048   -1.635821547   -1.44032796    -14626.9481    	-4.49500e+05	-4.49500e+05	-4.49500e+05
32       NO_ID      1.577114335    2.898211891    -5.12          -5.083245048   1.728459617    2.588978073    -1.66378521    0.7247701507   1.993933875    3.858902933    83.520409      	-4.49500e+05	-4.49500e+05	-4.49500e+05
33       NO_ID      2.802697105    -0.9197132586  2.44143015     -3.573698501   -4.333813509   -1.183766852   0.4282557436   0.4273563459   -2.612311946   4.778830255    292808.127     	-4.49500e+05	-4.49500e+05	-4.49500e+05
34       NO_ID      -1.057520614   3.387345711    -0.9258497444  2.600543312    -3.161390347   -0.969631817   -4.588325836   -4.018196085   -4.622477545   -3.968777657   -72125.62101   	-4.49500e+05	-4.49500e+05	-4.49500e+05
35       NO_ID      1.765891474    3.041339158    4.42266318     -4.39685058    2.863343403    -0.8364161977  -0.2229200899  4.547452135    -3.141840446   -0.7879208882  -230293.408    	-4.49500e+05	-4.49500e+05	-4.49500e+05
36       NO_ID      3.279683018    4.179335996    -4.038746684   3.631697776    0.1906934368   -0.07937154677 3.571764915    -0.5648817435  2.543470437    1.218432199    -3050.425574   	-4.49500e+05	-4.49500e+05	-4.49500e+05
37       NO_ID      1.130406853    0.03166650437  0.5573810555   2.733186948    0.367108947    2.183192742    -2.660695432   3.319968784    -3.938796574   4.859602234    5815.732591    	-4.49500e+05	-4.49500e+05	-4.49500e+05
38       NO_ID      -4.087184073   0.549321934    2.082165683    -4.193872215   5.12           -0.5869894488  3.983742858    -4.65500323    -4.197870605   1.019951798    2.781389       	-4.49500e+05	-4.49500e+05	-4.49500e+05
39       NO_ID      -4.09219877    -1.93619342    -0.05357752155 0.9943524899   0.0855432108   -4.829610718   -5.12          0.4368616156   -1.361380546   2.73022548     -51016.97034   	-4.49500e+05	-4.49500e+05	-4.49500e+05
40       NO_ID      -0.04916276008 4.816381158    -1.240398067   -3.102258211   2.372632765    -3.335528116   2.547500328    2.193240385    2.195908772    -1.225987546   -15178.03674   	-4.49500e+05	-4.49500e+05	-4.49500e+05
41       NO_ID      1.494455862    4.624158485    0.4481591793   -4.933601847   3.244248009    -1.410527361   -2.55752802    -4.590756856   2.70119702     -3.141474961   -98628.62818   	-4.49500e+05	-4.49500e+05	-4.49500e+05
42       NO_ID      -2.852585587   -3.349352905   0.635160413    -4.14497813    4.07036303     2.095327434    3.334613586    1.794603547    5.12           0.3258198682   1432.265768    	-4.49500e+05	-4.49500e+05	-4.49500e+05
43       NO_ID      -4.740170706   1.64922059     -2.671893925   2.323350858    -5.003033582   0.02693368602  5.12           -4.716628385   -2.399635957   -4.701714498   -0.33341       	-4.49500e+05	-4.49500e+05	-4.49500e+05
44       NO_ID      2.585770457    -1.646024873   4.389400835    2.208179413    -3.82483043    -2.191281346   2.953517818    3.257955343    -0.9517004716  -0.6200528463  -83290.88171   	-4.49500e+05	-4.49500e+05	-4.49500e+05
45       NO_ID      -2.523727901   -3.992369681   2.622648968    -3.893825575   -2.282732601   1.014069431    -4.077776864   0.02385799287  0.7425873723   0.2296694493   -1159.310239   	-4.49500e+05	-4.49500e+05	-4.49500e+05
46       NO_ID      3.271906197    -3.263964241   3.763240683    -0.2608203648  3.74886924     -3.926428235   5.092065542    1.007652784    4.39888182     5.12           13852.49682    	-4.49500e+05	-4.49500e+05	-4.49500e+05
47       NO_ID      2.47172334     2.103439397    3.663905043    -4.005551922   -2.529899666   -1.491317472   4.631714108    4.475552038    -1.662418276   -4.902047554   -70585.02563   	-4.49500e+05	-4.49500e+05	-4.49500e+05
48       NO_ID      3.144668852    1.099347724    4.808348759    3.699670728    3.957998273    -0.8212077773  0.92186009     -2.247079467   2.548296474    -4.014590009   263.882415     	-4.49500e+05	-4.49500e+05	-4.49500e+05
49       NO_ID      -1.097893147   -5.12          3.552288154    -1.188057748   0.2057846822   -4.987217868   -0.5099074247  5.062117241    -2.135558786   -2.179031862   -10793.18687   	-4.49500e+05	-4.49500e+05	-4.49500e+05
50       NO_ID      0.7161554506   -4.452003757   -3.826512643   0.808997916    -2.424958983   -2.386744546   -1.931876394   0.04424580069  2.145296161    -4.436078716   -23439.53046   	-4.49500e+05	-4.49500e+05	-4.49500e+05
51       NO_ID      -2.929241734   -4.265685608   1.836039548    -2.650360142   -2.152722686   2.386947181    4.616750074    -0.8403189873  -5.12          -4.886159354   29030.926      	-4.49500e+05	-4.49500e+05	-4.49500e+05
52       NO_ID      -4.326631901   2.677799493    -1.307832095   3.399425666    1.990645247    1.508317231    -4.023663032   3.305816488    -2.251981257   -4.070049299   2710.751647    	-4.49500e+05	-4.49500e+05	-4.49500e+05
53       NO_ID      -0.8634296631  -2.096806635   -5.12          -3.45319624    4.193661126    -1.712109242   4.590242892    -1.064566369   -4.766152689   -3.965444491   -183104.1484   	-4.49500e+05	-4.49500e+05	-4.49500e+05
54       NO_ID      -3.248006061   0.4057491457   1.729967691    -0.4422210247  -4.827033211   2.385938023    0.6532735192   -1.94898377    -0.9796470945  -1.868136881   -5610.754561   	-4.49500e+05	-4.49500e+05	-4.49500e+05
55       NO_ID      -1.113374854   3.542418398    -2.887616795   -4.877905663   -0.864862396   -2.118060458   5.12           -1.682056955   -2.160033129   4.071475986    -8032.259408   	-4.49500e+05	-4.49500e+05	-4.49500e+05
56       NO_ID      -4.623420809   -1.837846786   -3.414112571   3.043453526    -4.721687123   4.439345022    -4.830011647   -1.177853475   -4.970824209   -3.501271616   94.439406      	-4.49500e+05	-4.49500e+05	-4.49500e+05
