%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      -0.6283804738  -2.901993396   3.481769168    3.721664242    -2.544710216   -0.8270753348  2.375994057    -2.62510998    -1.807876968   -0.2187539071  525770.7486    
2        NO_ID      -2.053929977   -2.906149063   -5.12          -1.724514152   4.17097202     -0.6598321522  -2.214158246   -1.721469148   -1.030654763   -1.140361738   -161727.5477   	-1.61728e+05	-1.61728e+05	-1.61728e+05
3        NO_ID      -1.978206996   1.984601235    -3.750482628   0.6361583445   -0.8134677329  3.972333137    5.12           3.858205797    4.068815821    -3.958546794   -1394.430711   	-1.61728e+05	-1.61728e+05	-1.61728e+05
4        NO_ID      -1.518045487   0.9891005911   1.669982257    -3.66387117    0.5741816367   2.945755335    0.7381827461   3.767230314    -3.214885945   3.862178603    -43.527879     	-1.61728e+05	-1.61728e+05	-1.61728e+05
5        NO_ID      1.081537043    3.926680904    3.761465582    4.25314139     -5.12          0.5824312441   -4.806188334   1.3018188      -1.060225398   0.08628219851  -32.276457     	-1.61728e+05	-1.61728e+05	-1.61728e+05
6        NO_ID      -2.766765137   -5.062834778   -1.750005749   -2.364350477   -5.106684759   2.582430266    -1.624906468   1.74795544     1.368403588    -4.189403737   -66.749736     	-1.61728e+05	-1.61728e+05	-1.61728e+05
7        NO_ID      -1.832573576   4.880558067    -3.890279156   5.12           3.970111567    2.912210153    0.4055599311   -3.284689977   -0.3352976571  2.109598492    1289.351847    	-1.61728e+05	-1.61728e+05	-1.61728e+05
8        NO_ID      0.4691021509   1.756185567    -1.411457638   5.011204045    3.505092377    0.7261134642   -5.020822582   3.715628309    -2.640404684   -0.1939049832  -252696.25     	-2.52696e+05	-2.52696e+05	-2.52696e+05
9        NO_ID      2.869065434    -1.836296618   -1.6714212     4.061125171    3.450191414    2.165209285    4.081337882    1.586078631    -4.341837251   -0.3098193245  -2725.335949   	-2.52696e+05	-2.52696e+05	-2.52696e+05
10       NO_ID      -4.537221891   0.6089071585   0.963070899    -2.204525169   2.499198075    -4.815141703   3.29252361     -4.752215057   1.588702969    2.102601854    20.704631      	-2.52696e+05	-2.52696e+05	-2.52696e+05
11       NO_ID      4.29452244     -3.720440288   -1.812596269   -1.982865974   -2.87047423    2.30020089     1.601016799    3.795533767    4.553048787    3.727155194    -1508.242306   	-2.52696e+05	-2.52696e+05	-2.52696e+05
12       NO_ID      3.4063215      -1.290845074   -0.6763763931  3.53397004     4.158452663    -1.642835741   0.2997854906   3.101753433    2.620132686    4.529862555    -2640.474792   	-2.52696e+05	-2.52696e+05	-2.52696e+05
13       NO_ID      -5.12          -4.333373921   -1.959702353   1.11276198     -0.2013066387  4.661005551    -1.021204874   -2.922795977   -2.163339246   0.9517341803   106740.7751    	-2.52696e+05	-2.52696e+05	-2.52696e+05
14       NO_ID      3.756558701    1.453383086    4.517011105    3.225760688    2.916955576    -1.182423639   -4.627096679   -2.359790543   -0.2007925701  0.9192568545   2945.215748    	-2.52696e+05	-2.52696e+05	-2.52696e+05
15       NO_ID      5.12           4.940611853    -0.0200035058  -2.911199252   0.02365865564  -2.001976652   -1.517096966   1.834945529    -4.819981212   2.021159002    -288046.3686   	-2.88046e+05	-2.88046e+05	-2.88046e+05
16       NO_ID      -0.3923211558  2.896157234    -0.6361608261  -2.977336625   -1.228054886   3.342738035    -2.365598774   -3.361424028   -4.179838072   -1.874292278   -69029.14605   	-2.88046e+05	-2.88046e+05	-2.88046e+05
17       NO_ID      4.844993711    -3.418548094   0.1780052354   1.422033037    4.037549834    -0.3017950062  0.9658568296   -4.729360649   3.673347999    -0.662350093   -19424.96529   	-2.88046e+05	-2.88046e+05	-2.88046e+05
18       NO_ID      -0.199026711   -1.012436829   -3.500222917   5.077490313    -5.023878909   -3.069569827   2.295412125    5.12           -1.273377814   2.192441065    -1421426.302   	-1.42143e+06	-1.42143e+06	-1.42143e+06
19       NO_ID      0.9413236266   -4.174735454   -4.066273885   1.635437021    -1.724201268   0.08913504825  -2.742021832   4.747537211    -3.766670124   5.12           -108.195504    	-1.42143e+06	-1.42143e+06	-1.42143e+06
20       NO_ID      0.1698963153   4.460489904    4.123371827    -4.141582057   3.984443558    -1.170778931   -4.830433741   4.627133664    3.829959652    0.4397514697   1219.636687    	-1.42143e+06	-1.42143e+06	-1.42143e+06
21       NO_ID      1.24192228     1.256071671    -0.06551143244 0.170522308    -4.034528179   -3.917660417   0.4907214378   1.786698366    -2.27751828    -3.330365769   -1234.24485    	-1.42143e+06	-1.42143e+06	-1.42143e+06
22       NO_ID      -4.210229929   1.502209213    -0.9774481074  3.71922655     4.856627573    -3.262053085   -3.79144515    -0.724639633   2.683498866    -2.925439832   -3858.649762   	-1.42143e+06	-1.42143e+06	-1.42143e+06
23       NO_ID      -1.238082241   -1.315274584   -4.300600145   -3.389312936   0.9914304999   -4.45016661    0.3335128617   -0.8906191401  5.12           4.095937791    -411199.0791   	-1.42143e+06	-1.42143e+06	-1.42143e+06
24       NO_ID      -0.1580046454  -0.08511867207 -4.646846491   3.165357732    -4.514458708   -4.568436566   2.037066677    0.1807392458   -5.12          4.212459663    3029.595925    	-1.42143e+06	-1.42143e+06	-1.42143e+06
25       NO_ID      -4.322637346   -2.844311985   0.3763622658   4.320188818    2.786026175    -1.626260755   -4.244998255   -4.303916503   -4.985797619   -5.12          -951.162504    	-1.42143e+06	-1.42143e+06	-1.42143e+06
26       NO_ID      -5.053446456   -3.043172884   -2.472569008   2.517507119    -0.5218904753  -3.764139446   -2.911185197   3.312077583    0.793431726    1.779994598    -4451.253637   	-1.42143e+06	-1.42143e+06	-1.42143e+06
27       NO_ID      -1.618041288   -4.794938167   3.229112129    -1.602916669   1.953058601    4.000989921    -2.719013807   -1.370930322   5.106111879    -0.4457078515  -3137.396834   	-1.42143e+06	-1.42143e+06	-1.42143e+06
28       NO_ID      1.351503315    0.2740303793   -5.12          4.996736488    -4.319758933   2.699755089    4.657372753    1.62189173     0.1138393504   -1.641490204   -7766.308696   	-1.42143e+06	-1.42143e+06	-1.42143e+06
29       NO_ID      3.412510245    4.769632723    -5.12          -3.387427809   -4.153289433   -0.8569212562  1.661412092    3.682990886    3.297216866    -0.0911614555  -206022.2558   	-1.42143e+06	-1.42143e+06	-1.42143e+06
30       NO_ID      -1.656846243   4.390455669    1.883503561    3.408521593    -3.75584505    1.181549376    0.6866065289   -4.888960518   2.041656044    5.12           -210.125618    	-1.42143e+06	-1.42143e+06	-1.42143e+06
31       NO_ID      -2.607278415   -2.598953159   0.8135427501   3.855545537    -2.330021322   0.8090799761   3.234539045    4.742176609    5.10038062     4.226203727    339061.8012    	-1.42143e+06	-1.42143e+06	-1.42143e+06
32       NO_ID      2.115632881    -0.4843063084  -2.864462722   3.475334187    -3.763122774   1.29682662     -3.262605611   -3.458546313   1.472047685    -1.466089473   90.896824      	-1.42143e+06	-1.42143e+06	-1.42143e+06
33       NO_ID      -2.292725923   3.957648302    -4.293487066   2.588161373    0.9846964525   -1.718131176   1.73792121     3.447161855    1.678894924    1.119462093    -0.111085      	-1.42143e+06	-1.42143e+06	-1.42143e+06
34       NO_ID      -4.108786941   1.080744023    -1.597210893   -4.591864922   -2.00200678    3.91534678     -0.9225921217  3.739632077    5.12           3.9504198      -6742.311452   	-1.42143e+06	-1.42143e+06	-1.42143e+06
35       NO_ID      -1.258424556   -2.863006049   -2.000565023   5.005124709    -3.130030022   0.9866555036   -0.8328573897  1.413578219    -4.744575356   -0.7866064178  -1544884.991   	-1.54488e+06	-1.54488e+06	-1.54488e+06
36       NO_ID      4.815480525    3.28089579     3.053131553    -3.755079002   -4.344042386   -3.075772601   -1.125687231   -3.819467773   3.187365788    2.044565691    3.897789       	-1.54488e+06	-1.54488e+06	-1.54488e+06
37       NO_ID      0.4809868234   0.6762356217   -3.471623757   -0.3198053658  -2.395742233   1.026643697    -4.479015643   4.404943858    -3.242643264   -1.534664561   -18976.67574   	-1.54488e+06	-1.54488e+06	-1.54488e+06
38       NO_ID      -2.339696541   0.5143527626   -5.12          3.138247065    -3.015017923   -4.902238898   -1.153077189   -1.032227422   3.01033918     -4.701897467   5.479629       	-1.54488e+06	-1.54488e+06	-1.54488e+06
39       NO_ID      4.71026591     5.091688109    3.765087589    4.589790992    -2.08452953    -2.224461049   5.12           -1.815589232   0.7276394163   -0.7173679975  1666980.011    	-1.54488e+06	-1.54488e+06	-1.54488e+06
40       NO_ID      -4.79358726    -5.12          2.129490025    1.531746313    -4.386479699   3.782231896    3.250164983    4.065025635    -4.72961663    0.7690741655   -96.24047      	-1.54488e+06	-1.54488e+06	-1.54488e+06
41       NO_ID      -0.1791478024  -2.76570356    -2.836522092   -1.65465805    -4.816382988   5.107909456    0.1407983384   -3.638198902   2.684078934    4.588048082    1277.997145    	-1.54488e+06	-1.54488e+06	-1.54488e+06
42       NO_ID      -1.903939629   -5.12          -0.3389641674  5.035236962    -2.751827617   -0.6110431023  -3.655307218   -4.283208545   -3.723452825   4.611401496    44.940181      	-1.54488e+06	-1.54488e+06	-1.54488e+06
43       NO_ID      -4.874010772   2.662637811    -0.9396306683  3.22387054     -5.095835732   3.785821998    -3.840330683   2.425263898    4.679128648    -3.005887603   -128609.5777   	-1.54488e+06	-1.54488e+06	-1.54488e+06
44       NO_ID      -3.410292369   -4.404265412   -2.229538066   -1.646757695   -4.015205882   -0.4278367998  -4.521502217   -1.626581195   -5.02683003    -1.018711246   105698.1008    	-1.54488e+06	-1.54488e+06	-1.54488e+06
45       NO_ID      4.031931197    2.839441629    -3.69431805    -4.34151349    1.461942288    1.825316304    3.940108197    1.504165433    -2.761538041   -3.872316985   -13.764025     	-1.54488e+06	-1.54488e+06	-1.54488e+06
46       NO_ID      -3.492900018   -3.541596244   1.550506365    1.319750543    2.597935916    2.202958774    -2.601142558   4.418710662    -4.421186514   -0.07545927668 2129.147155    	-1.54488e+06	-1.54488e+06	-1.54488e+06
47       NO_ID      1.704912524    1.010888874    4.596889931    3.984157308    0.3730214531   4.618969642    -3.611521637   5.12           2.064060691    3.879490767    228.757245     	-1.54488e+06	-1.54488e+06	-1.54488e+06
48       NO_ID      -4.391520122   -1.837059622   -3.782508369   0.430384145    -0.7527828901  -3.085176288   4.006435118    -1.229229677   -4.776566671   -3.383918879   -5445.386075   	-1.54488e+06	-1.54488e+06	-1.54488e+06
49       NO_ID      2.871105133    5.037894196    -4.517280587   -1.081140656   -0.404146673   -3.457439476   4.748815108    -5.12          3.883887984    -3.07820277    -129182.8175   	-1.54488e+06	-1.54488e+06	-1.54488e+06
50       NO_ID      -1.683905249   -5.12          -3.481338678   1.402381316    -0.429847834   2.01014853     3.011444264    1.933839659    -1.208960667   -3.189544441   -2.363652      	-1.54488e+06	-1.54488e+06	-1.54488e+06
51       NO_ID      -0.8740198101  -1.197108835   0.5198305223   3.610444788    -2.93235629    -2.319316878   -1.280194332   4.949777384    0.9638964316   -1.328374355   -1116451.29    	-1.54488e+06	-1.54488e+06	-1.54488e+06
52       NO_ID      0.1912491417   -2.076233366   1.910865869    -3.695503748   -2.151633626   -3.392268476   -4.656980612   0.2160362371   0.3714427101   5.018307515    -10971.491     	-1.54488e+06	-1.54488e+06	-1.54488e+06
53       NO_ID      1.778047401    4.768652556    -1.283382619   0.5302440943   1.345792938    1.084402021    1.180105368    -2.028332139   1.399737988    -5.12          1640.245622    	-1.54488e+06	-1.54488e+06	-1.54488e+06
54       NO_ID      3.564864555    -4.77808438    2.107978093    4.517672943    -3.531111588   -0.8564106903  -3.939586418   2.733972043    -3.69051234    2.438905856    -88.535404     	-1.54488e+06	-1.54488e+06	-1.54488e+06
55       NO_ID      -2.945377901   -4.656223283   -2.544311348   5.12           -1.977689248   2.214826871    -4.153611486   1.525177768    2.895301729    -3.152258236   2555.372544    	-1.54488e+06	-1.54488e+06	-1.54488e+06
56       NO_ID      2.759110161    4.692848438    -3.828156578   0.2863364702   4.486005891    -2.819024901   -4.241161509   -4.860754587   1.340346223    0.6874534218   348.658285     	-1.54488e+06	-1.54488e+06	-1.54488e+06
57       NO_ID      -1.479457856   3.142451213    -2.149769973   2.781519238    -3.35260388    4.255650812    -1.354077149   0.1385561336   -4.988933283   -2.341202181   -63039.26378   	-1.54488e+06	-1.54488e+06	-1.54488e+06
58       NO_ID      -3.979405651   -0.6911699396  2.810121994    0.6692573988   -2.525368549   -5.12          3.425057253    4.858031057    -2.607575389   3.204362753    -296777.4057   	-1.54488e+06	-1.54488e+06	-1.54488e+06
59       NO_ID      4.440007483    0.04160168335  -2.918728646   -2.464187244   3.13768272     3.021753282    4.421798439    2.89771373     -0.5264966919  4.568265866    3828.861919    	-1.54488e+06	-1.54488e+06	-1.54488e+06
60       NO_ID      -5.12          -2.914558255   -1.779912261   2.973032206    -4.393730745   4.724194736    -3.682464429   4.729930526    -2.995831943   -3.874695017   -2270.546628   	-1.54488e+06	-1.54488e+06	-1.54488e+06
61       NO_ID      2.612302635    4.326898467    1.103934372    4.308896497    -3.230451104   2.258036307    0.957611147    3.445515591    2.897395863    -3.210395071   -339.442673    	-1.54488e+06	-1.54488e+06	-1.54488e+06
62       NO_ID      -4.794884839   -2.203731226   3.027513025    -2.130533894   1.257037502    5.12           0.1279771153   -0.275706167   -4.373289617   -3.607863371   153.953359     	-1.54488e+06	-1.54488e+06	-1.54488e+06
63       NO_ID      -3.337861573   0.7610449826   -4.127967972   3.63311367     -3.356381778   -3.850655384   -5.023712209   -0.8794718569  -4.560872432   -3.427449834   9902.800279    	-1.54488e+06	-1.54488e+06	-1.54488e+06
64       NO_ID      3.527340713    1.186347475    -2.92286299    -0.8113287774  4.017267465    -1.465581541   -1.074302255   5.12           3.630219629    -5.032460051   -4994.514613   	-1.54488e+06	-1.54488e+06	-1.54488e+06
65       NO_ID      -3.707870406   -2.026756693   -1.485871112   3.226309708    -3.016289356   5.12           -0.4429266251  2.733306126    -4.64254898    4.548296737    -4843.471796   	-1.54488e+06	-1.54488e+06	-1.54488e+06
66       NO_ID      -0.6225589996  1.438966987    5.021950889    2.378256769    2.144415544    0.9785690629   0.5370825138   3.694085803    -1.151462236   -3.0234989     32246.51287    	-1.54488e+06	-1.54488e+06	-1.54488e+06
67       NO_ID      4.428402066    3.683781312    -0.4706566024  -4.797474403   -3.780737324   -2.97041036    4.93296178     -0.6662127146  -3.720760029   -2.571368198   3258.252833    	-1.54488e+06	-1.54488e+06	-1.54488e+06
68       NO_ID      5.12           -2.249192661   -3.880085693   2.657717852    -5.091877216   4.829259199    0.9073136979   1.250676377    -5.015846995   -1.690596873   -34861.9461    	-1.54488e+06	-1.54488e+06	-1.54488e+06
69       NO_ID      -4.608707419   -0.6671365016  -4.783649772   -2.512073077   2.824715996    3.538973796    -5.12          4.767468824    3.126146166    -3.616660724   2432.46745     	-1.54488e+06	-1.54488e+06	-1.54488e+06
70       NO_ID      2.999613724    1.406229233    -4.244830072   2.598235598    -0.5344875841  5.12           4.889084771    -2.803765823   0.1553793924   1.654120443    20.457776      	-1.54488e+06	-1.54488e+06	-1.54488e+06
71       NO_ID      2.244608259    -3.680921585   -3.203840056   -0.4741314882  -3.118567732   1.297678557    -1.472592972   0.7214271703   -4.021075242   -0.1125717573  22348.88218    	-1.54488e+06	-1.54488e+06	-1.54488e+06
72       NO_ID      -3.549971037   -0.1211807047  -4.430152749   2.613219442    -3.882540061   -5.12          0.1269665573   4.553358166    -0.933806739   -2.066489014   -2265.702819   	-1.54488e+06	-1.54488e+06	-1.54488e+06
73       NO_ID      -3.337512462   -1.564990032   0.3189206246   -0.6337879116  -1.283939577   4.397521787    1.840432975    -3.985436068   3.093072589    -5.054057704   606876.7232    	-1.54488e+06	-1.54488e+06	-1.54488e+06
74       NO_ID      -3.121447644   -0.8903789175  -1.910699774   4.577548798    -0.08284796151 -0.4446377057  4.080776239    2.958181805    -4.585338651   3.392402832    -44801.24254   	-1.54488e+06	-1.54488e+06	-1.54488e+06
75       NO_ID      -2.506049393   -1.119584504   5.12           1.013550345    -3.337218547   -2.487117506   -4.814319658   4.597316835    -4.051224094   -4.949476436   679.810249     	-1.54488e+06	-1.54488e+06	-1.54488e+06
76       NO_ID      -2.787882471   4.88358864     -3.50854359    4.865488719    -2.708588183   -4.725960347   2.895534059    -3.350763102   3.82364201     2.793721426    1403.806705    	-1.54488e+06	-1.54488e+06	-1.54488e+06
77       NO_ID      -3.795907066   5.12           3.338419101    3.419439414    -3.058071902   -1.319398271   3.7934646      -2.026610706   -5.047879484   -3.060254491   -175854.6072   	-1.54488e+06	-1.54488e+06	-1.54488e+06
78       NO_ID      2.697093393    -2.530217081   0.9671041527   4.002470713    0.3028781409   3.732156844    -1.990564872   2.556176114    -1.101316752   -2.732807056   24.523487      	-1.54488e+06	-1.54488e+06	-1.54488e+06
79       NO_ID      1.600544163    -3.231178848   5.12           4.375571986    0.6831357907   -0.7629492034  2.228399691    5.10075508     4.319489546    -0.8524288032  215003.0202    	-1.54488e+06	-1.54488e+06	-1.54488e+06
80       NO_ID      4.224724429    1.790396653    -4.866641084   -3.746244708   -5.12          -4.869540088   -1.79086329    3.783499707    -2.856774105   4.87130679     -3328.221691   	-1.54488e+06	-1.54488e+06	-1.54488e+06
81       NO_ID      4.500953372    3.929196859    -4.828673744   -2.007918225   -1.442705013   3.293530739    -4.647511565   -1.890479798   1.229298744    3.904749752    12700.31263    	-1.54488e+06	-1.54488e+06	-1.54488e+06
82       NO_ID      -3.62890836    -1.429702224   3.642020537    3.439992196    -1.961379615   3.570711401    -2.852907662   -1.009975064   -3.407978169   -0.3333651299  109298.4098    	-1.54488e+06	-1.54488e+06	-1.54488e+06
83       NO_ID      -4.111591693   3.196077006    3.193935156    4.032767925    0.6816895935   -3.827820754   -5.070333689   4.867150205    -0.59241674    -2.425987538   -69701.46631   	-1.54488e+06	-1.54488e+06	-1.54488e+06
84       NO_ID      1.258793274    -4.073989762   -4.107980708   0.9077964669   -3.213215852   -2.493598772   5.12           -4.057899208   1.722972258    3.754327936    -11363.08126   	-1.54488e+06	-1.54488e+06	-1.54488e+06
85       NO_ID      2.800907353    -1.686576461   4.616597529    -4.405054128   3.640940737    2.611428378    -0.1167387184  -0.7482968153  -1.858995007   -0.9921382464  -1179676.526   	-1.54488e+06	-1.54488e+06	-1.54488e+06
86       NO_ID      1.579152776    -4.154148741   -0.9486264301  2.300349762    -1.024670683   -3.559875328   -1.814039647   4.996482947    -5.027783167   -3.711406039   2980.640812    	-1.54488e+06	-1.54488e+06	-1.54488e+06
87       NO_ID      1.540236308    0.792423067    4.834006972    -3.232598074   0.2504569239   5.12           1.896071191    -3.935492653   1.897105093    4.061578666    -4736.975755   	-1.54488e+06	-1.54488e+06	-1.54488e+06
88       NO_ID      -0.5630898436  2.709671167    4.890718658    -4.564232833   -0.4391901089  -2.715848291   2.588773936    0.8769762127   1.741366372    0.6967013833   -5134.956321   	-1.54488e+06	-1.54488e+06	-1.54488e+06
89       NO_ID      -3.253895518   1.366732348    2.486393545    4.349310082    -3.919655578   -2.162005469   -1.828159219   1.289484661    -4.228018133   -1.016608914   495.661778     	-1.54488e+06	-1.54488e+06	-1.54488e+06
90       NO_ID      4.336760314    -3.128387001   0.6798759787   1.216886731    -3.26373275    -1.667553314   5.12           4.94142023     -0.9242469315  2.582687642    -14196.0711    	-1.54488e+06	-1.54488e+06	-1.54488e+06
91       NO_ID      1.591593559    -1.505012389   -0.7977461673  4.504238863    -1.781331684   -4.59684298    3.325042143    -0.2690338355  2.42674257     -1.143431794   -1939.251057   	-1.54488e+06	-1.54488e+06	-1.54488e+06
92       NO_ID      4.326689079    3.572565492    2.297124438    3.175192393    -4.247289267   2.99025138     -1.09960558    -5.12          4.214538304    -4.01318403    -141.762449    	-1.54488e+06	-1.54488e+06	-1.54488e+06
93       NO_ID      1.533678379    -3.184970397   -4.487872341   4.945445198    -2.882920203   4.186332986    -4.295758282   -0.8312661741  -2.306471334   1.496205249    3212.961912    	-1.54488e+06	-1.54488e+06	-1.54488e+06
94       NO_ID      -0.1937064723  -4.562444271   3.638686798    -1.441992187   4.795495535    1.952998016    4.01995743     4.463975141    0.6552684248   2.164501235    -76233.60135   	-1.54488e+06	-1.54488e+06	-1.54488e+06
95       NO_ID      -3.75689003    1.288253014    4.985539408    4.854428725    2.669026681    -1.235712998   2.995041081    1.104802049    -0.5275075705  3.907265766    2558.497109    	-1.54488e+06	-1.54488e+06	-1.54488e+06
96       NO_ID      1.475405496    -2.832086028   -0.6775756154  3.03900778     -0.1203350676  1.01032595     -2.915675663   -3.608521919   -5.008400318   -1.091000084   -8267.213116   	-1.54488e+06	-1.54488e+06	-1.54488e+06
97       NO_ID      -0.4394929175  -1.717602872   -4.388389115   2.235792222    -3.182663029   -2.139654776   -0.5191183493  4.742529716    4.315105587    4.762896728    -342551.17     	-1.54488e+06	-1.54488e+06	-1.54488e+06
98       NO_ID      -3.156284643   0.7125908885   -4.575358991   -1.830285578   5.12           1.567729535    -3.209426827   -4.73065658    4.876794956    4.084829741    -30.235747     	-1.54488e+06	-1.54488e+06	-1.54488e+06
99       NO_ID      -4.642474616   -2.879436529   -2.32240627    2.505505439    -5.12          -0.4918626603  2.549150262    -0.2234058825  -0.907938595   2.042327398    2.891451       	-1.54488e+06	-1.54488e+06	-1.54488e+06
100      NO_ID      2.687322733    -2.967579054   1.290045585    -0.02024055004 3.624173802    -3.381053045   1.575140051    -1.595573007   -3.134134908   1.057608679    -884.534426    	-1.54488e+06	-1.54488e+06	-1.54488e+06
101      NO_ID      3.804725068    -1.56481529    3.643421163    0.5190828826   -0.400621281   1.600001801    -1.95104966    -2.28368938    2.237947421    -2.631170164   2121.209773    	-1.54488e+06	-1.54488e+06	-1.54488e+06
102      NO_ID      -0.1733305695  -2.484472772   -4.898555826   4.579494508    0.831112233    -1.911120886   -3.639588293   0.9931762384   -0.7758227387  -1.430728302   -2817476.75    	-2.81748e+06	-2.81748e+06	-2.81748e+06
103      NO_ID      1.2283093      4.413435968    4.410615048    -2.968454712   3.111770182    -0.5324998784  3.699003796    -4.0133946     -4.469144652   1.627654763    -32299.63746   	-2.81748e+06	-2.81748e+06	-2.81748e+06
104      NO_ID      -3.639653559   4.566582988    0.4957653426   -0.4687956348  1.822351489    4.466294565    3.833505895    -1.971160085   -1.167215808   4.249028865    -11197.20757   	-2.81748e+06	-2.81748e+06	-2.81748e+06
105      NO_ID      3.485604295    -4.726726828   -4.27518516    4.218339561    2.013857796    0.2880689469   -3.830406547   -2.913023778   3.707601321    -0.1411163668  218.588932     	-2.81748e+06	-2.81748e+06	-2.81748e+06
106      NO_ID      2.486922664    1.418103887    2.490058142    -4.018249144   4.127388763    2.484077022    -2.896167462   4.7664937      -5.12          -5.070815728   -4359.533742   	-2.81748e+06	-2.81748e+06	-2.81748e+06
