%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      0.1873046437   4.891928488    -4.811877581   4.010537586    -3.031564737   -2.149922477   0.3277014011   1.288353527    -4.389639205   -3.456015291   -22389.95838   
2        NO_ID      -2.514590424   -1.328148341   -3.591225627   1.552609844    3.540772579    3.926291344    1.691581626    1.868567849    -3.998970988   -0.9307368616  -1225.230623   	-1.22523e+03	-1.22523e+03	-1.22523e+03
3        NO_ID      2.543065669    2.730336409    2.943705256    3.453748392    -2.523691291   -1.692940564   -0.5904725875  4.905328831    4.725305163    -1.63925463    -80087.8336    	-8.00878e+04	-8.00878e+04	-8.00878e+04
4        NO_ID      -4.086544528   4.638859315    4.767715019    4.773558104    0.09626700664  -0.9828884904  1.346016451    0.7667276158   0.01160621312  2.651616933    -1232440.613   	-1.23244e+06	-1.23244e+06	-1.23244e+06
5        NO_ID      3.173259375    -0.3269231318  -4.86122925    -4.652226513   -1.996220194   4.933797156    2.800857222    -1.582482349   0.4053708702   2.282505918    -840408.3717   	-1.23244e+06	-1.23244e+06	-1.23244e+06
6        NO_ID      -2.64146409    -2.591293424   -2.688740882   -4.182821155   -0.4213053582  -4.238877071   -2.537606871   3.689226856    -0.6550021481  4.646793922    658.985277     	-1.23244e+06	-1.23244e+06	-1.23244e+06
7        NO_ID      -4.841438772   -1.585675355   -4.469015577   -4.98745759    -4.168242018   0.2251335566   3.821716668    -2.570106016   -1.125244896   4.289177547    -7077.967333   	-1.23244e+06	-1.23244e+06	-1.23244e+06
8        NO_ID      -3.283400799   1.114450544    1.083981749    -0.7179657056  -2.768561916   0.06940681098  1.832864154    3.634074348    -4.550225024   2.458557294    1.652448       	-1.23244e+06	-1.23244e+06	-1.23244e+06
9        NO_ID      1.578167079    3.620383781    3.218266359    -4.019832232   -0.6652850268  -1.394472678   -1.617080889   -4.918316595   4.28955303     -1.04731491    405753.4814    	-1.23244e+06	-1.23244e+06	-1.23244e+06
10       NO_ID      -1.208514408   1.292664034    4.916485733    3.207630592    1.366659944    3.38117824     -4.447283772   -2.503267107   3.135335789    1.316811706    355926.2       	-1.23244e+06	-1.23244e+06	-1.23244e+06
11       NO_ID      2.768299142    3.527671002    1.824050685    2.85077967     3.705242645    -2.479165456   -1.1415888     -0.333246752   -3.060836479   5.030687437    4441.448563    	-1.23244e+06	-1.23244e+06	-1.23244e+06
12       NO_ID      0.09160772238  4.120271562    0.1261320667   -1.736736409   -0.0735767792  1.86904235     -2.446244731   1.534950575    2.089204994    -3.64535053    15.308485      	-1.23244e+06	-1.23244e+06	-1.23244e+06
13       NO_ID      -0.8482846197  2.296636538    3.487735572    -2.046097797   -4.791960543   1.321353416    -5.03686567    -0.2016870715  -0.1578410175  -2.090436745   968357.9529    	-1.23244e+06	-1.23244e+06	-1.23244e+06
14       NO_ID      1.914048216    2.556399621    -1.216074653   -2.816637981   1.170428713    -1.186732917   1.305756449    -2.870475504   1.482554625    -3.798088376   129.816525     	-1.23244e+06	-1.23244e+06	-1.23244e+06
15       NO_ID      -1.800467988   0.445211224    2.417965884    -1.079779075   -0.3267081533  2.30683798     2.568272254    2.919272063    -0.04367145176 1.217220655    2748.592707    	-1.23244e+06	-1.23244e+06	-1.23244e+06
16       NO_ID      -2.937520792   -3.421255113   0.4062891956   2.130406868    4.30632031     -0.2900141262  -3.855854382   3.410214023    4.59932409     3.370639959    -116284.0676   	-1.23244e+06	-1.23244e+06	-1.23244e+06
17       NO_ID      -0.6345976317  1.67412719     0.05517630117  4.44690543     3.058053304    0.6495586549   -2.101219514   -4.23605214    -4.942015389   -3.96651015    -70.415719     	-1.23244e+06	-1.23244e+06	-1.23244e+06
18       NO_ID      0.2135085268   -0.04726531126 -0.6115014155  0.7950583411   3.971883954    4.475461851    2.018849749    0.5611584437   -1.452260517   -1.27983245    7705.148051    	-1.23244e+06	-1.23244e+06	-1.23244e+06
