%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      -2.076697167   3.281080085    1.257856595    1.057983868    1.307633629    1.930471724    -0.517819318   1.20634957     2.716842844    -0.07746695457 22925.32194    
2        NO_ID      -3.450915361   -4.350449754   -3.044989079   -2.189797932   -0.8882333423  -3.232810126   -4.204296129   -2.133987643   -0.3114481596  -2.312588517   4968.798755    	4.96880e+03	4.96880e+03	4.96880e+03
3        NO_ID      -0.5705602733  -2.440271314   -3.955854588   -2.982270315   3.602707081    3.01385043     2.143759725    -0.4391914821  -4.454874931   0.9214467341   -206.364578    	-2.06365e+02	-2.06365e+02	-2.06365e+02
4        NO_ID      -3.977786708   2.235020084    3.190957612    -1.797323293   -3.503858379   -2.234818655   1.235241117    2.471911782    1.734777088    3.575141938    -1089.746382   	-1.08975e+03	-1.08975e+03	-1.08975e+03
5        NO_ID      -3.87024398    1.819390798    0.2058496042   2.781682395    -0.6392827249  2.260326235    -2.262433526   1.815296561    0.002841016316 2.939800696    -15403.72123   	-1.54037e+04	-1.54037e+04	-1.54037e+04
6        NO_ID      -2.81301585    -0.7860693691  3.401655293    -4.912067637   -0.4700979562  -1.904007329   4.912798162    2.379219073    2.827913551    -2.252458451   55689.79898    	-1.54037e+04	-1.54037e+04	-1.54037e+04
7        NO_ID      -3.329517986   -0.266861231   -4.958724758   3.715405696    2.370424456    -1.537726631   -2.536392129   2.689702491    3.065468849    3.150948144    48579.30722    	-1.54037e+04	-1.54037e+04	-1.54037e+04
8        NO_ID      -2.694858138   -2.897710895   -1.276267141   0.1034211232   -4.505122455   -3.006278475   3.961779392    -3.2630347     2.514633598    -1.53220221    233.83987      	-1.54037e+04	-1.54037e+04	-1.54037e+04
9        NO_ID      -4.654114562   -3.177412576   2.239458163    -0.765364915   -1.14635453    -2.524085909   -3.979964106   0.01994693923  -3.194231274   3.853397926    -23624.50642   	-2.36245e+04	-2.36245e+04	-2.36245e+04
10       NO_ID      -1.494291678   4.688504038    4.432513971    4.395612324    3.11099316     -4.245878429   3.298467592    4.69412481     3.800490865    1.657368983    91121.00326    	-2.36245e+04	-2.36245e+04	-2.36245e+04
11       NO_ID      -0.5001018038  -4.093214478   -0.6883902244  3.415467256    -4.359580186   1.180916214    2.70486203     3.916670391    -5.097441111   -3.180503291   -8743.26248    	-2.36245e+04	-2.36245e+04	-2.36245e+04
12       NO_ID      -0.812514662   0.243631162    -4.564875431   -2.515584418   4.791320965    -3.678286011   -3.132107096   -3.998280844   4.644289974    -2.902466527   -617058.0883   	-6.17058e+05	-6.17058e+05	-6.17058e+05
13       NO_ID      4.585119661    4.573335688    2.816554151    3.549385501    -4.16295955    0.08532095916  3.510299472    4.12566277     -4.953620569   -3.772765691   -87.348044     	-6.17058e+05	-6.17058e+05	-6.17058e+05
14       NO_ID      -3.249476887   4.017089123    -0.5892289371  0.6658845438   2.561355472    2.770277394    -0.7938507903  3.540255978    -1.393974147   -3.641846536   128.618965     	-6.17058e+05	-6.17058e+05	-6.17058e+05
15       NO_ID      -1.919129796   -4.672886539   2.383404837    4.686821066    -3.617015312   0.1398249868   1.850333245    -3.8909458     2.103635829    -0.2244642087  -4585.982399   	-6.17058e+05	-6.17058e+05	-6.17058e+05
16       NO_ID      0.8550222116   5.005481188    -4.428925145   -0.08887380397 -2.517103891   -3.130940481   0.2307633429   1.737151164    -0.1457449306  -3.325188247   345036.6952    	-6.17058e+05	-6.17058e+05	-6.17058e+05
17       NO_ID      3.721381238    -1.91253768    -2.402284389   4.804271577    1.961009814    -4.363164236   3.873644049    -0.1663609413  0.7533066045   2.313599014    378281.6088    	-6.17058e+05	-6.17058e+05	-6.17058e+05
18       NO_ID      1.82201239     4.366729414    2.339339584    -0.288195611   2.168262945    -2.589109188   3.470991848    -0.8091168129  -0.7258092772  3.381763953    -1441556.643   	-1.44156e+06	-1.44156e+06	-1.44156e+06
19       NO_ID      5.012863204    2.090486357    -2.190495522   -1.050228528   -1.762065386   -3.461232733   -3.455868629   -0.3253952032  2.871784137    4.690403189    -39402.59001   	-1.44156e+06	-1.44156e+06	-1.44156e+06
20       NO_ID      4.281259549    -4.715715541   3.669659407    -4.114486746   3.295058926    -1.278103037   4.47712164     -4.59776359    4.216800538    0.4285624518   1408.456335    	-1.44156e+06	-1.44156e+06	-1.44156e+06
21       NO_ID      1.379192175    3.871073498    0.7347319182   2.042541478    1.097011947    4.014069369    -2.677715985   -1.644044842   -2.504979782   -1.196310184   -51.857959     	-1.44156e+06	-1.44156e+06	-1.44156e+06
22       NO_ID      -0.2885911514  2.799811748    0.474046436    -0.6836548401  0.7045756991   0.5108594785   -0.01379375687 4.950139899    1.023955945    -1.0880348     399656.2579    	-1.44156e+06	-1.44156e+06	-1.44156e+06
23       NO_ID      -2.648619014   -1.440498835   1.033757496    -4.295452393   4.530816368    3.658447698    -4.344376695   -3.145127587   -0.06741539018 0.7192519368   -6585.499488   	-1.44156e+06	-1.44156e+06	-1.44156e+06
24       NO_ID      1.499177649    -1.662778368   4.50879975     4.857998195    0.5894157319   0.367523544    -1.362602616   4.220307563    -1.267306542   -2.489290006   36119.25981    	-1.44156e+06	-1.44156e+06	-1.44156e+06
25       NO_ID      -4.998647595   -4.175769789   1.590253688    -5.015950309   5.064097619    -1.734624501   -3.754940733   2.323890086    -1.917705648   1.902510281    597.710301     	-1.44156e+06	-1.44156e+06	-1.44156e+06
26       NO_ID      -0.3997152336  -2.58406811    -4.901483089   -1.703687436   -1.507239937   4.342030124    -1.808653487   2.819557682    -2.336689323   -3.48772738    -82074.49346   	-1.44156e+06	-1.44156e+06	-1.44156e+06
27       NO_ID      2.213174241    3.445454257    -1.649011315   -4.309948875   -2.648945192   1.73583464     0.3446032419   -3.926547656   -3.12477978    -2.367561016   -10915.66127   	-1.44156e+06	-1.44156e+06	-1.44156e+06
28       NO_ID      -4.257754337   5.116752955    1.667645822    1.726242767    -1.118795693   3.403406051    4.595742613    -5.066427461   3.94896464     1.498784094    38.176234      	-1.44156e+06	-1.44156e+06	-1.44156e+06
29       NO_ID      -0.8911853199  4.727856858    -3.117615158   2.298324064    4.166901682    1.769462493    -3.569211345   2.590670978    -1.143168082   -1.703933305   114001.7299    	-1.44156e+06	-1.44156e+06	-1.44156e+06
30       NO_ID      2.572235243    -3.917144943   -3.501341579   -0.8443718705  0.2493525657   2.113632117    -0.7075360788  1.251357685    0.6244915212   -4.927566377   -16196.79972   	-1.44156e+06	-1.44156e+06	-1.44156e+06
31       NO_ID      0.3299159211   -0.6601078942  3.293334176    5.105507158    4.889625934    1.095081221    2.389889908    0.9622329429   -3.8106902     4.245835508    -67880.3413    	-1.44156e+06	-1.44156e+06	-1.44156e+06
32       NO_ID      1.89493624     3.272955861    -2.669656074   -1.281530494   2.523387128    4.711941748    4.977775544    -2.221428257   -2.867269948   4.306028252    -233885.3783   	-1.44156e+06	-1.44156e+06	-1.44156e+06
33       NO_ID      2.780013034    3.682083397    -4.763971235   0.9465002792   0.4069375351   -1.752548999   -2.837746149   -0.5218461529  -2.141322311   -1.847891122   5905.936618    	-1.44156e+06	-1.44156e+06	-1.44156e+06
34       NO_ID      0.4205512381   3.557212135    0.1241873788   -0.1586967368  1.66180969     -4.158813854   3.03603493     2.238666389    3.519324491    0.9229281992   -0.19242       	-1.44156e+06	-1.44156e+06	-1.44156e+06
35       NO_ID      2.456663244    -0.4532590082  2.104268474    0.4891753476   -4.978517752   -0.4896862903  -0.8756824616  -4.746087031   4.832481499    0.2637982056   1064.367512    	-1.44156e+06	-1.44156e+06	-1.44156e+06
36       NO_ID      2.516992428    0.1029677487   -1.373055247   2.608695191    1.335338986    -1.035927379   5.068176202    -2.305973942   -3.901092898   -0.6855159445  -6813.203965   	-1.44156e+06	-1.44156e+06	-1.44156e+06
