%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      -3.665178329   3.325976571    -0.1766624756  3.049754371    -4.390315926   -2.17292767    -5.019372801   4.481374201    -5.065932268   2.065971263    -616.577178    
2        NO_ID      1.141014255    -2.270604485   2.047108682    -1.753888818   2.090016789    -2.475021308   5.108881784    -1.324972681   2.298642167    -3.312997055   -1.120591      	-1.12059e+00	-1.12059e+00	-1.12059e+00
3        NO_ID      -0.6567301149  -4.058913155   -0.7443754879  -2.408192303   -1.818319034   -4.521528629   -0.03374427063 2.909427996    -3.141971682   -5.076075199   312806.0564    	-1.12059e+00	-1.12059e+00	-1.12059e+00
4        NO_ID      4.691069722    0.1971950371   0.4541973045   -2.282126895   4.615205863    4.996183468    -4.906590139   -1.021723455   -0.7509523734  -2.039140542   -1310133.2     	-1.31013e+06	-1.31013e+06	-1.31013e+06
5        NO_ID      1.123941932    -3.142012464   4.854364056    -3.362852131   0.8572907837   -0.1315956053  -0.2431479405  4.73186827     -1.198972702   -1.435043659   6331281.18     	-1.31013e+06	-1.31013e+06	-1.31013e+06
6        NO_ID      -0.8902286718  -0.3609509267  -5.100331797   -3.791705672   -0.7090392878  -0.4037762486  0.5622846783   -0.5969930222  1.290773568    3.158420223    80035.26417    	-1.31013e+06	-1.31013e+06	-1.31013e+06
7        NO_ID      0.9150856861   2.484621995    -1.433602513   -2.987226849   -0.4839063382  -3.702346175   -2.047782343   1.039612238    -0.896134151   -3.884019813   25815.38864    	-1.31013e+06	-1.31013e+06	-1.31013e+06
8        NO_ID      1.725004889    -4.65776281    0.30274043     -4.126337055   2.348643551    -5.020546843   -3.360870354   1.176500633    0.837403131    1.201637549    2702.858975    	-1.31013e+06	-1.31013e+06	-1.31013e+06
9        NO_ID      1.364511353    -3.81873289    3.160485854    -3.460614168   -2.025131727   2.714223131    -1.88129019    5.070072176    -3.30132051    -0.7548606035  87659.5074     	-1.31013e+06	-1.31013e+06	-1.31013e+06
10       NO_ID      2.057443022    1.037239692    1.843024192    -1.143627664   -5.112980488   3.675859313    -0.7693607748  -3.988381141   -3.175007515   2.910781924    -490.04085     	-1.31013e+06	-1.31013e+06	-1.31013e+06
11       NO_ID      -1.987495648   1.343100579    -0.3605526222  0.00978604188  -2.137638733   -3.959379664   -3.102796548   3.190374342    -1.684049501   0.2378842572   -564585.288    	-1.31013e+06	-1.31013e+06	-1.31013e+06
12       NO_ID      2.767167239    -3.410832085   5.072738682    1.735529231    -4.281981715   -3.601568571   1.038908931    4.656237343    -0.2125960477  2.197087265    -19313.86019   	-1.31013e+06	-1.31013e+06	-1.31013e+06
13       NO_ID      -3.231661073   0.3355978802   -3.945535354   -3.48182401    3.130067615    -4.25311303    2.123859289    -1.896328833   -1.25962963    4.718552343    8258.851844    	-1.31013e+06	-1.31013e+06	-1.31013e+06
14       NO_ID      -0.5692975388  2.953133369    -2.439453349   0.3884812566   5.016382746    -3.002777949   -1.616216344   3.391651564    0.07591497388  4.356983518    -531865.0832   	-1.31013e+06	-1.31013e+06	-1.31013e+06
15       NO_ID      3.809623504    3.619832343    4.375260372    3.428037813    1.818689653    -2.290199222   -3.222018501   2.418492658    4.901477229    4.898169397    -5319.870093   	-1.31013e+06	-1.31013e+06	-1.31013e+06
16       NO_ID      0.7903664154   2.409073766    4.929481434    -2.938624175   -0.8932589654  4.555899201    0.7104097287   2.651014556    1.880024586    -0.6385861506  1133378.666    	-1.31013e+06	-1.31013e+06	-1.31013e+06
17       NO_ID      0.6034498669   1.912997046    -2.820579394   -5.087864923   -1.225696117   -1.20623756    0.05660234299  3.928436108    1.158553695    -1.064767411   3823.80963     	-1.31013e+06	-1.31013e+06	-1.31013e+06
18       NO_ID      -4.595575953   0.006857668877 2.403396196    4.02047256     1.412436242    1.015232557    -1.380736565   4.817317399    -3.649250517   -2.170458511   49132.43565    	-1.31013e+06	-1.31013e+06	-1.31013e+06
19       NO_ID      -4.726789218   -4.332274304   1.48897391     2.89839989     0.2448341009   0.5210703725   1.791267975    0.1460802829   4.22751753     -1.14011998    40.873366      	-1.31013e+06	-1.31013e+06	-1.31013e+06
20       NO_ID      -3.558616238   -3.296423707   4.182161369    -1.411486774   -0.5448190149  -2.410458265   -0.5231150496  -2.268046029   2.509373129    -4.380491581   -5524.375741   	-1.31013e+06	-1.31013e+06	-1.31013e+06
21       NO_ID      4.266259074    0.5300287606   -3.022326352   -2.753953615   -2.237123655   3.083769061    1.535568518    2.189040586    2.820701742    -4.782428629   -14.272596     	-1.31013e+06	-1.31013e+06	-1.31013e+06
22       NO_ID      -2.954714097   -0.2131937257  -2.640078257   -1.628965725   2.677277692    2.021693806    -1.293944262   1.538830091    4.805822601    -3.724135428   3510.985187    	-1.31013e+06	-1.31013e+06	-1.31013e+06
23       NO_ID      0.07990423162  0.6299505656   -1.002560169   -0.3654845421  2.010936615    -1.682802537   2.53405912     -2.059870108   -1.466777242   -1.557794922   -53756.8215    	-1.31013e+06	-1.31013e+06	-1.31013e+06
24       NO_ID      -2.183551498   4.767011284    -0.5477250288  1.987593353    1.24254394     1.559734674    1.28383328     0.8014773405   2.111513447    2.663946319    1407.747897    	-1.31013e+06	-1.31013e+06	-1.31013e+06
25       NO_ID      -4.842685663   -3.609933187   1.620411535    0.4643568508   1.456917801    2.545930761    4.606275767    -2.756322097   3.982832577    -2.287131923   0.040375       	-1.31013e+06	-1.31013e+06	-1.31013e+06
26       NO_ID      -2.318960121   2.187433023    0.3436266589   2.257458924    -3.349160498   1.719176432    0.1942692706   -2.878589657   -4.387396561   -1.325338439   -7857.097914   	-1.31013e+06	-1.31013e+06	-1.31013e+06
27       NO_ID      1.526050212    -0.8721975498  -2.320136234   -4.951083698   2.614421825    -5.004886263   2.804354283    -4.368109643   -2.546355951   2.018947203    629.182109     	-1.31013e+06	-1.31013e+06	-1.31013e+06
28       NO_ID      4.184118673    3.4611818      3.797152875    -2.590841856   0.7929681317   -2.115549955   3.517071534    1.873127094    -2.977299621   -0.3233529462  -32011.46368   	-1.31013e+06	-1.31013e+06	-1.31013e+06
29       NO_ID      -0.1490279411  2.603492347    -2.087972279   4.644974979    4.51190177     2.073619347    4.906442725    -0.4097692591  -0.2019026871  2.474442232    -934.051181    	-1.31013e+06	-1.31013e+06	-1.31013e+06
30       NO_ID      -0.9949670312  4.543072316    1.032485992    2.134073456    2.355249031    -1.926012591   4.650354585    4.051335347    0.8140018713   -2.147048598   67220.37431    	-1.31013e+06	-1.31013e+06	-1.31013e+06
31       NO_ID      0.4323284873   -0.7525911694  -0.2216707778  0.5510071164   -4.79099962    -0.5790190245  -2.447141455   4.293695643    -1.048393089   -0.4250924151  -333574.059    	-1.31013e+06	-1.31013e+06	-1.31013e+06
32       NO_ID      -0.2606481649  -0.5402686324  -4.630022482   -1.738185946   -0.3281710505  0.6656579124   4.406851395    1.751345655    -2.962054793   1.468577624    79331.73438    	-1.31013e+06	-1.31013e+06	-1.31013e+06
33       NO_ID      0.923710925    1.452832238    -2.245260937   2.738456297    0.6593967644   -4.440816049   -3.525519488   1.43493968     2.623205494    -4.044922345   2026.134927    	-1.31013e+06	-1.31013e+06	-1.31013e+06
34       NO_ID      2.633069133    -4.806269972   -1.623722771   -1.962630361   1.870266934    3.904147179    -4.344715712   -1.398276765   -0.6710641439  3.408118983    349778.8058    	-1.31013e+06	-1.31013e+06	-1.31013e+06
35       NO_ID      -2.820420278   -0.1437016292  -2.878781632   2.164651675    -4.907366781   0.2800971963   1.643423368    -4.599168654   1.839059487    -2.7791941     2733.427949    	-1.31013e+06	-1.31013e+06	-1.31013e+06
36       NO_ID      -3.369620327   0.8294506848   0.5680261892   5.048947435    -3.127878474   -4.33998391    2.362851831    0.3608048163   -0.09832507873 -1.710326637   6218.274804    	-1.31013e+06	-1.31013e+06	-1.31013e+06
37       NO_ID      -1.40705255    1.979348107    1.327074016    -2.768360638   -4.096724628   -0.4928562181  2.209270585    -1.717534266   -4.634074538   -3.441489154   -1944.768437   	-1.31013e+06	-1.31013e+06	-1.31013e+06
38       NO_ID      1.989089445    -4.89457882    2.074659336    -2.125984123   1.721833719    -3.873534131   2.600577247    -2.808539063   2.967285169    -3.514201581   -79.774069     	-1.31013e+06	-1.31013e+06	-1.31013e+06
39       NO_ID      4.961753301    -0.4602292165  4.025106814    2.582771335    -2.684048472   0.7609874662   -0.8594080016  1.992795548    -0.3934991686  3.839231737    -1030.359017   	-1.31013e+06	-1.31013e+06	-1.31013e+06
40       NO_ID      -3.103250058   -1.613550037   3.557486838    4.49543893     -3.418059501   -0.7266291227  -4.125700433   -3.072231677   0.3230617537   -2.472035116   25665.296      	-1.31013e+06	-1.31013e+06	-1.31013e+06
41       NO_ID      1.781656674    -2.002417147   0.2043333811   1.305705196    2.939086861    -3.477292081   4.807230189    2.087098884    -2.182727509   2.813435581    -29407.14717   	-1.31013e+06	-1.31013e+06	-1.31013e+06
42       NO_ID      -5.063598295   -1.124226484   -1.223771246   -0.7869795334  4.24979695     3.354840662    -0.6189032288  0.9670202995   -3.801752873   0.7697530618   59215.03304    	-1.31013e+06	-1.31013e+06	-1.31013e+06
43       NO_ID      -0.483848181   2.325215294    2.799616607    -1.874159036   3.04835929     3.74106481     -4.446517771   -1.984580888   0.2410664442   0.675295513    14540.20742    	-1.31013e+06	-1.31013e+06	-1.31013e+06
44       NO_ID      -2.595927649   4.189591067    3.040947199    1.814543486    -1.534693838   -2.036383326   -2.722567059   -2.537403018   -4.846247972   3.058381643    -7829.865546   	-1.31013e+06	-1.31013e+06	-1.31013e+06
45       NO_ID      2.699424232    4.432220915    -3.14687413    -0.6551049696  4.373100153    2.193226015    1.58773089     1.360688605    -3.895554953   -3.26586727    691.982732     	-1.31013e+06	-1.31013e+06	-1.31013e+06
46       NO_ID      -4.453291254   -4.939716763   -0.8932719056  0.6937567046   -3.483742489   -2.691545183   3.128405258    0.8589541579   -1.884505927   -2.377292752   71653.76627    	-1.31013e+06	-1.31013e+06	-1.31013e+06
47       NO_ID      2.514722894    -0.08120666771 -4.406057128   0.9324195025   3.485903959    2.659643948    -2.076421918   2.735706314    2.002575369    4.021143223    605.810432     	-1.31013e+06	-1.31013e+06	-1.31013e+06
48       NO_ID      2.192764793    2.103400415    -0.08741721883 -3.924082377   -2.496772692   -2.593631207   -0.4216387438  -4.69066271    3.553047393    2.593160611    -156.20665     	-1.31013e+06	-1.31013e+06	-1.31013e+06
49       NO_ID      -1.436298417   -1.930997827   -4.213660526   -4.872234725   -3.725649379   -1.791164679   2.256830612    -2.988002181   -1.994039065   1.421550745    935.009058     	-1.31013e+06	-1.31013e+06	-1.31013e+06
50       NO_ID      -1.840744255   1.544806473    -3.386579318   0.1825161195   -4.655227631   3.439869334    -4.956476968   -2.642282192   3.272104758    0.4451909826   -585.918018    	-1.31013e+06	-1.31013e+06	-1.31013e+06
51       NO_ID      -3.068940676   3.567831366    -2.501402868   0.8428376338   -4.564964711   2.34698963     3.00427732     4.965819348    -0.5161744234  1.25905165     3486.238361    	-1.31013e+06	-1.31013e+06	-1.31013e+06
52       NO_ID      -1.069796152   -1.709848206   -1.391193403   1.122846039    0.1771683367   4.079845502    -3.001245317   4.146238126    -2.393875186   -3.054203039   -62918.03306   	-1.31013e+06	-1.31013e+06	-1.31013e+06
53       NO_ID      3.11362764     -2.398945908   -4.792025329   -0.03654912217 -2.294627737   3.262796965    3.372994916    -1.604806068   4.588087945    3.980100324    190.727797     	-1.31013e+06	-1.31013e+06	-1.31013e+06
54       NO_ID      -1.28999827    3.146375117    0.7671619121   1.418673218    -2.92883078    -0.9982023372  -2.461006826   0.07146544614  4.653942126    -3.164461331   -515530.7205   	-1.31013e+06	-1.31013e+06	-1.31013e+06
55       NO_ID      0.6541282567   1.80895996     0.8251117043   2.357462611    3.176962589    -0.2381485696  -3.43531401    1.321499126    -3.732363164   0.1852121132   -313.33171     	-1.31013e+06	-1.31013e+06	-1.31013e+06
56       NO_ID      3.232027658    -2.714696575   -3.882005415   -0.8479174861  -2.375811249   1.321032793    -4.040378424   -1.457382449   -2.132315808   1.602029266    60584.21962    	-1.31013e+06	-1.31013e+06	-1.31013e+06
57       NO_ID      2.890245581    -4.152739795   -4.50986637    4.903328222    -3.949206089   -2.821538395   -1.170410676   -3.441410876   5.067057392    2.277012231    61949.10967    	-1.31013e+06	-1.31013e+06	-1.31013e+06
58       NO_ID      4.060531799    -1.453360878   -1.100062067   -4.489857003   1.600952675    -1.549159471   -1.6989604     1.729176004    1.569051379    -0.2796278664  2521.737229    	-1.31013e+06	-1.31013e+06	-1.31013e+06
59       NO_ID      -2.099954082   -1.836899438   3.962364256    -2.223406104   4.485222014    -1.325775358   -4.64576388    -3.843631414   3.452351868    5.06218884     8646.749143    	-1.31013e+06	-1.31013e+06	-1.31013e+06
60       NO_ID      -4.34490252    -2.504691753   4.255844994    -0.2617766217  3.385945076    4.36316441     -2.349669685   -3.503933136   4.48949745     -4.117257595   -37796.59854   	-1.31013e+06	-1.31013e+06	-1.31013e+06
61       NO_ID      -2.429082902   -1.205188177   -3.196147896   -3.648747215   0.07114393327  -4.635064997   -2.618170848   0.5877752904   -1.808232793   -2.64471124    325.382927     	-1.31013e+06	-1.31013e+06	-1.31013e+06
62       NO_ID      -4.153644857   1.28545564     4.542372611    -4.521845374   -1.717033125   1.502083848    4.035540299    -2.363343931   -2.810958145   0.3326051342   651.306742     	-1.31013e+06	-1.31013e+06	-1.31013e+06
63       NO_ID      -0.748222677   3.26462574     2.873822535    -1.04447413    0.9590253232   -1.042814029   3.433766793    -4.041223646   2.70248978     1.076272418    22209.80614    	-1.31013e+06	-1.31013e+06	-1.31013e+06
64       NO_ID      3.455811322    -0.953192703   4.497393707    -2.530682457   -1.029947969   0.8619583394   -1.519145006   0.4395040751   4.302306794    -1.383417766   2463797.662    	-1.31013e+06	-1.31013e+06	-1.31013e+06
