%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      0.1091286568   2.962096198    0.3669548576   -1.055765986   -4.47086337    -4.577849028   -2.466936577   2.582202276    -2.331473968   0.6114889773   87.20815       
2        NO_ID      1.215519383    -4.922428759   -1.106400798   -3.072265832   3.41528657     0.7024518428   2.282156752    0.5399441937   3.311986716    -3.095378114   -3987.315424   	-3.98732e+03	-3.98732e+03	-3.98732e+03
3        NO_ID      -1.598815101   -0.3477950966  -1.132279208   -3.034487179   2.060799239    1.248269312    3.988998752    -2.505693818   -0.5209805084  -1.923436248   -202.618398    	-3.98732e+03	-3.98732e+03	-3.98732e+03
4        NO_ID      -4.229352568   -0.8993351384  2.655376821    -1.21949076    3.113350171    4.755019237    2.0472823      2.815698718    4.438754039    2.335271784    94.230952      	-3.98732e+03	-3.98732e+03	-3.98732e+03
5        NO_ID      -0.7127264909  -4.190647667   -0.3091241037  -4.985213286   -1.310278515   -1.32413753    2.750207307    -0.7369220095  -4.401145694   4.231553159    -12967661.03   	-1.29677e+07	-1.29677e+07	-1.29677e+07
6        NO_ID      2.306498978    -3.923395768   -4.032146551   -2.532939724   -2.042142114   -2.066926962   2.515134696    4.806768385    3.49480794     1.114670889    10965.31392    	-1.29677e+07	-1.29677e+07	-1.29677e+07
7        NO_ID      3.11264256     0.3678078613   -1.321969488   3.311190979    -3.763046557   3.30950914     4.279901471    4.950062349    -0.2053640539  4.43397655     -1152474.24    	-1.29677e+07	-1.29677e+07	-1.29677e+07
8        NO_ID      -4.137210245   -1.874024343   -3.692837427   -0.6671970167  -2.966998866   2.377540165    -0.7007136289  -0.666510584   -1.773497443   -4.377461277   13906.23567    	-1.29677e+07	-1.29677e+07	-1.29677e+07
9        NO_ID      2.789482353    2.134395596    4.870691263    -0.470506131   -3.495593255   1.557193014    -3.627905618   -4.594820148   -2.059299242   2.655223735    604.636525     	-1.29677e+07	-1.29677e+07	-1.29677e+07
10       NO_ID      0.3252081905   -4.390278998   -0.4884585574  -0.5238581388  -0.4464065619  0.9045992337   -0.5598997991  0.2703534175   -1.043687634   -2.330423321   15033.5567     	-1.29677e+07	-1.29677e+07	-1.29677e+07
11       NO_ID      -3.455694606   -0.561691241   -1.646846791   -3.914345305   2.606472114    2.540364772    3.079963522    -0.9857753264  3.594743958    -0.1668890491  -7420.670482   	-1.29677e+07	-1.29677e+07	-1.29677e+07
12       NO_ID      2.933740044    -2.521454646   -3.12441128    -4.291709659   1.207500859    0.4052745986   1.117044778    0.09717139764  4.880077829    -3.797795293   -837.141032    	-1.29677e+07	-1.29677e+07	-1.29677e+07
13       NO_ID      -4.073872435   4.959924868    1.99392953     -2.696385305   -3.319026237   2.675017383    -0.9075171485  1.707335319    3.262789667    1.391384379    14152.90827    	-1.29677e+07	-1.29677e+07	-1.29677e+07
14       NO_ID      -3.765810593   3.775055352    3.462229721    1.436648857    4.295850864    -1.756973399   3.589896329    4.693488227    -4.595799563   -4.065451316   -1860.064952   	-1.29677e+07	-1.29677e+07	-1.29677e+07
15       NO_ID      -0.9196518665  4.698705622    -0.7157323088  2.520249585    -2.814833942   -2.193006605   1.518727918    -1.518631134   -2.21872214    3.7665116      -281940.5905   	-1.29677e+07	-1.29677e+07	-1.29677e+07
16       NO_ID      1.016335683    0.9238137544   -4.600598195   -1.459277618   -1.096411058   4.92111105     -1.852338555   0.6533775246   -3.983561129   -3.933240691   119423.9178    	-1.29677e+07	-1.29677e+07	-1.29677e+07
17       NO_ID      5.022454323    -1.20366554    -0.7410694504  -4.175157144   -4.260531535   -0.782813529   -0.8118100562  -2.315541345   -0.937605953   1.453406103    871394.2331    	-1.29677e+07	-1.29677e+07	-1.29677e+07
18       NO_ID      -1.130838736   4.436031042    3.020796053    4.013591671    -3.457564974   -2.823575782   0.2916583763   2.528980844    -3.880152656   -3.510663642   -8.924149      	-1.29677e+07	-1.29677e+07	-1.29677e+07
19       NO_ID      -3.232277347   2.540558789    -0.3034253766  -1.424699841   1.462216049    3.948649735    3.51081584     4.382895523    1.532287943    -1.594312037   370.004966     	-1.29677e+07	-1.29677e+07	-1.29677e+07
20       NO_ID      1.969025297    1.179717059    3.11374046     -4.735605202   1.287908564    3.184558008    -3.957365548   1.872778744    -4.703456444   0.9173113643   74.320109      	-1.29677e+07	-1.29677e+07	-1.29677e+07
21       NO_ID      2.103828752    3.065578648    1.666301078    2.026439937    -4.580304479   1.68224307     -2.742915783   3.769411932    2.134366066    -1.997755196   16.327599      	-1.29677e+07	-1.29677e+07	-1.29677e+07
22       NO_ID      1.078057864    -0.9489824305  -1.966651052   3.85181307     -1.787002355   4.49024667     2.589533974    -4.033930832   0.1040035322   -0.05705060043 -201.414835    	-1.29677e+07	-1.29677e+07	-1.29677e+07
23       NO_ID      0.2663160553   -0.005739451075 4.68270639     2.09358082     2.988392447    5.085085238    -4.746706089   -3.722311829   3.812221315    0.174540427    118.984556     	-1.29677e+07	-1.29677e+07	-1.29677e+07
24       NO_ID      -0.2614938419  -3.234122106   3.356828787    5.11710242     4.471069518    -3.415725207   -1.656907566   3.880639082    2.38052378     0.04936681969  24245.7914     	-1.29677e+07	-1.29677e+07	-1.29677e+07
