%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      -1.249103779   2.387586799    -2.566308597   3.698023387    1.387251705    -4.456688454   2.144610452    -4.174046225   -3.389934154   -2.906139975   -16282.67135   
2        NO_ID      4.514043756    0.04148249159  -0.3507482397  2.254264981    -2.060085194   -3.236570384   1.742056313    3.211846151    0.3155440569   1.710603772    -1529.107187   	-1.52911e+03	-1.52911e+03	-1.52911e+03
3        NO_ID      2.44550619     2.927330682    1.259678263    -2.283287694   -1.185874151   -2.904183556   1.944038123    -1.279396307   -2.268348226   -2.386317763   -706.145873    	-1.52911e+03	-1.52911e+03	-1.52911e+03
4        NO_ID      -1.946601035   4.845839217    2.029846624    1.356246107    -2.241796611   1.234173403    4.837652205    -4.821412857   -0.2022400214  -0.1780788199  -397377.5918   	-3.97378e+05	-3.97378e+05	-3.97378e+05
5        NO_ID      1.904538205    0.3673432612   1.645258544    -0.9936014226  2.399259927    -3.807151644   -1.665120797   1.189888999    -2.731907546   0.6839924902   -3271.637636   	-3.97378e+05	-3.97378e+05	-3.97378e+05
6        NO_ID      -0.1321849086  -3.871835431   -4.316068414   -3.478896394   -2.978718495   -2.484471601   1.669636908    -5.034993153   -0.005255197358 0.1164062627   -4490.831553   	-3.97378e+05	-3.97378e+05	-3.97378e+05
7        NO_ID      -3.21305401    -0.8740955499  3.581242624    0.0561361558   -4.973502932   4.599560695    -0.3385259453  0.9246278765   3.277068672    -3.007815123   -125894.8542   	-3.97378e+05	-3.97378e+05	-3.97378e+05
8        NO_ID      -4.92057845    -2.57670056    2.223144054    -1.673525703   -3.862045482   -0.4762957232  -2.597462433   4.315390925    4.668529463    -3.331158783   -45554.2062    	-3.97378e+05	-3.97378e+05	-3.97378e+05
9        NO_ID      -1.692362123   4.562786982    -2.17595592    2.075705693    -4.18712235    -4.018699117   3.175140738    4.002477511    -3.887928012   5.034900281    -929.623877    	-3.97378e+05	-3.97378e+05	-3.97378e+05
10       NO_ID      -4.501330265   2.544069359    2.954435427    -4.346909844   -4.439364676   2.747445176    4.019724408    -4.581719149   -3.118872147   -0.09044993839 -180.387731    	-3.97378e+05	-3.97378e+05	-3.97378e+05
11       NO_ID      0.2175819957   3.083984183    4.809591406    4.893373355    2.898492134    0.6102147946   -3.12569843    -1.637367298   2.413775989    1.62884576     43576.92237    	-3.97378e+05	-3.97378e+05	-3.97378e+05
12       NO_ID      3.937331126    -1.274690065   3.249270208    -1.442428759   -1.592159933   -1.30316213    -4.072102968   -2.008550235   -4.704225935   -4.358507289   -389852.6136   	-3.97378e+05	-3.97378e+05	-3.97378e+05
13       NO_ID      1.00614062     4.389174314    0.9286609707   -4.852446168   -3.732104264   0.3340185197   -3.710846177   -0.4012501878  -2.192572734   -0.4435268132  -6.930892      	-3.97378e+05	-3.97378e+05	-3.97378e+05
14       NO_ID      3.148442697    -0.102312706   1.922993556    -0.3937135726  3.328664929    2.942816999    4.206795375    -0.9908293906  3.511426872    4.118200092    47929.6549     	-3.97378e+05	-3.97378e+05	-3.97378e+05
