%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      -4.665506895   4.444006992    4.877990557    0.7707376705   -1.946763844   -4.328081172   4.521515075    -0.4091637369  1.326620713    0.4118102164   13101.48953    
2        NO_ID      -4.507829975   0.5633969654   -3.608523252   -1.200988649   -4.962507142   2.019047607    -3.031183126   3.254331544    -3.598580851   4.556291694    551.907694     	5.51908e+02	5.51908e+02	5.51908e+02
3        NO_ID      -3.839885264   5.083215981    -4.559438368   -4.461869722   1.798661311    2.650297611    3.38341603     -2.887619663   -3.458622627   -0.1332688242  -43269.34467   	-4.32693e+04	-4.32693e+04	-4.32693e+04
4        NO_ID      1.471732192    -5.076748898   3.066322425    -0.9956127147  -2.769368735   -5.028314441   1.282488636    1.257604421    2.593215724    3.034377882    -88.982266     	-4.32693e+04	-4.32693e+04	-4.32693e+04
5        NO_ID      -1.592102507   -1.180434023   3.828407367    1.654804727    -0.1130895378  1.168757654    -2.283926663   4.60816712     2.905287188    2.290536786    -14555.03839   	-4.32693e+04	-4.32693e+04	-4.32693e+04
6        NO_ID      4.847954442    3.485763155    -3.480868528   4.976191602    2.199646749    1.037810138    -4.295908023   3.525000185    4.310964578    3.953014064    969.308731     	-4.32693e+04	-4.32693e+04	-4.32693e+04
7        NO_ID      -3.541056286   2.936311682    0.9485344239   -1.43115233    -2.248742034   3.29330688     -4.583783567   1.153607728    -4.50704614    3.146267835    10493.12654    	-4.32693e+04	-4.32693e+04	-4.32693e+04
8        NO_ID      -1.874531166   -1.34672375    0.7667253743   -2.78214243    2.282431776    3.260689378    4.944230924    -4.34067285    -4.809812953   5.11119206     -140062.6013   	-1.40063e+05	-1.40063e+05	-1.40063e+05
9        NO_ID      -2.223293891   0.6476212397   -0.6739541409  -2.344207276   2.387459052    -2.21482241    2.813684416    2.763767207    0.09838364975  -0.3393313308  12136.08461    	-1.40063e+05	-1.40063e+05	-1.40063e+05
10       NO_ID      4.16965879     2.101492749    -4.239374906   1.078783156    -5.042999956   0.5327459791   -0.8805113432  0.5047168118   -0.4109050941  -3.362100703   8.907735       	-1.40063e+05	-1.40063e+05	-1.40063e+05
11       NO_ID      -3.454111848   -1.541627062   -3.989342925   -0.8068472394  -4.583200165   -2.665425101   -0.6902199197  4.530344908    3.609875142    -3.849110619   176288.9871    	-1.40063e+05	-1.40063e+05	-1.40063e+05
12       NO_ID      0.6829069561   0.2188161143   1.526700284    -1.085552821   0.1701730044   -1.753443107   -1.283633793   5.006857886    0.2097861158   -0.2482832286  -26112.7978    	-1.40063e+05	-1.40063e+05	-1.40063e+05
