%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      -5.097811823   0.1610986663   -4.097468795   -0.8404943999  -0.8395568712  0.5976744896   -3.019310892   -4.178721274   -1.455513169   -4.526544389   -68589.53624   
2        NO_ID      -5.036872463   -0.9939365825  1.194567705    1.554266182    -0.9654982147  -1.009562059   1.386448561    2.960871609    2.087094943    0.03609485153  4123.699946    	4.12370e+03	4.12370e+03	4.12370e+03
3        NO_ID      -5.015621815   -1.012374645   1.85271279     -4.452167119   5.087186499    -3.249005402   -0.1892245247  -3.887774895   2.900557268    -5.108124638   -20224.5096    	-2.02245e+04	-2.02245e+04	-2.02245e+04
4        NO_ID      -4.555920286   1.482701498    -1.905526902   0.7933054598   2.228661763    2.802741783    3.777146519    -2.920245369   0.1895370342   -1.279882809   -92808.385     	-9.28084e+04	-9.28084e+04	-9.28084e+04
5        NO_ID      -4.48529313    2.715551622    -3.366508988   -0.7639295633  1.932090213    5.047497787    2.907432478    3.504950713    -2.604923246   -3.248067873   -3068.207325   	-9.28084e+04	-9.28084e+04	-9.28084e+04
6        NO_ID      -4.249973449   -1.19800531    1.94740318     -0.4782958464  2.501482589    2.329914853    4.278411817    -2.032718284   1.672082278    -0.9223718986  5246.787054    	-9.28084e+04	-9.28084e+04	-9.28084e+04
7        NO_ID      -4.143720206   4.245910825    4.748113651    -1.455200659   3.737770318    3.404010132    -2.153034455   3.70901944     2.484294565    0.1495358135   158330.2876    	-9.28084e+04	-9.28084e+04	-9.28084e+04
8        NO_ID      -3.942151555   5.019996948    -1.320196539   -3.902775353   4.866867275    -2.111783197   1.168629414    0.08890896329  2.139909055    1.064876247    -63620.1767    	-9.28084e+04	-9.28084e+04	-9.28084e+04
9        NO_ID      -3.851523789   2.023968017    -2.631486557   4.416541032    -4.91780633    -0.8676827296  -1.185504929   -4.133407392   -1.572704245   -3.009623096   77881.89612    	-9.28084e+04	-9.28084e+04	-9.28084e+04
10       NO_ID      -3.753083285   3.799334696    2.981184729    -4.524981841   -1.031437727   2.837117832    -0.4382946257  -0.7670546587  1.537703177    1.302070986    -711.345641    	-9.28084e+04	-9.28084e+04	-9.28084e+04
11       NO_ID      -3.663705557   -1.618955657   3.125564135    4.929994201    5.059685659    -3.962152165   -0.584549089   -0.8214313181  -5.022184515   4.309350261    7980929.428    	-9.28084e+04	-9.28084e+04	-9.28084e+04
12       NO_ID      -2.592735374   3.084937895    4.274661702    2.513670461    1.907714469    -2.814304636   -3.933088778   1.511139866    2.690550859    3.291506699    -1183.05609    	-9.28084e+04	-9.28084e+04	-9.28084e+04
13       NO_ID      -2.579922483   3.913088168    2.25147496     -1.979279153   2.93274575     0.05140781884  2.468981597    2.689300821    -2.137096469   -4.326850795   8218.10904     	-9.28084e+04	-9.28084e+04	-9.28084e+04
14       NO_ID      -2.053343913   -4.271224097   2.007717521    2.17022248     -1.419887082   -4.7890524     0.3120407727   4.064967803    0.3342289499   4.777802057    32960.70309    	-9.28084e+04	-9.28084e+04	-9.28084e+04
15       NO_ID      -1.8661507     -4.752176275   1.565204016    3.831210669    -1.683645131   -4.594358959   1.797711112    2.798679159    -2.91930784    -2.586797693   96.878633      	-9.28084e+04	-9.28084e+04	-9.28084e+04
