%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      -5.104062014   0.4879836421   3.367446516    -4.999371319   0.3004779199   3.475262307    1.384886013    1.310196234    -1.694895474   -3.238692587   -2896.838861   
2        NO_ID      -4.94468215    4.864367199    -1.244569231   -4.034029359   -2.024905545   -0.02171941282 -2.107720573   -4.624359874   4.904680929    -2.666175115   4828024.344    	4.82802e+06	4.82802e+06	4.82802e+06
3        NO_ID      -4.77561449    3.717457198    -0.06390820032 1.504264657    -1.578329417   -1.123003021   -0.17891171    -4.305287637   0.1704739525   -0.2717270425  -1425.847508   	-1.42585e+03	-1.42585e+03	-1.42585e+03
4        NO_ID      -4.508418836   2.008967559    0.1123471786   -2.128033692   0.7973680837   -0.8779955443  0.8226813562   -2.148034303   -1.694895474   2.916495254    -17275.82825   	-1.72758e+04	-1.72758e+04	-1.72758e+04
5        NO_ID      -4.459354839   -1.622080752   2.793679006    -1.238006531   -2.053968932   0.04015747551  4.555607776    -4.028091678   2.289601123    -1.050500809   630221.3722    	-1.72758e+04	-1.72758e+04	-1.72758e+04
6        NO_ID      -4.169033479   -0.1176598407  3.796209601    2.727426984    -3.030873745   -2.427417829   -2.729302042   0.9267470321   -4.278411817   -1.917402264   -4935.126761   	-1.72758e+04	-1.72758e+04	-1.72758e+04
7        NO_ID      -3.711207007   -1.869275796   -3.355258644   -0.3792303232  -0.9270595416  -0.3889181188  -4.232472915   5.019684439    -4.366539506   0.6386132389   -723.397268    	-1.72758e+04	-1.72758e+04	-1.72758e+04
8        NO_ID      -3.475887326   3.716832179    2.430855434    -4.829366131   -1.681770074   1.048000732    0.4779833369   -4.594358959   -1.895214087   -1.846775109   -7995.612855   	-1.72758e+04	-1.72758e+04	-1.72758e+04
9        NO_ID      -3.190253609   -5.107499619   0.4045435957   -1.817086703   -2.077719657   -1.525827815   4.203097018    1.099564806    -2.30491409    3.528388928    54.316816      	-1.72758e+04	-1.72758e+04	-1.72758e+04
10       NO_ID      -3.069312418   -4.425291299   1.593954894    -3.481825007   3.336508072    3.541826838    0.7198657186   -4.801240272   -2.222099063   0.1473482467   -59.51222      	-1.72758e+04	-1.72758e+04	-1.72758e+04
11       NO_ID      -2.817117222   -0.4601702933  -3.107751091   -3.358696249   1.630518509    -0.8489321574  1.059563585    3.157440107    4.80936552     -0.4673580126  271.15946      	-1.72758e+04	-1.72758e+04	-1.72758e+04
