%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      -5.101874447   -3.034623859   4.292474746    -0.1995373394  -3.49307535    -4.310912809   3.330257881    -0.5192345958  -1.614893033   3.159002655    304370.8696    
2        NO_ID      -4.844054079   -4.091843623   4.265911435    1.145816218    3.423073214    0.234225898    -4.631860103   -2.783053682   -1.626143376   2.867743767    -4088.136411   	-4.08814e+03	-4.08814e+03	-4.08814e+03
3        NO_ID      -4.792490005   4.345913877    -0.1648487808  -3.867461776   1.798336131    3.60151616     0.9279970702   2.535233619    -3.793709525   -5.091249123   1103.269636    	-4.08814e+03	-4.08814e+03	-4.08814e+03
4        NO_ID      -4.60717185    3.383697012    1.090814539    -4.43154149    -1.047063204   0.3001654103   -0.1889120151  4.457479781    -4.203409528   -2.661174963   555.128981     	-4.08814e+03	-4.08814e+03	-4.08814e+03
5        NO_ID      -4.42497879    1.001749321    -3.516201056   4.265911435    -3.269631031   2.018967864    4.083405866    0.09640919218  -3.828085574   -3.644954985   8.746411       	-4.08814e+03	-4.08814e+03	-4.08814e+03
6        NO_ID      -4.378727378   4.92405652     -3.817772759   2.225536668    -0.7433039338  1.557078768    -4.872492447   4.474980316    -4.008716086   -1.318946501   -31319.96259   	-3.13200e+04	-3.13200e+04	-3.13200e+04
7        NO_ID      -4.327475814   -3.068687399   4.827178564    -4.519981689   1.396136357    2.697113559    -3.416823023   -5.007496567   1.014249702    -3.883712271   21644.2756     	-3.13200e+04	-3.13200e+04	-3.13200e+04
8        NO_ID      -3.568077639   3.744333018    -4.212472304   -4.727800531   1.948340709    1.644268929    -3.240880154   -3.318695029   -0.7508041627  2.616486099    13.152825      	-3.13200e+04	-3.13200e+04	-3.13200e+04
9        NO_ID      -3.427448347   -1.534890591   2.645236976    0.6070497757   3.470262154    -3.3308829     -0.2376635029  1.448950468    -0.6533011872  -3.265568407   1053.071256    	-3.13200e+04	-3.13200e+04	-3.13200e+04
10       NO_ID      -3.099313334   3.381821955    -4.288412122   3.318382519    2.80492935     4.020591449    1.243319193    2.159597156    0.2314133122   1.268944975    2560.573354    	-3.13200e+04	-3.13200e+04	-3.13200e+04
11       NO_ID      -2.996810205   -3.874024476   -4.056842555   -0.187661977   -1.262382275   -4.082155828   2.163034761    5.025934629    4.537794733    3.655580309    -203726.7098   	-2.03727e+05	-2.03727e+05	-2.03727e+05
12       NO_ID      -2.788053835   2.673987854    -5.013121738   0.06734580523  -0.9383098849  1.688957793    -3.968714866   -1.952090823   -4.840303964   1.693332926    14318.91396    	-2.03727e+05	-2.03727e+05	-2.03727e+05
13       NO_ID      -2.77086581    -2.231786859   -4.662798547   -4.212159795   -3.26338084    -4.418416089   4.028091678    0.1398480178   -3.011810663   -0.4336069826  -0.378092      	-2.03727e+05	-2.03727e+05	-2.03727e+05
14       NO_ID      -2.635549181   1.870838343    3.534639119    2.152096927    -3.511200903   4.025279092    -1.570516678   3.3308829      4.099968871    0.5698611408   -15.247312     	-2.03727e+05	-2.03727e+05	-2.03727e+05
