%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      -5.100936918   0.3245411542   -0.365167394   -2.919932859   -0.2695394757  -3.083687857   4.302787561    -1.43426252    3.544951933    1.237694021    145587.3765    
2        NO_ID      -5.023747063   1.300508438    4.734363231    4.669361248    2.911495102    4.578420972    2.951808832    4.685299234    3.359321268    -2.949933775   399351.2412    	3.99351e+05	3.99351e+05	3.99351e+05
3        NO_ID      -5.003121433   2.775240944    -2.078032167   -5.108437147   -0.4942338328  1.870525834    4.391540269    3.197753838    -0.2151628162  -0.2192254402  408635.711     	3.99351e+05	3.99351e+05	3.99351e+05
4        NO_ID      -4.980933256   3.556514786    -0.1064094974  -3.588703269   3.663705557    3.305882138    2.018030335    -3.579015473   4.186221503    2.422105167    3267.538173    	3.26754e+03	3.26754e+03	3.26754e+03
5        NO_ID      -4.767801752   0.2001623585   4.803115329    -3.868711814   -5.029997253   -2.483357036   -0.5576732688  1.024562517    4.275599231    -1.934902799   -138177.5936   	-1.38178e+05	-1.38178e+05	-1.38178e+05
6        NO_ID      -4.622172308   1.597392499    1.039562975    -1.414574419   -4.193409223   4.862179632    -1.90677694    -2.937120884   0.9183092746   -2.404917142   -15512.9454    	-1.38178e+05	-1.38178e+05	-1.38178e+05
7        NO_ID      -4.499668569   0.2192254402   2.34585284     0.2532889798   3.223692129    1.167379376    1.086126896    2.734927213    -0.4711081271  1.421449629    -13.875583     	-1.38178e+05	-1.38178e+05	-1.38178e+05
8        NO_ID      -4.491230811   -4.108406629   1.863650624    -1.67739494    -3.144939726   0.7436164434   3.696206549    -1.200505387   -3.598078555   3.913088168    36363.72114    	-1.38178e+05	-1.38178e+05	-1.38178e+05
9        NO_ID      -4.403728141   2.523045747    3.151189917    -0.1017218543  4.395915403    -1.059563585   -0.9292471084  -1.838649861   1.639893796    -3.511825922   52923.35528    	-1.38178e+05	-1.38178e+05	-1.38178e+05
10       NO_ID      -4.313725394   -2.249599902   3.772458876    -2.159909665   1.872088382    -0.9954991302  -0.6820520646  0.9008087405   -0.7011151463  -1.640831324   -1721765.265   	-1.72177e+06	-1.72177e+06	-1.72177e+06
11       NO_ID      -4.281224403   2.110220649    4.423103732    -3.720582293   3.521826228    -1.505514695   1.510827357    1.592704855    -1.168629414   -3.642142399   3.914484       	-1.72177e+06	-1.72177e+06	-1.72177e+06
12       NO_ID      -3.80402234    2.957121494    3.166815394    2.55523423     -0.9461226234  -4.659048433   1.56270394     2.103032929    -3.939338969   -4.133094882   -0.768103      	-1.72177e+06	-1.72177e+06	-1.72177e+06
13       NO_ID      -3.683393658   -3.896837672   4.923744011    4.699049654    4.739675893    2.692113407    0.4867336039   -2.280225837   -0.7948680074  2.330539872    -170375.2792   	-1.72177e+06	-1.72177e+06	-1.72177e+06
14       NO_ID      -3.665893124   3.350883511    2.870556352    1.099252297    -0.7151780755  -0.3923557237  -3.765896176   0.3039155248   -0.03765739921 -0.3992309336  -4072.27896    	-1.72177e+06	-1.72177e+06	-1.72177e+06
15       NO_ID      -3.614329051   3.758083438    2.705863826    0.4429822687   -1.356760155   -3.177753227   -5.100311899   2.439293191    -0.1785992004  -0.2723520615  212457.5592    	-1.72177e+06	-1.72177e+06	-1.72177e+06
16       NO_ID      -3.606516312   5.030309763    -1.949278237   -2.468669088   3.537139195    3.47307474     4.403415632    4.574045839    -4.989058504   -4.971870479   -5389.658063   	-1.72177e+06	-1.72177e+06	-1.72177e+06
17       NO_ID      -3.586828211   -3.969652394   2.331789911    -3.336195563   -4.604671773   5.071873531    -2.255850093   -4.602171697   -0.8226813562  -4.04652974    -18834.84086   	-1.72177e+06	-1.72177e+06	-1.72177e+06
18       NO_ID      -3.362758873   4.719675283    -4.769989319   4.241223182    -3.024623554   -1.513639943   4.326538285    -0.3761052278  2.193035676    4.676861476    -1832725.752   	-1.83273e+06	-1.83273e+06	-1.83273e+06
19       NO_ID      -3.248380383   -4.342788781   4.704674825    -3.275256203   2.293976257    0.1526609088   -2.525545824   -4.412478408   4.446854457    1.889588916    83.791785      	-1.83273e+06	-1.83273e+06	-1.83273e+06
20       NO_ID      -3.176815699   2.333977477    -0.0282821131  0.4845460372   -2.097720267   4.515606555    -4.250910978   1.64364391     1.60989288     2.658674886    28.888698      	-1.83273e+06	-1.83273e+06	-1.83273e+06
21       NO_ID      -2.688675802   0.8561198767   -0.2245381024  -1.747709586   1.75177221     4.716862697    1.468638569    4.648423109    -0.9623731193  -4.940307016   -442775.6285   	-1.83273e+06	-1.83273e+06	-1.83273e+06
22       NO_ID      -2.415229957   1.905839412    1.046438185    2.289288614    -5.077186193   4.78936491     4.522794275    -4.259661245   5.028122196    -3.201191443   -1020.475461   	-1.83273e+06	-1.83273e+06	-1.83273e+06
23       NO_ID      -2.314289377   1.21175573     2.401792047    -4.135282449   4.171221046    -3.019623402   -1.438012635   0.2832898953   -2.003029878   -4.041217078   76297.5176     	-1.83273e+06	-1.83273e+06	-1.83273e+06
24       NO_ID      -2.233974425   1.698645589    0.3789178137   -1.23894406    -0.9014337596  -1.433012482   2.07553209     1.344884793    4.347163915    -0.3961058382  451872.091     	-1.83273e+06	-1.83273e+06	-1.83273e+06
25       NO_ID      -2.137096469   2.768053224    -0.4304818873  -4.970307932   -5.069060945   5.076248665    3.16931547     -0.03953245643 -4.150907926   2.010842616    -9742.036793   	-1.83273e+06	-1.83273e+06	-1.83273e+06
26       NO_ID      -2.085844905   -1.356135136   -1.437387616   1.418324534    4.28997467     0.816118656    -4.790927458   -4.630922575   -1.534265572   -0.09859675893 7344377.208    	-1.83273e+06	-1.83273e+06	-1.83273e+06
27       NO_ID      -1.443012787   -4.936556902   3.76964629     3.150564898    -4.014028748   0.8386193426   -1.641456343   -3.939651479   -1.234568926   -4.086218451   -1151621.238   	-1.83273e+06	-1.83273e+06	-1.83273e+06
28       NO_ID      -0.9820612201  0.2292257454   -4.871867428   0.6867397076   -0.6408008057  4.072155522    -4.101843928   3.66214301     1.639268777    -4.923431501   -84138.31811   	-1.83273e+06	-1.83273e+06	-1.83273e+06
29       NO_ID      -0.9123715934  -4.730925626   1.259882199    -4.383415021   3.115563829    3.046811731    -0.3532920316  -1.400824      4.399353008    -4.518419141   20463.57888    	-1.83273e+06	-1.83273e+06	-1.83273e+06
30       NO_ID      -0.782992645   0.5304849391   -0.7711172826  1.470826136    -3.671205786   1.858650472    4.793427534    3.752145756    4.744051027    1.018624836    639415.5107    	-1.83273e+06	-1.83273e+06	-1.83273e+06
31       NO_ID      -0.5198596149  4.191846675    0.4039185766   -2.417417524   3.155252541    3.445573901    3.34463332     4.673736381    2.962434156    0.562985931    -6300.97562    	-1.83273e+06	-1.83273e+06	-1.83273e+06
32       NO_ID      0.03734488968  -4.373102206   3.674330882    0.01953184606  1.27894528     -0.6501760918  4.585296182    1.150191351    -0.8833082064  4.648423109    942430.8877    	-1.83273e+06	-1.83273e+06	-1.83273e+06
33       NO_ID      0.2645393231   4.056217536    1.427074801    1.573641774    4.709362468    -2.56835963    -0.08953398236 2.390854213    2.115533311    -1.300820948   -14516.75234   	-1.83273e+06	-1.83273e+06	-1.83273e+06
34       NO_ID      0.8358067568   -4.506543779   3.170878018    -3.157440107   -4.12746971    4.01965392     -0.2561015656  3.171190527    -4.195909299   -2.025218055   -10138.38808   	-1.83273e+06	-1.83273e+06	-1.83273e+06
35       NO_ID      0.9008087405   1.965841243    -3.706831874   5.119062471    4.01277871     -4.605921812   2.777116001    -0.7804925687  -1.967091281   2.705863826    -3565.41202    	-1.83273e+06	-1.83273e+06	-1.83273e+06
36       NO_ID      1.098939787    -0.9586230049  -2.363978393   -5.039685049   5.01874691     -0.9161217078  1.642393872    -4.720612812   -4.774051943   1.147691275    -149.996858    	-1.83273e+06	-1.83273e+06	-1.83273e+06
37       NO_ID      1.637393719    2.043031098    -1.467701041   3.959964599    3.105563524    5.118124943    1.767397687    -4.465605029   0.7208032472   2.874306467    -220.290789    	-1.83273e+06	-1.83273e+06	-1.83273e+06
38       NO_ID      1.703958251    3.633079623    4.91093112     4.218722495    0.6654890591   1.468951079    1.341134678    -0.06609576708 -0.5179845576  -1.087689444   -198689.719    	-1.83273e+06	-1.83273e+06	-1.83273e+06
