FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	2.98500e+19	2.98500e+19	2.98500e+19	2.98500e+19	2.98500e+19	2.98500e+19	2.98500e+19	2.98500e+19	2.98500e+19	2.98500e+19	2.98500e+19
2	1.19400e+19	1.19400e+19	1.19400e+19	1.19400e+19	1.19400e+19	1.19400e+19	1.19400e+19	1.19400e+19	1.19400e+19	1.19400e+19	1.19400e+19
3	4.77600e+18	4.77600e+18	4.77600e+18	4.77600e+18	4.77600e+18	4.77600e+18	4.77600e+18	4.77600e+18	4.77600e+18	4.77600e+18	4.77600e+18
4	1.91000e+18	1.91000e+18	1.91000e+18	1.91000e+18	1.91000e+18	1.91000e+18	1.91000e+18	1.91000e+18	1.91000e+18	1.91000e+18	1.91000e+18
5	7.64200e+17	7.64200e+17	7.64200e+17	7.64200e+17	7.64200e+17	7.64200e+17	7.64200e+17	7.64200e+17	7.64200e+17	7.64200e+17	7.64200e+17
6	3.05700e+17	3.05700e+17	3.05700e+17	3.05700e+17	3.05700e+17	3.05700e+17	3.05700e+17	3.05700e+17	3.05700e+17	3.05700e+17	3.05700e+17
7	1.22300e+17	1.22300e+17	1.22300e+17	1.22300e+17	1.22300e+17	1.22300e+17	1.22300e+17	1.22300e+17	1.22300e+17	1.22300e+17	1.22300e+17
8	4.89100e+16	4.89100e+16	4.89100e+16	4.89100e+16	4.89100e+16	4.89100e+16	4.89100e+16	4.89100e+16	4.89100e+16	4.89100e+16	4.89100e+16
9	1.95600e+16	1.95600e+16	1.95600e+16	1.95600e+16	1.95600e+16	1.95600e+16	1.95600e+16	1.95600e+16	1.95600e+16	1.95600e+16	1.95600e+16
10	7.82600e+15	7.82600e+15	7.82600e+15	7.82600e+15	7.82600e+15	7.82600e+15	7.82600e+15	7.82600e+15	7.82600e+15	7.82600e+15	7.82600e+15
11	3.13100e+15	3.13100e+15	3.13100e+15	3.13100e+15	3.13100e+15	3.13100e+15	3.13100e+15	3.13100e+15	3.13100e+15	3.13100e+15	3.13100e+15
12	1.25200e+15	1.25200e+15	1.25200e+15	1.25200e+15	1.25200e+15	1.25200e+15	1.25200e+15	1.25200e+15	1.25200e+15	1.25200e+15	1.25200e+15
13	5.00900e+14	5.00900e+14	5.00900e+14	5.00900e+14	5.00900e+14	5.00900e+14	5.00900e+14	5.00900e+14	5.00900e+14	5.00900e+14	5.00900e+14
14	2.00400e+14	2.00400e+14	2.00400e+14	2.00400e+14	2.00400e+14	2.00400e+14	2.00400e+14	2.00400e+14	2.00400e+14	2.00400e+14	2.00400e+14
15	8.01500e+13	8.01500e+13	8.01500e+13	8.01500e+13	8.01500e+13	8.01500e+13	8.01500e+13	8.01500e+13	8.01500e+13	8.01500e+13	8.01500e+13
16	3.20600e+13	3.20600e+13	3.20600e+13	3.20600e+13	3.20600e+13	3.20600e+13	3.20600e+13	3.20600e+13	3.20600e+13	3.20600e+13	3.20600e+13
17	1.28300e+13	1.28300e+13	1.28300e+13	1.28300e+13	1.28300e+13	1.28300e+13	1.28300e+13	1.28300e+13	1.28300e+13	1.28300e+13	1.28300e+13
18	5.13000e+12	5.13000e+12	5.13000e+12	5.13000e+12	5.13000e+12	5.13000e+12	5.13000e+12	5.13000e+12	5.13000e+12	5.13000e+12	5.13000e+12
19	2.05200e+12	2.05200e+12	2.05200e+12	2.05200e+12	2.05200e+12	2.05200e+12	2.05200e+12	2.05200e+12	2.05200e+12	2.05200e+12	2.05200e+12
