FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	-1.69389e+09	8.80804e+06	-1.82601e+10	2.23086e+15	-3.43794e+11	4.66534e+12	-1.79515e+13	-6.68882e+11	-2.45101e+08	4.11827e+10	2.21659e+14
2	-2.84127e+13	8.80804e+06	-1.82601e+10	4.17406e+07	-4.36260e+11	4.97835e+10	-1.79515e+13	-6.68882e+11	-3.54106e+14	-5.40133e+09	-4.01549e+13
3	-2.84127e+13	8.80804e+06	-3.74340e+10	-6.26042e+11	-4.36260e+11	-1.16633e+13	-1.79515e+13	-6.68882e+11	-3.54106e+14	-5.40133e+09	-4.13907e+13
4	-2.84127e+13	-4.32970e+07	-3.74340e+10	-1.66725e+12	-4.36260e+11	-1.16633e+13	-2.37460e+13	-6.68882e+11	-3.54106e+14	-5.40133e+09	-4.20743e+13
5	-2.84127e+13	-4.32970e+07	-1.19659e+12	-1.66725e+12	-4.36260e+11	-1.16633e+13	-2.37460e+13	-8.88317e+14	-3.54106e+14	-6.26717e+13	-1.37222e+14
6	-2.84127e+13	-4.32970e+07	-1.19659e+12	-1.25307e+13	-1.55711e+14	-1.16633e+13	-2.37460e+13	-8.88317e+14	-3.54106e+14	-6.26717e+13	-1.53835e+14
7	-2.84127e+13	-2.67052e+09	-1.19659e+12	-1.25307e+13	-1.55711e+14	-1.16633e+13	-2.37460e+13	-8.88317e+14	-3.54106e+14	-6.26717e+13	-1.53836e+14
8	-2.84127e+13	-5.16898e+16	-1.19659e+12	-1.25307e+13	-1.55711e+14	-1.16633e+13	-2.37460e+13	-8.88317e+14	-3.54106e+14	-9.06921e+13	-5.32562e+15
9	-2.84127e+13	-5.16898e+16	-1.19659e+12	-1.25307e+13	-1.55711e+14	-1.16633e+13	-2.37460e+13	-8.88317e+14	-3.54106e+14	-9.06921e+13	-5.32562e+15
10	-2.84127e+13	-5.16898e+16	-1.19659e+12	-1.25307e+13	-1.55711e+14	-3.48522e+15	-2.37460e+13	-8.88317e+14	-3.54106e+14	-9.06921e+13	-5.67298e+15
11	-2.84127e+13	-5.16898e+16	-1.19659e+12	-1.25307e+13	-1.55711e+14	-3.48522e+15	-2.37460e+13	-8.88317e+14	-3.54106e+14	-9.06921e+13	-5.67298e+15
12	-5.00607e+13	-5.16898e+16	-1.19659e+12	-1.25307e+13	-1.55711e+14	-3.48522e+15	-2.37460e+13	-8.88317e+14	-3.54106e+14	-9.06921e+13	-5.67514e+15
13	-5.00607e+13	-5.16898e+16	-1.19659e+12	-1.25307e+13	-1.55711e+14	-3.48522e+15	-4.90609e+14	-8.88317e+14	-3.54106e+14	-9.06921e+13	-5.72183e+15
14	-5.00607e+13	-5.16898e+16	-1.19659e+12	-1.25307e+13	-1.55711e+14	-3.48522e+15	-4.90609e+14	-8.88317e+14	-3.54106e+14	-9.06921e+13	-5.72183e+15
15	-5.00607e+13	-5.16898e+16	-1.19659e+12	-1.25307e+13	-1.55711e+14	-3.48522e+15	-4.90609e+14	-8.88317e+14	-3.54106e+14	-9.06921e+13	-5.72183e+15
16	-5.00607e+13	-5.16898e+16	-1.19659e+12	-1.25307e+13	-1.55711e+14	-3.48522e+15	-4.90609e+14	-8.88317e+14	-3.54106e+14	-9.06921e+13	-5.72183e+15
17	-5.00607e+13	-5.16898e+16	-1.19659e+12	-1.25307e+13	-1.55711e+14	-3.48522e+15	-4.90609e+14	-8.88317e+14	-3.54106e+14	-9.06921e+13	-5.72183e+15
18	-5.00607e+13	-5.16898e+16	-1.19659e+12	-1.25307e+13	-1.55711e+14	-3.48522e+15	-4.90609e+14	-8.88317e+14	-3.54106e+14	-9.06921e+13	-5.72183e+15
19	-5.00607e+13	-5.16898e+16	-1.19659e+12	-1.25307e+13	-1.55711e+14	-3.48522e+15	-4.90609e+14	-8.88317e+14	-3.54106e+14	-9.06921e+13	-5.72183e+15
20	-5.00607e+13	-5.16898e+16	-8.01385e+13	-1.25307e+13	-1.55711e+14	-3.48522e+15	-4.90609e+14	-8.88317e+14	-3.54106e+14	-9.06921e+13	-5.72972e+15
21	-5.00607e+13	-5.16898e+16	-8.01385e+13	-1.25859e+13	-1.55711e+14	-7.80739e+16	-4.90609e+14	-8.88317e+14	-3.21676e+15	-9.06921e+13	-1.34749e+16
22	-5.00607e+13	-5.16898e+16	-8.01385e+13	-1.80069e+13	-1.55711e+14	-7.80739e+16	-4.90609e+14	-8.88317e+14	-3.21676e+15	-9.06921e+13	-1.34754e+16
23	-5.00607e+13	-5.16898e+16	-8.01385e+13	-1.80069e+13	-1.94147e+16	-7.80739e+16	-4.90609e+14	-8.88317e+14	-3.21676e+15	-9.06921e+13	-1.54013e+16
24	-5.00607e+13	-5.16898e+16	-8.01385e+13	-1.80069e+13	-1.94147e+16	-7.80739e+16	-4.90609e+14	-1.55149e+15	-3.21676e+15	-9.06921e+13	-1.54676e+16
25	-5.00607e+13	-5.16898e+16	-8.01385e+13	-6.26751e+13	-1.94147e+16	-7.80739e+16	-4.90609e+14	-1.55149e+15	-3.21676e+15	-9.06921e+13	-1.54721e+16
26	-5.00607e+13	-5.16898e+16	-8.01385e+13	-1.23421e+14	-1.94147e+16	-7.80739e+16	-4.90609e+14	-1.55149e+15	-3.21676e+15	-9.06921e+13	-1.54782e+16
27	-5.00607e+13	-5.16898e+16	-8.01385e+13	-1.23421e+14	-1.94147e+16	-7.80739e+16	-4.90609e+14	-1.55149e+15	-3.21676e+15	-9.06921e+13	-1.54782e+16
28	-5.00607e+13	-5.16898e+16	-8.01385e+13	-1.23421e+14	-1.94147e+16	-7.80739e+16	-4.90609e+14	-1.55149e+15	-3.21676e+15	-9.06921e+13	-1.54782e+16
29	-5.00607e+13	-5.16898e+16	-8.01385e+13	-1.23421e+14	-1.94147e+16	-7.80739e+16	-4.90609e+14	-1.55149e+15	-3.21676e+15	-1.59810e+14	-1.54851e+16
30	-5.00607e+13	-5.16898e+16	-8.01385e+13	-1.23421e+14	-1.94147e+16	-7.80739e+16	-4.90609e+14	-1.55149e+15	-3.21676e+15	-1.59810e+14	-1.54851e+16
31	-5.00607e+13	-5.16898e+16	-8.01385e+13	-1.23421e+14	-1.94147e+16	-7.80739e+16	-4.90609e+14	-1.55149e+15	-3.21676e+15	-1.59810e+14	-1.54851e+16
32	-5.00607e+13	-5.16898e+16	-1.18607e+15	-1.23421e+14	-1.94147e+16	-7.80739e+16	-4.90609e+14	-1.55149e+15	-3.21676e+15	-1.59810e+14	-1.55957e+16
33	-5.00607e+13	-5.16898e+16	-1.18607e+15	-1.23421e+14	-1.94147e+16	-9.86009e+17	-4.90609e+14	-1.55149e+15	-3.21676e+15	-1.59810e+14	-1.06389e+17
34	-6.04170e+14	-5.16898e+16	-1.18607e+15	-1.23421e+14	-1.94147e+16	-9.86009e+17	-1.06630e+16	-1.55149e+15	-3.21676e+15	-1.59810e+14	-1.07462e+17
