%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         	best_so_far	best_so_far
1        NO_ID      0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              3101894.698    
2        NO_ID      -5.11919858    -1.890530494   0.5739849928   0.885773509    -1.764634889   -3.17857932    -0.3026312996  2.955747007    2.999951958    -1.567447456   3.430612735    -3.1317635     -1.949148558   -1.579815882   0.3544714286   -2.078700202   2.16569693     -4.331705732   3.421762637    1.724645122    -3.329436216   3.765525746    3.991208229    -2.00330294    -0.3925104119  -2.362493175   4.297204814    0.4013017394   -3.481665858   -4.998083129   -3.712128      	-3.71213e+00	-3.71213e+00
3        NO_ID      -4.063146958   1.249079264    1.275186551    -0.2596337963  -1.425215018   -2.228815244   -1.777810648   0.6564337614   4.202228279    1.570679882    -0.3032181145  3.333149308    -2.799574961   0.3436375024   0.1555020548   2.323034414    -1.880604866   3.554009966    2.325500597    -1.391472061   1.689065255    2.839732736    -1.251897991   2.550460447    0.948733881    1.690337323    3.73938002     4.880003743    -4.177090392   1.081787141    929.73862      	-3.71213e+00	-3.71213e+00
4        NO_ID      -4.643523345   -4.656855578   -3.451702923   -3.171026825   3.752152271    4.503212542    1.65319754     4.171048436    -0.2289408041  2.431905302    -5.047593493   3.496155957    2.77317635     -3.705093941   -2.073866886   1.479252475    -0.923652728   0.008599932198 1.179060448    2.068945588    -2.271508454   -2.522585539   -3.49514739    3.937822842    1.868506292    -2.094754008   -1.410609735   -2.517811359   5.064486809    3.949794678    1134.746676    	-3.71213e+00	-3.71213e+00
5        NO_ID      -1.720844448   -4.472644496   0.1039613986   -3.76077289    4.210030851    -0.4114882447  -3.882929096   -0.8693105201  1.978088678    -3.543591365   -1.300072902   1.834738534    3.810546841    2.900756883    0.3809256532   2.21745263     -4.873653555   -1.735295552   -1.592336267   4.96436419     0.5489418199   -0.1748325468  0.4693860605   4.171518092    -2.575432566   -0.8151436786  1.000194309    -3.81424488    -3.613699307   -2.004248384   3453.318256    	-3.71213e+00	-3.71213e+00
6        NO_ID      4.197410473    2.517826332    -4.812840862   -3.656369838   -2.367867821   -4.114473691   -1.239316543   -1.033133591   3.163741063    -3.323951458   3.787843804    0.2108094431   0.03431010009  3.209852289    3.66742566     3.863074521    5.093481727    -0.2526204611  3.807910213    -0.4530524709  4.107121667    0.5538638284   0.6293645933   -0.1892800356  3.410441941    -4.222290573   -0.837655404   1.525624903    0.2177440287   3.943889851    3394.368196    	-3.71213e+00	-3.71213e+00
7        NO_ID      1.436726134    1.136142414    -2.454445461   5.095137215    -3.148833393   -2.122838381   -2.384674934   0.1283831335   -2.90467575    -4.805325222   -0.2210039497  2.706616634    4.025770978    -4.787165727   -2.214381426   -4.948633704   -2.406664904   -0.8170463113  -0.2573537184  -4.063945159   -1.926294378   3.650393204    4.318579707    1.249131725    2.156909069    1.570716551    0.3130740286   -1.524800685   3.394884481    0.5434658935   -493.83513     	-4.93835e+02	-4.93835e+02
8        NO_ID      -0.04872758152 0.2355373312   -4.204074287   -1.876541408   0.1685560442   -3.558565463   3.03025844     -4.206398949   0.0128608346   1.112047198    2.177262443    -4.510118384   -5.079681187   -3.321704148   0.598377693    1.253885882    0.1400269199   -1.767557124   -1.092575176   -2.590987586   3.991645503    -4.894039168   3.803699178    0.4520860364   0.1300140405   4.025979199    -1.287604087   -3.641890187   -4.768365769   -3.683483323   -59.924045     	-4.93835e+02	-4.93835e+02
9        NO_ID      2.735783919    2.720329622    -1.020041283   -2.073837532   1.972606758    -3.51822492    -5.046238518   -4.450767436   -0.848292077   -3.164937848   3.689586405    -2.561289686   1.364247983    1.555852588    -3.745554365   3.987779517    1.810336278    3.281829857    5.074406099    -3.416689095   1.62638531     4.097912793    -0.6196933678  -1.106432107   0.03557748081  4.030719966    -3.529525031   -0.4072011067  -3.509000944   -3.61887154    -150864.1565   	-1.50864e+05	-1.50864e+05
10       NO_ID      3.226021771    -1.052102383   1.795254415    -4.439048481   1.552185372    -3.940458764   5.029545374    0.3690987088   -1.998001173   -3.44572256    -5.05906765    -5.029990406   2.391246451    -2.32089702    -3.156214975   -3.305091485   3.327409386    3.129547142    -4.581183471   -1.390604304   -4.20652944    -2.180305718   4.561797461    3.249931225    1.434096993    -2.091843966   -3.701537027   -3.732807721   3.180625662    3.975499563    40416.1652     	-1.50864e+05	-1.50864e+05
11       NO_ID      0.2211500336   -0.2513856722  4.081007175    1.967589582    4.31810348     3.485187782    2.751060141    3.467796745    -2.820114669   3.292762674    4.50226922     -3.961218376   4.282760954    3.403345699    -0.6088451269  -3.100048017   -1.387014344   4.929913931    -5.01656497    2.752549743    -2.216476964   0.7916728      3.884748859    0.734070361    -1.679442633   -4.952332501   -3.13234991    -1.564934185   4.711148       4.584428825    -10159.25872   	-1.50864e+05	-1.50864e+05
