%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         
1        NO_ID      -3.241420939   -1.398496744   4.240097159    3.205001353    -0.125181388   -2.173402182   -4.280372357   1.905636873    0.2286161328   2.162092921    0.855385773    2.840141186    -5.018890953   -4.828623881   0.5697856757   2.384151977    2.961472252    -0.2645085813  2.430564489    -1.431105103   -4.108555427   1.977805257    1.558247287    3.610967588    -0.2368176526  2.956186319    -4.619590684   -1.325375131   -2.619744989   -3.439825202   37971.50402    
2        NO_ID      1.63641452     3.736637598    2.658438334    1.084595373    -3.351541553   3.144788677    -3.759066982   2.762084603    3.76333979     5.01278732     -3.787169942   -5.051955019   0.6231936144   -3.794722086   -0.986776777   2.203546332    1.866868113    -5.027953465   -2.720629271   -4.408765585   -4.035860036   -4.074762341   4.959395002    -3.883002073   -4.351129715   0.6702288294   1.034662675    -0.6120765189  3.605449301    -1.181485314   44.465283      
3        NO_ID      2.914665955    -3.372023239   -2.611907511   -3.539187373   1.677929567    -1.317869222   -4.366765864   4.016465881    1.874950092    -4.668586719   -2.155401513   2.673775809    -2.211839687   -4.409176621   -2.497691613   1.359528564    2.687607161    -4.904967076   -1.529125613   -3.296481828   -2.830507182   0.9078333241   -0.4550430493  2.018334362    2.997167879    2.147104744    -4.152357198   0.7532381988   -1.110615905   0.9694167862   -1416.118068   
4        NO_ID      -2.256086622   4.873457746    -3.986540112   -2.570392873   4.395141836    3.337213065    2.045157842    5.037883668    -1.064349946   1.100676589    4.492698057    -0.1447323847  -4.369926726   4.006737986    -2.320423531   -0.5444045941  1.18368754     4.772626014    -2.020286482   2.228295608    -0.3522926257  0.04578746698  0.3246516214   0.9359473182   4.026381767    -0.5975767559  4.752725536    -3.441534888   3.535747192    -2.349439079   525.962913     
5        NO_ID      1.090512944    -4.296850338   0.1058655994   3.345156553    3.406344068    4.664194674    -1.735125888   0.899149342    -0.3562771072  -1.252188792   -3.080416527   1.647085462    3.897106322    1.44141903     4.976755057    4.130958882    -0.72988221    -4.951297818   -0.8867295579  2.045021891    -1.974236504   0.9559502168   2.305125191    4.02760797     -1.094949411   3.481672905    -2.233368025   4.970008722    2.048366626    -2.963448666   -903.624994    
6        NO_ID      -4.761689051   -3.669749141   -3.454871902   -3.831837616   3.999200123    0.8972687752   -4.797260225   -4.549120278   -4.772827157   0.08668940113  0.434870683    -3.420529463   -1.802302388   -1.669923418   -2.624014904   -4.170735544   -4.37274942    3.809231713    3.141026374    -0.1295819032  -0.8860959717  -5.072131007   -3.373485561   3.825184957    3.660779697    1.961251744    -2.770628226   3.543008539    2.443901998    -3.074859545   -14.82824      
7        NO_ID      -2.565021283   -0.8468925365  -2.358767802   2.298025285    4.706938523    -4.589860178   -1.066685133   -2.561045274   -0.9051334689  -1.074350439   -0.1743586827  -1.327395804   -0.9510866142  2.442574118    4.783794355    1.095263902    -2.779631139   -3.944309875   3.059333372    4.00909678     1.41679432     -4.731806817   -0.05240973659 0.4425738275   0.5212493132   0.3030206077   -0.5867150422  3.84509376     -1.255438666   -2.110284263   -2544542.58    
8        NO_ID      4.63762836     -1.104109815   -1.039877797   -3.121529097   2.577348567    -4.754257631   -0.5105939051  4.887186774    5.019303729    0.8681620797   2.639670504    -0.6721358661  3.260779139    0.9418706948   2.764941993    -3.651575255   -4.406932704   2.539636159    -1.187836872   -2.239562751   3.76127291     -2.158838893   4.742272749    -3.259025446   -0.4715304313  3.698242692    -1.829586961   3.034067663    -0.1383052048  0.7085399889   -48935.15006   
9        NO_ID      3.440001453    -3.467393157   2.157644071    0.8102228296   -1.928582763   5.1141618      -1.890875774   -2.515435141   4.771138529    -4.277864847   -2.658729173   -0.05587055242 1.908804052    4.416492499    -0.8246924836  -0.5049715232  -4.618327627   4.569101942    3.714130512    -0.8863560961  4.907616984    -1.268391068   4.878933474    5.038417145    2.582283674    -1.161309192   3.87007429     1.925102293    4.813000151    2.651224873    87181.55834    
10       NO_ID      -4.286247824   4.514154848    2.139539737    1.658986257    -1.6818207     -3.815841788   0.4084310554   2.647654997    4.689456821    -0.1602451959  -2.128688777   -4.620335392   -4.725357673   1.898465649    -3.718923177   3.680050238    -2.947391124   -0.6457125857  -3.942874174   2.503863763    1.806360048    3.501183934    -0.5386444951  2.199032916    0.3313369271   1.519615128    -4.802301816   2.705238146    2.590169171    -0.4232168871  -726.095337    
11       NO_ID      0.4269707533   -4.361890097   -3.7138997     -2.974462858   -2.498669308   -1.006179029   -1.770487197   1.540764059    -1.189165071   4.3193488      -1.878341599   -0.8493852854  1.413825029    -1.1412355     0.9608352153   -1.419016564   -0.2641360027  3.740323949    -4.359330326   -0.4360530683  4.540040418    5.074349933    1.920424155    0.03420011816  1.773335343    -4.309206834   2.89024487     1.615913043    4.770578723    -1.717718502   -134.999467    
