FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	-1.77400e+11	-3.41600e+11	-6.01200e+09	3.07400e+15	1.34800e+13	-6.65700e+14	-2.62900e+12	-5.80500e+15	3.16700e+07	7.10000e+07	-3.38637e+14
2	-1.77400e+11	-7.14400e+13	-6.01200e+09	-1.54000e+13	-1.74000e+11	-6.65700e+14	-2.78900e+12	-5.80500e+15	3.16700e+07	7.10000e+07	-6.56069e+14
3	-1.77400e+11	-6.65900e+14	-6.01200e+09	-1.54000e+13	-2.76100e+12	-6.65700e+14	-2.78900e+12	-5.80500e+15	-7.43400e+13	7.10000e+07	-7.23207e+14
4	-1.77400e+11	-6.65900e+14	-1.76600e+10	-1.54000e+13	-4.49000e+13	-6.65700e+14	-2.78900e+12	-5.80500e+15	-7.43400e+13	-2.59600e+14	-7.53382e+14
5	-1.77400e+11	-6.65900e+14	-2.40100e+10	-1.54000e+13	-4.49000e+13	-6.65700e+14	-2.78900e+12	-5.80500e+15	-7.43400e+13	-2.59600e+14	-7.53383e+14
6	-1.77400e+11	-6.65900e+14	-2.40100e+10	-1.54000e+13	-4.43200e+14	-6.65700e+14	-2.78900e+12	-5.80500e+15	-7.43400e+13	-2.59600e+14	-7.93213e+14
7	-1.77400e+11	-6.65900e+14	-5.91200e+12	-1.54000e+13	-4.43200e+14	-6.65700e+14	-2.78900e+12	-5.80500e+15	-7.43400e+13	-2.59600e+14	-7.93802e+14
8	-1.77400e+11	-6.65900e+14	-5.91200e+12	-1.54000e+13	-4.43200e+14	-6.65700e+14	-5.54700e+12	-5.80500e+15	-7.43400e+13	-2.59600e+14	-7.94078e+14
9	-9.13300e+11	-6.65900e+14	-5.91200e+12	-1.54000e+13	-4.43200e+14	-6.65700e+14	-5.54700e+12	-5.80500e+15	-7.43400e+13	-2.59600e+14	-7.94151e+14
10	-4.08200e+15	-6.65900e+14	-2.56600e+14	-1.54000e+13	-4.43200e+14	-6.65700e+14	-5.54700e+12	-5.80500e+15	-7.43400e+13	-2.59600e+14	-1.22733e+15
11	-4.08200e+15	-6.65900e+14	-2.56600e+14	-1.54000e+13	-4.43200e+14	-6.65700e+14	-1.33500e+13	-5.80500e+15	-7.43400e+13	-2.59600e+14	-1.22811e+15
12	-4.08200e+15	-6.65900e+14	-2.56600e+14	-1.54000e+13	-4.43200e+14	-6.65700e+14	-1.33500e+13	-5.80500e+15	-7.43400e+13	-2.59600e+14	-1.22811e+15
13	-4.08200e+15	-6.65900e+14	-2.56600e+14	-1.54000e+13	-4.43200e+14	-6.65700e+14	-1.33500e+13	-5.80500e+15	-7.43400e+13	-2.59600e+14	-1.22811e+15
14	-4.08200e+15	-6.65900e+14	-2.56600e+14	-1.54000e+13	-4.43200e+14	-6.65700e+14	-1.33500e+13	-5.80500e+15	-7.43400e+13	-2.59600e+14	-1.22811e+15
15	-4.08200e+15	-6.65900e+14	-2.56600e+14	-1.54000e+13	-4.43200e+14	-6.65700e+14	-7.95900e+13	-5.80500e+15	-7.43400e+13	-2.59600e+14	-1.23473e+15
16	-4.08200e+15	-6.65900e+14	-2.56600e+14	-3.39900e+15	-4.43200e+14	-6.65700e+14	-7.95900e+13	-5.80500e+15	-6.74500e+15	-2.59600e+14	-2.24016e+15
17	-4.08200e+15	-6.65900e+14	-2.56600e+14	-3.39900e+15	-4.43200e+14	-6.65700e+14	-7.95900e+13	-5.80500e+15	-6.74500e+15	-2.59600e+14	-2.24016e+15
18	-4.08200e+15	-6.65900e+14	-2.56600e+14	-3.39900e+15	-4.43200e+14	-6.65700e+14	-7.95900e+13	-5.80500e+15	-6.74500e+15	-2.59600e+14	-2.24016e+15
19	-4.08200e+15	-6.65900e+14	-2.56600e+14	-3.39900e+15	-4.43200e+14	-6.65700e+14	-7.95900e+13	-5.80500e+15	-6.74500e+15	-2.59600e+14	-2.24016e+15
20	-4.08200e+15	-6.65900e+14	-2.56600e+14	-3.39900e+15	-4.43200e+14	-6.65700e+14	-7.95900e+13	-5.80500e+15	-6.74500e+15	-2.59600e+14	-2.24016e+15
21	-4.08200e+15	-6.65900e+14	-2.56600e+14	-3.39900e+15	-4.43200e+14	-6.65700e+14	-7.95900e+13	-5.80500e+15	-6.74500e+15	-1.51400e+15	-2.36560e+15
22	-4.08200e+15	-6.65900e+14	-2.56600e+14	-3.39900e+15	-4.43200e+14	-6.65700e+14	-7.95900e+13	-5.80500e+15	-6.74500e+15	-1.51400e+15	-2.36560e+15
23	-4.08200e+15	-6.65900e+14	-2.56600e+14	-3.39900e+15	-4.43200e+14	-6.65700e+14	-7.95900e+13	-5.80500e+15	-6.74500e+15	-1.51400e+15	-2.36560e+15
24	-4.08200e+15	-6.65900e+14	-2.56600e+14	-3.39900e+15	-4.43200e+14	-6.65700e+14	-7.95900e+13	-5.80500e+15	-1.41000e+16	-1.51400e+15	-3.10110e+15
25	-4.08200e+15	-6.65900e+14	-2.56600e+14	-3.39900e+15	-4.43200e+14	-6.65700e+14	-7.95900e+13	-5.80500e+15	-1.41000e+16	-1.51400e+15	-3.10110e+15
26	-4.08200e+15	-6.65900e+14	-2.56600e+14	-3.39900e+15	-4.43200e+14	-6.65700e+14	-7.95900e+13	-5.80500e+15	-1.41000e+16	-1.51400e+15	-3.10110e+15
27	-4.08200e+15	-6.65900e+14	-2.56600e+14	-3.39900e+15	-4.43200e+14	-6.65700e+14	-7.95900e+13	-5.80500e+15	-1.41000e+16	-1.51400e+15	-3.10110e+15
28	-4.08200e+15	-6.65900e+14	-2.56600e+14	-3.39900e+15	-4.43200e+14	-6.65700e+14	-7.95900e+13	-5.80500e+15	-1.41000e+16	-1.51400e+15	-3.10110e+15
29	-4.08200e+15	-6.65900e+14	-2.56600e+14	-3.39900e+15	-4.43200e+14	-6.65700e+14	-7.95900e+13	-5.80500e+15	-1.41000e+16	-1.51400e+15	-3.10110e+15
30	-4.08200e+15	-6.65900e+14	-2.56600e+14	-3.39900e+15	-4.43200e+14	-6.65700e+14	-7.95900e+13	-5.80500e+15	-1.41000e+16	-1.51400e+15	-3.10110e+15
31	-4.08200e+15	-6.65900e+14	-2.56600e+14	-3.39900e+15	-4.43200e+14	-6.65700e+14	-7.95900e+13	-5.80500e+15	-1.41000e+16	-1.51400e+15	-3.10110e+15
32	-4.08200e+15	-6.65900e+14	-2.56600e+14	-3.39900e+15	-4.43200e+14	-6.65700e+14	-7.95900e+13	-5.80500e+15	-1.41000e+16	-1.51400e+15	-3.10110e+15
33	-4.08200e+15	-6.65900e+14	-2.56600e+14	-3.39900e+15	-4.43200e+14	-6.65700e+14	-7.95900e+13	-5.80500e+15	-1.41000e+16	-1.51400e+15	-3.10110e+15
34	-4.08200e+15	-6.65900e+14	-2.56600e+14	-3.39900e+15	-4.43200e+14	-6.65700e+14	-7.95900e+13	-5.80500e+15	-1.41000e+16	-1.51400e+15	-3.10110e+15
35	-4.08200e+15	-6.65900e+14	-2.56600e+14	-3.39900e+15	-4.43200e+14	-6.65700e+14	-7.95900e+13	-5.80500e+15	-1.41000e+16	-1.51400e+15	-3.10110e+15
