%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         	best_so_far	best_so_far
1        NO_ID      2.572235243    3.753729268    0.02806366792  2.608695191    5.064097619    2.698569103    0.2307633429   -4.615189461   2.716842844    1.498784094    3.605462776    0.5261802001   3.859634179    -1.788879989   -3.007053949   -2.104809209   -3.51120391    2.020472661    -1.416001911   -1.745380852   2.339241057    -3.171312136   3.465012676    -0.4677342605  -2.520646301   4.514897254    -1.534434395   -5.086846633   4.591905314    3.635925749    844.875561     
2        NO_ID      1.379192175    -3.917144943   3.708662008    4.804271577    0.9403683619   4.711941748    -2.009292553   3.713581412    4.983053845    2.313599014    0.6390337787   3.861623466    0.8646304753   -0.5087798467  4.070029206    -0.7815236289  -2.042440245   -1.827006516   4.032660306    1.161378321    -2.237936064   -2.01944839    -1.380287379   1.409930474    -0.8502380609  4.095550464    0.1536002743   -2.409075797   3.381571645    -3.759295093   4998554.65     	4.99855e+06	4.99855e+06
3        NO_ID      0.2279436291   -3.744610532   0.8383781421   1.626708726    3.295058926    -1.179879798   -4.700582572   -3.998280844   -2.220247194   -4.405875956   -1.233961423   4.092622028    -3.885798417   -0.3549169065  -2.466082338   3.920983631    3.297528263    3.458577945    0.04911147358  -0.5866131517  -0.03102769806 2.448121358    -0.1125831025  -4.272331743   1.832643588    0.7468916003   -2.029354441   1.210345348    0.2727844833   -0.5031093935  -171.953243    	-1.71953e+02	-1.71953e+02
4        NO_ID      4.139780707    1.819390798    -3.592349835   4.395612324    -0.6392827249  4.342030124    4.161999481    -3.145127587   -1.917705648   4.454811847    -4.894323089   -0.2850179948  -4.509157427   -2.870461865   -2.132273232   4.976021101    0.9920143723   1.43224585     0.1697010501   1.979771224    -4.326325177   -1.689626244   -3.077672502   1.273088208    4.083590164    -1.06675772    -4.508659788   2.592154061    -2.909346377   -3.810948975   992886.0458    	-1.71953e+02	-1.71953e+02
5        NO_ID      2.013497528    -2.692450099   -0.4161282004  -5.015950309   -1.318377619   -0.3569252295  -1.808653487   0.2112312771   -4.270002886   -4.349466014   -2.373743048   2.806512192    2.89741013     0.04901321959  -0.2506650737  2.109481938    -2.381042602   4.331577696    -1.448829208   3.372241981    -3.103214244   -2.582520833   2.520799612    3.816246936    -1.436384899   -3.146289345   -3.844391736   1.745313903    0.9219280494   0.1717764438   -1203.731661   	-1.20373e+03	-1.20373e+03
6        NO_ID      -1.75575293    -4.934232226   0.7347319182   -0.08887380397 2.973825958    -2.524085909   -3.979964106   1.339584448    2.648633169    -2.312588517   -1.667239512   -0.5835922565  1.583794871    1.240980269    -2.569286711   -0.8743642224  -2.856404535   -2.713379158   2.401682483    -4.811341698   -5.056323318   -4.00995853    2.623257838    -0.1545908396  -4.893594962   2.552490117    3.211607133    2.964411034    2.64366933     -2.988225596   -990.047495    	-1.20373e+03	-1.20373e+03
7        NO_ID      -3.571717064   5.116752955    1.411562693    0.2844250022   -3.801440065   0.7542667844   0.8545259482   -4.418744176   3.190053623    0.9229281992   3.112694818    -4.07869977    -1.322843625   -1.445126731   -0.348203089   4.758061201    -4.993036304   3.200521576    -4.66527287    -2.739962356   -4.539930463   3.559696878    4.585939228    1.827287292    4.804100963    3.608954662    3.828257297    4.170802925    -4.301314047   -1.885065868   22707.64396    	-1.20373e+03	-1.20373e+03
8        NO_ID      -4.717410216   2.288729283    -1.276267141   4.987111858    -1.507239937   -4.663117936   4.749964874    4.816464382    -0.6961517524  -2.066145119   -3.515490593   0.4812376763   3.271951947    -1.876156516   2.561521514    2.912894692    3.538724968    -0.4343720263  -3.721429143   -0.7008535838  -2.007493274   4.583189911    0.1827763572   -1.953725549   2.542796167    0.8781592301   1.53371723     2.021599474    3.223012796    -1.468726995   281922.535     	-1.20373e+03	-1.20373e+03
9        NO_ID      -0.1917788189  -0.8310301082  -0.5892289371  3.415467256    -1.375320009   -4.999613984   1.689264896    0.6874308564   -4.785105138   -1.265051594   -0.8834862509  -4.141297287   -4.344073895   0.1944402027   -1.935526236   -0.02562627804 -4.765265588   0.9985691841   4.458103183    -2.336841594   -0.5444121705  -1.369098645   0.03043028901  -1.66665773    2.347292708    0.658874727    0.07231314251  -2.320702008   -3.515798514   0.3766192025   -4371763.275   	-4.37176e+06	-4.37176e+06
10       NO_ID      -2.295111989   -1.332925088   1.033757496    1.726242767    3.561641926    1.540223585    3.195121732    -0.8091168129  4.744982489    -0.9112999439  -2.942180368   -4.527050543   -4.165260997   -4.449224146   -2.435200327   -3.794794856   2.123105482    -3.053106763   -3.055518262   3.505451286    -3.775673653   2.14387516     -0.5074191814  4.282513109    -1.018176219   1.232817081    -4.828483402   -0.1802988142  -0.9586419692  4.956438964    3745.200876    	-4.37176e+06	-4.37176e+06
11       NO_ID      -4.510952385   -3.493037696   3.293334176    -1.617198097   -1.922427273   -0.9048740588  -0.2737283315  4.007000522    1.635601445    -3.180503291   3.758100249    2.423885096    4.429844241    4.220235961    4.143979794    5.066114585    1.158367032    -1.973135833   -0.357387011   -1.659143208   -0.2374196618  1.543036599    -1.450205688   0.2237817734   4.689875429    1.988257095    0.2332838995   0.7563016725   1.184134174    1.977376788    -107696.315    	-4.37176e+06	-4.37176e+06
