%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         	best_so_far	best_so_far
1        NO_ID      -0.02481507885 4.085401258    -4.993669938   0.5510071164   4.121245232    1.015232557    -4.125700433   -3.503933136   -0.5020359704  -0.2796278664  -4.323807883   -4.955735093   3.255465845    0.281062464    2.108013725    -2.671851018   4.15343509     3.329319487    -5.052110582   4.899703473    2.562440534    -3.057263988   3.903852485    -2.770480278   1.69073776     -3.244609232   0.0454401727   3.70147564     4.973347141    2.179317954    13479.05798    
2        NO_ID      -2.318960121   -2.002417147   2.697286501    1.735529231    -5.112980488   2.545930761    3.372994916    -1.604806068   -3.732363164   4.021143223    0.1775419056   -4.610013631   4.409784921    2.801703643    5.079560045    -0.4672096104  -2.263361277   -3.178556042   1.281933426    3.903731365    -1.90972343    3.340057961    3.461883322    1.230433823    4.414904303    -4.412802359   -4.934508769   4.802143843    -3.135603763   1.037201248    1.837461       	1.83746e+00	1.83746e+00
3        NO_ID      -0.2606481649  -4.251280841   -3.348643138   -1.440921718   4.51190177     4.996183468    1.535568518    1.729176004    0.9491692309   -4.782428629   -2.797748302   -0.77099739    3.301220381    1.527060939    -0.5561527219  -4.852276646   2.135549358    -4.261730129   -1.824251148   -2.846634318   -0.3601880954  1.213165043    4.167325313    -0.3284700696  -2.67857967    3.817975849    -1.050124099   -3.220290129   3.197017417    -2.893804668   29.66352       	1.83746e+00	1.83746e+00
4        NO_ID      2.514722894    3.028099558    -3.022326352   1.468732811    4.898703709    -0.4928562181  4.606275767    -2.268046029   3.272104758    5.06218884     2.571444461    1.85195647     3.491867342    4.307537521    -1.752170538   0.5331026296   1.820058365    -2.12348106    -2.219284203   -1.686983193   -2.217713672   1.827082547    1.371939128    4.708936624    2.962895579    2.309395876    5.039582661    -3.666047842   -1.927796377   1.761707662    -2902.69579    	-2.90270e+03	-2.90270e+03
5        NO_ID      -3.558616238   0.8294506848   -1.30376215    3.428037813    -2.025131727   -0.2381485696  -0.9396263756  -0.5969930222  4.302306794    0.675295513    -2.527674715   -0.8270478639  1.286652396    -3.386630163   -4.929444443   -5.002482147   -0.9879690125  -1.161357469   1.972289846    -0.6670408437  3.75117844     2.202881155    -3.226696432   -3.779881459   -4.715993222   -4.067302853   -2.18554163    3.416969212    -4.684963977   2.73973763     -13777758.54   	-1.37778e+07	-1.37778e+07
6        NO_ID      3.001934566    3.958817372    -3.386579318   -1.143627664   -2.496772692   -4.25311303    4.807230189    0.5877752904   1.290773568    2.910781924    3.191372907    3.966887685    -4.136032836   2.550728103    -1.366676915   -2.189092819   -1.252614292   -0.1844993624  -3.699796218   4.615619159    0.7010518854   -1.373238428   5.080218223    3.941971564    -0.3975595048  -3.941886981   -4.296838616   -1.618846505   0.7786996085   5.010443409    -10.890713     	-1.37778e+07	-1.37778e+07
7        NO_ID      1.725004889    4.278858786    0.9348770185   2.463297694    -4.281981715   4.263215159    3.89639987     -4.902842873   -1.198972702   -5.000848585   3.305906195    4.762075446    4.138648565    -0.2552147574  -4.094062147   4.275907061    -3.817669784   -2.87484568    1.011930109    -0.2503631032  3.313082633    -1.180015787   -3.797626736   1.954688834    2.617626989    -1.338444363   3.650971595    -0.985743607   -2.587227018   -3.035335528   -29099.1881    	-1.37778e+07	-1.37778e+07
8        NO_ID      -0.9949670312  1.343100579    0.30274043     3.737881707    3.04835929     -0.8373008837  2.942126661    -3.690962496   -3.406025438   -3.054203039   -1.262589713   -2.448051448   -1.813483488   4.129376416    -0.0185223491  -4.777104603   0.2750661223   2.752546136    -3.973945816   -3.284123208   4.158190275    -1.682040986   3.743688717    1.335046423    -3.089918732   -1.738270363   1.283017929    5.028221594    2.606114711    -1.514540737   22009.3159     	-1.37778e+07	-1.37778e+07
9        NO_ID      1.141014255    4.86864718     -1.433602513   -2.768360638   1.870266934    3.083769061    -4.344715712   -1.021723455   -4.430850688   -2.039140542   2.856928314    1.591602961    -0.2836596329  0.4673120651   -4.338251669   0.06721907721  -0.05523656478 -1.348729987   3.070038806    -4.54656283    -1.630666163   -4.06495278    0.175459127    -1.264022158   0.4906314256   -4.206173931   -0.5354945857  -0.7130247052  0.6192117836   0.2531337858   -47876.5121    	-1.37778e+07	-1.37778e+07
10       NO_ID      5.025300492    -3.609933187   1.620411535    -4.620573488   1.205940432    2.925353183    1.643423368    -1.984580888   -4.581815776   0.6051329577   -4.860690274   -2.794840487   1.756478561    3.716601705    0.5924504885   -1.832110205   1.197588515    -3.915295736   -2.284901943   4.714000935    -4.677882437   -3.255999271   -1.13445998    -3.961416213   -3.684337208   4.364867011    -2.093177359   -3.100272071   -1.088265145   -0.9881493972  1099.620531    	-1.37778e+07	-1.37778e+07
11       NO_ID      1.297652089    -2.883196201   -4.50986637    4.349840942    0.6593967644   -1.682802537   -2.722567059   -1.188377408   3.135860512    0.8323490895   -0.3385667106  3.038451014    0.8889125244   4.870108151    0.4760141613   -1.960049353   2.662049458    0.4311494306   0.08436892309  -4.885478192   4.606678852    -3.649109809   -1.569610502   2.649096568    -1.348714061   -1.321062641   -2.018408517   -1.830548453   -1.625108422   4.235222246    25625.33611    	-1.37778e+07	-1.37778e+07
