%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         	best_so_far	best_so_far
1        NO_ID      3.350944826    -3.39515101    -3.87282879    -4.852446168   3.566529101    3.351408656    -4.206354499   -0.8754852515  -0.7793151011  -3.435750766   1.637482032    -2.989156164   3.746397776    -4.470496324   -0.9948646141  -4.591032886   0.6963124925   -2.44759053    -0.8299901088  3.302845253    -0.7008616194  1.71996578     -0.3893835661  -2.653528725   -2.634712299   0.9999636804   -0.5144282281  3.49336392     -5.025527434   5.11465241     -21569.33569   
2        NO_ID      -4.601420328   3.016013548    -2.297402316   3.528262451    -0.249700529   2.397628032    1.027958536    0.7591857039   3.196462831    -1.102570546   -4.348115769   -3.534800547   1.864765873    3.93106692     -4.342908722   2.694607188    0.5228704587   -4.806524579   -0.733322659   -2.998622461   1.920805607    -1.747507152   -4.522213961   -3.483905807   0.5171498186   -0.7583579244  -4.198870725   0.6073430554   1.24837953     3.574540156    -0.67705       	-6.77050e-01	-6.77050e-01
3        NO_ID      3.148442697    0.5655328513   2.564466859    -0.511188888   1.151395407    -0.4762957232  -0.5556068099  4.718500428    2.863897372    -4.358507289   -3.593224324   2.383846709    -4.595683778   -3.020402554   -3.658893522   -3.316841044   3.898107732    -3.621833428   -0.9983072191  0.3653043177   -2.021193286   4.854573612    2.026740213    -0.1431588355  0.1303110456   0.3974512072   -5.054429823   2.151824746    -4.651154807   2.271186578    137.986628     	-6.77050e-01	-6.77050e-01
4        NO_ID      0.3158877455   2.155282693    0.3466762857   -0.9936014226  -1.592159933   -3.762274091   -0.9351768794  0.9114755059   -1.770972654   -0.8258435495  -1.266155861   -1.283853581   -2.342055966   0.01966472511  0.4063789155   4.13286803     1.100152147    -0.4776296854  -4.701699708   -0.8926861517  -4.978140992   -0.5991894855  2.053951192    -2.732607205   3.785582101    -4.771368916   0.9799458693   2.687595153    -3.044061829   -4.231146294   -19979.55753   	-1.99796e+04	-1.99796e+04
5        NO_ID      -0.7456115464  -2.107791397   -2.687023243   -4.075510425   -5.060797085   1.637360534    -1.291864749   -1.1603942     3.511426872    -3.877867317   2.622006132    -1.832287931   -1.985289574   0.7556941882   0.4911448625   -3.939311523   -3.39737027    -1.325289398   -3.475053247   -0.04613446457 4.647338495    1.160328132    -3.99589008    -0.3573912408  -1.220514616   4.501229535    -4.902313349   1.003028212    4.886773873    -1.637821479   21033.00478    	-1.99796e+04	-1.99796e+04
6        NO_ID      -0.4754334442  -3.526648218   -0.1550863087  5.050497537    1.992391344    3.992051548    4.780866032    -3.936253028   2.554706819    0.08162423303  -0.8210611296  -3.256336617   0.1140667655   -1.310673498   0.5212840636   3.180778328    1.571705834    -0.02128512514 -4.97685884    2.950930702    -2.492449216   -3.425310604   -4.425660945   3.958447187    4.198103537    -3.702912359   3.707438796    2.898417161    3.924104326    -0.6145660245  -21.234057     	-1.99796e+04	-1.99796e+04
7        NO_ID      2.49362532     -3.117860522   4.360916421    -5.118014893   -3.284580605   0.6102147946   3.175140738    -0.7284667558  1.564861741    -5.008861752   0.05687353687  1.718041895    3.483930673    -4.599619859   4.493149345    4.350132875    -4.427563623   -1.929193516   -4.884294451   1.492755453    1.527663952    2.429908784    -1.641259171   -0.06552215371 0.8478200032   2.998174571    0.7024597568   0.3803356961   2.756847365    -4.013184408   14.605555      	-1.99796e+04	-1.99796e+04
8        NO_ID      -4.791356788   3.502543181    -3.014525426   -3.04474132    -1.838921975   -3.505417908   2.84768629     -4.997986282   -2.904692546   -4.123548194   -4.808012074   2.846633143    -3.11386663    4.902109758    4.006267313    1.079151867    -4.105164087   -3.885714122   2.352504075    -0.1991383006  -4.266518309   -3.692107928   -1.449139703   4.214059721    1.268306806    3.98883971     0.8014895439   -0.8095249249  -2.447189917   -0.954422563   3303.560056    	-1.99796e+04	-1.99796e+04
9        NO_ID      3.787712497    -2.469511274   -1.172475783   -0.6713143362  0.5933350705   -0.8519144324  -3.463766628   2.975185601    2.318786514    -1.640240995   4.411030907    0.1113205193   3.671137557    4.347477397    3.064852683    -3.720792753   -1.421540764   3.979579304    -0.1957421446  -4.238553829   -2.911434731   -2.107614685   -4.955753261   -3.840871376   -3.239032252   2.425022117    -2.517592031   -0.2080063767  -0.4591837272  -3.46813305    -116314.9913   	-1.16315e+05	-1.16315e+05
10       NO_ID      2.688372132    -2.696124807   3.249270208    4.893373355    -0.1825823966  -0.5232585074  -3.315479391   -4.30284873    -2.566857735   -4.849465611   -1.44133965    -1.578781165   1.318404943    1.821887276    1.46596939     1.969129861    -3.535640438   -2.553972596   3.03823192     -3.729341867   -1.798856861   2.666388945    4.311692647    -4.656691017   -0.5727888436  0.134787274    -3.083180519   -4.157049327   -1.395132553   0.5163715      -27246.64165   	-1.16315e+05	-1.16315e+05
11       NO_ID      3.045926415    -0.3898710549  -1.711758797   2.248045974    -3.125354618   2.604813494    -4.702080348   1.45237567     0.435596857    -4.635970716   3.174632565    1.919900859    3.193396241    4.987606298    -3.709192131   3.819693928    -4.700331714   -0.7494542624  -4.397210375   -1.855296374   3.309996127    -0.1979928673  0.1044097083   4.618676278    -0.3171209212  -2.556284419   3.504640662    0.179959347    -1.698018737   0.9333191529   -108.010418    	-1.16315e+05	-1.16315e+05
