%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         	best_so_far	best_so_far
1        NO_ID      -5.107187109   0.6511136204   -3.140564592   3.161502731    0.8704953154   -0.2061000397  -1.533015534   4.054654988    3.305882138    2.525233314    -3.337133091   3.67558092     2.155534532    0.1385979797   -2.007092502   -4.966557817   -4.184033937   -1.388011109   -3.611516465   -3.421198157   5.002496414    -0.5561107212  -3.900587786   -5.072186041   -5.028747215   -1.250506912   0.3242286447   0.7289284951   1.042063051    1.097377239    22778.87045    
2        NO_ID      -4.076218146   -0.905183874   -4.839053926   1.919277322    -2.468981597   -3.389322184   -2.778678549   -3.184628437   3.70901944     2.696176031    -4.632485122   -0.1717239906  -4.544982452   4.723112888    -4.249660939   0.6704892117   4.736550798    0.7567418439   3.877462081    -0.93487228    -0.9917490158  -0.8858082827  1.62333079     3.3111948      4.558732871    -2.220849025   -5.097186804   1.190505081    -4.61373455    1.598017518    -6558.536873   	-6.55854e+03	-6.55854e+03
3        NO_ID      -4.008403577   3.779021577    3.596516007    2.501795099    -3.5340141     -1.772397839   -4.307475204   -4.335601062   1.443637806    3.276818751    0.461732841    -0.52985992    -0.9320596942  -2.060844142   -0.3526670125  0.01234412671  -3.556827296   -1.81208655    2.437105625    -1.905839412   3.345258339    4.700924711    3.823085421    2.304289071    -2.047406232   4.546545       -3.81714774    -4.446854457   2.918057802    0.2517264321   -17.148414     	-6.55854e+03	-6.55854e+03
4        NO_ID      -3.417760552   1.669582202    -0.5039216285  -1.514264962   -4.535919675   1.102689901    2.901182287    3.098688314    0.2035999634   -2.028030641   3.849961241    2.321164586    4.668423719    4.359351787    0.402981048    -3.662455519   -0.3882930998  -2.71023896    3.70933195     -2.9736845     2.863681143    3.519013642    5.087186499    5.116874905    1.141753594    -1.101439863   -2.393979308   -2.0758446     3.483075045    -4.87686758    -4803.927027   	-6.55854e+03	-6.55854e+03
5        NO_ID      -3.390259713   1.270820032    -1.628330943   -1.849275185   -1.356135136   1.648644063    3.096500748    3.14243965     0.2717270425   1.13769097     3.053374432    4.102156438    -3.637142247   1.33300943     -0.9992492447  -2.522108219   -3.721832331   3.637142247    -4.442479324   -0.7392413099  0.7511166723   -2.024593036   0.4920462661   -2.810242012   -1.931777703   -3.987152928   3.154315012    -3.740582904   -2.209286172   2.950246284    32233.42477    	-6.55854e+03	-6.55854e+03
6        NO_ID      -3.233067415   2.436168096    0.5645484787   4.14809534     -2.633049104   -3.185253456   1.072376476    2.032718284    0.8664326914   -1.522702719   -0.05672048097 -4.296849879   2.465231483    1.147378765    1.232693869    1.957090976    3.118376415    -3.593078402   0.7786175115   3.765583666    4.214347362    1.174567095    2.331477401    -4.677486496   1.71802118     4.879680166    -1.894276559   0.7086153752   -1.988341929   -3.339008148   -18.121586     	-6.55854e+03	-6.55854e+03
7        NO_ID      -3.174940641   -1.679895016   -3.293694266   5.070623493    -0.4357945494  5.09968688     -4.121532029   1.281757866    -4.153408002   -0.6376757103  4.418728599    -4.624047365   4.040904569    -2.15022187    -2.792428968   2.755240333    -0.9142466506  -3.051811884   1.311446272    1.066438795    -0.495483871   -0.3445417646  1.001749321    1.379573351    3.633079623    3.366821497    1.277695242    2.262100284    0.6733017975   -1.278632771   -8598.316478   	-8.59832e+03	-8.59832e+03
8        NO_ID      -3.113063753   2.675862911    3.475887326    -1.048000732   0.009219031343 3.995278176    -4.838741417   5.064998321    0.7433039338   -4.602796716   0.3207910398   -3.132751854   3.512763451    1.298008362    1.613955504    -3.094000671   3.503700674    -3.857148961   -3.994340648   2.489607227    -1.903964354   4.516544084    -2.1905356     -1.676144902   -3.683706168   2.386791589    3.426510819    2.12990875     1.026437574    2.531483505    -1705.606118   	-8.59832e+03	-8.59832e+03
9        NO_ID      -3.054936979   -2.228661763   -1.480201422   0.3276662496   -2.140221564   -2.867431257   -4.099968871   -4.027154149   2.143659169    3.520576189    1.759897458    3.268068484    -5.060935698   -0.08859645375 1.071438948    4.457792291    -2.143971679   1.08362682     2.528358409    3.828085574    4.221222571    3.380259407    1.084564348    -1.998029725   2.910557573    -3.582765587   0.4364195685   1.935840327    -1.078939177   5.050310373    -9147.116882   	-9.14712e+03	-9.14712e+03
10       NO_ID      -2.656799829   0.2195379498   4.119344462    -4.030279244   4.123094577    -0.596736961   -4.299662465   2.888681906    -3.360883816   4.857804498    2.82492996     3.792771996    -2.963059175   -0.4442323069  -5.081561327   2.566484573    -3.95215186    -0.9758110294  -1.93396527    5.044372692    -4.724987945   -2.538671224   -3.181815851   -2.583672597   -3.548077029   1.23206885     3.946214179    4.496230964    -3.116501358   2.863681143    -83258.78825   	-8.32588e+04	-8.32588e+04
11       NO_ID      -2.568047121   0.7239283425   -1.567704093   0.4089187292   1.688645283    3.796522111    4.429041414    4.5596704      -4.042779626   -3.550889615   0.5936118656   3.07462508     4.046217231    -4.37747734    3.812460097    3.301507004    -1.14394116    0.4995464949   1.760834986    -0.5023590808  -2.238662069   4.602484207    4.937181921    2.335227515    0.9708108768   -2.330852382   -3.768708762   -3.093063143   1.02925016     -0.1295352031  -132760.0949   	-1.32760e+05	-1.32760e+05
