%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         	best_so_far	best_so_far
1        NO_ID      -5.105937071   4.010278634    2.442105777    0.4411072115   4.09403119     1.020812403    -0.5604858547  3.139939573    -1.774585406   0.6039246803   -3.383384503   3.689331339    -1.166129337   -4.930619221   4.928119144    0.4517325358   4.196846828    4.369977111    -3.039311502   3.930588702    -1.670207221   4.281849422    0.7917429121   -2.880244148   -0.4651704459  2.205223548    -3.25681814    -4.362476882   4.164970855    -2.772428358   34.77304       
2        NO_ID      -5.01218421    -2.769615772   -1.154566485   -1.712708518   -3.563702506   -0.08015869625 -2.226474197   -1.385823542   1.021124912    -0.7498666341  4.307787713    -2.063344218   2.380228889    2.973997009    3.595890988    0.2348509171   2.778678549    -2.481481979   0.3601672414   2.047093722    -4.152782983   -4.061842708   -0.7967430647  -3.489325236   -3.303069552   -5.074686117   1.733646657    -1.374573199   -1.864275643   -0.07922116764 61952.64994    	6.19526e+04	6.19526e+04
3        NO_ID      -5.000933866   3.396822413    4.595296487    5.022497024    3.20994171     1.235193945    0.09078402051  -5.116874905   -2.037718436   3.509638356    -4.310600299   2.120220954    0.4917337565   -3.657455367   1.309571215    5.084686422    -4.892493057   -2.652424696   -3.845273598   -4.373414716   -2.296163823   -0.1298477126  5.114374828    2.068031861    -1.638018738   -2.030843226   4.614984588    -0.8489321574  -2.740864895   -2.260537736   -12845.40786   	-1.28454e+04	-1.28454e+04
4        NO_ID      -4.464667501   -4.558732871   -1.328946806   2.654612262    -0.09922177801 -1.112065188   0.4042310862   1.417699515    4.305912656    -2.949308756   3.083062838    0.141098056    3.315882443    -1.181129795   -2.835867794   1.680520035    -0.8695577868  1.138941008    -3.46588702    -3.719957274   2.099907834    4.104344005    4.756863918    -2.443668325   -4.258723716   -0.5714236885  -0.263289285   2.73742729     -4.144657735   4.295287332    -107479.0542   	-1.07479e+05	-1.07479e+05
5        NO_ID      -4.333413495   2.599610584    0.3339164403   -4.313412885   -1.466138493   0.8301815851   3.165252846    2.003967406    -5.069060945   1.293945738    -2.611485946   -4.610921964   3.348070925    4.106219062    -4.8971807     -0.5079842524  3.400572527    -4.476855373   1.10393994     1.71145848     1.938027894    1.784898221    -4.000903348   0.006406445509 -3.712457045   0.9720609149   -2.89211951    0.6876772362   2.642111881    -2.147096774   4398.056666    	-1.07479e+05	-1.07479e+05
6        NO_ID      -3.908400525   -0.9448725852  1.913027131    4.24934843     -4.992496109   4.505293741    -2.051781365   3.967152318    -1.597392499   -3.543701895   -3.413072909   -1.484889065   4.584983673    1.888963897    -0.3473543504  -4.752176275   -0.9026837977  -4.72186285    -1.435512558   4.012466201    -5.035622425   -0.7042402417  1.194255196    3.93902646     0.479233375    3.529638966    0.5007965331   2.974309519    -4.513418989   1.066751305    26053.01768    	-1.07479e+05	-1.07479e+05
7        NO_ID      -3.487762688   -1.68427015    -4.914993744   2.630861538    -1.153003937   3.435261086    -1.1845674     3.315257424    -0.4901712088  1.158629109    3.409947813    -4.703737297   -1.148941313   -2.861493576   -2.603360698   1.656769311    -2.530233467   0.2048500015   -0.7889303262  1.273320109    2.25803766     0.3854805139   1.533953063    -0.1892245247  -0.9720609149  -4.011528672   3.966214789    -0.4686080508  3.39838496     0.9433100375   -7877.056811   	-1.07479e+05	-1.07479e+05
8        NO_ID      -3.404322642   -0.9758110294  -1.996779687   -4.052467421   2.043968627    4.642485427    0.1604736473   -4.820928373   3.819022797    2.368041017    3.693081454    -2.644299448   1.468638569    2.501482589    -3.057124546   -4.925306558   -4.155908078   -0.003906369213 -2.584297617   -4.71467513    -2.375541246   -3.761521043   -2.043343608   2.837430342    -3.975590075   -3.069624928   5.10624958     3.974340037    -0.6401757866  -0.8108059938  1983.511431    	-1.07479e+05	-1.07479e+05
9        NO_ID      -2.843368023   -3.83777337    -1.966153752   -3.650892666   3.18962859     3.145252235    2.583985107    3.344320811    -2.510857875   -1.268632466   -2.89274453    -1.973028962   -5.057810602   -4.351539048   1.667707144    -3.6487051     0.8514322336   -2.307414167   2.081469771    3.174315622    -4.027154149   -0.1798492386  2.123346049    -4.845304117   -0.6679891354  0.6595513779   -2.486482131   -5.042497635   0.5004840236   -2.958059023   13590.92926    	-1.07479e+05	-1.07479e+05
10       NO_ID      -2.780866115   -2.391479232   2.24428724     -0.3595422224  -5.081561327   -2.080219733   -0.2554765465  4.179658803    2.922432936    3.94527665     -4.021216468   -2.793991516   4.672798853    1.663019501    3.936526383    1.378635823    -1.800523698   -1.350197455   1.014249702    -2.909307535   2.486482131    1.139878536    -0.8861207923  -4.936869411   4.81655324     4.307475204    3.397447432    2.634299142    1.739896847    -1.352072512   -21165.04301   	-1.07479e+05	-1.07479e+05
11       NO_ID      -2.711176489   2.924620502    0.5423603015   2.669300211    3.20275399     0.1745365764   1.67739494     -0.8111185034  -3.790896939   3.559952391    -1.991467025   -3.484012574   -2.793366497   1.969903867    -3.889024934   -1.131440779   -1.493014313   -1.546765954   0.8058058412   -4.029341716   3.023373516    1.458013245    1.753334758    -0.5754863124  -1.646456496   -3.667455672   -1.208630634   3.821210364    3.049311808    -2.7508652     -172.772253    	-1.07479e+05	-1.07479e+05
12       NO_ID      -2.59523545    5.017496872    -2.169597461   -1.845212561   -0.8933085116  -3.368071535   -0.1932871487  -3.014310739   -1.644893948   2.08209479     2.611485946    -1.511452376   -2.525233314   -3.901837825   -1.303946043   4.015278787    -0.02484450819 1.77896054     -2.908682516   2.377103793    -3.174940641   5.039997559    4.854991913    1.187692495    -3.408385266   3.726207465    3.896525163    0.3811053804   3.755270852    -2.856805933   -838365.3992   	-8.38365e+05	-8.38365e+05
