%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         	best_so_far	best_so_far
1        NO_ID      -5.104999542   -2.871181372   -2.215536363   -2.278975799   -2.922745445   2.248037355    0.4120438246   2.224911649    3.385572069    -1.317383953   -3.429635914   3.703081759    -4.487793207   0.2401635792   1.62333079     -4.370289621   2.337415082    -0.112034669   -2.46710654    1.042063051    1.897089145    -1.120502945   -4.756238899   -0.6879897458  4.098406323    -4.579045991   3.402447584    0.7861177404   -2.952433851   3.598078555    -9947.383578   
2        NO_ID      -4.961870174   3.504325694    2.854618366    1.37332316     3.34494583     -2.937433393   4.52623188     -2.580860012   3.885274819    2.625861385    -4.576233406   -3.534639119   -4.611859493   2.452731101    -3.844961089   -1.304571062   1.207068087    3.248692892    -3.050561846   -2.735239723   1.861150548    4.300912503    -1.788648335   1.286133       -4.643110446   2.113970763    3.009935606    -1.803961303   3.849648732    2.427730338    -980.90483     	-9.80905e+02	-9.80905e+02
3        NO_ID      -4.952494888   -3.939338969   -4.919681387   -4.420291147   -4.679986572   -4.721237831   4.53966979     -4.117781915   4.075280618    1.088626972    4.666861171    0.8520572527   3.853398846    -1.4073867     1.338947111    1.782710654    -0.8814331492  3.524951323    -1.780523087   4.050279855    1.448637959    -4.683424177   -0.8414319285  0.7086153752   2.506482742    -0.5364226203  3.015248268    -0.4539201025  1.672082278    -4.328725852   -0.927805      	-9.80905e+02	-9.80905e+02
4        NO_ID      -4.887180395   -2.08928251    -4.996871242   -4.238723106   -2.984622333   -2.317101962   3.907150487    3.530263985    0.04859523301  1.505202185    -4.704362316   -1.661456954   2.000842311    -1.783023164   -0.2845399335  4.872804956    4.799052705    4.962807703    4.479667959    1.278632771    2.869618824    0.9870613727   5.078436232    1.728333995    -2.159284646   -2.548984039   -3.308069704   1.247381817    -3.617766655   4.230285348    1.107422       	-9.80905e+02	-9.80905e+02
5        NO_ID      -4.491855831   -1.794273507   2.654924772    0.4167314676   -3.440261238   -2.820242317   -2.554296701   -4.59373394    -5.034684896   0.7389288003   0.382042909    -2.142096622   2.328977325    4.035904416    2.669300211    -3.358696249   -4.376539811   4.75530137     -4.960307627   1.64395642     4.054654988    -0.1920371105  4.545607471    -3.885587329   2.418355052    -0.6717392499  -2.471481674   3.751833247    2.965871761    -1.869900815   3404.607796    	-9.80905e+02	-9.80905e+02
6        NO_ID      -4.426541337   -3.160252693   -4.785927305   0.1076595355   1.611455428    -2.878369091   3.040249031    4.791552477    -3.46651204    2.01521775     0.3607922605   3.168377941    2.566797082    2.445230873    0.3045405438   3.258380688    1.916152226    -2.840555437   1.571454207    -1.476138798   -0.5820490127  0.6161125523   1.896151616    0.4482949309   2.890244453    0.8061183508   -2.152409436   -0.5511105686  3.422760704    -0.816743675   80.232659      	-9.80905e+02	-9.80905e+02
7        NO_ID      -4.254348582   -3.646517533   -1.318946501   -2.138659017   2.787116306    4.784989776    3.943089084    3.789334391    -0.4379821162  -2.076782128   2.955246437    -1.712083499   5.000621357    1.30644612     4.932494278    -1.681145054   3.361821345    2.799616688    4.18184637     -1.236443983   -0.2123502304  2.263350322    1.34675985     2.138659017    -1.007999512   5.080311289    -1.494264351   3.853398846    4.693736991    4.659673452    19288.8757     	-9.80905e+02	-9.80905e+02
8        NO_ID      -3.825585498   5.103436995    4.304350108    -3.606203803   -3.438386181   -0.1960997345  0.4761082797   -0.3626673177  -1.223943602   -4.333100986   2.989309977    -1.786773278   4.243410749    -1.019874874   -2.876494034   -1.753334758   1.173317057    -0.2398510697  0.4164189581   -0.2689144566  0.7304910428   -2.363978393   1.64364391     -3.455886715   2.427417829    4.558107852    0.06078310495  3.364321421    1.693332926    2.882119205    -178818.7266   	-1.78819e+05	-1.78819e+05
9        NO_ID      -3.58120304    2.109908139    -2.924620502   2.559921873    2.036780908    -0.2898525956  4.453729667    2.866181219    -2.024905545   2.86524369     -4.461542405   -5.058435621   -0.46235786    3.14868984     0.913309122    -0.8786205634  3.705894345    4.622797327    -2.223036592   -2.106158025   -1.801461226   -2.066469314   4.294974822    2.287413556    4.23591052     -2.851180761   -4.029654225   -3.16275277    2.277100742    -2.427730338   118.275952     	-1.78819e+05	-1.78819e+05
10       NO_ID      -3.563702506   0.0814087344   -4.621547288   0.445482345    -1.236756493   -1.04956328    3.161815241    0.5048591571   2.938683432    -4.615922117   2.843993042    -2.830867641   4.71498764     -3.872149419   -2.707113865   -0.4414197211  0.3557921079   -2.16334727    4.371227149    -2.827117527   -0.3729801325  0.5795489364   2.334289987    2.088344981    -2.233974425   1.047375713    -2.424917753   0.6120499283   4.035591906    0.3386040834   5931.618718    	-1.78819e+05	-1.78819e+05
11       NO_ID      -3.38525956    1.16425428     -0.8539323099  4.165283364    -1.831774651   -3.287131565   0.3701675466   -0.2998529008  2.600860622    3.362446364    2.844305551    -4.324975738   -2.692738426   0.7308035524   1.655519272    -4.928431654   3.485575121    3.750895718    -1.968341319   4.612172002    -4.644047975   -0.9154966887  1.933027741    -2.458043764   -2.274600665   1.879276101    1.301445967    -3.080562761   -3.874962004   -1.055813471   11116.09177    	-1.78819e+05	-1.78819e+05
