%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         	best_so_far	best_so_far
1        NO_ID      -5.103124485   3.846836146    -1.290195624   2.520545671    3.524013794    4.702174749    2.357415693    0.3954808191   3.465262001    5.080311289    -3.521826228   3.730582598    -0.8908084353  0.3414166692   -4.986870937   -3.774021424   -1.381448408   1.163629261    -1.323009125   -4.73530076    -1.208318125   -1.684895169   4.628109989    3.696206549    2.985247353    2.333039949    -3.759958495   0.8436194952   3.293381756    -4.14153264    4137.154356    
2        NO_ID      -4.559357891   -0.5614233833  2.565234535    0.4817334513   -4.162158269   4.344663839    1.894901578    -3.549639576   -0.3204785302  4.559045381    5.094374218    1.503952147    -4.85686697    -3.366508988   1.013937193    -4.184346446   1.855837886    -4.826241035   -3.259005707   5.088749046    1.492701804    -3.443386334   -0.2686019471  1.841774957    4.801552782    4.425603809    -1.081126743   4.317162999    -3.198378857   0.8070558794   4675.167607    	4.67517e+03	4.67517e+03
3        NO_ID      -4.52623188    1.413324381    -3.440573748   0.3229786065   3.701831721    -2.388041627   -2.18366039    2.612110965    0.5951744133   1.510514847    -4.954682455   -4.066217841   -0.4570451979  -0.1320352794  3.512138432    2.736802271    -0.174849086   4.887492904    2.552734153    1.337697073    -5.043435163   -0.2482888272  2.964309214    1.50832728     -1.91396466    -3.181190832   1.698020569    -2.637736747   -4.821865902   -4.961245155   798.163065     	7.98163e+02	7.98163e+02
4        NO_ID      -4.312162847   -1.655519272   3.094000671    -1.895839106   1.773335368    0.8420569475   -1.194880215   -0.457670217   -3.755270852   4.68811182     2.942746055    -2.518045595   4.027466659    1.436450087    0.5907992798   -1.283007904   0.8442445143   -1.200192877   -5.003433943   1.390511185    4.45185461     4.236223029    1.772710349    3.430573443    4.528731956    1.033937803    4.156220588    4.928744163    2.907119968    2.97993469     743.747267     	7.43747e+02	7.43747e+02
5        NO_ID      -3.936526383   3.1965038      -0.394230781   1.007999512    0.2645393231   -0.5189220862  4.1074691      -1.424574725   0.9264345225   -0.8979961547  4.123407086    1.031437727    -1.131753288   2.087719962    -2.766490677   -2.95993408    -3.158065126   -3.333070467   3.694956511    -3.402135075   3.443386334    0.01765678884  1.800211188    0.9498727378   -3.356821192   5.110624714    1.582079531    -2.195535752   -4.259661245   1.656456801    1060587.776    	7.43747e+02	7.43747e+02
6        NO_ID      -3.749333171   4.28997467     1.088314463    4.281224403    3.654017762    4.416853542    5.081248817    0.5632984405   -2.434918058   0.5898617512   -2.899932249   2.1905356      4.76873928     4.903430891    -3.671518296   -4.860304575   3.318695029    3.878399609    -0.4523575549  2.270850551    2.782428663    -4.501231117   -0.6901773125  -0.6289254433  -4.699987182   4.189034089    -3.390884732   1.304258553    0.5073592334   -1.472076174   7.259236       	7.25924e+00	7.25924e+00
7        NO_ID      -3.671518296   3.40526017     -1.43426252    -2.432730491   2.466794031    -1.768022706   -2.418042543   0.8489321574   -4.187471541   -3.915588244   -4.666236152   2.724926908    -4.790302438   1.317696463    -4.217784967   -3.442448805   -0.2832898953  2.519295633    -0.9329972228  -2.826179998   -4.08059328    3.058687094    -1.813336589   0.9001837214   2.301163976    1.890526444    2.022405469    -0.2986028626  2.513982971    0.4620453505   675.211867     	7.25924e+00	7.25924e+00
8        NO_ID      -3.659017914   -2.574297311   -2.708363903   -3.93183874    -3.23025483    1.506764733    -1.433012482   -4.051529893   -3.410260323   2.643361919    -3.572452773   -0.3851680044  0.9083089694   4.47841792     -0.1489107944  -2.781491134   3.373384198    -4.487168188   -3.241505173   -4.237785577   4.124344615    -1.066438795   -4.744363536   -0.9467476424  4.643735466    -2.822117374   0.3345414594   -3.038998993   -4.812178106   1.641456343    1084.544191    	7.25924e+00	7.25924e+00
9        NO_ID      -3.522763756   -1.415199438   2.029593188    0.3689175085   3.645892514    2.786491287    2.724301889    4.565295572    -2.485857112   -2.413667409   -0.6329880673  2.809929502    -1.395823847   2.94649617     -0.1826618244  -1.312383801   1.70458327     2.504607685    0.6661140782   1.1911301      -1.09675222    -1.358635212   2.517108066    0.6354881436   -3.201191443   3.086187933    3.606516312    -0.6839271218  2.612110965    -2.056469008   -15670.65375   	-1.56707e+04	-1.56707e+04
10       NO_ID      -3.394947356   1.888026368    4.601234169    -2.767428205   -3.859024018   3.661205481    -4.561545457   3.386509598    -3.102750938   -3.843398541   -0.7220532853  -2.567422102   -4.152782983   1.261132237    -0.9170592364  2.362415845    3.242442701    1.423637196    2.771490829    0.6295504624   -3.214941862   -3.497450484   1.953028352    -2.232099368   3.419323099    -4.808740501   4.05340495     -1.012687155   1.861775567    1.504577166    -1670.44311    	-1.56707e+04	-1.56707e+04
11       NO_ID      -3.279943846   2.432105472    -4.108094119   -3.619641713   -1.014874722   0.6958024842   -0.9358098086  4.752176275    -2.497107456   -0.6976775414  -0.3367290262  -4.921556444   3.61464156     4.995308695    3.644642476    -1.06300119    4.653735771    -0.9839362774  -3.094313181   -1.601142613   4.709362468    0.423919187    -2.742114933   -3.322132633   3.406822718    -2.091782586   -0.8648701437  0.9548728904   2.628048952    2.587422712    -134781.7312   	-1.34782e+05	-1.34782e+05
