%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         obj_fn         	best_so_far	best_so_far
1        NO_ID      -5.117812433   -2.705863826   -1.696770531   4.295912351    -3.764646138   -2.499607532   -4.131219825   4.587483749    2.574609821    -1.699270608   4.192784204    3.140252083    4.764364147    -2.272100589   -0.4561076693  1.331446883    -1.802398755   -4.333413495   -1.529265419   -1.820211798   -1.457075716   4.217784967    -2.721801813   4.237785577    1.349884945    1.196755272    0.1623487045   4.540919828    2.315226905    -1.382385937   768.471961     
2        NO_ID      -5.101874447   -3.034623859   4.292474746    -0.1995373394  -3.49307535    -4.310912809   3.330257881    -0.5192345958  -1.614893033   3.159002655    -3.568077639   3.744333018    -4.212472304   -4.727800531   1.948340709    1.644268929    -3.240880154   -3.318695029   -0.7508041627  2.616486099    2.35929075     3.153064974    -0.9198718223  -4.351851558   -2.691488388   -4.451229591   2.89899472     -4.248098392   -3.82402295    2.228974273    304370.8696    	3.04371e+05	3.04371e+05
3        NO_ID      -4.685299234   -3.000872829   4.801552782    3.544326914    -0.6367381817  -1.482388989   4.474667806    -0.4611078219  3.235254982    -1.28582049    -3.929963683   -3.943089084   0.1857869198   -1.073939024   -3.579327982   -2.174285104   -0.2007873775  -3.611828974   2.427105319    2.247412336    -0.5276723533  4.494355907    3.234317454    -0.008594012268 4.402478103    -0.7636170537  -1.171442      -2.715239113   2.95337138     -0.4904837184  -13805.39053   	-1.38054e+04	-1.38054e+04
4        NO_ID      -4.513106479   -3.422448195   4.219972533    -4.973433027   0.7014276559   -3.373384198   0.2967278054   0.8642451247   1.565516526    -1.395198828   -3.886837367   2.742114933    3.248067873    4.749363689    -1.71770867    -2.83180517    3.028998688    -3.752770775   -4.313725394   -0.0001562547685 0.7029902036   0.5779863887   4.495293435    -0.2876650288  -3.3111948     1.19144261     2.482106998    -2.988684957   -2.646799524   -0.3882930998  1153.46447     	-1.38054e+04	-1.38054e+04
5        NO_ID      -4.483418073   -4.306537675   -4.441541795   3.890899991    4.569670705    -2.698988617   -1.383948485   -4.262161321   3.187753533    3.946839198    1.681145054    0.1176598407   -1.457388226   -1.661456954   -2.126471145   4.016216315    2.641174352    -0.03609485153 2.857430952    -0.8139310892  0.7886178167   2.249599902    -1.123315531   2.83868038     3.437761162    -2.497107456   4.574045839    -2.046468703   1.253319498    -4.765614185   -1538.350054   	-1.38054e+04	-1.38054e+04
6        NO_ID      -4.443104343   0.6026746422   -2.690550859   -2.146159246   1.961466109    3.370571612    3.3243202      3.274318674    2.765865658    4.823428449    -3.732145146   -4.404040651   -2.118970916   -3.946526688   4.7890524      0.8589324625   -1.804586322   -0.05765800958 3.528701437    1.12394055     -3.470574664   0.8511197241   2.44679342     0.5761113315   -4.105594043   -0.6267378765  -3.511513413   -1.395511338   -0.6336130863  -2.094907682   20122.57688    	-1.38054e+04	-1.38054e+04
7        NO_ID      -4.327475814   -3.068687399   4.827178564    -4.519981689   1.396136357    2.697113559    -3.416823023   -5.007496567   1.014249702    -3.883712271   -2.635549181   1.870838343    3.534639119    2.152096927    -3.511200903   4.025279092    -1.570516678   3.3308829      4.099968871    0.5698611408   -2.996810205   -3.874024476   -4.056842555   -0.187661977   -1.262382275   -4.082155828   2.163034761    5.025934629    4.537794733    3.655580309    21644.2756     	-1.38054e+04	-1.38054e+04
8        NO_ID      -4.292787255   3.645580004    2.221474044    0.5579857784   -1.630518509   4.144970244    -0.1551609851  -1.976779077   0.1864119388   -2.483982055   -3.03399884    0.2532889798   1.296133305    5.049060335    2.842743004    0.7401788385   3.50682577     -2.336477554   -3.523076266   3.180878323    4.652798242    1.163941771    1.263632313    -1.50176458    -2.871181372   4.628109989    2.693675954    3.083375347    -2.1905356     -0.06140812403 -24018.77005   	-2.40188e+04	-2.40188e+04
9        NO_ID      -4.226535234   -0.7542417676  1.043313089    -4.957495041   4.043717154    0.6789269692   -3.96590228    3.420573138    4.718737754    -4.192784204   0.247038789    -3.11525132    -0.6042371899  4.024966582    0.7076778466   -3.496200446   4.035904416    1.074564043    4.430916471    -0.7008026368  -1.021749931   3.721832331    0.7251783807   -4.672798853   1.858962981    0.7645545824   -4.637797784   4.700924711    -1.214568316   2.064906766    -1340.033887   	-2.40188e+04	-2.40188e+04
10       NO_ID      -4.219035005   2.388041627    0.8226813562   4.148407849    -3.184003418   -0.08797143468 3.422448195    -0.8270564898  -2.708988922   -1.658019349   -4.291537217   -4.234035463   2.13647145     -1.00924955    2.226786706    3.795584582    2.594922941    1.436137577    -3.18931608    4.865929746    1.497076937    -4.470292673   -0.4923587756  -4.379977416   -2.721801813   -4.72873806    -3.275256203   -1.818024232   -5.105312052   2.218348949    29465.48686    	-2.40188e+04	-2.40188e+04
11       NO_ID      -4.067467879   3.904337901    3.961527146    2.549296548    -1.837399823   -2.574297311   1.901464278    2.675862911    2.284288461    2.298038881    -3.046499222   -1.066751305   -2.951183813   -2.668362682   -2.670862758   4.753113804    -3.070562456   -5.027184668   -2.222411573   -4.048092288   4.837491379    -4.288412122   4.992183599    4.757488937    -2.421167638   -2.844305551   1.43457503     -0.795180517   2.210223701    -3.359633778   -70.747971     	-2.40188e+04	-2.40188e+04
12       NO_ID      -3.606516312   4.9037434      2.007717521    1.187067476    -4.772489395   0.7248658712   -3.929338664   4.355601672    4.310600299    3.974027528    4.693736991    3.400260018    -0.4217316202  3.38525956     -0.2851649525  -2.690863369   -0.08859645375 2.303351543    1.068001343    -4.892180548   2.160534684    4.961557665    -3.662768029   -2.651487167   -3.007748039   -4.175908689   4.014028748    -2.936808374   -1.963966185   1.908964507    -4084.140584   	-2.40188e+04	-2.40188e+04
13       NO_ID      -3.427448347   -1.534890591   2.645236976    0.6070497757   3.470262154    -3.3308829     -0.2376635029  1.448950468    -0.6533011872  -3.265568407   -4.378727378   4.92405652     -3.817772759   2.225536668    -0.7433039338  1.557078768    -4.872492447   4.474980316    -4.008716086   -1.318946501   -2.77086581    -2.231786859   -4.662798547   -4.212159795   -3.26338084    -4.418416089   4.028091678    0.1398480178   -3.011810663   -0.4336069826  1053.071256    	-2.40188e+04	-2.40188e+04
14       NO_ID      -2.522420728   -4.079343242   1.836774804    0.9473726615   -1.224568621   0.3673549608   2.137408979    -3.254630573   0.5826740318   -2.719614246   2.411792352    -1.900839259   2.889306925    4.237160558    4.81624073     2.846180609    4.388727683    2.459293802    -4.473417768   1.802398755    -4.844054079   -4.091843623   4.265911435    1.145816218    3.423073214    0.234225898    -4.631860103   -2.783053682   -1.626143376   2.867743767    132.302584     	-2.40188e+04	-2.40188e+04
15       NO_ID      -2.119908444   -0.8111185034  -3.506200751   1.120815455    2.031468245    -1.999592273   2.523983276    -0.02421948912 4.488418226    -2.416792505   1.577079379    4.632797632    -0.5911117893  4.5662331      1.331134373    -3.597766045   4.225597705    -4.479355449   0.8370567949   2.396791894    3.04743675     0.9817487106   -4.264661397   4.358726768    -3.83058565    4.288412122    -3.707769402   3.594953459    1.119252907    -3.953401898   1759.474893    	-2.40188e+04	-2.40188e+04
16       NO_ID      -2.079282205   -0.761429487   -1.847712638   4.244035768    -0.5154844813  4.453729667    0.567673574    4.27591174     -2.023030488   3.149627369    0.9373723563   -5.06624836    4.880617695    -1.053313395   2.205223548    2.773678396    3.333382977    2.493044832    -5.048122806   3.835585803    1.698645589    0.04453260903  1.734584185    1.836774804    5.069373455    4.387790155    -2.721489303   -2.497107456   -4.085280923   -3.580265511   186039.9076    	-2.40188e+04	-2.40188e+04
