FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	1.56900e+18	-1.98000e+24	-8.53700e+22	-7.68200e+17	1.43700e+25	-8.87400e+19	-9.60000e+16	-4.42300e+26	-5.59200e+14	4.19800e+22	-4.29953e+25
2	-4.92900e+24	-1.98000e+24	-8.53700e+22	-7.68200e+17	3.71400e+18	-8.87400e+19	-2.48600e+18	-4.42300e+26	-5.59200e+14	-1.06100e+21	-4.49296e+25
3	-4.92900e+24	-1.98000e+24	-8.53700e+22	-7.68200e+17	3.71400e+18	-8.87400e+19	-4.04800e+22	-4.42300e+26	-3.03700e+18	-1.06100e+21	-4.49336e+25
4	-4.92900e+24	-1.98000e+24	-8.53700e+22	-7.68200e+17	-1.45000e+20	-8.87400e+19	-4.04800e+22	-4.42300e+26	-8.63900e+22	-1.06100e+21	-4.49423e+25
5	-1.41200e+25	-1.98000e+24	-8.53700e+22	-1.57900e+27	-9.60400e+24	-8.62100e+29	-4.04800e+22	-4.42300e+26	-8.63900e+22	-1.62900e+25	-8.64164e+28
6	-1.41200e+25	-1.98000e+24	-8.53700e+22	-1.57900e+27	-9.60400e+24	-8.62100e+29	-7.04200e+27	-4.42300e+26	-1.01400e+25	-1.62900e+25	-8.71216e+28
7	-1.41200e+25	-1.98000e+24	-2.18300e+28	-1.57900e+27	-9.60400e+24	-8.62100e+29	-7.04200e+27	-4.42300e+26	-1.01400e+25	-1.62900e+25	-8.93045e+28
8	-1.41200e+25	-1.98000e+24	-2.18300e+28	-1.57900e+27	-9.60400e+24	-8.62100e+29	-7.04200e+27	-4.42300e+26	-1.01400e+25	-1.62900e+25	-8.93045e+28
9	-1.41200e+25	-1.98000e+24	-2.18300e+28	-1.57900e+27	-9.60400e+24	-8.62100e+29	-7.04200e+27	-4.42300e+26	-1.01400e+25	-1.62900e+25	-8.93045e+28
10	-1.41200e+25	-1.98000e+24	-2.18300e+28	-1.57900e+27	-9.60400e+24	-8.62100e+29	-7.04200e+27	-4.42300e+26	-2.31100e+29	-1.62900e+25	-1.12414e+29
11	-1.41200e+25	-1.98000e+24	-2.18300e+28	-1.57900e+27	-9.60400e+24	-8.62100e+29	-7.04200e+27	-4.42300e+26	-2.31100e+29	-1.62900e+25	-1.12414e+29
