%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far	best_so_far
1        NO_ID      0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              3101894.698    
2        NO_ID      -5.119919858   -3.773053049   2.617398499    -0.4234226491  0.3355365111   -2.877857932   -4.63826313    1.831574701    1.835995196    4.451255254    -1.192938727   0.19882365     3.389085144    -4.765981588   -4.572552857   0.3041299798   1.752569693    -5.041170573   -1.193823736   -4.435535488   -0.8449436216  1.912552575    0.9111208229   4.407669706    3.544748959    0.2757506825   -4.178279519   1.576130174    -0.8601665858  2.060191687    4.201685304    2.684907926    -2.432481345   -4.63396338    2.417478498    -1.758881524   1.358218935    2.625643376    5.028222828    -1.378932012   -2.590321811   4.941314931    2.280042504    2.59436375     1.551550205    -4.375696559   1.347939513    3.939400997    -2.32744994    -0.6511472061  2.728906525    -0.2280267264  -2.685189799   -2.304953955   -1.441126612   -3.414966268   -0.138061998   4.072000374    4.190290961    -4.499821286   -587.947514    	-5.87948e+02	-5.87948e+02
3        NO_ID      4.143647666    0.04631444218  0.1668297077   -1.853102682   4.983215227    -0.06167874578 -2.394680246   -4.190895156   4.58510592     -4.36480947    0.007240650657 -1.186384404   -2.282682365   4.237490606    0.3046133114   -0.3640747525  4.515634727    -4.607140007   2.677906045    2.766894559    3.356849155    -3.836258554   -4.957514739   1.929782284    3.770850629    1.326524599    2.418939027    2.308218864    5.114448681    3.978979468    -2.732084445   -1.98326445    -1.52560386    0.135922711    0.9330030851   3.542851176    -0.9002929096  3.497068948    -2.362191132   -0.8663591365  0.3819927098   -0.3285261466  -2.178945316   -3.293924312   -3.545907435   0.733745263    3.096634645    -4.781529555   0.3527663733   -0.015563581   4.662894182    2.542516745    0.558938606    4.001151809    1.278456743    3.502485632    -3.483980569   -2.941424488   2.198630069    -3.784424838   56431.63182    	-5.87948e+02	-5.87948e+02
4        NO_ID      -4.188258953   -2.308217367   -5.089284086   -0.8776369838  -4.844786782   2.148552631    4.484068346    -2.663313359   -3.267625894   -1.868395146   3.96278438     1.557080944    -3.58056899    1.856985229    -1.169257434   -1.149692548   -0.002651827337 -3.609262046   0.8927910213   3.538694753    0.9227121667   4.663386383    0.5749364593   -3.602928004   4.949044194    -0.9342290573  -3.66776554    0.6645624903   -2.538225597   -0.1176110149  -0.3683273866  4.721614241    -3.829444546   -3.074486279   -1.850883339   1.323716162    -3.822467493   1.548838313    1.245532425    3.103467478    -2.582100395   -0.2413383366  -1.133422902   -3.038716573   -4.829438143   4.11313663     -0.7526664904  -3.665704631   4.582264628    -0.9183945159  -3.776629438   3.94903932     -4.176142029   -3.459086827   -4.392309093   -1.378928345   -2.528692597   -3.736480069   2.899488448    -0.4576534106  26.629262      	-5.87948e+02	-5.87948e+02
5        NO_ID      -1.540872758   -0.4884462669  3.163592571    4.420345859    1.552855604    -2.915856546   1.839025844    4.187360105    -2.558713917   3.69520472     -0.2942737557  0.06098816159  1.028031881    3.251829585    2.619837769    -0.3866114118  4.622002692    1.359244288    -0.6212575176  3.324901241    1.93516455     2.070596083    4.988369918    4.653208604    3.597001404    -2.15740208    0.3832395913   0.1478109813   -4.060836577   -0.8803483323  0.7855783919   3.856032962    -0.6140041283  2.352616247    3.781260676    2.208177508    3.079376148    2.114923256    2.475170792    -4.924493785   3.952958641    0.2558710314   -0.3755752017  -4.452414741   2.185444563    -0.1132220483  1.717033628    1.864182986    -3.07655939    4.266331091    3.746638531    3.993791279    0.4500306632   -3.694643211   -0.5084422519  5.011071997    -2.912952503   -0.5527201107  -1.886900094   0.150112846    24322.1058     	-5.87948e+02	-5.87948e+02
6        NO_ID      3.906602177    -0.6172102383  -0.3324745585  3.140095152    -1.380781463   -2.954045876   5.110954537    -3.547090129   1.336199883    1.191427744    -5.113906765   -5.110999041   2.799124645    2.327910298    -1.851621498   -0.8425091485  1.868740939    1.848954714    -3.018118347   3.44493957     2.139347056    3.365969428    -4.151820254   -4.283006878   2.703409699    1.326815603    -2.930153703   -2.933280772   -4.289937434   -1.138450044   4.630115003    4.582861433    -1.127899283   -2.363241042   1.967810348    -2.211481222   2.835106014    2.906779674    -0.7940114669  -2.230723733   -3.133773078   -5.004121838   -3.155723905   4.94833457     -2.620884513   3.273995198    -3.722701434   -1.043008607   1.034343503    -3.308745026   3.362352304    -3.50483272    4.996474886    -2.486592964   -2.727944263   -4.07923325    -2.873234991   1.379506581    2.0071148      3.018442883    -595252.9226   	-5.95253e+05	-5.95253e+05
7        NO_ID      2.009526394    2.590109829    1.735891374    1.366322244    -4.542047615   1.005738357    -2.79544093    -1.855714506   2.046304668    -3.917445783   2.688724192    0.2675023533   0.552052181    0.9010064725   -1.744216183   2.078611578    -3.655216536   -3.46431786    -0.1502702022  3.688711123    3.2078409      0.5819984129   2.447325276    -1.884084857   -3.734198112   0.2923342635   -1.938034013   0.9023398094   0.1851759315   -0.7081186083  -2.469450163   -1.328882936   -1.095499738   -0.5440927484  -0.2468226696  -1.14860832    -2.260039185   -4.318584747   -1.333841842   -2.519835838   1.759069713    1.804666074    0.1427084518   2.340949644    2.260662478    4.554268908    -0.4024592568  4.50727035     -1.827224677   -0.4051540687  0.1755680538   1.652280286    -1.00523105    1.081750567    4.981787352    -3.579966573   1.741807621    -1.599308198   0.4271121289   0.233550985    0.841919       	-5.95253e+05	-5.95253e+05
8        NO_ID      3.371404361    -4.966906176   -2.312092336   1.464103792    0.472438791    4.278760643    -2.389879593   4.813687544    -2.593452591   3.522307777    1.986802338    -0.4531036403  3.247117638    -4.89386291    -3.47393115    2.119167498    2.128141321    -0.6488222769  0.8439922361   2.577511352    5.033298254    2.003754519    -2.257799753   2.599554523    -3.367127771   -5.076439824   -0.0441233802  -4.301651101   -3.450049991   4.12980412     2.897838162    2.525994467    -0.6510010746  -5.055061092   0.8682209329   0.1892190481   -4.435458393   0.4507925775   -1.129150351   -2.909942864   -1.169721006   1.299060434    1.628706101    2.143435229    0.3958916022   -2.249841426   3.235145377    -1.31164481    1.905680736    -1.943870071   -5.024281378   -4.057115807   0.214631107    2.825014566    -2.860184087   -4.553945183   -4.396698923   -3.478795065   2.291340603    -2.078493594   2557.826515    	-5.95253e+05	-5.95253e+05
9        NO_ID      -4.601829433   -0.2272837902  -0.4386621835  0.2046820999   -0.5479467371  -3.580809898   -2.191949967   3.416905059    2.003326972    0.7964261989   1.855124129    -1.728768457   -4.531453223   4.985681806    0.4341058471   -5.103028059   3.647412423    -4.819399886   -1.253883856   -0.1059665609  0.7800111226   2.446937369    1.836361717    0.3713717152   -4.755581932   -3.865529413   4.847161775    -3.19205584    -1.522496064   1.168645323    1.101941426    -3.83044795    0.5413083389   4.649251795    -1.465088227   3.462160787    4.856343922    -2.467694672   -2.544357399   -0.7748006419  3.205611629    4.07464179     -2.615437096   2.668721088    1.995329741    -0.4930434062  -2.420528663   1.694755381    -3.926312494   -2.974081987   -3.955961146   0.4810223272   -5.05774725    -3.318023595   1.017439325    -0.6972591856  -4.275133032   1.919124363    -1.276824968   3.442755164    9229.292006    	-5.95253e+05	-5.95253e+05
10       NO_ID      -3.853953289   4.84706512     -4.81653461    -4.297184443   -0.05893502477 2.759038762    4.444472041    -2.558410014   -1.437103842   2.755727943    -0.0004574084284 2.552336544    1.760291561    1.860257591    2.629326614    -4.747595582   -2.7589439     -2.850126671   0.6410449722   1.562848461    1.194090784    -1.316190756   -2.818035759   -2.726999058   1.566838763    -3.420902027   2.499627293    -3.484081167   -4.63218071    1.658813556    -3.840564088   4.599369192    -0.1619920564  1.239507325    4.23961586     -4.936248116   0.9579075365   2.27196555     -0.03500030758 -4.570169434   -0.5976821354  0.1963506103   2.784708113    -4.450751819   -0.5858269575  4.886325321    -0.3303284623  -1.750465501   -0.5536781624  2.491125287    -3.017304996   -3.365075587   -1.305397585   4.502788129    4.760076799    -2.509235424   -4.399767465   -3.851788558   0.2696994854   -3.480748419   -254085.8639   	-5.95253e+05	-5.95253e+05
11       NO_ID      0.1813218952   -4.042907257   3.497738685    -1.345923684   -0.7793615273  -1.769189819   2.186716617    0.7861848096   3.80809451     2.644436649    3.446761817    2.04586089     -1.136023272   4.456874003    1.081370128    -1.412263668   0.4045278718   -0.460058706   -1.006672094   -2.657889522   -4.269202299   -0.8030346183  -0.2828293444  -2.152791403   -4.045115976   -2.904205827   3.092670969    0.2809763028   1.728720396    3.723701791    -2.623996762   2.166419939    -2.420091623   -1.199907806   -4.290503482   -0.4120292403  -2.735442113   3.024410743    -0.0886468101  -5.086937284   -2.394939822   1.686413635    -0.7660431317  -3.20691462    4.745989919    -3.747439188   3.029561938    4.567496438    -3.367370414   1.085453284    -4.466650901   -1.561685317   -2.125127691   0.09890025382  3.336565932    3.423625797    2.318777498    -1.746592887   3.093343801    1.349255922    -3295.737456   	-5.95253e+05	-5.95253e+05
12       NO_ID      -4.655711064   -4.695854707   -3.550053267   2.734745768    -4.487870669   0.1976649309   4.394493847    -2.861920942   -3.025275702   -4.208715128   2.044835733    2.114163445    -0.05497943642 -2.439387964   2.166489824    -1.24553016    -3.065400018   -2.738098077   -0.6543745068  -0.3123354222  3.698559346    4.886920442    -0.5681233623  -4.769350662   0.2434226204   -4.796018772   2.592499427    0.9378631763   3.30640417     -1.745112365   -2.743520316   0.3740494754   -0.7104675034  -0.9873296718  4.99020534     4.781154842    3.589433173    3.76334568     -1.929162878   -3.600482215   5.095409574    1.428718575    -0.3269148089  4.422806778    1.953511618    3.229765295    0.4253147819   0.7455387858   -3.489626979   4.559362793    3.290457038    -3.528561873   -4.699394383   -1.601399024   -3.99340105    -4.131448073   0.192238319    -4.890572405   0.6295932892   3.654411444    -277.577358    	-5.95253e+05	-5.95253e+05
13       NO_ID      0.1731389976   1.787133258    2.428670925    2.032233799    -4.88653264    -3.154086336   1.750947922    -1.578273409   -4.441187548   -3.679124636   4.312243099    -2.850237855   -1.227626536   0.8808016471   -3.406716861   -4.850281601   1.957134908    2.686401395    2.188240126    -4.328198986   0.9196475963   4.357151193    4.40010518     -0.712232931   0.06112881902  3.392061223    4.292977972    1.040769446    2.292085322    0.1980071379   -0.09403385882 -3.467065186   4.875423422    0.7614492825   -2.32190862    0.3218155076   2.033235591    1.710584739    -4.122290768   0.4990595558   1.133953708    1.719966091    -0.04991652253 0.7330059031   0.9102135448   -0.6009526709  -3.571539044   0.02329322101  2.369165476    -4.79583694    -4.591444878   0.2259298731   -1.836622895   -4.760990643   -2.609742516   -4.022471494   -1.198402408   0.5307333257   0.9950055199   1.137772177    717.743382     	-5.95253e+05	-5.95253e+05
14       NO_ID      4.456975403    2.785590209    0.1346405435   -0.1363849998  1.5373081      2.01723646     -0.9468135099  -0.134660976   -0.2070235611  2.155008639    0.3501941373   -2.28713508    1.08071091     -2.251737817   2.082503255    0.3122132279   4.487721219    -2.70947616    -0.8858191137  0.9981565981   2.897943915    4.303384213    1.858469022    3.288855876    0.2807091071   -2.762037762   -3.648674297   4.091096243    -2.545437526   1.551508854    -5.070688167   4.463984031    -2.300384735   3.673763089    -2.263771471   4.632892833    0.06983631853  -3.860994543   -0.8552916459  2.073306936    -0.6503300265  -4.016754589   2.725629953    -4.097376179   -0.6014441326  -1.591536744   -2.078062829   2.638040479    -1.65366175    -1.733034485   -4.550592646   0.7493930701   -0.1506709457  -3.046584624   -3.947780251   4.857322163    3.733601264    -0.08355077509 -1.357876938   3.12230267     -6545.507348   	-5.95253e+05	-5.95253e+05
15       NO_ID      -3.459032897   -3.485902833   -4.528917217   -3.591665773   -0.3266414334  -1.222571004   3.929135665    -0.7768726472  -0.8985809926  1.549256695    -1.962726491   -4.504141154   3.219624681    4.07200664     4.295597577    4.108471784    2.765275716    -3.37104648    0.7418052939   -4.798425331   3.105462455    0.2274780155   3.703006992    -2.28149083    3.783619294    0.8894665984   -1.134879883   3.193808703    0.2628633477   4.504284       -0.818810151   0.8177920655   2.551245269    3.899229011    -1.658012675   -3.179022454   2.489610385    2.241735147    3.882617134    -4.373820934   2.151563133    3.881573157    -1.439954775   -4.19990427    -3.471061582   -0.8520052699  -4.132571616   1.788854712    0.6411427143   3.205599612    3.872683896    2.758247427    1.38450291     4.060405483    3.87494862     -0.1385400224  -3.962157111   -1.254558337   -1.20197532    1.92079768     -139854.4      	-5.95253e+05	-5.95253e+05
